# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خندېدلی مخ;خندېدلی مخ|مخ|مسکا|مسکېدلی مخ
✝️;لاتیني صلیب;صليب|عيسايي|لاتيني صليب|لاتیني صلیب|مذهب
☦️;د ارتودکس صلیب;ارتودکس صليب|د ارتودکس صلیب|صليب|عيسايي|مذهب
☪️;هلال او ستوری;اسلام|مذهب|مسلمان|هلال او ستوری
☮️;د سولې سمبول;د سولې سمبول|سوله
🕎;مینوره;کينډلبرم|کينډلسټک|مذهب|مينوره|مینوره
🔯;داغدار شپږ ګوټی ستوری;داغدار شپږ ګوټی ستوری|ستوری|نصيب
🪯;خندا;خندا|سکه|مذهب
♈;وری;ګډ|مرغومی|وری
♉;تورس;تورس|غوايي|مرغومی
♊;جمني;جمني|غبرګوني|مرغومی
♋;د سرطان ناروغي;د سرطان ناروغي|سرطان|کوني ګبر|مرغوم
♌;اسد;اسد|شير|مرغومی
♍;زاڼه;زاڼه|مرغومی
♎;تله;انصاف|ترازو|تله|توازن|مرغومی
♏;لړم;سکارپيو|لړم|مرغومی
♐;نخښه ويشتونکی;ښکارزن|مرغومی|نخښه ويشتونکی
♑;مرغومی;بيزه|غرڅه|مرغومی
♒;دلو;اوبه|دلو|مرغومی|وړونکی
♓;حوت;حوت|کب|مرغومی
⛎;اوفیوچس;اژدها|اوفیوچس|مار|مرغومی|وړونکی
🔀;شفل ټريک بټن;اووښتې|شفل ټريک بټن|غشی
🔁;تکرار بټن;تکرار|تکرار بټن|غشی|کلاک وايز
🔂;يو ځل تکرار بټن;تکرار بټن|غشی|کلاک وايز|يو ځل|يو ځل تکرار بټن
▶️;د غږولو بټن;د غږولو بټن|درې ګوټی|ښۍ|غږول|غشی
⏩;چټک مخکی بټن;چټک|چټک مخکی بټن|دوه غبرګ|غشی|وړاندې
⏭️;راتلونکي ټريک بټن;درې ګوټی|راتلونکي ټريک بټن|راتلونکی ټريک|راتلونکې منظره|غشی
⏯️;د غږولو يا وقفې بټن;د غږولو يا وقفې بټن|درې ګوټی|ښۍ|غږول|غشی|وقفه
◀️;د بيرته تلو بټن;بيرته|چپ|د بيرته تلو بټن|رې ګوټی|غشی
⏪;د چټک بيرته تلو بټن;بيرته تګ|د چټک بيرته تلو بټن|دوه ګونه|غشی
⏮️;وروستی ټريک بټن;درې ګوټی|غشی|لومړی ټريک|لومړۍ منظره|وروستی ټريک بټن
🔼;د پورته تلو بټن;بټن|د پورته تلو بټن|سور|غشی
⏫;چټک پورته بټن;چټک پورته بټن|دوه ګونه|غشی
🔽;ښکته بټن;بټن|سور|ښکته|غشی
⏬;چټک ښکته بټن;چټک ښکته بټن|دوه ګونه|ښکته|غشی
⏸️;د وقفې بټن;بار|د وقفې بټن|دوه ګونه|عمودي|وقفه
⏹️;د درولو بټن;د درولو بټن|درول|مربع
⏺️;د ريکارډ بټن;د ريکارډ بټن|دايره|ريکارډ
⏏️;د ويستلو بټن;د ويستلو بټن|ويستل
🎦;سنيما;سنيما|فلم|کامره|مووي
🔅;تته بټن;تت|تته بټن|روښانتيا|لاندي
🔆;روښانه بټن;روښانه|روښانه بټن|روښانوالی
📶;اینټینا بارونه;اينټينا|اينټينا بارونه|اینټینا بارونه|بار|سل|فون|موبايل
🛜;بې سیم;انټرنیټ|بې سیم|شبکه|کمپیوټر
📳;خوځښت موډ;تليفون|خوځښت|فون|موبايل|موډ
📴;د ګرځنده تلیفون بند;بند|تليفون|د ګرځنده تلیفون بند|سل|فون|موبايل
♀️;ښځینه نښه;ښځه|ښځينه نښه|ښځینه نښه
♂️;نارينه نښه;نارينه|نارينه نښه
⚧️;د جنس بدلوونکي سمبول;جنس بدلوونکی|د جنس بدلوونکي سمبول
✖️;د ضرب نښه;×|x|د ضرب نښه|ضرب|ضرب کول|فسخ کول|لوی د ضرب x|نښه
➕;د جمع نښه;+|جمع|د جمع نښه|رياضي|نښه
➖;د منفي نښه;-|−|د منفي نښه|رياضي|منفي|نښه
➗;د تقسيم نښه;÷|تقسيم|د تقسيم نښه|رياضي|نښه
🟰;دروند مساوي نښه;دروند مساوي نښه|ریاضی|مساوات
♾️;لا محدود;تلپاتې|ډېر زيات|عالمي|لا محدود
‼️;غبرګې ندا نښې;!|!!|بينګ بينګ|غبرګ|غبرګې ندا نښې|ندا|نښه|وقفه
⁉️;ندا پوښتنښه;!|!?|?|انټروبينګ|پوښتنه|ندا|ندا پوښتنښه|نښه|وقفه
❓;پوښتنښه;?|پوښتنښه|پوښتنه|د وقفې علامت|نښه
❔;سپينه پوښتنښه;پوښتنه|حاشيه|د وقفې علامت|سپينه پوښتنښه|نښه
❕;سپينه ندا نښه;حاشيه|د وقفې علامت|سپينه ندا نښه|ندا|نښه
❗;ندا نښه;!|د وقفې علامت|ندا|نښه
〰️;کوږ ډيش;د وقفې علامت|ډيش|کوږ
💱;د اسعارو تبادله;اسعار|بانک|پيسې|تبادله|د اسعارو تبادله
💲;د دروند ډالر نښان;اسعار|پيسې|د دروند ډالر نښان|ډالر
⚕️;طبي سمبول;ايسکولاپيس|درمل|طبي سمبول|عمله
♻️;د ري سايکلنګ سمبول;د ري سايکلنګ سمبول|ري سايکل
⚜️;فليور دي لوس;فليور دي لوس
🔱;د درې غاښۍ نښه;اله|بادبان|بېړۍ|د درې غاښۍ نښه|درې غاښۍ|نښه
📛;نوم بیج;بيج|نوم|نوم بیج
🔰;د ابتکار لپاره جاپاني سمبول;ابتکار|پاڼه|جاپاني|چيوران|د ابتکار لپاره جاپاني سمبول
⭕;ګوګ سره دايره;o|دايره|سره|ګوګ سره دايره|لوی
✅;د خوښنښې بټن;✓|بټن|چيک|د خوښنښې بټن|نښه
☑️;چيک بوکسه د چيک سره;✓|بوکسه|چيک|چيک بوکسه د چيک سره
✔️;خوښنښه;✓|چيک|خوښنښه|نښه
❌;د صليب نښه;×|x|د صليب نښه|ضرب|ضرب کول|فسخ کول|نښه
❎;د کراس نښې بټن;×|x|د کراس نښې بټن|مربع|نښه
➰;تاو کړۍ;تاو|کړۍ
➿;دوه ځل تاو کړۍ;تاو|دوه ځل|دوه ځل تاو کړۍ|کړۍ
〽️;د برخې بدلولو نښه;برخه|برخه بدلول نښه|د برخې بدلولو نښه|نښه
✳️;اته ګوټې اسټيريسک;*|اته کوټی اسټيريسک|اته ګوټې اسټيريسک|اسټيريسک
✴️;اته ګوټی ستوري;*|اته ګوټی ستوري|اته ګوټی ستوری|ستوری
❇️;ځلېدل;*|ځلېدل
©️;د چاپ حق;د چاپ حق|سي
®️;راجستر شوی;آر|راجستر شوی
™️;تجارتي نښان;تجارتي نښان|تجارتي نښه|ټي ايم|نښه
#️⃣;کیکیپ: #;کیکیپ|کیکیپ: #
*️⃣;کیکیپ: *;کیکیپ|کیکیپ: *
0️⃣;کیکیپ: 0;کیکیپ|کیکیپ: 0
1️⃣;کیکیپ: 1;کیکیپ|کیکیپ: 1
2️⃣;کیکیپ: 2;کیکیپ|کیکیپ: 2
3️⃣;کیکیپ: 3;کیکیپ|کیکیپ: 3
4️⃣;کیکیپ: 4;کیکیپ|کیکیپ: 4
5️⃣;کیکیپ: 5;کیکیپ|کیکیپ: 5
6️⃣;کیکیپ: 6;کیکیپ|کیکیپ: 6
7️⃣;کیکیپ: 7;کیکیپ|کیکیپ: 7
8️⃣;کیکیپ: 8;کیکیپ|کیکیپ: 8
9️⃣;کیکیپ: 9;کیکیپ|کیکیپ: 9
🔟;کیکیپ: 10;کیکیپ|کیکیپ: 10
🔠;شاملتوب لاتینې لوړ الفبا;ای بي سي ډې|توري|شاملتوب|شاملتوب لاتینې لوړ الفبا|لاتيني|لوړ الفبا
🔡;شاملتوب لاتینې ټيټه الفبا;ای بي سي ډې|توري|ټيټه الفبا|شاملتوب|شاملتوب لاتینې ټيټه الفبا|لاتيني
🔢;شاملتوب شمیرې;1234|شاملتوب|شاملتوب شمیرې|شمېرې
🔣;شاملتوب سمبولونه;〒♪&amp;%|شاملتوب|شاملتوب سمبولونه
🔤;شاملتوب لاتینې الفبا;الفبا|ای بي سي|توري|شاملتوب|شاملتوب لاتینې الفبا|لاتيني
🅰️;A بټن (د وینې ډول);a|A بټن (د وینې ډول)|د وينې ډول
🆎;AB بټن (د وینې ډول);AB بټن (د وینې ډول)|ای بي|د وينې ډول
🅱️;B بټن (د وینې ډول);B بټن (د وینې ډول)|بي|د وينې ډول
🆑;سي ايل بټن;سي ايل|سي ايل بټن
🆒;د سوړ بټن;د سوړ بټن|سوړ
🆓;د آزاد بټن;آزاد|د آزاد بټن
ℹ️;معلومات;معلومات
🆔;آي ډې بټن;آي ډي|آي ډي بټن|آي ډې بټن|پېژندګلو
Ⓜ️;دايره ايم;ايم|دايره
🆕;نوې بټن;نوې|نوې بټن
🆖;اين جي بټن;اين جي|اين جي بټن
🅾️;او بټن (د وینې ډول);او|او بټن (د وينې ډول)|او بټن (د وینې ډول)|د وينې ډول
🆗;او کی بټن;او کی|او کی بټن
🅿️;P بټن;P بټن|ودرېدل
🆘;ايس او ايس بټن;ايس او ايس|ايس او ايس بټن|مرسته
🆙;پورته! بټن;پورته|پورته! بټن|نښه
🆚;وي ايس بټن;اي ايس|پرتله|وي ايس بټن
🈁;جاپاني &quot;دلته&quot; بټن;&quot;دلته&quot;|جاپاني|جاپاني &quot;دلته&quot; بټن|کټاکنا|ココ
🈂️;د جاپاني &quot;خدمت چارج&quot;بټن;&quot;خدمت بټن&quot;|جاپاني|د جاپاني &quot;خدمت چارج&quot;بټن|کټاکنا|サ
🈷️;د جاپان د &quot;میاشتنی پيسې&quot; بټن;&quot;مياشتنۍ پيسې&quot;|آيډوګراپ|جاپاني|د جاپان د &quot;میاشتنی پيسې&quot; بټن|月
🈶;جاپاني &quot;وړیا نه&quot; بټن;&quot;وړيا نه&quot;|آيډوګراف|جاپاني|جاپاني &quot;وړیا نه&quot; بټن|有
🈯;جاپاني &quot;د اضافي&quot; بټن;&quot;اضافي&quot;|آيډوګراف|جاپاني|جاپاني &quot;د اضافي&quot; بټن|指
🉐;جاپاني &quot;جوړ جاړ&quot; بټن;&quot;جوړجاړ&quot;|آيډوګراف|جاپاني|جاپاني &quot;جوړ جاړ&quot; بټن|得
🈹;د جاپاني د &quot;رعایت&quot; بټن;&quot;رعايت&quot;|آيډوګراف|جاپاني|د جاپاني د &quot;رعایت&quot; بټن|割
🈚;جاپاني &quot;وړیا&quot;بټن;&quot;وړیا&quot;|Jجاپاني &quot;وړیا&quot;بټن|آيډوګراف|جاپاني|جاپاني &quot;وړیا&quot;بټن|無
🈲;جاپاني &quot;منع شوي&quot; بټن;&quot;منع شوي&quot;|آيډوګراف|جاپاني|جاپاني &quot;منع شوي&quot; بټن|禁
🉑;جاپاني &quot;منلو وړ&quot;بټن;&quot;منلو وړ&quot;|آيډوګراف|جاپاني|جاپاني &quot;منلو وړ&quot;بټن|可
🈸;د جاپاني &quot;غوښتنليک&quot; بټن;&quot;غوښتنليک&quot;|آيډوګراف|جاپاني|د جاپاني &quot;غوښتنليک&quot; بټن|申
🈴;د جاپاني &quot;تیریدو درجه&quot; بټن;&quot;تیریدو درجه&quot;|آيډوګراف|جاپاني|د جاپاني &quot;تیریدو درجه&quot; بټن|合
🈳;د جاپان د &quot;د خالي ځايونو&quot; بټن;&quot;د خالي ځايونو&quot;|آيډيوګراف|جاپاني|د جاپان د &quot;د خالي ځايونو&quot; بټن|空
㊗️;د جاپان د &quot;مبارکۍ&quot; بټن;&quot;مبارکۍ&quot;|آيډيوګراف|جاپاني|د جاپان د &quot;مبارکۍ&quot; بټن|祝
㊙️;د جاپان د &quot;پټ&quot; بتن;&quot;پټ&quot;|آيډيوګراف|جاپاني|د جاپان د &quot;پټ&quot; بتن|د جاپان د &quot;پټ&quot; بټن|秘
🈺;جاپاني &quot;د سوداګرۍ لپاره پرانستې&quot; بټن;&quot;د سوداګرۍ لپاره پرانستې&quot;|آيډيوګراف|جاپاني|جاپاني &quot;د سوداګرۍ لپاره پرانستې&quot; بټن|営
🈵;د جاپان د &quot;خالي ځايونه نشته&quot; بټن;&quot;خالي ځايونه نشته&quot;|آيډيوګراف|جاپاني|د جاپان د &quot;خالي ځايونه نشته&quot; بټن|満
🔴;سره دايره;جيوميتريکي|دايره|سره
🟠;نارنجي دايره;دايره|نارنجي
🟡;زېړه دايره;دايره|زېړه
🟢;شنه دايره;دايره|شنه
🔵;آسماني رنګ دايره;آسماني رنګ|آسماني رنګ دايره|جيوميتريکي|دايره
🟣;ارغواني دايره;ارغواني|دايره
🟤;نسواري دايره;دايره|نسواري
⚫;توره دايره;توره دايره|جيوميتريکي|دايره
⚪;سپينه دايره;جيوميتريکي|دايره|سپينه دايره
🟥;سره مربع;سره|مربع
🟧;نارنجي مربع;مربع|نارنجي
🟨;زېړه مربع;زېړه|مربع
🟩;شنه مربع;شنه|مربع
🟦;آسماني رنګ مربع;آسماني رنګ|آسماني رنګ مربع|مربع
🟪;ارغواني مربع;ارغواني|مربع
🟫;نسواري مربع;مربع|نسواري
⬛;توره لوی مربع;توره لوی مربع|جيوميتريکي|مربع
⬜;سپينه لوی مربع;جيوميتريکي|سپينه لوی مربع|مربع
◼️;توره منځنۍ مربع;توره منځنۍ مربع|جيوميتريکي|مربع
◻️;سپينه ميانه مربع;جيوميتريکي|سپينه ميانه مربع|مربع
◾;توره ميانه کوچنۍ مربع;توره ميانه کوچنۍ مربع|جيوميتريکي|مربع
◽;سپينه ميانه کوچنۍ مربع;جيوميتريکي|سپينه ميانه کوچنۍ مربع|مربع
▪️;توره کوچنۍ مربع;توره کوچنۍ مربع|جيوميتريکي|مربع
▫️;سپينه کوچنۍ مربع;جيوميتريکي|سپينه کوچنۍ مربع|مربع
🔶;لوی نارنجي الماس;الماس|جيوميتريکي|لوی نارنجي الماس|نارنجي
🔷;لوي آسماني رنګ الماس;آسماني رنګ|الماس|جيوميتريکي|لوي آسماني رنګ الماس
🔸;کوچنی نارنجي رنګ الماس;الماس|جيوميتريکي|کوچنی نارنجي رنګ الماس|نارنجي
🔹;کوچنی آسماني رنګ الماس;آسماني رنګ|الماس|جيوميتريکي|کوچنی آسماني رنګ الماس
🔺;سور مثلث پورته;جيوميتريکي|سور|سور مثلث پورته
🔻;سور مثلث ښکته;جيوميتريکي|سور|سور مثلث ښکته|ښکته
💠;الماس د ټکي سره;الماس|الماس د ټکي سره|جيوميتريکي|دننه|کامک
🔘;د راديو بټن;بټن|جيوميتريکي|د راديو بټن|راديو
🔳;سپینه مربع بټن;بټن|جيوميتريکي|چاپيره|سپینه مربع بټن|مربع
🔲;توره مربع بټن;بټن|توره مربع بټن|جيوميتريکي|مربع

[flags]
🏁;رنګداره بېرغ;داغدار|رنګدار|رنګداره بېرغ|ريسنګ
🚩;درې کنجه بيراغ;درې کنجه بيراغ|درې کنجه بېرغ|ستنه،
🎌;کراسډ بېرغې;جاپاني|کراس|کراسډ|کراسډ بېرغي|کراسډ بېرغې|لمانځنه
🏴;تور بیراغ;تور بیراغ|تور بېرغ|خوځېدونکې
🏳️;سپین بیراغ;خوځېدونکې|سپين بېرغ|سپین بیراغ
🏳️‍🌈;د بوډۍ ټال بېرغ;د بوډۍ تال بېرغ|د بوډۍ ټال|د بوډۍ ټال بېرغ
🏳️‍⚧️;آسماني رنګ، ګلابي، او سپينه بېرغ;آسماني رنګ، ګلابي، او سپينه بېرغ
🏴‍☠️;د بحري ډاکوانو بېرغ;بحري ډاکو|جولي راجر|خزانه|د بحري ډاکوانو بېرغ|لوټ کول
🇦🇨;بيرغ: اسينشان ټاپو;بيرغ|بيرغ: اسينشان ټاپو
🇦🇩;بيرغ: اندورا;بيرغ|بيرغ: اندورا
🇦🇪;بيرغ: متحده عرب امارات;بيرغ|بيرغ: متحده عرب امارات
🇦🇫;بيرغ: افغانستان;بيرغ|بيرغ: افغانستان
🇦🇬;بيرغ: انټيګوا او باربودا;بيرغ|بيرغ: انټيګوا او باربودا
🇦🇮;بيرغ: انګیلا;بيرغ|بيرغ: انګیلا
🇦🇱;بيرغ: البانیه;بيرغ|بيرغ: البانیه
🇦🇲;بيرغ: ارمنستان;بيرغ|بيرغ: ارمنستان
🇦🇴;بيرغ: انګولا;بيرغ|بيرغ: انګولا
🇦🇶;بيرغ: انتارکتیکا;بيرغ|بيرغ: انتارکتیکا
🇦🇷;بيرغ: ارجنټاين;بيرغ|بيرغ: ارجنټاين
🇦🇸;بيرغ: امریکایی ساماوا;بيرغ|بيرغ: امریکایی ساماوا
🇦🇹;بيرغ: اتریش;بيرغ|بيرغ: اتریش
🇦🇺;بيرغ: آسټرالیا;بيرغ|بيرغ: آسټرالیا
🇦🇼;بيرغ: آروبا;بيرغ|بيرغ: آروبا
