# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;nevető arc;arc|nevetés|nevető arc
☸️;dharma-kerék;buddha|buddhizmus|dharma-kerék|kerék|vallás
☯️;jin-jang;jang|jin|jin-jang|tao|taoizmus|vallás
✝️;latin kereszt;kereszt|kereszténység|latin kereszt|vallás
☦️;ortodox kereszt;kereszt|kereszténység|ortodox kereszt|vallás
☪️;csillag és félhold;csillag és félhold|iszlám|muszlim|vallás
☮️;békejel;béke|békejel
🕎;menóra;gyertyatartó|menóra|vallás
🔯;hatágú csillag ponttal;csillag|hatágú csillag ponttal|szerencse
🪯;khanda;khanda|szikh|vallás
♈;kos csillagjegy;horoszkóp|kos|kos csillagjegy
♉;bika csillagjegy;bika|bika csillagjegy|horoszkóp
♊;ikrek csillagjegy;horoszkóp|ikrek|ikrek csillagjegy
♋;rák csillagjegy;horoszkóp|rák|rák csillagjegy
♌;oroszlán csillagjegy;horoszkóp|oroszlán|oroszlán csillagjegy
♍;szűz csillagjegy;horoszkóp|szűz|szűz csillagjegy
♎;mérleg csillagjegy;horoszkóp|mérleg|mérleg csillagjegy
♏;skorpió csillagjegy;horoszkóp|skorpió|skorpió csillagjegy
♐;nyilas csillagjegy;horoszkóp|nyilas|nyilas csillagjegy
♑;bak csillagjegy;bak|bak csillagjegy|horoszkóp
♒;vízöntő csillagjegy;horoszkóp|vízöntő|vízöntő csillagjegy
♓;halak csillagjegy;halak|halak csillagjegy|horoszkóp
⛎;kígyótartó;csillagjegy|horoszkóp|kígyótartó
🔀;véletlenszerű lejátszás gomb;egymást keresztező nyilak|véletlenszerű lejátszás gomb
🔁;ismétlés gomb;ismétlés|ismétlés gomb|nyilak
🔂;egy szám ismétlése gomb;egy szám ismétlése gomb|ismétlés egyszer|nyilak
▶️;lejátszás gomb;jobbra nyíl|lejátszás|lejátszás gomb|nyíl
⏩;előretekerés gomb;dupla nyíl|előre|előretekerés gomb|gyors tekerés
⏭️;következő szám gomb;következő jelenet|következő szám|következő szám gomb
⏯️;lejátszás vagy szünet gomb;lejátszás|lejátszás vagy szünet gomb|szüneteltetés
◀️;visszajátszás gomb;balra nyíl|vissza|visszajátszás gomb
⏪;visszatekerés gomb;dupla nyíl|gyors tekerés|vissza|visszatekerés gomb
⏮️;legutóbbi szám gomb;előző jelenet|előző szám|legutóbbi szám gomb|nyíl
🔼;felfelé gomb;felfelé gomb|gomb|nyíl|piros
⏫;gyors felfelé gomb;dupla|gomb|gyors felfelé gomb|nyíl
🔽;lefelé gomb;gomb|lefelé|nyíl|piros
⏬;gyors lefelé gomb;gomb|gyors lefelé gomb|lefelé|nyíl|piros
⏸️;szüneteltetés gomb;dupla vonal|függőleges|gomb|szünet|szüneteltetés gomb
⏹️;leállítás gomb;gomb|leállítás|négyzet
⏺️;felvétel gomb;felvétel|gomb|kör
⏏️;lemez kiadása gomb;gomb|kiadás|lemez kiadása gomb
🎦;mozi;film|kamera|mozi
🔅;sötétítés gomb;fényerő|sötétítés|sötétítés gomb
🔆;világosítás gomb;fényerő|világosítás|világosítás gomb
📶;antennasávok;antenna|antennasávok|mobil|mobiltelefon|térerő
🛜;vezeték nélküli;hálózat|internet|számítógép|vezeték nélküli
📳;rezgő mód;mobil|mobiltelefon|rádiótelefon|rezgés|rezgő mód|telefon|tiltott
📴;mobiltelefon kikapcsolva;kikapcsolva|mobil|mobiltelefon|rádiótelefon|telefon|tiltott
♀️;női nem jelképe;nem|női|női nem jelképe
♂️;férfi nem jelképe;férfi|férfi nem jelképe|nem
⚧️;transznemű szimbólum;transznemű|transznemű szimbólum
✖️;szorzás;×|jel|mégse|szorzás|x
➕;plusz;+|jel|matematika|plusz
➖;mínusz;-|−|jel|matematika|mínusz
➗;osztás;÷|jel|matematika|osztás
🟰;vastag egyenlőségjel;egyenlőség|matematika|vastag egyenlőségjel
♾️;végtelen;korlátlan|örökké|univerzális|végtelen
‼️;dupla felkiáltójel;dupla felkiáltójel|felkiáltás|írásjel|központozás
⁉️;felkiáltójel kérdőjellel;felkiáltás|felkiáltójel kérdőjellel|írásjel|kérdés|központozás
❓;piros kérdőjel;írásjel|kérdés|kérdőjel|központozás|piros kérdőjel
❔;fehér kérdőjel;fehér|fehér kérdőjel|írásjel|kérdés|központozás
❕;fehér felkiáltójel;fehér|fehér felkiáltójel|felkiáltás|írásjel|központozás
❗;piros felkiáltójel;felkiáltás|felkiáltójel|írásjel|központozás|piros felkiáltójel
〰️;hullámos gondolatjel;gondolatjel|hullámos|központozás
💱;pénzváltás;átváltás|bank|pénz|pénzváltás|pénzváltó|valuta
💲;vastag dollárjel;dollár|pénz|pénznem|vastag dollárjel
⚕️;orvosi szimbólum;Aszklépiosz|bot|orvos|orvosi szimbólum|orvoslás
♻️;újrahasznosítás szimbólum;újra|újrahasznosítás|újrahasznosítás szimbólum
⚜️;Anjou-liliom;Anjou|Anjou-liliom|liliom
🔱;háromágú szigony;embléma|hajó|háromágú szigony|jel|szigony|vasmacska
📛;kitűző;jelvény|kitűző|név
🔰;a kezdő japán szimbóluma;a kezdő japán szimbóluma|japán|kezdő|levél|sárga
⭕;nagy, vastag kör;kör|nagy|nagy, vastag kör|o|vastag kör
✅;vastag fehér pipa;jel|pipa|vastag fehér pipa
☑️;jelölőnégyzet pipával;jelölőnégyzet pipával|négyzet|pipa|szavazás
✔️;vastag pipa;jel|pipa|vastag pipa
❌;áthúzásjel;áthúzásjel|jel|mégse|szorzás|x
❎;áthúzásjel gomb;áthúzásjel gomb|jel|négyzet
➰;hurok;hurok
➿;dupla hurok;dupla|hurok
〽️;részelválasztó;jel|részelválasztó|választó
✳️;nyolcágú csillag;csillag|nyolcágú csillag
✴️;nyolcas csillag;csillag|nyolcas csillag
❇️;szikra;szikra
©️;copyright (szerzői jog által védett);copyright (szerzői jog által védett)|szerzői jog|védett
®️;registered (bejegyzett);bejegyzett|registered (bejegyzett)|védjegy
™️;védjegy;tm|védjegy
#️⃣;gombfej: #;gombfej|gombfej: #
*️⃣;gombfej: *;gombfej|gombfej: *
0️⃣;gombfej: 0;gombfej|gombfej: 0
1️⃣;gombfej: 1;gombfej|gombfej: 1
2️⃣;gombfej: 2;gombfej|gombfej: 2
3️⃣;gombfej: 3;gombfej|gombfej: 3
4️⃣;gombfej: 4;gombfej|gombfej: 4
5️⃣;gombfej: 5;gombfej|gombfej: 5
6️⃣;gombfej: 6;gombfej|gombfej: 6
7️⃣;gombfej: 7;gombfej|gombfej: 7
8️⃣;gombfej: 8;gombfej|gombfej: 8
9️⃣;gombfej: 9;gombfej|gombfej: 9
🔟;gombfej: 10;gombfej|gombfej: 10
🔠;latin nagybetűs bevitel;abcd|betűk|bevitel|latin|nagybetűs
🔡;latin kisbetűs bevitel;abcd|betűk|bevitel|kisbetűs|latin
🔢;számbevitel;1234|bevitel|számbevitel|számok
🔣;szimbólumok bevitele;bevitel|szimbólumok bevitele
🔤;latin betűk bevitele;abc|betűk|bevitel|latin|latin betűk bevitele
🅰️;A gomb (vércsoport);a|A gomb (vércsoport)|vércsoport
🆎;AB gomb (vércsoport);ab|AB gomb (vércsoport)|vércsoport
🅱️;B gomb (vércsoport);b|B gomb (vércsoport)|vércsoport
🆑;CL gomb;cl|CL gomb
🆒;COOL gomb;cool|COOL gomb
🆓;FREE gomb;free|FREE gomb
ℹ️;információforrás;i|információ|információforrás|tájékoztatás
🆔;ID gomb;id|ID gomb|identitás
Ⓜ️;bekarikázott M betű;bekarikázott M betű|kör|m
🆕;NEW gomb;new|NEW gomb
🆖;NG gomb;ng|NG gomb
🅾️;0 gomb (vércsoport);0|0 gomb (vércsoport)|vércsoport
🆗;OK gomb;OK|OK gomb
🅿️;P gomb;P gomb|parkolás
🆘;SOS gomb;segítség|sos|SOS gomb
🆙;UP! gomb;jel|up|UP! gomb
🆚;VS gomb;ellen|versus|vs|VS gomb
🈁;japán „itt” gomb;„itt”|japán|japán „itt” gomb|katakana|ココ
🈂️;japán „szervizdíj” gomb;„szervizdíj”|japán|japán „szervizdíj” gomb|katakana|サ
🈷️;japán „havi összeg” gomb;„havi összeg”|japán|japán „havi összeg” gomb|képírásjel|月
🈶;japán „nem ingyenes” gomb;„nem ingyenes”|japán|japán „nem ingyenes” gomb|képírásjel|有
🈯;japán „foglalt” gomb;„foglalt”|japán|japán „foglalt” gomb|képírásjel|指
🉐;japán „alkalmi vétel” gomb;„alkalmi vétel”|japán|japán „alkalmi vétel” gomb|képírásjel|得
🈹;japán „engedmény” gomb;„engedmény”|japán|japán „engedmény” gomb|képírásjel|割
🈚;japán „ingyenes” gomb;„ingyenes”|japán|japán „ingyenes” gomb|képírásjel|無
🈲;japán „tiltott” gomb;„tiltott”|japán|japán „tiltott” gomb|képírásjel|禁
🉑;japán „elfogadás” gomb;„elfogadás”|japán|japán „elfogadás” gomb|képírásjel|可
🈸;japán „alkalmazás” gomb;„alkalmazás”|japán|japán „alkalmazás” gomb|képírásjel|申
🈴;japán „minimális pontszám” gomb;„minimális pontszám”|japán|japán „minimális pontszám” gomb|képírásjel|合
🈳;japán „megüresedés” gomb;„megüresedés”|japán|japán „megüresedés” gomb|képírásjel|空
㊗️;japán „gratuláció” gomb;„gratuláció”|japán|japán „gratuláció” gomb|képírásjel|祝
㊙️;japán „titok” gomb;„titok”|japán|japán „titok” gomb|képírásjel|秘
🈺;japán „működik” gomb;„működik”|japán|japán „működik” gomb|képírásjel|営
🈵;japán „megtelt” gomb;„megtelt”|japán|japán „megtelt” gomb|képírásjel|満
🔴;piros kör;alakzat|kör|piros
🟠;narancssárga kör;kör|narancssárga
🟡;sárga kör;kör|sárga
🟢;zöld kör;kör|zöld
🔵;kék kör;alakzat|kék|kör
🟣;lila kör;kör|lila
🟤;barna kör;barna|kör
⚫;fekete kör;alakzat|fekete kör|kör
⚪;fehér kör;alakzat|fehér kör|kör
🟥;vörös négyzet;négyzet|vörös
🟧;narancssárga négyzet;narancssárga|négyzet
🟨;sárga négyzet;négyzet|sárga
🟩;zöld négyzet;négyzet|zöld
🟦;kék négyzet;kék|négyzet
🟪;lila négyzet;lila|négyzet
🟫;barna négyzet;barna|négyzet
⬛;nagy fekete négyzet;geometria|nagy fekete négyzet|négyzet
⬜;nagy fehér négyzet;geometria|nagy fehér négyzet|négyzet
◼️;közepes fekete négyzet;geometria|közepes fekete négyzet|négyzet
◻️;közepes fehér négyzet;geometria|közepes fehér négyzet|négyzet
◾;kis-közepes fekete négyzet;geometria|kis-közepes fekete négyzet|négyzet
◽;kis-közepes fehér négyzet;geometria|kis-közepes fehér négyzet|négyzet
▪️;kis fekete négyzet;geometria|kis fekete négyzet|négyzet
▫️;kis fehér négyzet;geometria|kis fehér négyzet|négyzet
🔶;nagy narancssárga rombusz;geometria|nagy narancssárga rombusz|narancs|rombusz
🔷;nagy kék rombusz;geometria|kék|nagy kék rombusz|rombusz
🔸;kis narancssárga rombusz;geometria|kis narancssárga rombusz|narancs|rombusz
🔹;kis kék rombusz;geometria|kék|kis kék rombusz|rombusz
🔺;fölfelé mutató piros háromszög;alakzat|felfelé|fölfelé mutató piros háromszög|piros
🔻;lefelé mutató piros háromszög;alakzat|lefelé|lefelé mutató piros háromszög|piros
💠;rombusz ponttal;alakzat|képregény|rombusz|rombusz ponttal
🔘;választógomb;gomb|rádiógomb|választó|választógomb
🔳;fehér, négyzet alakú gomb;bekeretezett|fehér|fehér, négyzet alakú gomb|gomb|négyzet|négyzet alakú gomb
🔲;fekete, négyzet alakú gomb;fekete|fekete, négyzet alakú gomb|gomb|négyzet|négyzet alakú gomb

[flags]
🏁;kockás zászló;autóverseny|kockás|kockás zászló|versenyzés
🚩;háromszög alakú zászló;háromszög alakú zászló|zászlórúd
🎌;keresztbe tett zászlók;japán|keresztbe tett|keresztbe tett zászlók|ünnep|ünnepi hangulat|ünneplés|zászlók
🏴;lengő fekete zászló;lengő|lengő fekete zászló
🏳️;lengő fehér zászló;lengő|lengő fehér zászló
🏳️‍🌈;szivárványszínű zászló;szivárvány|szivárványszínű|zászló
🏳️‍⚧️;transznemű zászló;transznemű|zászló
🏴‍☠️;kalózzászló;fosztogató|Jolly Roger|kalóz|kalózzászló|kincs
🇦🇨;zászló: Ascension-sziget;zászló|zászló: Ascension-sziget
🇦🇩;zászló: Andorra;zászló|zászló: Andorra
🇦🇪;zászló: Egyesült Arab Emírségek;zászló|zászló: Egyesült Arab Emírségek
🇦🇫;zászló: Afganisztán;zászló|zászló: Afganisztán
🇦🇬;zászló: Antigua és Barbuda;zászló|zászló: Antigua és Barbuda
🇦🇮;zászló: Anguilla;zászló|zászló: Anguilla
🇦🇱;zászló: Albánia;zászló|zászló: Albánia
🇦🇲;zászló: Örményország;zászló|zászló: Örményország
🇦🇴;zászló: Angola;zászló|zászló: Angola
🇦🇶;zászló: Antarktisz;zászló|zászló: Antarktisz
🇦🇷;zászló: Argentína;zászló|zászló: Argentína
🇦🇸;zászló: Amerikai Szamoa;zászló|zászló: Amerikai Szamoa
🇦🇹;zászló: Ausztria;zászló|zászló: Ausztria
🇦🇺;zászló: Ausztrália;zászló|zászló: Ausztrália
🇦🇼;zászló: Aruba;zászló|zászló: Aruba
🇦🇽;zászló: Åland-szigetek;zászló|zászló: Åland-szigetek
🇦🇿;zászló: Azerbajdzsán;zászló|zászló: Azerbajdzsán
🇧🇦;zászló: Bosznia-Hercegovina;zászló|zászló: Bosznia-Hercegovina
🇧🇧;zászló: Barbados;zászló|zászló: Barbados
🇧🇩;zászló: Banglades;zászló|zászló: Banglades
🇧🇪;zászló: Belgium;zászló|zászló: Belgium
🇧🇫;zászló: Burkina Faso;zászló|zászló: Burkina Faso
🇧🇬;zászló: Bulgária;zászló|zászló: Bulgária
🇧🇭;zászló: Bahrein;zászló|zászló: Bahrein
🇧🇮;zászló: Burundi;zászló|zászló: Burundi
🇧🇯;zászló: Benin;zászló|zászló: Benin
🇧🇱;zászló: Saint-Barthélemy;zászló|zászló: Saint-Barthélemy
🇧🇲;zászló: Bermuda;zászló|zászló: Bermuda
🇧🇳;zászló: Brunei;zászló|zászló: Brunei
🇧🇴;zászló: Bolívia;zászló|zászló: Bolívia
🇧🇶;zászló: Holland Karib-térség;zászló|zászló: Holland Karib-térség
🇧🇷;zászló: Brazília;zászló|zászló: Brazília
🇧🇸;zászló: Bahama-szigetek;zászló|zászló: Bahama-szigetek
🇧🇹;zászló: Bhután;zászló|zászló: Bhután
🇧🇻;zászló: Bouvet-sziget;zászló|zászló: Bouvet-sziget
🇧🇼;zászló: Botswana;zászló|zászló: Botswana
🇧🇾;zászló: Belarusz;zászló|zászló: Belarusz
🇧🇿;zászló: Belize;zászló|zászló: Belize
🇨🇦;zászló: Kanada;zászló|zászló: Kanada
🇨🇨;zászló: Kókusz (Keeling)-szigetek;zászló|zászló: Kókusz (Keeling)-szigetek
🇨🇩;zászló: Kongó – Kinshasa;zászló|zászló: Kongó – Kinshasa
🇨🇫;zászló: Közép-afrikai Köztársaság;zászló|zászló: Közép-afrikai Köztársaság
🇨🇬;zászló: Kongó – Brazzaville;zászló|zászló: Kongó – Brazzaville
🇨🇭;zászló: Svájc;zászló|zászló: Svájc
🇨🇮;zászló: Elefántcsontpart;zászló|zászló: Elefántcsontpart
🇨🇰;zászló: Cook-szigetek;zászló|zászló: Cook-szigetek
🇨🇱;zászló: Chile;zászló|zászló: Chile
🇨🇲;zászló: Kamerun;zászló|zászló: Kamerun
🇨🇳;zászló: Kína;zászló|zászló: Kína
🇨🇴;zászló: Kolumbia;zászló|zászló: Kolumbia
🇨🇵;zászló: Clipperton-sziget;zászló|zászló: Clipperton-sziget
🇨🇷;zászló: Costa Rica;zászló|zászló: Costa Rica
🇨🇺;zászló: Kuba;zászló|zászló: Kuba
🇨🇻;zászló: Zöld-foki Köztársaság;zászló|zászló: Zöld-foki Köztársaság
🇨🇼;zászló: Curaçao;zászló|zászló: Curaçao
🇨🇽;zászló: Karácsony-sziget;zászló|zászló: Karácsony-sziget
🇨🇾;zászló: Ciprus;zászló|zászló: Ciprus
🇨🇿;zászló: Csehország;zászló|zászló: Csehország
🇩🇪;zászló: Németország;zászló|zászló: Németország
🇩🇬;zászló: Diego Garcia;zászló|zászló: Diego Garcia
🇩🇯;zászló: Dzsibuti;zászló|zászló: Dzsibuti
🇩🇰;zászló: Dánia;zászló|zászló: Dánia
🇩🇲;zászló: Dominika;zászló|zászló: Dominika
🇩🇴;zászló: Dominikai Köztársaság;zászló|zászló: Dominikai Köztársaság
🇩🇿;zászló: Algéria;zászló|zászló: Algéria
🇪🇦;zászló: Ceuta és Melilla;zászló|zászló: Ceuta és Melilla
🇪🇨;zászló: Ecuador;zászló|zászló: Ecuador
🇪🇪;zászló: Észtország;zászló|zászló: Észtország
🇪🇬;zászló: Egyiptom;zászló|zászló: Egyiptom
🇪🇭;zászló: Nyugat-Szahara;zászló|zászló: Nyugat-Szahara
🇪🇷;zászló: Eritrea;zászló|zászló: Eritrea
🇪🇸;zászló: Spanyolország;zászló|zászló: Spanyolország
🇪🇹;zászló: Etiópia;zászló|zászló: Etiópia
🇪🇺;zászló: Európai Unió;zászló|zászló: Európai Unió
🇫🇮;zászló: Finnország;zászló|zászló: Finnország
🇫🇯;zászló: Fidzsi;zászló|zászló: Fidzsi
🇫🇰;zászló: Falkland-szigetek;zászló|zászló: Falkland-szigetek
🇫🇲;zászló: Mikronézia;zászló|zászló: Mikronézia
🇫🇴;zászló: Feröer szigetek;zászló|zászló: Feröer szigetek
🇫🇷;zászló: Franciaország;zászló|zászló: Franciaország
🇬🇦;zászló: Gabon;zászló|zászló: Gabon
🇬🇧;zászló: Egyesült Királyság;zászló|zászló: Egyesült Királyság
🇬🇩;zászló: Grenada;zászló|zászló: Grenada
🇬🇪;zászló: Grúzia;zászló|zászló: Grúzia
🇬🇫;zászló: Francia Guyana;zászló|zászló: Francia Guyana
🇬🇬;zászló: Guernsey;zászló|zászló: Guernsey
🇬🇭;zászló: Ghána;zászló|zászló: Ghána
🇬🇮;zászló: Gibraltár;zászló|zászló: Gibraltár
🇬🇱;zászló: Grönland;zászló|zászló: Grönland
🇬🇲;zászló: Gambia;zászló|zászló: Gambia
🇬🇳;zászló: Guinea;zászló|zászló: Guinea
🇬🇵;zászló: Guadeloupe;zászló|zászló: Guadeloupe
🇬🇶;zászló: Egyenlítői-Guinea;zászló|zászló: Egyenlítői-Guinea
🇬🇷;zászló: Görögország;zászló|zászló: Görögország
🇬🇸;zászló: Déli-Georgia és Déli-Sandwich-szigetek;zászló|zászló: Déli-Georgia és Déli-Sandwich-szigetek
🇬🇹;zászló: Guatemala;zászló|zászló: Guatemala
🇬🇺;zászló: Guam;zászló|zászló: Guam
🇬🇼;zászló: Bissau-Guinea;zászló|zászló: Bissau-Guinea
🇬🇾;zászló: Guyana;zászló|zászló: Guyana
🇭🇰;zászló: Hongkong KKT;zászló|zászló: Hongkong KKT
🇭🇲;zászló: Heard-sziget és McDonald-szigetek;zászló|zászló: Heard-sziget és McDonald-szigetek
🇭🇳;zászló: Honduras;zászló|zászló: Honduras
🇭🇷;zászló: Horvátország;zászló|zászló: Horvátország
🇭🇹;zászló: Haiti;zászló|zászló: Haiti
🇭🇺;zászló: Magyarország;zászló|zászló: Magyarország
🇮🇨;zászló: Kanári-szigetek;zászló|zászló: Kanári-szigetek
🇮🇩;zászló: Indonézia;zászló|zászló: Indonézia
🇮🇪;zászló: Írország;zászló|zászló: Írország
🇮🇱;zászló: Izrael;zászló|zászló: Izrael
🇮🇲;zászló: Man-sziget;zászló|zászló: Man-sziget
🇮🇳;zászló: India;zászló|zászló: India
🇮🇴;zászló: Brit Indiai-óceáni Terület;zászló|zászló: Brit Indiai-óceáni Terület
🇮🇶;zászló: Irak;zászló|zászló: Irak
🇮🇷;zászló: Irán;zászló|zászló: Irán
🇮🇸;zászló: Izland;zászló|zászló: Izland
🇮🇹;zászló: Olaszország;zászló|zászló: Olaszország
🇯🇪;zászló: Jersey;zászló|zászló: Jersey
🇯🇲;zászló: Jamaica;zászló|zászló: Jamaica
🇯🇴;zászló: Jordánia;zászló|zászló: Jordánia
🇯🇵;zászló: Japán;zászló|zászló: Japán
🇰🇪;zászló: Kenya;zászló|zászló: Kenya
🇰🇬;zászló: Kirgizisztán;zászló|zászló: Kirgizisztán
🇰🇭;zászló: Kambodzsa;zászló|zászló: Kambodzsa
🇰🇮;zászló: Kiribati;zászló|zászló: Kiribati
🇰🇲;zászló: Comore-szigetek;zászló|zászló: Comore-szigetek
🇰🇳;zászló: Saint Kitts és Nevis;zászló|zászló: Saint Kitts és Nevis
🇰🇵;zászló: Észak-Korea;zászló|zászló: Észak-Korea
🇰🇷;zászló: Dél-Korea;zászló|zászló: Dél-Korea
🇰🇼;zászló: Kuvait;zászló|zászló: Kuvait
🇰🇾;zászló: Kajmán-szigetek;zászló|zászló: Kajmán-szigetek
