# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;کھل کے ہنستا چہرہ;چہرہ|کھل کے ہنستا چہرہ|کھلا|منہ|ہنسی
🔕;گھنٹی پر سلیش;خاموشی|سکوت|گھنٹی|گھنٹی پر سلیش|ممانعت
🎼;میوزیکل اسکور;اسکور|موسیقی|میوزیکل اسکور
🎵;میوزیکل نوٹ;موسیقی|میوزیکل نوٹ|نوٹ
🎶;میوزیکل نوٹس;موسیقی|میوزیکل نوٹس|نوٹس
🎙️;اسٹوڈیو مائیکروفون;اسٹوڈیو|مائیک|مائیکروفون|موسیقی
🎚️;لیول سلائیڈر;سلائیڈر|لیول|موسیقی
🎛️;کنٹرول کرنے والی نابز;کنٹرول|کنٹرول کرنے والی نابز|موسیقی|نابز
🎤;مائیکروفون;مائیک|مائیکروفون|موسیقی
🎧;ہیڈ فون;موسیقی|ہیڈ فون
📻;ریڈیو;برقی آلہ|ریڈیو
🎷;سیکسو فون;آلہ|سیکسو فون|موسیقی
🪗;ارگن باجا;ارگن باجا|سکویز باکس|کنسرٹینا
🎸;گٹار;آلہ|گٹار|موسیقی
🎹;میوزیکل کی بورڈ;آلہ|کی بورڈ|موسیقی|میوزیکل کی بورڈ
🎺;ٹرمپٹ;آلہ|ٹرمپٹ|موسیقی
🎻;وائلن;آلہ|موسیقی|وائلن
🪕;بینجو;بینجو|تاروں والا آلہ|موسیقی
🥁;ڈرم;اسٹکس|ڈرم|موسیقی
🪘;لمبا ڈرم;بجانا|ڈرم|ڈھول|ردھم|لمبا ڈرم
🪇;مراکس;آلہ|جھنجھنا|زور زور سے ہلانا|ضرب پذیر آلہ|ماراکاس|مراکس|موسیقی
🪈;بانسری;بانسری|پائپ|ریکارڈر|فائف|موسیقی|ووڈوِنڈ
📱;موبائل فون;برقی آلہ|فون|موبائل
📲;تیر کے نشان کے ساتھ موبائل فون;تیر|تیر کے نشان کے ساتھ موبائل فون|فون|موبائل|نشان
☎️;ٹیلیفون;برقی آلہ|ٹیلیفون|فون
📞;ٹیلیفون کا ریسیور;برقی آلہ|ٹیلیفون کا ریسیور|ریسیور|فون
📟;پیجر;برقی آلہ|پیجر
📠;فیکس مشین;برقی آلہ|فیکس|فیکس مشین
🔋;بیٹری;بیٹری
🪫;کم بیٹری;الیکٹرانک|کم انرجی|کم بیٹری
🔌;الیکٹرک پلگ;الیکٹرک پلگ|برقی|پلگ
💻;لیپ ٹاپ کمپیوٹر;کمپیوٹر|لیپ ٹاپ|لیپ ٹاپ کمپیوٹر
🖥️;ڈیسک ٹاپ کمپیوٹر;ڈیسک ٹاپ|ڈیسک ٹاپ کمپیوٹر|کمپیوٹر
🖨️;پرنٹر;پرنٹ|پرنٹر|کمپیوٹر
⌨️;کی بورڈ;ٹائپنگ|کمپیوٹر|کی بورڈ
🖱️;کمپیوٹر ماؤس;کرسر|کمپیوٹر|کمپیوٹر ماؤس
🖲️;ٹریک بال;بال|ٹریک|کمپیوٹر
💽;کمپیوٹر ڈسک;ڈسک|کمپیوٹر|منی
💾;فلاپی ڈسک;ڈسک|فلاپی|کمپیوٹر
💿;آپٹکل ڈسک;آپٹکل|ڈسک|کمپیوٹر
📀;ڈی وی ڈی;ڈسک|ڈی وی ڈی|کمپیوٹر
🧮;گِنتارا;حساب کتاب|گِنتارا
🎥;مووی کیمرا;سینما|فلم|کیمرا|مووی کیمرا
🎞️;فلم کے فریم;سینما|فریم|فلم|فلم کے فریم
📽️;فلم پروجیکٹر;پروجیکٹر|سینما|فلم
🎬;کلیپر بورڈ;فلم|کلیپر|کلیپر بورڈ
📺;ٹیلی ویژن;ٹی وی|ٹیلی ویژن|ویڈیو
📷;کیمرا;کیمرا|ویڈیو
📸;فلیش والا کیمرا;فلیش|فلیش والا کیمرا|کیمرا|ویڈیو
📹;ویڈیو کیمرا;کیمرا|ویڈیو
📼;ویڈیو کیسٹ;ٹیپ|ویڈیو|ویڈیو کیسٹ
🔍;بائیں اشارہ کرتا محدب عدسہ;آلہ|اشارہ|بائیں|بائیں اشارہ کرتا محدب عدسہ|سمت|عدسہ|محدب
🔎;دائیں اشارہ کرتا محدب عدسہ;آلہ|اشارہ|دائیں|دائیں اشارہ کرتا محدب عدسہ|سمت|عدسہ|محدب
🕯️;موم بتی;بتی|روشنی|موم
💡;لائٹ بلب;برقی|بلب|روشنی|لائٹ بلب
🔦;فلیش لائٹ;برقی|ٹارچ|روشنی|فلیش|فلیش لائٹ
🏮;سرخ کاغذی لالٹین;بار|روشنی|سرخ|سرخ کاغذی لالٹین|سرخ مرچ|لالٹین
🪔;دیا لیمپ;تیل|دِیا|دیا لیمپ|لیمپ
📔;سجاوٹی کوور والی نوٹ بک;سجاوٹ|سجاوٹی کوور والی نوٹ بک|کتاب|کوور|نوٹ بک
📕;بند کتاب;بند|کتاب
📖;کھلی کتاب;کتاب|کھلی
📗;سبز کتاب;رنگ|سبز|کتاب
📘;نیلی کتاب;رنگ|کتاب|نیلا|نیلی کتاب
📙;نارنجی کتاب;رنگ|کتاب|نارنجی
📚;کتابیں;کتاب|کتابیں
📓;نوٹ بک;کتاب|نوٹ بک
📒;لیجر;لیجر|نوٹ بک
📃;مڑا ہوا صفحہ;دستاویز|صفحہ|مڑا ہوا|مڑا ہوا صفحہ
📜;اسکرول;اسکرول|صفحہ
📄;صفحے کا سامنے والا حصہ;سامنے|صفحہ|صفحے کا سامنے والا حصہ
📰;اخبار;اخبار|اطلاع|خبر|معلومات
🗞️;رول کیا ہوا اخبار;اخبار|رول|رول کیا ہوا اخبار|کاغذ
📑;بُک مارک ٹیبز;بک مارک|بُک مارک ٹیبز|ٹیبز
🔖;بُک مارک;بک مارک|بُک مارک
🏷️;لیبل;ٹیگ|لیبل
💰;پیسوں کا بیگ;بیگ|پیسوں کا بیگ|ڈالر|رقم
🪙;سکہ;چاندی|خزانہ|دھات|رقم|سکہ|سونا
💴;ین بینک نوٹ;بنک|رقم|نوٹ|ین|ین بینک نوٹ
💵;ڈالر بینک نوٹ;بنک|ڈالر|ڈالر بینک نوٹ|رقم|نوٹ
💶;یورو بینک نوٹ;بنک|رقم|نوٹ|یورو|یورو بینک نوٹ
💷;پاؤنڈ بینک نوٹ;بنک|پاؤنڈ|پاؤنڈ بینک نوٹ|رقم|نوٹ
💸;پروں والے نوٹ;اڑنا|بنک|پر|پروں والے نوٹ|ڈالر|رقم|نوٹ
💳;کریڈٹ کارڈ;بنک|رقم|کارڈ|کریڈٹ
🧾;رسید;اکاؤنٹنگ|ثبوت|حساب نویسی|رسید|شہادت
💹;ین کے ساتھ صعودی چارٹ;اضافہ|بنک|چارٹ|رقم|گراف|ین|ین کے ساتھ صعودی چارٹ
✉️;لفافہ;پیغام|ڈاک|لفافہ
📧;ای میل;ای میل|پیغام|خط
📨;آتا ہوا لفافہ;آتا ہوا لفافہ|ای میل|پیغام|ڈاک|وصولی
📩;تیر کا نشان اور لفافہ;ای میل|پیغام|تیر|تیر کا نشان اور لفافہ|ڈاک|نشان
📤;آؤٹ باکس ٹرے;آؤٹ باکس ٹرے|بھیجا ہوا|ٹرے|خط
📥;ان باکس ٹرے;ان باکس ٹرے|ٹرے|خط|موصولہ
📦;پیکج;باکس|پارسل|پیکج
📫;بلند جھنڈے والا بند میل باکس;باکس|بلند جھنڈا|بلند جھنڈے والا بند میل باکس|بند|میل
📪;جھکے ہوئے جھنڈے والا بند میل باکس;باکس|بند|جھکا جھنڈا|جھکے ہوئے جھنڈے والا بند میل باکس|میل
📬;بلند جھنڈے والا کھلا میل باکس;باکس|بلند جھنڈا|بلند جھنڈے والا کھلا میل باکس|کھلا|میل
📭;جھکے ہوئے جھنڈے والا کھلا میل باکس;باکس|جھکا جھنڈا|جھکے ہوئے جھنڈے والا کھلا میل باکس|کھلا|میل
📮;پوسٹ باکس;باکس|پوسٹ باکس|میل
🗳️;بیلٹ کے ساتھ بیلٹ باکس;باکس|بیلٹ|بیلٹ کے ساتھ بیلٹ باکس
✏️;پنسل;پنسل
✒️;سیاہ نب;پن|سیاہ|نب
🖋️;فاؤنٹین پن;پین|فاؤنٹین|فاؤنٹین پن
🖊️;پن;اسٹیشنری|بال پن|پن
🖌️;پینٹ برش;پینٹ برش|پینٹنگ
🖍️;کرے آن;اسٹیشنری|رنگ|کرے آن
📝;میمو;پینسل|میمو
💼;بریف کیس;اسٹیشنری|بریف کیس
📁;فائل فولڈر;اسٹیشنری|فائل|فولڈر
📂;کھلا فائل فولڈر;اسٹیشنری|فائل|فولڈر|کھلا
🗂️;کارڈ انڈیکس کے تقسیم کار;اسٹیشنری|انڈیکس|تقسیم کار|کارڈ|کارڈ انڈیکس کے تقسیم کار
📅;کیلنڈر;اسٹیشنری|تاریخ|کیلنڈر
📆;ٹیئر آف کیلنڈر;اسٹیشنری|ٹیئر آف کیلنڈر|قسم|کیلنڈر
🗒️;سپائرل نوٹ بک;اسٹیشنری|سپائرل|سپائرل نوٹ بک|نوٹ بک
🗓️;سپائرل کیلنڈر;اسٹیشنری|سپائرل|کیلنڈر
📇;کارڈ انڈیکس;اسٹیشنری|انڈیکس|کارڈ
📈;صعودی چارٹ;اسٹیشنری|بڑھوتری|چارٹ|صعودی چارٹ
📉;تنزلی چارٹ;اسٹیشنری|تنزلی|چارٹ
📊;بار چارٹ;اسٹیشنری|بار|چارٹ|گراف
📋;کلپ بورڈ;اسٹیشنری|کلپ بورڈ
📌;پُش پن;اسٹیشنری|پُش پن|پِن
📍;گول پُش پن;اسٹیشنری|پِن|گول|گول پُش پن
📎;پیپر کلپ;اسٹیشنری|پیپر|کلپ
🖇️;جڑے ہوئے پیپر کلپس;اسٹیشنری|پیپر|جڑے ہوئے|جڑے ہوئے پیپر کلپس|کلپ
📏;اسٹریٹ رولر;اسٹریٹ رولر|اسٹیشنری|رولر|سیدھا
📐;تکونی رولر;اسٹیشنری|تکونی|رولر
✂️;قینچی;آلہ|اسٹیشنری|قینچی
🗃️;کارڈ فائل باکس;اسٹیشنری|باکس|فائل|کارڈ
🗄️;فائل کیبنٹ;اسٹیشنری|فائل|کیبنٹ
🗑️;ردی کی ٹوکری;ٹوکری|ردی|ردی کی ٹوکری
🔒;لاک;بند|لاک
🔓;کھلا لاک;کھلا|لاک
🔏;پن کے ساتھ لاک;پرائیویسی|پن|پن کے ساتھ لاک|لاک
🔐;چابی کے ساتھ بند لاک;بند|چابی|چابی کے ساتھ بند لاک|لاک|محفوظ
🔑;چابی;پاسورڈ|چابی|لاک
🗝️;پرانی چابی;پاسورڈ|پرانا|پرانی چابی|لاک
🔨;ہتھوڑا;آلہ|ہتھوڑا
🪓;کلہاڑا;ٹکڑے کرنا|کاٹنا|کلہاڑا|کلہاڑی|لکڑی
⛏️;کدال;آلہ|کدال
⚒️;ہتھوڑا اور کدال;آلہ|کدال|ہتھوڑا|ہتھوڑا اور کدال
🛠️;ہتھوڑا اور رینچ;آلہ|رینچ|ہتھوڑا|ہتھوڑا اور رینچ
🗡️;خنجر;آلہ|خنجر|ہتھیار
⚔️;کراس کی شکل بناتی تلواریں;تلواریں|کراس|کراس کی شکل بناتی تلواریں|ہتھیار
💣;بم;آگ|بم|بمباری
🪃;بومرینگ;بومرینگ|پلٹنا|گونج
🏹;تیر اور کمان;تیر|تیر اور کمان|جنگ|کمان|ہتھیار
🛡️;شیلڈ;حفاظت|شیلڈ|ہتھیار
🪚;بڑھئی کا آرا;آرا|آلہ|بڑھئی|بڑھئی کا آرا|لکڑی
🔧;رینچ;آلہ|رینچ
🪛;پیچ کس;آلہ|پیچ|پیچ کس
🔩;نٹ اور بولٹ;آلہ|بولٹ|نٹ|نٹ اور بولٹ
⚙️;گیئر;آلہ|گراری|گیئر
🗜️;کلیمپ;آلہ|اوزار|کلیمپ|کمپریس
⚖️;برابر پلڑوں والا ترازو;آلہ|برابر|برابر پلڑوں والا ترازو|پلڑے|ترازو
🦯;نابینا افراد کیلئے چھڑی;دسترس|نابینا|نابینا افراد کیلئے چھڑی
🔗;لنک;تالا|جوڑ|رابطہ|لنک
⛓️‍💥;ٹوٹی ہوئی زنجیر;توڑنا، توڑنا، زنجیر، ہتھکڑی، آزادی|ٹوٹی ہوئی زنجیر
⛓️;زنجیریں;آلہ|زنجیر|زنجیریں
🪝;ہک;بیچنے کا مقام|پکڑنا|پھانسنا|ترشول|خمیدہ|ہک
🧰;ٹُول بکس;اوزار|ٹُول بکس|صندوق|مکینک
🧲;مقناطیس;کشش|گھڑ نعل|مقناطیس|مقناطیسی
🪜;سیڑھی;چڑھنا|زینہ|سیڑھی|قدم
⚗️;الیمبک;آلہ|الیمبک
🧪;ٹیسٹ ٹیوب;تجربہ|ٹیسٹ ٹیوب|سائنس|کیمسٹ|کیمسٹری|لیب
🧫;پیٹری ڈش;بائیالوجسٹ|بائیالوجی|بیکٹیریا|پیٹری ڈش|ثقافت|لیب
🧬;ڈی این اے;ارتقاء|بائیالوجسٹ|جین|جینیات|ڈی این اے|زندگی
🔬;مائیکروسکوپ;آلہ|سکوپ|مائیکرو|مائیکروسکوپ
🔭;ٹیلی سکوپ;آلہ|ٹیلی|سکوپ
📡;سیٹلائٹ انٹینا;آلہ|انٹینا|ڈش|سٹلائٹ|سیٹلائٹ انٹینا
💉;سرنج;آلہ|دوائی|ڈاکٹر|سرنج|سوئی
🩸;خون کا قطرہ;حیض|خون کا عطیہ|خون کا قطرہ|دوا
💊;گولی;بیماری|دوائی|ڈاکٹر|گولی
🩹;چپکنے والی پٹی;پٹی|چپکنے والی پٹی
🩼;بیساکھی;بیساکھی|چھڑی|چوٹ|معذوری|نقل و حرکت میں مدد
🩺;سٹیتھو سکوپ;دل|دوا|ڈاکٹر|سٹیتھو سکوپ
🩻;ایکس رے;ایکس رے|ڈاکٹر|ڈھانچہ|میڈیکل|ہڈیاں
🚪;دروازہ;دروازہ
🛗;ایلیویٹر;ایلیویٹر|رسائی|لفٹ|لہرانا
🪞;آئینہ;آئینہ|عکاسی|منعکس کرنے والا|منعکس کنندہ
🪟;کھڑکی;تازہ ہوا|شفاف|فریم|کھڑکی|کھلا|منظر
🛏️;بستر;بستر|نیند|ہوٹل
🛋️;کاؤچ اور لیمپ;کاؤچ|کاؤچ اور لیمپ|لیمپ|ہوٹل
🪑;کرسی;بیٹھنا|سیٹ|کرسی
🚽;بیت الخلا;بیت الخلا
🪠;پلنجر;پلمبر|پلنجر|ٹوائلٹ|چوسنا|فورس کپ
🚿;شاور;پانی|شاور
🛁;نہانے کا ٹب;نہانا|نہانے کا ٹب
🪤;چوہے کا پھندہ;پھندہ|چارہ|چوہے کا پھندہ
🪒;استرا;استرا|تیز دھار|شیو
🧴;لوشن کی بوتل;سورج کی تمازت سے بچنے کے لیے جِلدی کریم|شیمپو|لوشن|لوشن کی بوتل|موئسچرائزر
🧷;حِفاظتی پِن;پَنک راک|حِفاظتی پِن|ڈائپر
🧹;جھاڑو;جادوگرنی|جھاڑو|جھاڑو لگانا|صفائی
🧺;ٹوکری;پکنک|ٹوکری|فارمنگ|لانڈری
🧻;کاغذی رول;ٹوائلٹ پیپر|کاغذی تولیے|کاغذی رول
🪣;بالٹی;بالٹی|پیپا|ٹوکری|حوض
🧼;صابن;ٹکیہ|جھاگ|صابن|صابن کی ڈش|صفائی|غسل
🫧;بلبلے;بلبلے|پانی کے اندر|ڈکار|صابن|صاف
🪥;ٹوتھ برش;برش|ٹوتھ برش|حفظان صحت|دانت|دندان|صاف|غسل خانہ
🧽;اسفنج;اسفنج|جذب کرنے والا|صفائی|مسام دار
🧯;آگ بُجھانے والا آلہ;آتش|آگ بجھانا|آگ بُجھانے والا آلہ|ٹھنڈا کرنا
🛒;شاپنگ ٹرالی;ٹرالی|شاپنگ
🚬;سگریٹ نوشی;دھواں|سگریٹ کشی|سگریٹ نوشی
⚰️;تابوت;تابوت|جنازہ|کفن|موت
🪦;کتبہ;قبر|قبرستان|کتبہ
⚱️;مردے کی راکھ والا مرتبان;برتن|راکھ|مردے کی راکھ والا مرتبان|موت
🧿;بری نظر کیلئے تعویز;بری نظر|بری نظر کیلئے تعویز|تعویز|طلسمان|موتی|نظر
🪬;حمسہ;تحفظ|تعویذ|حمسہ|فاطمہ|مریم|میری|ہاتھ
🗿;موآئی;چہرہ|مجسمہ|موآئی
🪧;پلے کارڈ;احتجاج مظاہرہ|پلے کارڈ|علامت|کھونٹی
🪪;شناختی کارڈ;آئی ڈی|اسناد|سیکیورٹی|شناختی کارڈ|لائسنس

[symbols]
🏧;اے ٹی ایم کی علامت;آٹو میٹک|اے ٹی ایم|اے ٹی ایم کی علامت|بنک|رقم
🚮;کوڑا ٹوکری میں کا سائن;ٹوکری|ردی|کوڑا ٹوکری میں کا سائن
🚰;پینے کا پانی;پانی|پینا|پینے کا پانی
♿;وہیل چیئر;پہیے|رسائی|کرسی|وہیل چیئر
🚹;مردوں کا ٹوائلٹ;ٹوائلٹ|مرد|مردوں کا ٹوائلٹ
🚺;عورتوں کا ٹوائلٹ;ٹوائلٹ|عورتوں کا ٹوائلٹ|عورتیں
🚻;ریسٹ روم;ٹوائلٹ|ریسٹ روم|کمرہ
🚼;بے بی کی علامت;بے بی|بے بی کی علامت|سائن
🚾;واش روم;ٹوائلٹ|کمرہ|واش روم
🛂;پاسپورٹ کنٹرول;پاسپورٹ|کنٹرول
🛃;کسٹمز;ادارہ|کسٹمز
🛄;سامان کا کلیم;سامان|سامان کا کلیم|کلیم
🛅;چُھوٹا ہوا سامان;چُھوٹا ہوا سامان|سامان|لاکر|محفوظ
⚠️;انتباہ;انتباہ|ٹریفک|سائن
🚸;بچوں کے گزرنے کا سائن;بچوں کے گزرنے کا سائن|بچے|ٹریفک|سائن|سڑک
⛔;داخلہ ممنوع;ٹریفک|داخلہ|داخلہ ممنوع|سائن|منع
🚫;ممنوع;ٹریفک|داخلہ|سائن|ممنوع|منع
🚳;سائیکلیں ممنوع;ٹریفک|سائن|سائیکل|سائیکلیں ممنوع|منع
🚭;سگریٹ نوشی منع ہے;ٹریفک|سائن|سگریٹ نوشی|سگریٹ نوشی منع ہے|منع
🚯;کوڑا پھینکنا منع ہے;سائن|کوڑا|کوڑا پھینکنا منع ہے|منع
🚱;نا پینے والا پانی;پانی|پینا|سائن|منع|نا پینے والا پانی
🚷;پیدل چلنے والے ممنوع;پیدل|پیدل چلنے والے ممنوع|ٹریفک|سائن|منع
📵;موبائل فون ممنوع;فون|منع|موبائل|موبائل فون ممنوع
🔞;اٹھارہ سے کم عمر کی اجازت نہیں;اٹھارہ|اٹھارہ سے کم عمر کی اجازت نہیں|پابندی|سائن|عمر
☢️;تابکاری;تابکار|تابکاری|شعاعیں
☣️;زندگی کے لیے مضر;جاندار|حیات|زندگی کے لیے مضر|نقصان دہ
⬆️;اوپر کا تیر;اوپر کا تیر|تیر|سمت|شمال|کارڈینل
↗️;اوپر دائیں تیر;اوپر دائیں تیر|تیر|سائن|سمت|شمال مشرق
➡️;دائیں تیر;تیر|دائیں تیر|سمت|کارڈینل|مشرق
↘️;نیچے دائیں تیر;تیر|جنوب مشرق|سائن|سمت|نیچے دائیں تیر
⬇️;نیچے کا تیر;تیر|جنوب|سمت|کارڈینل|نیچے|نیچے کا تیر
↙️;نیچے بائیں تیر;تیر|جنوب مغرب|سائن|سمت|نیچے بائیں تیر
⬅️;بائیں تیر;بائیں تیر|تیر|سمت|کارڈینل|مغرب
↖️;اوپر بائیں تیر;اوپر بائیں تیر|تیر|سائن|سمت|شمال مغرب
↕️;اوپر نیچے تیر;اوپر نیچے تیر|تیر|سائن|سمت
↔️;دائیں بائیں تیر;تیر|دائیں بائیں تیر|سائن|سمت
