# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;рӯи хандон;рӯи хандон|рӯй|фарох табассум кардан
👔;галстук;галстук|пӯшок
👕;футболка;курта|либос|футболка
👖;ҷинс;либос|ҷинс|шим
🧣;шарф;гардан|шарф
🧤;дастпӯшак;даст|дастпӯшак
🧥;палто;палто|пиҷак
🧦;ҷуроб;ҷуроб|ҷуроби дароз
👗;куртаи занона;куртаи занона|пӯшок
👘;кимоно;кимоно|пӯшок
🥻;;
🩱;;
🩲;;
🩳;;
👙;либоси оббозӣ;либоси оббозӣ|оббозӣ кардан|пӯшок
👚;либосҳои занона;зан|либосҳои занона|пӯшок
🪭;;
👛;ҳамён;либос|танга|ҳамён
👜;сумка;либос|сумка|ҳамён
👝;клатч;клатч|либос|сумка|сумкача
🛍️;сумкаҳо барои харид кардан;меҳмонхона|сумка|сумкаҳо барои харид кардан|харид
🎒;борхалтаи мактабӣ;борхалтаи мактабӣ|мактаб|сумка|ҷузъдон
🩴;;
👞;пойафзоли мардона;либос|мард|пойафзол|пойафзоли мардона
👟;пойафзол барои давидан;варзишӣ|либос|пойафзол|пойафзол барои давидан|пойафзоли варзишӣ
🥾;;
🥿;;
👠;пойафзоли пошнабаланд;зан|либос|пойафзол|пойафзоли пошнабаланд|пошна
👡;кафши сабуки занона;зан|кафши сабук|кафши сабуки занона|либос|пойафзол
🩰;;
👢;мӯзаи занона;ботинка|зан|либос|мӯзаи занона|пойафзол
🪮;;
👑;тоҷ;либос|малика|тоҷ|шоҳ
👒;кулоҳи занона;зан|кулоҳ|кулоҳи занона|либос
🎩;кулоҳи баланд;боло|кулоҳ|кулоҳи баланд|либос
🎓;конфедератка;кепка|конфедератка|кулоҳ|либос|хатм|ҷашн
🧢;кепкаи лапардор;бейсболка|кепкаи лапардор
🪖;;
⛑️;тоскулоҳи корманди наҷотдиҳӣ;кӯмак|рӯй сарпӯш|салиб|тоскулоҳ|тоскулоҳи корманди наҷотдиҳӣ
📿;тасбеҳ;гарданбанд|дин|дуо|либос|тасбеҳ|шабаи майда
💄;лабсурхкунак;косметика|лабсурхкунак|макияж
💍;ангуштарин;алмос|ангуштарин
💎;санги қиматбаҳо;алмос|нақрасанг|санги қиматбаҳо|ҷавоҳирот
🔇;баландгӯяки хомӯш;баландгӯяк|баландгӯяки хомӯш|бесадо кардан|хомӯш
🔈;садои пасти баландгӯяк;мулоим|садои пасти баландгӯяк
🔉;садои миёнаи баландгӯяк;миёна|садои миёнаи баландгӯяк
🔊;садои баланди баландгӯяк;баланд|садои баланди баландгӯяк
📢;баландгӯяк;баланд|баландгӯяк|суроғаи ошкор
📣;мегафон;кафкӯбӣ|мегафон
📯;сурнаи почта;почта|почтавӣ|сурнаи почта|сурнай
🔔;зангӯлача;зангӯлача
🔕;зангӯлача бо хати каср;бесадо|зангула|зангӯлача бо хати каср|мамнуъ|манъшуда|не|хомӯш
🎼;партитура;мусиқӣ|нота|партитура
🎵;нотаи мусиқӣ;мусиқӣ|нота|нотаи мусиқӣ
🎶;нотаҳои мусиқӣ;мусиқӣ|нота|нотаҳо|нотаҳои мусиқӣ
🎙️;микрофони студия;мик|микрофон|микрофони студия|мусиқӣ|студия
🎚️;василаи лағжандаи сатҳ;василаи лағжанда|василаи лағжандаи сатҳ|мусиқӣ|сатҳ
🎛️;дастаҳои идора;дастаҳо|дастаҳои идора|идора|мусиқӣ
🎤;микрофон;караоке|мик|микрофон
🎧;гӯшмонак;гӯшмонак|гӯшмонаки хурд
📻;радио;видео|радио
🎷;саксофон;асбоб|мусиқӣ|саксофон
🪗;;
🎸;гитар;асбоб|гитар|мусиқӣ
🎹;клавиатураи мусиқӣ;асбоб|клавиатура|клавиатураи мусиқӣ|мусиқӣ|пианино
🎺;карнай;асбоб|карнай|мусиқӣ
🎻;ғиҷҷак;асбоб|ғиҷҷак|мусиқӣ
🪕;;
🥁;нақора;мусиқӣ|нақора|чӯбҳои нақора
🪘;;
🪇;;
🪈;;
📱;телефони мобилӣ;телефон|телефони мобилӣ
📲;телефони мобилӣ бо тир;занг|қабул кардан|телефон|телефони мобилӣ|телефони мобилӣ бо тир|тир
☎️;телефон;телефон
📞;гӯшаки телефон;гӯшаки телефон|телефон
📟;пейҷер;пейҷер
📠;дастгоҳи факс;дастгоҳи факс|факс
🔋;батарея;батарея
🪫;;
🔌;васлаки электрикӣ;барқ|барқӣ|васлак|васлаки электрикӣ
💻;компютери лэптоп;компютер|компютери лэптоп|шахсӣ
🖥️;компютери рӯимизӣ;компютер|компютери рӯимизӣ|рӯимизӣ
🖨️;принтер;компютер|принтер
⌨️;клавиатура;клавиатура|компютер
🖱️;муши компютер;компютер|муши компютер
🖲️;трекбол;компютер|трекбол
💽;диски компютер;диск|диски компютер|компютер|минидиск|оптикӣ
💾;диски нарм;диск|диски нарм|компютер|нарм
💿;диски оптикӣ;cd|диск|диски оптикӣ|компютер|оптикӣ
📀;dvd;blu-ray|dvd|диск|компютер|оптикӣ
🧮;;
🎥;камераи киногирӣ;камера|камераи киногирӣ|кино|синамо
🎞️;кадрҳои навор;кадр|кадрҳои навор|кино|навор|синамо
📽️;проектори филм;видео|кино|проектор|проектори филм|синамо|филм
🎬;нумератор;кино|нумератор|хлопушка
📺;телевизор;видео|тв|телевизор
📷;камера;видео|камера
📸;камера бо дурахш;видео|дурахш|камера|камера бо дурахш
📹;видеокамера;видео|видеокамера|камера
📼;кассетаи видео;видео|видеосистемаи хонагӣ|кассетаи видео|навор
🔍;пурбини ба тарафи чап ишоракунанда;асбоб|бузургкунӣ|пурбини ба тарафи чап ишоракунанда|ҷустуҷӯ|шиша
🔎;пурбини ба тарфи рост ишоракунанда;асбоб|бузургкунӣ|пурбини ба тарфи рост ишоракунанда|ҷустуҷӯ|шиша
🕯️;шамъ;рӯшноӣ|шамъ
💡;чароғак;барқӣ|идея|мазҳакавӣ|рӯшноӣ|фурӯзонак|чароғак
🔦;фонус;асбоб|барқӣ|машъал|рӯшноӣ|фонус
🏮;чароғ аз қозаи сурх;бар|рӯшноӣ|сурх|чароғ|чароғ аз қозаи сурх
🪔;;
📔;дафтар бо муқоваи ороишӣ;дафтар|дафтар бо муқоваи ороишӣ|китоб|муқова|ороишдода
📕;китоби пӯшида;китоб|китоби пӯшида|пӯшида
📖;китоби кушода;китоб|китоби кушода|кушода
📗;китоби сабз;китоб|китоби сабз|сабз
📘;китоби кабуд;кабуд|китоб|китоби кабуд
📙;китоби норанҷӣ;китоб|китоби норанҷӣ|норанҷӣ
📚;китобҳо;китоб|китобҳо
📓;дафтар;дафтар
📒;дафтари бухғалтерӣ;дафтар|дафтари бухғалтерӣ
📃;саҳифа бо қатшавӣ;қатшавӣ|саҳифа|саҳифа бо қатшавӣ|ҳуҷҷат
📜;навори ҳаракат;қоғаз|навори ҳаракат
📄;саҳифа бо рӯйгардонкунӣ;саҳифа|саҳифа бо рӯйгардонкунӣ|ҳуҷҷат
📰;газета;газета|қоғаз|хабарҳо
🗞️;газетаи гардондашуда;газета|газетаи гардондашуда|гардондашуда|қоғаз|хабарҳо
📑;варақаҳои хатбарак;аломат|варақаҳо|варақаҳои хатбарак|маркер|хатбарак
🔖;хатбарак;аломат|хатбарак
🏷️;тамға;тамға
💰;халтаи пул;доллар|пул|сумка|халтаи пул
🪙;;
💴;қоғази пули йен;асъор|бонк|йен|қоғази пул|қоғази пули йен|пул
💵;қоғази пули доллар;асъор|бонк|доллар|қоғази пул|қоғази пули доллар|пул
💶;қоғази пули евро;асъор|бонк|евро|қоғази пул|қоғази пули евро|пул
💷;қоғази пули фунт;асъор|бонк|қоғази пул|қоғази пули фунт|пул|фунт
💸;пул бо қанотҳо;асъор|бонк|қанотҳо|қоғази пул|пул|пул бо қанотҳо
💳;корти кредитӣ;бонк|корт|корти кредитӣ|қарз|пул
🧾;;
💹;диаграммаи афзоиш бо йен;асъор|афзоиш|бозор|боло|боло рафтан|бонк|график|диаграмма|диаграммаи афзоиш бо йен|йен|пул|тамоюл
✉️;лифофа;лифофа|мактуб|номаи электронӣ
📧;почтаи электронӣ;мактуб|номаи электронӣ|почта|почтаи электронӣ
📨;лифофаи воридотӣ;воридшаванда|қабул кардан|лифофа|лифофаи воридотӣ|мактуб|номаи электронӣ|почта|почтаи электронӣ
📩;лифофа бо тир;ирсол шуд|лифофа|лифофа бо тир|мактуб|номаи электронӣ|поён|почта|почтаи электронӣ|содиротӣ|тир
📤;лавҳаи паёмдони баромад;ирсол шуд|қуттӣ|лавҳа|лавҳаи паёмдони баромад|мактуб|паёмдони баромад|почта
📥;лавҳаи паёмдони даромад;қабул кардан|қуттӣ|лавҳа|лавҳаи паёмдони даромад|мактуб|паёмдони даромад|почта
📦;баста;баста|қуттӣ|пакет
📫;қуттии почтаи пӯшида бо байрақчаи бардошаташуда;қуттии почта|қуттии почтаи пӯшида бо байрақчаи бардошаташуда|почта|пӯшида
📪;қутии почтаи пӯшида бо байрақчаи паст кардашуда;қутии почтаи пӯшида бо байрақчаи паст кардашуда|қуттии почта|пастшуда|почта|пӯшида
