# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;وجه بابتسامة عريضة;ابتسام|ضحك|وجه بابتسامة عريضة|وجه مبتسم
🦥;كسلان;بطيء|كسلان|كسول
🦦;قندس;ثعلب الماء|صيد|قندس
🦨;ظربان;ظربان|مقرف|مقزز
🦘;كنغر;أستراليا|جراب|جيب|قفز|قنغر|كنغر|كيس
🦡;غرير;أبو كعب|ابن عرس|رائحة كريهة|غرير|غرير العسل|مزعج
🐾;آثار حوافر;آثار|آثار حوافر|حيوان
🦃;ديك رومي;حبش|ديك رومي|رومي
🐔;دجاجة;دجاج|دجاجة|طائر|فرخة
🐓;ديك;ديك|طائر
🐣;كتكوت خارج البيضة;حيوان|فقس|كتكوت|كتكوت خارج البيضة
🐤;كتكوت صغير;طائر|كتكوت|كتكوت صغير
🐥;كتكوت صغير بوجه للأمام;طائر|كتكوت صغير بوجه للأمام
🐦;طائر;طائر|عصفور
🐧;بطريق;بطريق|طائر
🕊️;حمامة;حمامة|سلام|طائر
🦅;نسر;طائر|نسر
🦆;بطة;بطة|طائر
🦢;إوزة;إوز|إوز عراقي|إوزة|بجعة|تم|طائر|فرخ
🦉;بومة;بومة|طائر
🦤;طائر الدودو;حيوان منقرض|ضخم|طائر|طائر الدودو|منقرض|موريشيوس
🪶;ريشة;تحليق|خفيف|ريشة|طائر
🦩;فلامينغو;استوائي|فلامينغو|مبهج|مبهرج
🦚;طاووس;طائر|طاووس|طاووسة|فتباهي|متفاخر
🦜;ببغاء;أصوات|ببغاء|تقليد|طائر|قرصان|كلام
🪽;جناح;أساطير|جناح|طائر|طيران|عصفور|ملاك
🐦‍⬛;طائر أسود;أسود|طائر|غداف|غراب|قاق
🪿;إوزّة;إوز|إوزّة|ساذج|صياح|طائر|طير
🐦‍🔥;العنقاء;العنقاء|خيال، طائر النار، انبعاث، تناسخ
🐸;وجه ضفدع;حيوان|ضفدع|وجه
🐊;تمساح;تمساح|حيوان
🐢;سلحفاة;حيوان|سلحفاة
🦎;سحلية;زواحف|سحلية
🐍;ثعبان;ثعبان|حية
🐲;وجه تنين;تنين|حيوان|وجه
🐉;تنين;تنين|حيوان
🦕;ديناصور صوروبودا;ديناصور صوروبودا
🦖;التيرانوصور;التيرانوصور
🐳;حوت بنافورة;حوت|حوت بنافورة|حيوان|نافورة
🐋;حوت;حوت|حيوان
🐬;دولفين;حيوان|دولفين
🦭;فقمة;أسد البحر|عجل البحر|فقمة|كلب البحر
🐟;سمكة;برج|حيوان|سمكة
🐠;سمكة استوائية;حيوان|سمكة|سمكة استوائية
🐡;سمكة منتفخة;حيوان|سمكة|سمكة منتفخة
🦈;سمكة قرش;سمكة قرش|قرش
🐙;أخطبوط;أخطبوط|حيوان
🐚;صدفة حلزونية;حيوان|صدفة حلزونية
🪸;مرجان;المحيط|شعب مرجانية|مرجان
🪼;قنديل بحر;ألم|بحري|قنديل بحر|لافقري|لدغة|لسعة|هلامي
🐌;حلزون;حلزون|حيوان|قوقع
🦋;فراشة;جمال|حشرة|فراشة
🐛;بق;أم أربعة وأربعين|بق|يرقانة حيوان
🐜;نملة;حيوان|نملة
🐝;نحلة;حيوان|عسل نحل|نحل|نحلة
🪲;خنفساء;حشرة|خنفساء
🐞;دعسوقة;حشرة|خنفساء|دعسوقة
🦗;جدجد;جدجد
🪳;صرصور;جدجد|حشرة|صرصور
🕷️;عنكبوت;حشرة|عنكبوت
🕸️;شبكة عنكبوت;شبكة|عنكبوت
🦂;عقرب;برج|عقرب
🦟;بعوضة;بعوضة|حشرة|فيروس|مرض|ملاريا|ناموسة
🪰;ذبابة;حشرة|ذبابة|عفن|مرض|نفايات|يرقة
🪱;دودة;بريمة|دودة|دودة أرض|دودة علقية|طفيليات
🦠;جرثومة;أميبا|بكتيريا|جرثوم|جرثومة|فيروس|ميكروب
💐;باقة زهور;باقة زهور|رومانسية|ورد
🌸;زهرة الكرز;زهرة|زهرة الكرز
💮;وردة بيضاء;زهور|طابع|وردة بيضاء
🪷;لوتس;البوذية|الهند|الهندوسية|زهرة|صفاء|فيتنام|لوتس
🏵️;وردية;نبات|وردية
🌹;وردة;زهرة|وردة
🥀;وردة ذابلة;ذابلة|زهرة|وردة ذابلة
🌺;كركديه;زهرة|كركديه
🌻;دوار الشمس;دوار الشمس|عباد الشمس
🌼;زهرة;زهرة
🌷;زهرة التوليب;زهرة|زهرة التوليب
🪻;زهرة الياقوتية;القلنسوة الزرقاء|ترمس|خزامة|زهرة|زهرة الخطم|زهرة الياقوتية|مكحّلة
🌱;شتلة;شتلة|نبتة
🪴;نبتة في وعاء;بدون فائدة|رعاية|زراعة|ممل|منزل|نبتة|نبتة في وعاء
🌲;شجرة دائمة الخضرة;شجرة|شجرة دائمة الخضرة|نبات
🌳;شجرة زائلة الخضرة;تساقط|شجرة|شجرة زائلة الخضرة|متساقط|نبات
🌴;نخلة;شجرة|نبات|نخلة
🌵;صبار;صبار|نبات
🌾;حزمة من الأرز;حزمة من الأرز|سنبلة أرز
🌿;عشب;عشب|ورق
☘️;نبات النفل;نبات|نبات النفل
🍀;ورقة برسيم رباعية;4|أربعة|برسيم|نبات|ورقة|ورقة برسيم رباعية
🍁;ورقة شجر القيقب;سقوط|قيقب|نبات|ورقة|ورقة شجر القيقب
🍂;أوراق متساقطة;أوراق متساقطة|سقوط|نبات|ورقة
🍃;ورقة متطايرة;رياح|ريح|نبات|هبوب|ورقة|ورقة متطايرة
🪹;عش فارغ;تعشيش|عش فارغ
🪺;عش به بيض;تعشيش|عش به بيض
🍄;عيش الغراب;عيش الغراب|عيش غراب|فطر|مشروم

[food_drink]
🍇;عنب;عنب|فاكهة
🍈;شمام;شمام|فاكهة
🍉;بطيخ;بطيخ|فاكهة
🍊;يوسفي;برتقال|فاكهة|يوسفي
🍋;ليمون;فاكهة|ليمون|موالح
🍋‍🟩;الليم;الليم|حامض، فاكهة، إستوائي|ليم
🍌;موز;فاكهة|موز
🍍;أناناس;أناناس|فاكهة
🥭;مانجو;استوائية|فاكهة|مانجه|مانجو
🍎;تفاح أحمر;تفاح أحمر|فاكهة
🍏;تفاح أخضر;تفاح أخضر|فاكهة
🍐;كمثرى;فاكهة|كمثرى
🍑;خوخ;خوخ|فاكهة
🍒;كرز;فاكهة|كرز
🍓;فراولة;فاكهة|فراولة
🫐;توت برّي;برّي|توت|عنب برّي
🥝;كيوي;طعام|فاكهة|كيوي
🍅;طماطم;خضار|طماطم
🫒;زيتون;زيتون|طعام
🥥;جوز الهند;جوز الهند|جوز هند
🥑;أفوكادو;أفوكادو|طعام|فاكهة
🍆;باذنجان;باذنجان|خضار
🥔;بطاطس;بطاطس|خضروات|طعام
🥕;جزر;جزر|خضروات|طعام
🌽;ذرة;ذرة|كوز
🌶️;فلفل حار;حار|فلفل|نبات
🫑;فلفل حلو;خضار|فلفل|فلفل أحمر|فلفل حلو
🥒;خيار;خضروات|خيار|طعام|مخللات
🥬;خضار ورقي;خس|خضار ورقي|خضروات ورقية|قرنبيط|كرنب
🥦;بروكولي;بروكلي|بروكولي
🧄;ثوم;ثوم|طعم|نكهة
🧅;بصل;بصل|طعم|نكهة
🥜;فول سوداني;خضروات|طعام|فول سوداني|مكسرات
🫘;بقول;بقول|بقوليات|طعام|كلية
🌰;كستناء;أبو فروة|كستناء|نبات
🫚;جذر الزنجبيل;بيرة|توابل|جذر|جذر الزنجبيل|جعة
🫛;قرن بازلاء;إدامامي|بازلاء|بقلة|بقوليات|حبوب|خضار|قرن بازلاء
🍄‍🟫;فطر بني;طعام، فطر، طبيعة، خضار|فطر بني
🍞;خبز;خبز|رغيف عيش|مطعم
🥐;كرواسون;خبز|خبز فرنسي|خبز هلالي الشكل|كرواسون
🥖;الخبز الفرنسي;الخبز الفرنسي|باجيت|خبز فرنسي|طعام
🫓;خبز مفرود;آريبا|بيتا|خبز مسطح|خبز مفرود|لواش|نان
🥨;بريتزل;بريتزل
🥯;خبز البيغل;بيجل|خبز البيجل|خبز البيغل|مخبز
🥞;فطائر;طعام|فطائر|فطيرة|كريب
🧇;وافل;متردد|مذبذب|وافل
🧀;قطعة جبن;جبن|قطعة جبن
🍖;لحم بعظم;عظم|لحم بعظم
🍗;ساق دجاجة;دجاجة|ساق دجاجة|عظم
🥩;قطعة لحم;قطعة لحم
🥓;لحم مقدد;طعام|لحم|لحم خنزير مقدد|لحم مقدد
🍔;همبرغر;برغر|مطعم|همبرغر
🍟;بطاطس مقلية;بطاطس مقلية|مطعم
🍕;بيتزا;بيتزا|مطعم
🌭;هوت دوغ;سجق|نقانق|هوت دوغ
🥪;ساندوتش;خبز|ساندوتش
🌮;تاكو;تاكو|مكسيكي
🌯;بوريتو;بوريتو|مكسيكي
🫔;تامال;تامال|شطيرة|مكسيك
🥙;خبز مفرود محشو;خبز مفرود|خبز مفرود محشو|طعام|فلافل|كباب|محشو
🧆;فلافل;حمص|طعمية|فلافل|كرات لحم
🥚;بيض;بيض|طعام
🍳;مقلاة;طهي|قلاية|مطعم|مقلاة
🥘;مقلاة مسطحة بها طعام;طعام|مسطحة|مقلاة|مقلاة مسطحة بها طعام
🍲;وعاء طعام;مطعم|وعاء طعام
🫕;فوندو;جبن|ذائب|سويسرا|شوكولاتة|فوندو|وعاء
🥣;طبق وملعقة;طبق وملعقة
🥗;سلطة خضراء;خضراء|سلطة|طعام
🍿;فشار;ذرة|فشار|فيشار
🧈;زبد;ألبان|زبد|منتجات ألبان
🧂;ملح;توابل|رشاشة ملح|ملح|مملحة
🥫;طعام معلّب;طعام معلّب
🍱;علبة طعام;بنتو|علبة طعام|مطعم
🍘;مقرمشات أرز;أرز|قراقيش أرز|مقرمشات أرز
🍙;كرة أرز;أرز|كرة أرز|مطعم
🍚;أرز مطبوخ;أرز|أرز مطبوخ|مطعم
🍛;أرز وكاري;أرز|أرز وكاري|كاري|مطعم
🍜;سلطانية البخار;سلطانية البخار|مطعم|مكرونة
🍝;سباغتي;باستا|سباغتي|مطعم
🍠;بطاطا حلوة مشوية;بطاطا حلوة مشوية|بطاطا مشوية|بطاطا معسلة|مطعم
🍢;طعام مشكل;أودين|طعام مشكل|مطعم
🍣;سوشي;سوشي|مطعم
🍤;جمبري مقلي;جمبري|جمبري مقلي|مطعم
🍥;كعكة سمك بشكل حلزوني;سمك|كعكة سمك بشكل حلزوني|كفتة سمك ملفوفة|مطعم
🥮;كعكة القمر;حلويات|خريف|صين|كعكة القمر|كيكة|مهرجان منتصف الخريف
🍡;حلوى الدانغو;حلوى|حلوى الدانغو
🥟;زلابية صينية;زلابية صينية
🥠;كعكة الحظ;كعكة الحظ
🥡;علبة طعام للخارج;علبة طعام للخارج
🦀;سرطان;برج|سرطان
🦞;كركند;بيسك|جراد البحر|حساء بيسك|كركند|مأكولات بحرية|مخالب
🦐;جمبري;جمبري|طعام|محار
🦑;حبار;حبار|طعام
🦪;محار;صدف|غطس|لؤلؤ|محار
🍦;آيس كريم مخفف;آيس كريم مخفف|مطعم
🍧;آيس كريم مجروش;آيس كريم مجروش|مطعم
🍨;آيس كريم;آيس كريم|مطعم
🍩;كعكة محلاة;كعكة محلاة|مطعم
🍪;كعكة;كعكة|مطعم
🎂;كعكة عيد ميلاد;احتفال|عيد ميلاد|كعكة|كعكة عيد ميلاد
🍰;قطعة من الكعك;قطعة من الكعك|كيكة|مطعم
🧁;كعكة صغيرة;حلويات|كاب كيك|كعك مكوب|كعكة صغيرة|مخبز
🥧;فطيرة;فطيرة
🍫;لوح شوكولاتة;بار شيكولاتة|لوح شوكولاتة|لوح شيكولاتة|مطعم
🍬;حلوى;حلوى|مطعم
🍭;مصاصة;حلاوة|مصاصة|مطعم
🍮;كريم كراميل;كاسترد|كريم كراميل|مطعم
🍯;جرة عسل;جرة|عسل|مطعم
🍼;زجاجة الرضاعة;زجاجة الرضاعة|لبن
🥛;كوب حليب;حليب|شراب|كوب
☕;مشروب ساخن;بخار|ساخن|شاي|شراب|قهوة|مشروب
🫖;إبريق شاي;إبريق|شاي|مشروب
🍵;فنجان شاي بدون مقبض;شاي|شراب|فنجان شاي بدون مقبض
🍶;زجاجة وفنجان;زجاجة|زجاجة وفنجان|شراب|مطعم
🍾;زجاجة بسدادة مفرقعة;بار|زجاجة|زجاجة بسدادة مفرقعة|سدادة|شمبانيا|مشروب
🍷;كأس شراب;بار|خمرة|شراب|كأس|مطعم
🍸;كأس عصير كوكتيل;شراب|كأس عصير كوكتيل|كوكتيل|محل تقديم المشروبات
🍹;مشروب استوائي;محل تقديم المشروبات|مشروب|مشروب استوائي
🍺;كأس بيرة;بار|بيرة|كأس بيرة|ماغ بيرة|مطعم
🍻;كأسا بيرة;بيرة|كأسا بيرة|كوب|كوبان يرتطمان|محل تقديم المشروبات|مشروب
🥂;كأسان يرتطمان;احتفال|ارتطام|شراب|كأس|كأسان يرتطمان
🥃;كوب زجاجي;شراب كحول|كأس|كوب|كوب زجاجي
🫗;سكب السائل;سكب|سكب السائل|شراب|فارغ|كوب
🥤;كأس وقشة للشرب;كأس وقشة للشرب
🧋;شاي الفقاعات;حليب|شاي|شاي الفقاعات|فقاعات
🧃;علبة عصير;عبوة عصير|عصير|علبة عصير
🧉;متة;شراب|متة|مشروب
🧊;مكعب ثلج;برد|قمة جليد|مكعب ثلج
🥢;عيدان للأكل;عيدان للأكل
🍽️;طبق وشوكة وسكينة;سكين|شوكة|طبق|طبق وشوكة وسكينة|طهي
🍴;شوكة وسكينة;سكينة|شوكة|شوكة وسكينة|مطعم
🥄;ملعقة;أدوات مائدة|ملعقة
🔪;سكين طهي;سكين|سكين طهي
🫙;برطمان;برطمان
🏺;جرة;أداة|برج|جرة|دلو|سلاح|شراب|طهي

[travel_places]
🌍;كرة أرضية تعرض أوروبا وإفريقيا;أوروبا|إفريقيا|كرة أرضية تعرض أوروبا وإفريقيا
🌎;كرة أرضية تعرض الأمريكتين;أمريكا|كرة أرضية تعرض الأمريكتين
🌏;كرة أرضية تعرض آسيا وأستراليا;آسيا|أستراليا|كرة أرضية تعرض آسيا وأستراليا
🌐;كرة أرضية بخطوط طول;خطوط طول|كرة أرضية بخطوط طول
🗺️;خريطة العالم;خريطة|خريطة العالم|عالم
🗾;خريطة اليابان;اليابان|خريطة
🧭;بوصلة;استرشاد بالبوصلة|بوصلة|تنقل|مغناطيسي
🏔️;جبل بقمة ثلجية;برد|جبل|جبل بقمة ثلجية|جليد
⛰️;جبل;جبل
🌋;بركان;انفجار|بركان|ثوران|جبل|طقس
🗻;جبل فوجي;جبل|جبل فوجي
🏕️;تخييم;تخييم|خيمة
🏖️;شاطئ وشمسية;شاطئ|شاطئ وشمسية|شمسية
🏜️;صحراء;بادية|صحراء
🏝️;جزيرة صحراوية;جزيرة|جزيرة صحراوية|صحراء
🏞️;حديقة وطنية;حديقة وطنية|متنزه
🏟️;استاد;استاد|مدرج|ملعب
🏛️;مبنى أثري;أثر|قديم|كلاسيكي|مبنى|مبنى أثري
