# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;چىشلىق كۈلگەن چىراي;چىراي|چىشلىق|چىشلىق كۈلگەن چىراي
	👨🏾‍❤️‍👨🏽;يۈرەكلىك جۈپلەر: ئەر, ئەر, ئارا توق تېرە رەڭگى, and ئارا تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئارا تېرە رەڭگى|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👨🏾‍❤️‍👨🏾;يۈرەكلىك جۈپلەر: ئەر, ئەر, and ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👨🏾‍❤️‍👨🏿;يۈرەكلىك جۈپلەر: ئەر, ئەر, ئارا توق تېرە رەڭگى, and توق تېرە رەڭ;ئارا توق تېرە رەڭگى|ئەر|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👨🏿‍❤️‍👨🏻;يۈرەكلىك جۈپلەر: ئەر, ئەر, توق تېرە رەڭ, and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👨🏿‍❤️‍👨🏼;يۈرەكلىك جۈپلەر: ئەر, ئەر, توق تېرە رەڭ, and ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👨🏿‍❤️‍👨🏽;يۈرەكلىك جۈپلەر: ئەر, ئەر, توق تېرە رەڭ, and ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👨🏿‍❤️‍👨🏾;يۈرەكلىك جۈپلەر: ئەر, ئەر, توق تېرە رەڭ, and ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👨🏿‍❤️‍👨🏿;يۈرەكلىك جۈپلەر: ئەر, ئەر, and توق تېرە رەڭ;ئەر|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
👩‍❤️‍👩;يۈرەكلىك جۈپلەر: ئايال and ئايال;ئايال|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏻‍❤️‍👩🏻;يۈرەكلىك جۈپلەر: ئايال, ئايال, and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏻‍❤️‍👩🏼;يۈرەكلىك جۈپلەر: ئايال, ئايال, ئاچ تېرە رەڭ, and ئارا ئاچ تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا ئاچ تېرە رەڭگى|ئايال|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏻‍❤️‍👩🏽;يۈرەكلىك جۈپلەر: ئايال, ئايال, ئاچ تېرە رەڭ, and ئارا تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا تېرە رەڭگى|ئايال|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏻‍❤️‍👩🏾;يۈرەكلىك جۈپلەر: ئايال, ئايال, ئاچ تېرە رەڭ, and ئارا توق تېرە رەڭگى;ئاچ تېرە رەڭ|ئارا توق تېرە رەڭگى|ئايال|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏻‍❤️‍👩🏿;يۈرەكلىك جۈپلەر: ئايال, ئايال, ئاچ تېرە رەڭ, and توق تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏼‍❤️‍👩🏻;يۈرەكلىك جۈپلەر: ئايال, ئايال, ئارا ئاچ تېرە رەڭگى, and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارا ئاچ تېرە رەڭگى|ئايال|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏼‍❤️‍👩🏼;يۈرەكلىك جۈپلەر: ئايال, ئايال, and ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏼‍❤️‍👩🏽;يۈرەكلىك جۈپلەر: ئايال, ئايال, ئارا ئاچ تېرە رەڭگى, and ئارا تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا تېرە رەڭگى|ئايال|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏼‍❤️‍👩🏾;يۈرەكلىك جۈپلەر: ئايال, ئايال, ئارا ئاچ تېرە رەڭگى, and ئارا توق تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا توق تېرە رەڭگى|ئايال|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏼‍❤️‍👩🏿;يۈرەكلىك جۈپلەر: ئايال, ئايال, ئارا ئاچ تېرە رەڭگى, and توق تېرە رەڭ;ئارا ئاچ تېرە رەڭگى|ئايال|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏽‍❤️‍👩🏻;يۈرەكلىك جۈپلەر: ئايال, ئايال, ئارا تېرە رەڭگى, and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارا تېرە رەڭگى|ئايال|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏽‍❤️‍👩🏼;يۈرەكلىك جۈپلەر: ئايال, ئايال, ئارا تېرە رەڭگى, and ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا تېرە رەڭگى|ئايال|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏽‍❤️‍👩🏽;يۈرەكلىك جۈپلەر: ئايال, ئايال, and ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏽‍❤️‍👩🏾;يۈرەكلىك جۈپلەر: ئايال, ئايال, ئارا تېرە رەڭگى, and ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئارا تېرە رەڭگى|ئايال|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏽‍❤️‍👩🏿;يۈرەكلىك جۈپلەر: ئايال, ئايال, ئارا تېرە رەڭگى, and توق تېرە رەڭ;ئارا تېرە رەڭگى|ئايال|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏾‍❤️‍👩🏻;يۈرەكلىك جۈپلەر: ئايال, ئايال, ئارا توق تېرە رەڭگى, and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئارا توق تېرە رەڭگى|ئايال|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏾‍❤️‍👩🏼;يۈرەكلىك جۈپلەر: ئايال, ئايال, ئارا توق تېرە رەڭگى, and ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئارا توق تېرە رەڭگى|ئايال|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏾‍❤️‍👩🏽;يۈرەكلىك جۈپلەر: ئايال, ئايال, ئارا توق تېرە رەڭگى, and ئارا تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئارا تېرە رەڭگى|ئايال|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏾‍❤️‍👩🏾;يۈرەكلىك جۈپلەر: ئايال, ئايال, and ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏾‍❤️‍👩🏿;يۈرەكلىك جۈپلەر: ئايال, ئايال, ئارا توق تېرە رەڭگى, and توق تېرە رەڭ;ئارا توق تېرە رەڭگى|ئايال|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏿‍❤️‍👩🏻;يۈرەكلىك جۈپلەر: ئايال, ئايال, توق تېرە رەڭ, and ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏿‍❤️‍👩🏼;يۈرەكلىك جۈپلەر: ئايال, ئايال, توق تېرە رەڭ, and ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏿‍❤️‍👩🏽;يۈرەكلىك جۈپلەر: ئايال, ئايال, توق تېرە رەڭ, and ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏿‍❤️‍👩🏾;يۈرەكلىك جۈپلەر: ئايال, ئايال, توق تېرە رەڭ, and ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
	👩🏿‍❤️‍👩🏿;يۈرەكلىك جۈپلەر: ئايال, ئايال, and توق تېرە رەڭ;ئايال|توق تېرە رەڭ|جۈپ|سۆيگۈ|مۇھەببەت|يۈرەكلىك جۈپلەر
👨‍👩‍👦;ئائىلە: ئەر, ئايال, and ئوغۇل;ئائىلە|ئايال|ئەر|ئوغۇل
👨‍👩‍👧;ئائىلە: ئەر, ئايال, and قىز;ئائىلە|ئايال|ئەر|قىز
👨‍👩‍👧‍👦;ئائىلە: ئەر, ئايال, قىز, and ئوغۇل;ئائىلە|ئايال|ئەر|ئوغۇل|قىز
👨‍👩‍👦‍👦;ئائىلە: ئەر, ئايال, ئوغۇل, and ئوغۇل;ئائىلە|ئايال|ئەر|ئوغۇل
👨‍👩‍👧‍👧;ئائىلە: ئەر, ئايال, قىز, and قىز;ئائىلە|ئايال|ئەر|قىز
👨‍👨‍👦;ئائىلە: ئەر, ئەر, and ئوغۇل;ئائىلە|ئەر|ئوغۇل
👨‍👨‍👧;ئائىلە: ئەر, ئەر, and قىز;ئائىلە|ئەر|قىز
👨‍👨‍👧‍👦;ئائىلە: ئەر, ئەر, قىز, and ئوغۇل;ئائىلە|ئەر|ئوغۇل|قىز
👨‍👨‍👦‍👦;ئائىلە: ئەر, ئەر, ئوغۇل, and ئوغۇل;ئائىلە|ئەر|ئوغۇل
👨‍👨‍👧‍👧;ئائىلە: ئەر, ئەر, قىز, and قىز;ئائىلە|ئەر|قىز
👩‍👩‍👦;ئائىلە: ئايال, ئايال, and ئوغۇل;ئائىلە|ئايال|ئوغۇل
👩‍👩‍👧;ئائىلە: ئايال, ئايال, and قىز;ئائىلە|ئايال|قىز
👩‍👩‍👧‍👦;ئائىلە: ئايال, ئايال, قىز, and ئوغۇل;ئائىلە|ئايال|ئوغۇل|قىز
👩‍👩‍👦‍👦;ئائىلە: ئايال, ئايال, ئوغۇل, and ئوغۇل;ئائىلە|ئايال|ئوغۇل
👩‍👩‍👧‍👧;ئائىلە: ئايال, ئايال, قىز, and قىز;ئائىلە|ئايال|قىز
👨‍👦;ئائىلە: ئەر and ئوغۇل;ئائىلە|ئەر|ئوغۇل
👨‍👦‍👦;ئائىلە: ئەر, ئوغۇل, and ئوغۇل;ئائىلە|ئەر|ئوغۇل
👨‍👧;ئائىلە: ئەر and قىز;ئائىلە|ئەر|قىز
👨‍👧‍👦;ئائىلە: ئەر, قىز, and ئوغۇل;ئائىلە|ئەر|ئوغۇل|قىز
👨‍👧‍👧;ئائىلە: ئەر, قىز, and قىز;ئائىلە|ئەر|قىز
👩‍👦;ئائىلە: ئايال and ئوغۇل;ئائىلە|ئايال|ئوغۇل
👩‍👦‍👦;ئائىلە: ئايال, ئوغۇل, and ئوغۇل;ئائىلە|ئايال|ئوغۇل
👩‍👧;ئائىلە: ئايال and قىز;ئائىلە|ئايال|قىز
👩‍👧‍👦;ئائىلە: ئايال, قىز, and ئوغۇل;ئائىلە|ئايال|ئوغۇل|قىز
👩‍👧‍👧;ئائىلە: ئايال, قىز, and قىز;ئائىلە|ئايال|قىز
🗣️;سۆزلەۋاتقان باش;باش|چىراي|سايە|سۆزلەش|سۆزلەۋاتقان باش|گەپ
👤;كىشى سايىسى;سايە|كىشى سايىسى|ھەيكەل
👥;كىشىلەرنىڭ سايىسى;سايە|كىشىلەرنىڭ سايىسى|ھەيكەل
🫂;;
👪;ئائىلە;ئائىلە
🧑‍🧑‍🧒;;
🧑‍🧑‍🧒‍🧒;;
🧑‍🧒;;
🧑‍🧒‍🧒;;
👣;ئاياغ ئىزى;ئاياغ ئىزى|ئىز|كىيىم
🫆;;

[animals_nature]
🐵;مايمۇن چىراي;چىراي|مايمۇن
🐒;مايمۇن;مايمۇن
🦍;گورىللا;گورىللا
🦧;;
🐶;ئىت چىراي;ئەرمەك|ئىت|چىراي
🐕;ئىت;ئەرمەك|ئىت
🦮;;
🐕‍🦺;;
🐩;شىر ئىت;ئىت|شىر ئىت
🐺;بۆرە يۈز;بۆرە|بۆرە يۈز|چىراي
🦊;تۈلكە چىراي;تۈلكە|چىراي
🦝;;
🐱;مۈشۈك چىراي;ئەرمەك|چىراي|مۈشۈك
🐈;مۈشۈك;ئەرمەك|مۈشۈك
🐈‍⬛;;
🦁;شىر چىراي;ئارسلان|چىراي|شىر|مۆچەل
🐯;يولۋاس چىراي;چىراي|يولۋاس
🐅;يولۋاس;يولۋاس
🐆;قاپلان;قاپلان
🐴;ئات چىراي;ئات|چىراي
🫎;;
🫏;;
🐎;ئات;ئات|بەيگە|بەيگە ئېتى|چەۋەنداز
🦄;قوناق چىراي;چىراي|قوناق
🦓;تاغىلئات;تارتىم|تاغىلئات
🦌;بۇغا;بۇغا
🦬;;
🐮;ئىنەك چىراي;ئىنەك|چىراي
🐂;ئۆكۈز;ئۆكۈز|ئۇي|بۇقا|مۆچەل
🐃;سۇ كالىسى;سۇ|سۇ كالىسى|كالا
🐄;ئىنەك;ئىنەك
🐷;چوشقا چىراي;چوشقا|چىراي
🐖;چوشقا;چوشقا|چىشى چوشقا
🐗;توڭگۇز;توڭگۇز|چوشقا
🐽;چوشقا بۇرۇن;بۇرۇن|چوشقا|چىراي
🐏;قوشقار;ئەركەك|قوشقار|قوي|مۆچەل|ھەمەل
🐑;ساغلىق;چىشى|ساغلىق|قوي
🐐;ئۆچكە;ئوغلاق|ئۆچكە|مۆچەل
🐪;تۆگە;بىر لوككا|تۆگە|دوك
🐫;قوش لوككىلىق تۆگە;تۆگە|قوش لوككا|قوش لوككىلىق تۆگە|لوككا
🦙;;
🦒;زىراپە;زىراپە|نۇقتىلار
🐘;پىل;پىل
🦣;;
🦏;كەركىدان;كەركىدان
🦛;;
🐭;چاشقان چىراي;چاشقان|چىراي
🐁;چاشقان;چاشقان
🐀;تورقا;تورقا
🐹;تورقا چىراي;ئەرمەك|تورقا|چىراي
🐰;توشقان چىراي;ئەرمەك|بۆجەن|توشقان|چىراي
🐇;توشقان;ئەرمەك|توشقان
🐿️;چىپار تىيىن;چىپار تىيىن
🦫;;
🦔;كىرپە;تىكەنلىك|كىرپە
🦇;شەپەرەڭ;شەپەرەڭ|قانخور
🐻;ئېيىق چىراي;ئېيىق|چىراي
🐻‍❄️;;
🐨;خالتائېيىق;ئېيىق|خالتائېيىق
🐼;مۈشۈكئېيىق چىراي;چىراي|مۈشۈكئېيىق
🦥;;
🦦;;
🦨;;
🦘;;
🦡;;
🐾;پەنجە ئىزى;ئىز|پەنجە|پەنجە ئىزى|پۇت
🦃;ياۋا توخۇ;قۇش|ياۋا توخۇ
🐔;توخۇ;توخۇ|قۇش
🐓;خوراز;خوراز|قۇش
🐣;تۇخۇمدىن چىققان چۆجە;بالا|توخۇ|تۇخۇمدىن چىققان چۆجە|تۇخۇمدىن چىقىش|قۇش
🐤;چۆجە;بوۋاق|توخۇ|چۆجە|قۇش
🐥;ئالدىچە چۆجە;ئالدىچە چۆجە|بوۋاق|توخۇ|قۇش
🐦;قۇش;قۇش
🐧;پىنگۋىن;پىنگۋىن|قۇش
🕊️;كەپتەر;ئۇچۇش|تىنچلىق|قۇش|كەپتەر
🦅;بۈركۈت;بۈركۈت|قۇش
🦆;ئۆردەك;ئۆردەك|قۇش
🦢;;
🦉;مۈشۈكياپىلاق;ئەقىللىق|قۇش|مۈشۈكياپىلاق
🦤;;
🪶;;
🦩;;
🦚;;
🦜;;
🪽;;
🐦‍⬛;;
🪿;;
🐦‍🔥;;
🐸;پاقا چىراي;پاقا|چىراي
🐊;تىمساھ;تىمساھ
🐢;تاشپاقا;تاشپاقا|سۇ تاشپاقىسى|قاپ
🦎;كەسلەنچۈك;ئۆمىلىگۈچى|كەسلەنچۈك
🐍;يىلان;ئەجدىھا|تۇرۇش|مۆچەل|يىلان
🐲;ئەجدىھا چىراي;ئەجدىھا|چۆچەك|چىراي
🐉;ئەجدىھا;ئەجدىھا|چۆچەك
🦕;كەسلەنچۈك پۇتلۇقلار;برونتوزاۋر|بىرونتوزاۋر|دىپلودوكۇس|كەسلەنچۈك پۇتلۇقلار
🦖;ت-رېكس;ت-رېكس|تىراننوزاۋر رېكس
🐳;پۇشقۇرۇۋاتقان كىت;پۇشقۇرۇش|پۇشقۇرۇۋاتقان كىت|چىراي|كىت
🐋;كىت;كىت
🐬;دېلفىن;پالاقچە|دېلفىن
🫍;;
🦭;;
🐟;بېلىق;بېلىق|مۆچەل
🐠;ئىسسىق بەلباغ بېلىقى;ئىسسىق|ئىسسىق بەلباغ بېلىقى|بېلىق
🐡;توقماق بېلىق;بېلىق|توقماق بېلىق
🦈;لەھەڭ;بېلىق|لەھەڭ
🐙;سەككىز ئاياغ;سەككىز ئاياغ
🐚;قۇلۇلە قېپى;قاپ|قاسراق|قۇلۇلە قېپى
🪸;;
🪼;;
🦀;قىسقۇچپاقا;سەرەتان|قىسقۇچپاقا|مۆچەل
🦞;;
🦐;راك;راك|قاسراقلىق بېلىق|كىچىك|يېمەكلىك
🦑;قاراقچىبېلىق;سىياھ|قاراقچىبېلىق|يۇمشاق|يېمەكلىك
🦪;;
🐌;قۇلۇلە;قۇلۇلە
🦋;كېپىنەك;چىرايلىق|قۇرت|كېپىنەك|ھاشارات
🐛;قۇرت;قۇرت|ھاشارات
🐜;چۈمۈلە;چۈمۈلە|ھاشارات
🐝;ھەسەل ھەرىسى;ھاشارات|ھەرە|ھەسەل ھەرىسى
🪲;;
🐞;خانقىز;پىت|خانقىز|قۇرت|قىز قۇرت|قىز قۇش
🦗;پالاقتوپ;پالاقتوپ|ياچىۋەك
🪳;;
🕷️;ئۆمۈچۈك;ئۆمۈچۈك|ھاشارات
🕸️;ئۆمۈچۈك تورى;ئۆمۈچۈك|ئۆمۈچۈك تورى|تور
🦂;چايان;ئېشەك|چايان|مۆچەل
🦟;;
🪰;;
🪱;;
🦠;;
💐;گۈلدەستە;چېچەك|گۈلدەستە
🌸;گىلاس چېچىكى;غۇنچە|گۈل|گىلاس|گىلاس چېچىكى
💮;ئاق گۈل;ئاق گۈل|چېچەك
🪷;;
🏵️;ئەتىر;ئەتىر|ئۆسۈملۈك
🌹;ئەتىرگۈل;ئەتىرگۈل|چېچەك
🥀;سۇلغان گۈل;سۇلغان گۈل|سۇلۇش|گۈل
🌺;چېچەكياغاچ;چېچەك|چېچەكياغاچ
🌻;ئاپتاپپەرەس;ئاپتاپپەرەس|چېچەك|كۈن
🌼;چېچەك;چېچەك
🌷;كۈركۈم;چېچەك|كۈركۈم
🪻;;
🌱;مايسا;مايسا|ياش
🪴;;
🌲;ئارچا;ئارچا|دەرەخ
🌳;يوپۇرماق تاشلار;تاشلاش|دەرەخ|ياپراق|يوپۇرماق تاشلار
🌴;پالما;پالما|دەرەخ
🌵;كاكتۇس;ئۆسۈملۈك|كاكتۇس
🌾;شال;دان|شال|قۇلاق|گۈرۈچ
🌿;ئوت-چۆپ;ئوت-چۆپ|يوپۇرماق
☘️;ئۈچقۇلاق;ئۆسۈملۈك|ئۈچقۇلاق
🍀;تۆتياپراق;4|تۆت|تۆتياپراق|ياپراق|يوپۇرماق
🍁;ئېرەن يوپۇرمىقى;ئېرەن|ئېرەن يوپۇرمىقى|چۈشۈش|يوپۇرماق
🍂;چۈشكەن يوپۇرماق;چۈشكەن يوپۇرماق|چۈشۈش|يوپۇرماق
🍃;لەيلىگەن يوپۇرماق;شامال|لەپىلدەش|لەيلەش|لەيلىگەن يوپۇرماق|يوپۇرماق
🪹;;
🪺;;
🍄;ئېشەكمەدىكى;ئېشەكمەدىكى|يەر مەدىكى
🪾;;

[food_drink]
🍇;ئۈزۈم;ئۈزۈم|مېۋە
🍈;قوغۇن;قوغۇن|مېۋە
🍉;تاۋۇز;تاۋۇز|مېۋە
🍊;ئاپېلسىن;ئاپېلسىن|مېۋە
🍋;لېمون;سىترۇس|لېمون|مېۋە
🍋‍🟩;;
🍌;بانان;بانان|مېۋە
🍍;ئاناناس;ئاناناس|مېۋە
🥭;;
🍎;قىزىل ئالما;ئالما|قىزىل|مېۋە
🍏;يېشىل ئالما;ئالما|مېۋە|يېشىل
🍐;نەشپۈت;مېۋە|نەشپۈت
🍑;شاپتۇل;شاپتۇل|مېۋە
🍒;گىلاس;گىلاس|مېۋە
🍓;بۆلجۈرگەن;بۆلجۈرگەن|مېۋە
🫐;;
🥝;مايمۇن شاپتۇلى;مايمۇن|مايمۇن شاپتۇلى|مېۋە|يېمەكلىك
🍅;پەمىدۇر;پەمىدۇر|كۆكتات|مېۋە
🫒;;
🥥;كوكۇس;ئاناناس|پىنا كولادا|كوكۇس
🥑;ئاۋوكادو;ئاۋوكادو|مېۋە|يېمەكلىك
🍆;پىدىگەن;پىدىگەن|كۆكتات
🥔;بەرەڭگە;بەرەڭگە|كۆكتات|يېمەكلىك
🥕;سەۋزە;سەۋزە|كۆكتات|يېمەكلىك
🌽;قوناق قۇلىقى;سىرلىق|قوناق|قوناق قۇلىقى|قۇلاق|كۆممىقوناق
🌶️;ئاچچىق مۇچ;ئاچچىق مۇچ|قىزىق|مۇچ
🫑;;
🥒;تەرخەمەك;ئاچچىق تەرخەمەك|تەرخەمەك|كۆكتات|يېمەكلىك
🥬;;
🥦;يېشىل-چېچەك;ياۋا يېسىۋېلەك|يېشىل-چېچەك
🧄;;
🧅;;
🥜;يەر ياڭىقى;خاسىڭ|كۆكتات|يەر ياڭىقى
🫘;;
🌰;كاشتان;ئۆسۈملۈك|كاشتان
🫚;;
🫛;;
🍄‍🟫;;
🫜;;
🍞;نان;پارچە|نان
🥐;مۈڭگۈز بولكا;بولكا|فىرانسۇزچە|مۈڭگۈز|يۆگەم|يېمەكلىك
🥖;فىرانسۇزچە بولكا;بولكا|فىرانسۇزچە|نان|يېمەكلىك
🫓;;
🥨;يۈرەكبولكا;تولغانغان|يۈرەكبولكا
