[smileys_emotion]
😀;ಹಾಸ್ಯದ ಮುಖ;ಮುಖ|ಹಾಸ್ಯ|ಹಾಸ್ಯದ ಮುಖ
👬;ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು;ಇಬ್ಬರು ಪುರುಷರು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು|ಕೈ ಹಿಡಿದಿರುವ ಇಬ್ಬರು ಪುರುಷರು
	👬🏻;ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಪುರುಷರು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಹಿಡಿದಿರುವ ಇಬ್ಬರು ಪುರುಷರು|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	👨🏻‍🤝‍👨🏼;ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಪುರುಷರು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಹಿಡಿದಿರುವ ಇಬ್ಬರು ಪುರುಷರು|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	👨🏻‍🤝‍👨🏽;ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಪುರುಷರು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಹಿಡಿದಿರುವ ಇಬ್ಬರು ಪುರುಷರು|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
	👨🏻‍🤝‍👨🏾;ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಪುರುಷರು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಹಿಡಿದಿರುವ ಇಬ್ಬರು ಪುರುಷರು|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
	👨🏻‍🤝‍👨🏿;ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಪುರುಷರು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಹಿಡಿದಿರುವ ಇಬ್ಬರು ಪುರುಷರು|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	👨🏼‍🤝‍👨🏻;ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಪುರುಷರು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಹಿಡಿದಿರುವ ಇಬ್ಬರು ಪುರುಷರು|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	👬🏼;ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಪುರುಷರು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಹಿಡಿದಿರುವ ಇಬ್ಬರು ಪುರುಷರು|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	👨🏼‍🤝‍👨🏽;ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಪುರುಷರು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಹಿಡಿದಿರುವ ಇಬ್ಬರು ಪುರುಷರು|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	👨🏼‍🤝‍👨🏾;ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಪುರುಷರು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಹಿಡಿದಿರುವ ಇಬ್ಬರು ಪುರುಷರು|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	👨🏼‍🤝‍👨🏿;ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಪುರುಷರು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಹಿಡಿದಿರುವ ಇಬ್ಬರು ಪುರುಷರು|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	👨🏽‍🤝‍👨🏻;ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಪುರುಷರು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಹಿಡಿದಿರುವ ಇಬ್ಬರು ಪುರುಷರು|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
	👨🏽‍🤝‍👨🏼;ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಪುರುಷರು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಹಿಡಿದಿರುವ ಇಬ್ಬರು ಪುರುಷರು|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	👬🏽;ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಪುರುಷರು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಹಿಡಿದಿರುವ ಇಬ್ಬರು ಪುರುಷರು|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
	👨🏽‍🤝‍👨🏾;ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಪುರುಷರು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಹಿಡಿದಿರುವ ಇಬ್ಬರು ಪುರುಷರು|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
	👨🏽‍🤝‍👨🏿;ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಪುರುಷರು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಹಿಡಿದಿರುವ ಇಬ್ಬರು ಪುರುಷರು|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
	👨🏾‍🤝‍👨🏻;ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಪುರುಷರು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಹಿಡಿದಿರುವ ಇಬ್ಬರು ಪುರುಷರು|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
	👨🏾‍🤝‍👨🏼;ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಪುರುಷರು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಹಿಡಿದಿರುವ ಇಬ್ಬರು ಪುರುಷರು|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	👨🏾‍🤝‍👨🏽;ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಪುರುಷರು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಹಿಡಿದಿರುವ ಇಬ್ಬರು ಪುರುಷರು|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
	👬🏾;ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಪುರುಷರು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಹಿಡಿದಿರುವ ಇಬ್ಬರು ಪುರುಷರು|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
	👨🏾‍🤝‍👨🏿;ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಪುರುಷರು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಹಿಡಿದಿರುವ ಇಬ್ಬರು ಪುರುಷರು|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
	👨🏿‍🤝‍👨🏻;ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಪುರುಷರು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಹಿಡಿದಿರುವ ಇಬ್ಬರು ಪುರುಷರು|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	👨🏿‍🤝‍👨🏼;ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಪುರುಷರು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಹಿಡಿದಿರುವ ಇಬ್ಬರು ಪುರುಷರು|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	👨🏿‍🤝‍👨🏽;ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಪುರುಷರು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಹಿಡಿದಿರುವ ಇಬ್ಬರು ಪುರುಷರು|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
	👨🏿‍🤝‍👨🏾;ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಪುರುಷರು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಹಿಡಿದಿರುವ ಇಬ್ಬರು ಪುರುಷರು|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
	👬🏿;ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಇಬ್ಬರು ಪುರುಷರು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು|ಇಬ್ಬರು ಪುರುಷರು ಕೈಹಿಡಿದಿರುವುದು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಕೈ ಹಿಡಿದಿರುವ ಇಬ್ಬರು ಪುರುಷರು|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
💏;ಚುಂಬನ;ಚುಂಬನ|ಜೋಡಿ
	💏🏻;ಚುಂಬನ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಚುಂಬನ|ಚುಂಬನ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಜೋಡಿ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	💏🏼;ಚುಂಬನ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಚುಂಬನ|ಚುಂಬನ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಜೋಡಿ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	💏🏽;ಚುಂಬನ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಚುಂಬನ|ಚುಂಬನ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಜೋಡಿ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
	💏🏾;ಚುಂಬನ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಚುಂಬನ|ಚುಂಬನ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಜೋಡಿ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
	💏🏿;ಚುಂಬನ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಚುಂಬನ|ಚುಂಬನ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಜೋಡಿ
	🧑🏻‍❤️‍💋‍🧑🏼;ಚುಂಬನ: ವ್ಯಕ್ತಿ, ವ್ಯಕ್ತಿ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಚುಂಬನ|ಚುಂಬನ: ವ್ಯಕ್ತಿ, ವ್ಯಕ್ತಿ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಜೋಡಿ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
	🧑🏻‍❤️‍💋‍🧑🏽;ಚುಂಬನ: ವ್ಯಕ್ತಿ, ವ್ಯಕ್ತಿ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಚುಂಬನ|ಚುಂಬನ: ವ್ಯಕ್ತಿ, ವ್ಯಕ್ತಿ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಜೋಡಿ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
	🧑🏻‍❤️‍💋‍🧑🏾;ಚುಂಬನ: ವ್ಯಕ್ತಿ, ವ್ಯಕ್ತಿ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಚುಂಬನ|ಚುಂಬನ: ವ್ಯಕ್ತಿ, ವ್ಯಕ್ತಿ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಜೋಡಿ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
	🧑🏻‍❤️‍💋‍🧑🏿;ಚುಂಬನ: ವ್ಯಕ್ತಿ, ವ್ಯಕ್ತಿ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಚುಂಬನ|ಚುಂಬನ: ವ್ಯಕ್ತಿ, ವ್ಯಕ್ತಿ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಜೋಡಿ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
	🧑🏼‍❤️‍💋‍🧑🏻;ಚುಂಬನ: ವ್ಯಕ್ತಿ, ವ್ಯಕ್ತಿ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಚುಂಬನ|ಚುಂಬನ: ವ್ಯಕ್ತಿ, ವ್ಯಕ್ತಿ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಜೋಡಿ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
	🧑🏼‍❤️‍💋‍🧑🏽;ಚುಂಬನ: ವ್ಯಕ್ತಿ, ವ್ಯಕ್ತಿ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಚುಂಬನ|ಚುಂಬನ: ವ್ಯಕ್ತಿ, ವ್ಯಕ್ತಿ, ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಜೋಡಿ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
