[smileys_emotion]
😀;ծիծաղող դեմք;դեմք|ծիծաղող դեմք|քմծիծաղել
🔻;կարմիր եռանկյուն ուղղված ներքև;երկրաչափական|կարմիր|կարմիր եռանկյուն ուղղված ներքև|ներքև
💠;կետով շեղանկյուն;երկրաչափական|կետով շեղանկյուն|կոմիքս|ներսում|շեղանկյուն
🔘;կետակոճակ;երկրաչափական|կետ|կետակոճակ|կոճակ|ռադիո
🔳;սպիտակ քառակուսի կոճակ;երկրաչափական|կոճակ|ուրվագծված|սպիտակ քառակուսի կոճակ|քառակուսի
🔲;սև քառակուսի կոճակ;երկրաչափական|կոճակ|սև քառակուսի կոճակ|քառակուսի

[flags]
🏁;վանդակավոր դրոշ;մրցարշավ|վանդակավոր|վանդակավոր դրոշ
🚩;եռանկյունի դրոշ;եռանկյունի դրոշ|փոստ
🎌;խաչված դրոշակներ;խաչ|խաչված|խաչված դրոշակներ|ճապոնական|տոն
🏴;ծածանվող սև դրոշ;ծածանվող|ծածանվող սեւ դրոշ|ծածանվող սև դրոշ
🏳️;ծածանվող սպիտակ դրոշ;ծածանվող|ծածանվող սպիտակ դրոշ|սպիտակ դրոշ
🏳️‍🌈;ծիածանով դրոշ;դրոշ|ծիածան|ծիածանով դրոշ
🏳️‍⚧️;տրանսգենդերի դրոշ;բաց կապույտ|դրոշ|սպիտակ|վարդագույն|տրանսգենդեր|տրանսգենդերի դրոշ
🏴‍☠️;ծովահենների դրոշ;գանձ|ծովահեն|ծովահենների դրոշ|կողոպուտ|Ուրախ Ռոջեր
🇦🇨;դրոշ․ Համբարձման կղզի;դրոշ|դրոշ․ Համբարձման կղզի
🇦🇩;դրոշ․ Անդորրա;դրոշ|դրոշ․ Անդորրա
🇦🇪;դրոշ․ Արաբական Միացյալ Էմիրություններ;դրոշ|դրոշ․ Արաբական Միացյալ Էմիրություններ
🇦🇫;դրոշ․ Աֆղանստան;դրոշ|դրոշ․ Աֆղանստան
🇦🇬;դրոշ․ Անտիգուա և Բարբուդա;դրոշ|դրոշ․ Անտիգուա և Բարբուդա
🇦🇮;դրոշ․ Անգուիլա;դրոշ|դրոշ․ Անգուիլա
🇦🇱;դրոշ․ Ալբանիա;դրոշ|դրոշ․ Ալբանիա
🇦🇲;դրոշ․ Հայաստան;դրոշ|դրոշ․ Հայաստան
🇦🇴;դրոշ․ Անգոլա;դրոշ|դրոշ․ Անգոլա
🇦🇶;դրոշ․ Անտարկտիդա;դրոշ|դրոշ․ Անտարկտիդա
🇦🇷;դրոշ․ Արգենտինա;դրոշ|դրոշ․ Արգենտինա
🇦🇸;դրոշ․ Ամերիկյան Սամոա;դրոշ|դրոշ․ Ամերիկյան Սամոա
🇦🇹;դրոշ․ Ավստրիա;դրոշ|դրոշ․ Ավստրիա
🇦🇺;դրոշ․ Ավստրալիա;դրոշ|դրոշ․ Ավստրալիա
🇦🇼;դրոշ․ Արուբա;դրոշ|դրոշ․ Արուբա
🇦🇽;դրոշ․ Ալանդյան կղզիներ;դրոշ|դրոշ․ Ալանդյան կղզիներ
🇦🇿;դրոշ․ Ադրբեջան;դրոշ|դրոշ․ Ադրբեջան
🇧🇦;դրոշ․ Բոսնիա և Հերցեգովինա;դրոշ|դրոշ․ Բոսնիա և Հերցեգովինա
🇧🇧;դրոշ․ Բարբադոս;դրոշ|դրոշ․ Բարբադոս
🇧🇩;դրոշ․ Բանգլադեշ;դրոշ|դրոշ․ Բանգլադեշ
🇧🇪;դրոշ․ Բելգիա;դրոշ|դրոշ․ Բելգիա
🇧🇫;դրոշ․ Բուրկինա Ֆասո;դրոշ|դրոշ․ Բուրկինա Ֆասո
🇧🇬;դրոշ․ Բուլղարիա;դրոշ|դրոշ․ Բուլղարիա
🇧🇭;դրոշ․ Բահրեյն;դրոշ|դրոշ․ Բահրեյն
🇧🇮;դրոշ․ Բուրունդի;դրոշ|դրոշ․ Բուրունդի
🇧🇯;դրոշ․ Բենին;դրոշ|դրոշ․ Բենին
🇧🇱;դրոշ․ Սուրբ Բարդուղիմեոս;դրոշ|դրոշ․ Սուրբ Բարդուղիմեոս
🇧🇲;դրոշ․ Բերմուդներ;դրոշ|դրոշ․ Բերմուդներ
🇧🇳;դրոշ․ Բրունեյ;դրոշ|դրոշ․ Բրունեյ
🇧🇴;դրոշ․ Բոլիվիա;դրոշ|դրոշ․ Բոլիվիա
🇧🇶;դրոշ․ Կարիբյան Նիդեռլանդներ;դրոշ|դրոշ․ Կարիբյան Նիդեռլանդներ
🇧🇷;դրոշ․ Բրազիլիա;դրոշ|դրոշ․ Բրազիլիա
🇧🇸;դրոշ․ Բահամյան կղզիներ;դրոշ|դրոշ․ Բահամյան կղզիներ
🇧🇹;դրոշ․ Բութան;դրոշ|դրոշ․ Բութան
🇧🇻;դրոշ․ Բուվե կղզի;դրոշ|դրոշ․ Բուվե կղզի
🇧🇼;դրոշ․ Բոթսվանա;դրոշ|դրոշ․ Բոթսվանա
🇧🇾;դրոշ․ Բելառուս;դրոշ|դրոշ․ Բելառուս
🇧🇿;դրոշ․ Բելիզ;դրոշ|դրոշ․ Բելիզ
🇨🇦;դրոշ․ Կանադա;դրոշ|դրոշ․ Կանադա
🇨🇨;դրոշ․ Կոկոսյան (Քիլինգ) կղզիներ;դրոշ|դրոշ․ Կոկոսյան (Քիլինգ) կղզիներ
🇨🇩;դրոշ․ Կոնգո - Կինշասա;դրոշ|դրոշ․ Կոնգո - Կինշասա
🇨🇫;դրոշ․ Կենտրոնական Աֆրիկյան Հանրապետություն;դրոշ|դրոշ․ Կենտրոնական Աֆրիկյան Հանրապետություն
🇨🇬;դրոշ․ Կոնգո - Բրազավիլ;դրոշ|դրոշ․ Կոնգո - Բրազավիլ
🇨🇭;դրոշ․ Շվեյցարիա;դրոշ|դրոշ․ Շվեյցարիա
🇨🇮;դրոշ․ Կոտ դ՚Իվուար;դրոշ|դրոշ․ Կոտ դ՚Իվուար
🇨🇰;դրոշ․ Կուկի կղզիներ;դրոշ|դրոշ․ Կուկի կղզիներ
🇨🇱;դրոշ․ Չիլի;դրոշ|դրոշ․ Չիլի
🇨🇲;դրոշ․ Կամերուն;դրոշ|դրոշ․ Կամերուն
🇨🇳;դրոշ․ Չինաստան;դրոշ|դրոշ․ Չինաստան
🇨🇴;դրոշ․ Կոլումբիա;դրոշ|դրոշ․ Կոլումբիա
🇨🇵;դրոշ․ Քլիփերթոն կղզի;դրոշ|դրոշ․ Քլիփերթոն կղզի
🇨🇷;դրոշ․ Կոստա Ռիկա;դրոշ|դրոշ․ Կոստա Ռիկա
🇨🇺;դրոշ․ Կուբա;դրոշ|դրոշ․ Կուբա
🇨🇻;դրոշ․ Կաբո Վերդե;դրոշ|դրոշ․ Կաբո Վերդե
🇨🇼;դրոշ․ Կյուրասաո;դրոշ|դրոշ․ Կյուրասաո
🇨🇽;դրոշ․ Սուրբ Ծննդյան կղզի;դրոշ|դրոշ․ Սուրբ Ծննդյան կղզի
🇨🇾;դրոշ․ Կիպրոս;դրոշ|դրոշ․ Կիպրոս
🇨🇿;դրոշ․ Չեխիա;դրոշ|դրոշ․ Չեխիա
🇩🇪;դրոշ․ Գերմանիա;դրոշ|դրոշ․ Գերմանիա
🇩🇬;դրոշ․ Դիեգո Գարսիա;դրոշ|դրոշ․ Դիեգո Գարսիա
🇩🇯;դրոշ․ Ջիբութի;դրոշ|դրոշ․ Ջիբութի
🇩🇰;դրոշ․ Դանիա;դրոշ|դրոշ․ Դանիա
🇩🇲;դրոշ․ Դոմինիկա;դրոշ|դրոշ․ Դոմինիկա
🇩🇴;դրոշ․ Դոմինիկյան Հանրապետություն;դրոշ|դրոշ․ Դոմինիկյան Հանրապետություն
🇩🇿;դրոշ․ Ալժիր;դրոշ|դրոշ․ Ալժիր
🇪🇦;դրոշ․ Սեուտա և Մելիլյա;դրոշ|դրոշ․ Սեուտա և Մելիլյա
🇪🇨;դրոշ․ Էկվադոր;դրոշ|դրոշ․ Էկվադոր
🇪🇪;դրոշ․ Էստոնիա;դրոշ|դրոշ․ Էստոնիա
🇪🇬;դրոշ․ Եգիպտոս;դրոշ|դրոշ․ Եգիպտոս
🇪🇭;դրոշ․ Արևմտյան Սահարա;դրոշ|դրոշ․ Արևմտյան Սահարա
🇪🇷;դրոշ․ Էրիթրեա;դրոշ|դրոշ․ Էրիթրեա
🇪🇸;դրոշ․ Իսպանիա;դրոշ|դրոշ․ Իսպանիա
🇪🇹;դրոշ․ Եթովպիա;դրոշ|դրոշ․ Եթովպիա
🇪🇺;դրոշ․ Եվրոպական Միություն;դրոշ|դրոշ․ Եվրոպական Միություն
🇫🇮;դրոշ․ Ֆինլանդիա;դրոշ|դրոշ․ Ֆինլանդիա
🇫🇯;դրոշ․ Ֆիջի;դրոշ|դրոշ․ Ֆիջի
🇫🇰;դրոշ․ Ֆոլքլենդյան կղզիներ;դրոշ|դրոշ․ Ֆոլքլենդյան կղզիներ
🇫🇲;դրոշ․ Միկրոնեզիա;դրոշ|դրոշ․ Միկրոնեզիա
🇫🇴;դրոշ․ Ֆարերյան կղզիներ;դրոշ|դրոշ․ Ֆարերյան կղզիներ
🇫🇷;դրոշ․ Ֆրանսիա;դրոշ|դրոշ․ Ֆրանսիա
🇬🇦;դրոշ․ Գաբոն;դրոշ|դրոշ․ Գաբոն
🇬🇧;դրոշ․ Միացյալ Թագավորություն;դրոշ|դրոշ․ Միացյալ Թագավորություն
🇬🇩;դրոշ․ Գրենադա;դրոշ|դրոշ․ Գրենադա
🇬🇪;դրոշ․ Վրաստան;դրոշ|դրոշ․ Վրաստան
🇬🇫;դրոշ․ Ֆրանսիական Գվիանա;դրոշ|դրոշ․ Ֆրանսիական Գվիանա
🇬🇬;դրոշ․ Գերնսի;դրոշ|դրոշ․ Գերնսի
🇬🇭;դրոշ․ Գանա;դրոշ|դրոշ․ Գանա
🇬🇮;դրոշ․ Ջիբրալթար;դրոշ|դրոշ․ Ջիբրալթար
🇬🇱;դրոշ․ Գրենլանդիա;դրոշ|դրոշ․ Գրենլանդիա
🇬🇲;դրոշ․ Գամբիա;դրոշ|դրոշ․ Գամբիա
🇬🇳;դրոշ․ Գվինեա;դրոշ|դրոշ․ Գվինեա
🇬🇵;դրոշ․ Գվադելուպա;դրոշ|դրոշ․ Գվադելուպա
🇬🇶;դրոշ․ Հասարակածային Գվինեա;դրոշ|դրոշ․ Հասարակածային Գվինեա
🇬🇷;դրոշ․ Հունաստան;դրոշ|դրոշ․ Հունաստան
🇬🇸;դրոշ․ Հարավային Ջորջիա և Հարավային Սենդվիչյան կղզիներ;դրոշ|դրոշ․ Հարավային Ջորջիա և Հարավային Սենդվիչյան կղզիներ
🇬🇹;դրոշ․ Գվատեմալա;դրոշ|դրոշ․ Գվատեմալա
🇬🇺;դրոշ․ Գուամ;դրոշ|դրոշ․ Գուամ
🇬🇼;դրոշ․ Գվինեա-Բիսաու;դրոշ|դրոշ․ Գվինեա-Բիսաու
🇬🇾;դրոշ․ Գայանա;դրոշ|դրոշ․ Գայանա
🇭🇰;դրոշ․ Հոնկոնգի ՀՎՇ;դրոշ|դրոշ․ Հոնկոնգի ՀՎՇ
🇭🇲;դրոշ․ Հերդ կղզի և ՄակԴոնալդի կղզիներ;դրոշ|դրոշ․ Հերդ կղզի և ՄակԴոնալդի կղզիներ
🇭🇳;դրոշ․ Հոնդուրաս;դրոշ|դրոշ․ Հոնդուրաս
🇭🇷;դրոշ․ Խորվաթիա;դրոշ|դրոշ․ Խորվաթիա
🇭🇹;դրոշ․ Հայիթի;դրոշ|դրոշ․ Հայիթի
🇭🇺;դրոշ․ Հունգարիա;դրոշ|դրոշ․ Հունգարիա
🇮🇨;դրոշ․ Կանարյան կղզիներ;դրոշ|դրոշ․ Կանարյան կղզիներ
🇮🇩;դրոշ․ Ինդոնեզիա;դրոշ|դրոշ․ Ինդոնեզիա
🇮🇪;դրոշ․ Իռլանդիա;դրոշ|դրոշ․ Իռլանդիա
🇮🇱;դրոշ․ Իսրայել;դրոշ|դրոշ․ Իսրայել
🇮🇲;դրոշ․ Մեն կղզի;դրոշ|դրոշ․ Մեն կղզի
🇮🇳;դրոշ․ Հնդկաստան;դրոշ|դրոշ․ Հնդկաստան
🇮🇴;դրոշ․ Բրիտանական տարածք Հնդկական Օվկիանոսում;դրոշ|դրոշ․ Բրիտանական տարածք Հնդկական Օվկիանոսում
🇮🇶;դրոշ․ Իրաք;դրոշ|դրոշ․ Իրաք
🇮🇷;դրոշ․ Իրան;դրոշ|դրոշ․ Իրան
🇮🇸;դրոշ․ Իսլանդիա;դրոշ|դրոշ․ Իսլանդիա
🇮🇹;դրոշ․ Իտալիա;դրոշ|դրոշ․ Իտալիա
🇯🇪;դրոշ․ Ջերսի;դրոշ|դրոշ․ Ջերսի
🇯🇲;դրոշ․ Ճամայկա;դրոշ|դրոշ․ Ճամայկա
🇯🇴;դրոշ․ Հորդանան;դրոշ|դրոշ․ Հորդանան
🇯🇵;դրոշ․ Ճապոնիա;դրոշ|դրոշ․ Ճապոնիա
🇰🇪;դրոշ․ Քենիա;դրոշ|դրոշ․ Քենիա
🇰🇬;դրոշ․ Ղրղզստան;դրոշ|դրոշ․ Ղրղզստան
🇰🇭;դրոշ․ Կամբոջա;դրոշ|դրոշ․ Կամբոջա
🇰🇮;դրոշ․ Կիրիբատի;դրոշ|դրոշ․ Կիրիբատի
🇰🇲;դրոշ․ Կոմորյան կղզիներ;դրոշ|դրոշ․ Կոմորյան կղզիներ
🇰🇳;դրոշ․ Սենթ Քիտս և Նևիս;դրոշ|դրոշ․ Սենթ Քիտս և Նևիս
🇰🇵;դրոշ․ Հյուսիսային Կորեա;դրոշ|դրոշ․ Հյուսիսային Կորեա
🇰🇷;դրոշ․ Հարավային Կորեա;դրոշ|դրոշ․ Հարավային Կորեա
🇰🇼;դրոշ․ Քուվեյթ;դրոշ|դրոշ․ Քուվեյթ
