[smileys_emotion]
😀;ubuso obusinekile;osinekile|ubuso obusinekile
⚡;amandla kagesi amakhulu;amandla kagesi|amandla kagesi amakhulu|ubungozi|ugesi|umbani|zap
❄️;ikhekheba leqha;ikhekheba leqha|isimo sezulu|isithwathwa|ukubanda
☃️;indoda yesithwathwa;indoda yesithwathwa|isimo sezulu|isithwathwa|ukubanda
⛄;indoda yesithwathwa engenasithwathwa;indoda yesithwathwa|indoda yesithwathwa engenasithwathwa|isimo sezulu|isithwathwa|ukubanda
☄️;ikhomethi;ikhomethi|ukhathi
🔥;umlimo;ilangabi|ithuluzi|umlimo
💧;iqabazi;iqabazi|isimo sezulu|opopayi|ukubanda|umjuluko
🌊;igagasi lamanzi;amanzi|igagasi|igagasi lamanzi|isimo sezulu|ulwandle

[activities]
🎃;i-jack-o-lantern;i-halloween|i-jack-o-lantern|ijack|ilambu|umbungazo
🎄;isihlahla sikaKhisimusi;isihlahla|isihlahla sikaKhisimusi|uKhisimusi|umbungazo
🎆;amakhrikhethi;amakhrikhethi|umbungazo
🎇;okuqhumayo;amakhrikhethi|okuqhumayo|umbungazo
🧨;;
✨;okukhazimulayo;inkanyezi|okukhazimulayo|ukukhazimula
🎈;ibhaluni;ibhaluni|umbungazo
🎉;okuqhuma ephathini;iphathi|itada|okuqhuma ephathini|ukuqhuma|umbungazo
🎊;ibhola eliqhumayo;ibhala|ibhola eliqhumayo|ukuqhuma|umbungazo
🎋;isihlahla setanabata;isihlahla|isihlahla setanabata|japanese|umbungazo
🎍;imihlobiso yesundu;imihlobiso yesundu|isitshalo|japanese|umbungazo|uqalo|usundu
🎎;onodoli bejapanese;japanese|onodoli|onodoli bejapanese|umbungazo|umcimbi
🎏;i-carp streamer;carp|i-carp streamer|istreamer|umbungazo
🎐;ichime yomoya;ichime|ichime yomoya|insimbi|umbungazo|umoya
🎑;umcimbi wenyanga;inyanga|umbungazo|umcimbi|umcimbi wenyanga
🧧;;
🎀;iribhini;iribhini|umbungazo
🎁;isipho esigoqiwe;ibhokisi|iprezenti|isipho|isipho esigoqiwe|okugoqiwe|umbungazo
🎗️;iribhini yesikhumbuzo;iribhini|iribhini yesikhumbuzo|isikhumbuzo|umbungazo
🎟️;amathikithi okungena;amathikithi|amathikithi okungena|ukungena
🎫;ithikithi;ithikithi|ukungena
🎖️;imedali yamasosha;imedali|imedali yamasosha|okwamasosha|umbungazo
🏆;indondo;indondo|umklomelo
🏅;imedali yezamidlalo;imedali|imedali yezamidlalo
🥇;indodo yendawo yokuqala;igolide|indodo yendawo yokuqala|indondo|qala
🥈;indondo yendawo yesibili;bili|indondo|indondo yendawo yesibili|isiliva
🥉;indondo yendawo yesithathu;ibhulonzi|indondo|indondo yendawo yesithathu|thathu
⚽;ibhola likanobhujuzwayo;ibhola|ibhola likanobhujuzwayo|unobhujuzwayo
⚾;i-baseball;i-baseball|ibhola
🥎;softball;softball
🏀;i-basketball;i-basketball|ibhola|ihubhu
🏐;i-volleyball;i-volleyball|ibhola|umdlalo
🏈;i-american football;i-american football|ibhola|ibhola likanobhujuzwayo|okwasemelika
🏉;ibhola lomboxo;i-football|ibhola|ibhola lomboxo|umbhoxo
🎾;ithenisi;ibhalo|irekhethi|ithenisi
🥏;;
🎳;ukubhowla;ibhola|ukubhowla|umdlalo
🏏;umdlalo wekhilikithi;ibhethi|ibhola|umdlalo|umdlalo wekhilikithi
🏑;ihokhi;ibhola|ihokhi|induku|inkundla|umdlalo
🏒;ihokhi yaseqhweni;ihokhi|ihokhi yaseqhweni|induku|iqhwa|umdlalo
🥍;;
🏓;ping pong;ibhethi|ibhola|ithenisi yetafula|ping pong|umdlalo
🏸;ibadminton;ibadminton|irekhethi|umdlalo
🥊;igilavu lokulwa;igilavu|igilavu lokulwa|ukulwa|umdlalo
🥋;inyufomu yokulwa;ezokulwa|ikarati|inyufomu|inyufomu yokulwa|judo|taekwondo|umdlalo
🥅;inethi yegoli;igoli|inethi|inethi yegoli|umdlalo
⛳;ifulegi elisembobeni;ifalfu|ifulegi elisembobeni|imbobo
⛸️;ice skate;ice skate|iqhwa|skate
🎣;udobo;induku|inhlanzi|udobo
🤿;imaski yokudayiva;i-scuba|i-snorkeling|imaski yokudayiva|ukudayiva
🎽;isikibha sokugijima;isikibha|isikibha sokugijima|ukugijima
🎿;skis;isithwatha|ski|skis
🛷;isihlibhi;isihlibhi|isleji
🥌;itshe lokutayela;idwala|itshe lokutayela|umdlalo
🎯;ukunemba;idathi|ihlo|impokophelo|ukunemba|umdlalo
🪀;i-yo-yo;i-yo-yo|ithoyi|ukungahlaliseki
🪁;i-kite;i-kite|i-soar|ukuphaph
🔫;ivolovolo;irivolva|isibhamu|isibhamu esincane|isikhali|ithuluzi|ivolovolo
🎱;amabhiliyade;8|amabhiliyade|billiard|billiards|ibhola|umdlalo
🔮;ibhola lekhristali;ibhola|ibhola lekhristali|ikhristali|inhlanhla|insumansumane|ithuluzi
🪄;induku yomlingo;induku yomlingo|magic|witch|wizard
🎮;umdlalo wevidiyo;isilawuli|umdlalo|umdlalo wevidiyo
🕹️;ijoystiki;ijoystiki|umdlalo|umdlalo wevidiyo
🎰;umshini onembotshana yokufaka imali;imbotshana yokufaka imali|umdlalo|umshini onembotshana yokufaka imali
🎲;umdlalo wamadayisi;idayisi|umdlalo|umdlalo wamadayisi
🧩;izingcezu zephazili;i-jigsaw|icebo|indida|izingcezu|izingcezu zephazili|ucezu|ukukhiya ngaphakathi
🧸;u-teddy bear;u-teddy bear
🪅;i-piñata;i-piñata
🪩;mirror ball;dance|disco|glitter|mirror ball|party
🪆;nesting dolls;doll|nesting|nesting dolls|russia
♠️;uspeyidi;ikhadi|ispeyidi|umdlalo|uspeyidi
♥️;unhliziyo;ikhadi|inhliziyo|izinhliziyo|umdlalo|unhliziyo
♦️;okumise okwedayimane;amadayimane|idayimane|ikhadi|okumise okwedayimane|umdlalo
♣️;umpukane;ikhadi|izimpukane|umdlalo|umpukane
♟️;;
🃏;ujokha;ikhadi|ujokha|ukudlala|umdlalo
🀄;umajongi oyidragoni ebomvu;imajongi|okubomvu|umajongi oyidragoni ebomvu|umdlalo
🎴;amakhadi okudlala ayimbali;amakhadi okudlala ayimbali|ikhadi|imbali|japanese|ukudlala|umdlalo
🎭;ezobuciko bemibukiso;ezobuciko bemibukiso|imaskhi|ubuciko|umbukiso
🖼️;ifulemu enesithombe;ifulemu|ifulemu enesithombe|imyuziyemu|isithombe|ubuciko
🎨;ibhodi lengcweti yokupenda;ibhodi lengcweti yokupenda|imyuziyemu|isithombe esipendiwe|ubuciko
🧵;;
🪡;inaliti yokuthunga;inaliti|inaliti yokuthunga|izihlungo|izitishi|ukufeketha|ukuthunga
🧶;;
🪢;ifindo;bopha|hlanganisa|ifindo|intambo|ithandelwe|sonta

[objects]
👓;izibuko;ihlo|impahla yokugqoka|izibuko|izibuko zamehlo|ukugqokisa amehlo
🕶️;izibuko zelanga;ihlo|izibuko|izibuko zamehlo|izibuko zelanga|ubumnyana
🥽;izibuko zokuzivikela;eye protection|izibuko zokuzivikela|ukubhukuda|ukushisela
🥼;lab coat;doctor|experiment|lab coat|scientist
🦺;iveste yokuphepha;iveste|iveste yokuphepha|okuphuthumayo|ukuphepha
👔;uthayi womqala;impahla yokugqoka|uthayi womqala
👕;isikibha;ihembe|impahla yokugqoka|isikibha
👖;ijini;ibhulukwe|ijini|impahla yokugqoka
🧣;iskhafu;intamo|iskhafu
🧤;amaglavu;amaglavu|isandla
🧥;ijazi;ijakhethi|ijazi
🧦;amasokisi;amasokisi|amastokhingi
👗;irokwe;ingubo yokugqoka|irokwe
👘;ikinomo;ikinomo|ingubo yokugqoka
🥻;i-sari;i-sari|ingubo|izingubo
🩱;insudu yokubhukuda eyodwa;insudu yebhavu|insudu yokubhukuda eyodwa
🩲;izifinyezo;insudu yebhavu|insudu yokubhukuda|izifinyezo|kokugqoka ngaphansi|ucezu olulodwa
🩳;izikhindi;ibhulukwe|insudu yebhavu|izikhindi|kokugqoka ngaphansi
👙;ibikini;ibikini|ingubo yokugqoka|ukubhukuda
👚;impahla yomuntu wesifazane;impahla yomuntu wesifazane|ingubo yokugqoka|umuntu wesifazane
🪭;folding hand fan;cooling|dance|fan|flutter|folding hand fan|hot|shy
👛;isikhwama semali;impahla yokugqoka|isikhwama semali|uhleza
👜;isikhwama esincane;impahla yokugqoka|isikhwama|isikhwama esincane
👝;isikhwama;impahla yokugqoka|isikhwama
🛍️;izikhwama zokuthenga;ihhotela|isikhwama|izikhwama zokuthenga|ukuthenga
🎒;isikhwama sesikole;isikhwama|isikhwama sesikole|isikole|ubhaka
🩴;isicathulo esingena kubhozo;ama-thongs|isicathulo esingena kubhozo|izicathulo|izicathulo zasebhishi|Izicathulo ze-thong|zōri
👞;izicathulo zamadoda;impahla yukugqoka|indoda|isicathulo|izicathulo zamadoda
👟;izicathulo zokugijima;impahla yokugqoka|isicathulo|iteku|izicathulo zokugijima|ukugijima
🥾;amabhuthi okuqwala;amabhuthi okuqwala|backpacking|boot|camping|hiking
🥿;isicathulo esiphansi;ballet flat|isicathulo esiphansi|slip-on|slipper
👠;iqhoksi;impahla yokugqoka|iqhoksi|isicathulo|owesimame
👡;amasendeli owesimame;amasendeli|impahla yokugqoka|isicathulo|owesimame
🩰;izicathulo ze-ballet;izicathulo ze-ballet
👢;ibhuzu lowesimame;ibhuzu|ibhuzu lowesimame|impahla yokugqoka|isicathulo|owesimame
🪮;hair pick;Afro|comb|hair|pick
👑;umqhele;impahla yokugqoka|inkosazana|inkosi|umqhele
👒;isigqoko sowesimame;impahla yokugqoka|isigqoko|isigqoko sowesimame|owesimame
🎩;isigqoko sabesilisa;impahla yokugqoka|isigqoko|isigqoko sabesilisa|umswenko
🎓;isigqoko semiyezane;ikepisi|impahla yokugqoka|isigqoko|isigqoko semiyezane|ukuthweswa imiyezane|umbungazo
🧢;ikhephu ekhokhisiwe;ikhephu ekhokhisiwe|ikhephu ye-baseball
🪖;izigqoko zempi;ezempi|i-helmet|ibutho|isosha|izigqoko zempi|umpi
⛑️;isigqoko esiqinile esinesiphambano esimhlophe;isigqoko|isigqoko esiqinile esinesiphambano esimhlophe|isiphambano|ubuso|usizo
📿;ubuhlalu bokuthandaza;impahla yokugqoka|inkolo|ubuhlalu|ubuhlalu bokuthandaza|umgexo|umthandazo
💄;iruji;amakhozimetiksi|iruji|okokuzicwala
💍;iringi;idayimane|iringi
💎;idayimane;idayimane|ijemu|ubucwebe
🔇;ukucisha isipikha;isipikha|ukucisha|ukuthula|umsindo
🔈;ispikha;ispikha|umsindo
🔉;ukuvula ispikha;igagasi|isipikha|phansi|ukuvula ispikha|umsindo
🔊;ispikha esiphezulu;3|ispikha|ispikha esiphezulu|ivolumu|phezulu|umsindo
📢;isipikha esimemezayo;isipikha esimemezayo|ukukhuluma nomphakathi|umsindo
📣;umbhobho omkhulu;ukujabula|umbhobho omkhulu
📯;umbhobo weposi;iposi|umbhobho|umbhobho weposi|umbhobo weposi
🔔;ibheli;ibheli|insimbi
🔕;insimbi enodwi;insimbi|insimbi enodwi|okuvinjiwe|okwenqatshelwe|qha|ukucisha|ukuthula
🎼;umbhalo womculo;umbhalo|umbhalo womculo|umculo
🎵;inothi lomculo;inothi|inothi lomculo|umculo
🎶;amanothi omculo;amanothi|amanothi omculo|inothi|umculo
🎙️;imakhrofoni yasestudiyo;imakhrofoni|imakhrofoni yasestudiyo|imayikhi|istudiyo|umculo
🎚️;izinga lesilawuli;izinga|izinga lesilawuli|okokulawula|umculo
🎛️;izinkinobho zezilawuli;izinkinobho|izinkinobho zezilawuli|ukulawula|umculo
🎤;imakhrofoni;ikhariyokhi|imakhrofoni|imayikhi
🎧;ama-headphone;ama-headphone|okufakwa endlebeni
📻;umsakazo;ividiyo|umsakazo
🎷;imfiliji;imfiliji|insimbi|umculo
🪗;i-accordion;cindezela ibhokisi|i-accordian|i-accordion|i-concertina
🎸;isigingci;insimbi|isigingci|umculo
🎹;ikhibhodi yomculo;ikhibhodi|ikhibhodi yomculo|insimbi|umculo|uphiyano
🎺;icilongo;icilongo|insimbi|umculo
🎻;ivayolini;insimbi|ivayolini|umculo
🪕;i-banjo;i-banjo|uchungechunge|umculo
🥁;idilamu;idilamu|izinduku zedilamu|umculo
🪘;isigubhu eside;i-conga|ibhithi|isigqi|isigubhu|isigubhu eside
🪇;maracas;instrument|maracas|music|percussion|rattle|shake
🪈;flute;fife|flute|music|pipe|recorder|woodwind
📱;iselula;iselula|ucingo
📲;iselula enomcibisholo;iselula|iselula enomcibisholo|ucingo|ukufona|ukwamukela|umcibisholo
☎️;ucingo;ifoni|ucingo
📞;ithelefoni;ifoni|ithelefoni|ukwamukela
📟;ipheja;ipheja
📠;umshini wefeksi;ifeksi|umshini wefeksi
🔋;ibhetri;ibhetri
🪫;ibhethri isincane;electronic|ibhethri isincane|low battery|low energy
🔌;ipulaki likagesi;ipulaki|ipulaki likagesi|ugesi
💻;ikhompyutha eyilephuthophi;eqondene nomuntu|i-pc|ikhomputha|ikhompyutha eyilephuthophi
🖥️;ikhompyutha yedeskhithophu;ideskhithophu|ikhompyutha|ikhompyutha yedeskhithophu
🖨️;iphrinta;ikhompyutha|iphrinta
⌨️;ikhibhodi;ikhibhodi|ikhompytha
🖱️;isilawuli sekhompyutha;3|ikhompyutha|inkinobho|isilawuli|isilawuli sekhompyutha
🖲️;itrackball;ikhompyutha|itrackball
💽;idiski encane;idiski|idiski encane|ikhompyutha
💾;i-floppy diski;i-floppy|i-floppy diski|idiski|ikhompyutha
💿;isidi;blu-ray|i-dvd|idiski|ikhompyutha|isidi
📀;idividi;blu-ray|i-dvd|idiski|idividi|ikhompyutha|isidi
🧮;abacus;abacus|calculation
🎥;ikhamera yamamuvi;icinema|ikhamera|ikhamera yamamuvi|imuvi
🎞️;amafreymi amafilimu;amafreymi amafilimu|amafreymu|ifilimu|imuvi|isinema
📽️;ibhayisikobho;amafreymu|ibhayisikobho|ifilimu|imuvi|isinema
🎬;i-clapper board;i-clapper|i-clapper board|imuvi
📺;ithelevishini;i-tv|ithelevishini|ividiyo
📷;ikhamera;ikhamera|ividiyo
📸;ikhamera enefleshi;ifleshi|ikhamera|ikhamera enefleshi|ividiyo
📹;ividiyo khamera;ikhamera|ividiyo|ividiyo khamera
📼;ividiyo khasethi;ikhasethi|ividiyo|ividiyo khasethi|vhs
🔍;ibhodlela elikhulisayo elibheke kwesokunxele;ibhodlela|ibhodlela elikhulisayo elibheke kwesokunxele|ithuluzi|ukukhulisa|ukusesha
🔎;ibhodlela elikhulisayo elibheke kwesokudla;ibhodlela|ibhodlela elikhulisayo elibheke kwesokudla|ithuluzi|ukukhulisa|ukusesha
🕯️;ikhandlela;ikhandlela|ukukhanya
💡;igilobhu likagesi;igilobhu|igilobhu likagesi|opopayi|ugesi|ukukhanya|umbono
🔦;ithoshi;ithoshi|ithuluzi|ugesi|ukukhanya
🏮;ilambu elibomvu;ibha|ilambu|ilambu elibomvu|japanese|okubomvu|ukukhanya
🪔;isibani se-diya;i-diya|isibani|isibani se-diya|uwoyela
📔;incwajana enekhava ehlotshisiwe;ikhava|incwadi|incwajana|incwajana enekhava ehlotshisiwe|umhlobiso
📕;incwadi evaliwe;incwadi|incwadi evaliwe|okuvaliwe
📖;incwadi evuliwe;incwadi|incwadi evuliwe|okuvuliwe
📗;incwadi eluhlaza satshani;incwadi|incwadi eluhlaza satshani|luhlaza satshani
📘;incwadi eluhlaza sasibhakabhaka;incwadi|incwadi eluhlaza sasibhakabhaka|luhlaza sasibhabhaka
📙;incwadi ephuzi;incwadi|incwadi ephuzi|okuphuzi
📚;izincwadi;incwadi|izincwadi
📓;incwajana;incwajana
📒;ileja;ileja|incwajana
📃;ikhasi eligobile;ikhasi|ikhasi eligobile|ukugoba|umbhalo
📜;umqulu;ikhasi|umqulu
📄;ikhasi elibheke phezulu;ikhasi|ikhasi elibheke phezulu|umbhalo
📰;iphephandaba;iphepha|iphephandaba|izindaba
🗞️;iphephandaba eligoqiwe;eligoqiwe|iphepha|iphephandaba|izindaba
📑;ama-tabs okumaka ibhuku;ama-tabs|ama-tabs okumaka ibhuku|okokumaka ibhuku|umaka
🔖;ibhuku lokumaka;ibhuku lokumaka|ukumaka
🏷️;ilebula;ilebula
💰;isaka lemali;idola|imali|isaka lemali|isikhwama|isikhwama semali
🪙;imali;gold|imali|metal|money|silver|treasure
💴;imali eyiyeni;ibhange|imali|imali eyiyeni|isikweletu|iyeni|uhlobo lwemali
💵;imali eyidola;ibhange|idola|imali|imali eyidola|isikweletu|uhlobo lwemali
💶;imali yase-euro;i-euro|ibhange|imali|imali yase-euro|isikweletu|uhlobo lwemali
💷;imali eyi-pound;i-pound|ibhange|imali|imali eyi-pound|isikweletu|uhlobo lwemali
💸;imali enamaphiko;amaphiko|ibhange|idola|imali|imali enamaphiko|isikweletu|ukundiza
💳;ikhredithi khadi;ibhange|ikhadi|ikhredithi|ikhredithi khadi|imali
🧾;receipt;accounting|bookkeeping|evidence|proof|receipt
💹;ishadi elivuza ukukhuphuka kweyeni;ibhange|igrafu|imakethe|imali|ishadi|ishadi elivuza ukukhuphuka kweyeni|iyeni|phezulu|uhlobo lwemali|ukukhula|ukukhuphuka
✉️;imvilophu;i-imeyli|imvilophu
📧;i-imeyli;i-imeyli|incwadi
📨;imvilophu engenayo;i-imeyli|imvilophu|imvilophu engenayo|incwadi|okungenayo|ukwamukela
📩;imvalaphu enomcibisholo;i-imeyli|imvalaphu enomcibisholo|imvilophu|imvilophu enomcibisholo|incwadi|okuphumayo|okuthunyelwe|phansi|umcibisholo
📤;ibhokisi lokuphumayo;ibhokisi|ibhokisi lokuphumayo|incwadi|ithreyi|okuphumayo|okuthunyelwe
📥;ibhokisi lokungenayo;ibhokisi|ibhokisi lokungenayo|incwadi|ithreyi|okuphumayo|okuthunyelwe
📦;iphasela;ibhokisi|iphasela
📫;ibhokisi leposi elivaliwe elinefulegi eliphakanyisiwe;ibhokisi leposi|ibhokisi leposi elivaliwe elinefulegi eliphakanyisiwe|iposi|okuvaliwe
📪;ibhokisi leposi elivaliwe elinefulegi elehlisiwe;ibhokisi leposi|ibhokisi leposi elivaliwe elinefulegi elehlisiwe|iposi|okuvaliwe|okwehlisiwe
📬;ibhokisi leposi elivuliwe elinefulgi eliphakanyisiwe;ibhokisi leposi|ibhokisi leposi elivuliwe elinefulgi eliphakanyisiwe|iposi|okuvuliwe|okwehlisiwe
📭;iposi elivuliwe elinefulegi elehlisiwe;ibhokisi leposi|iposi|iposi elivuliwe elinefulegi elehlisiwe|okuvuliwe|okwehlisiwe
📮;ibhokisi leposi;ibhokisi leposi|iposi
🗳️;ibhokisi lebhalothi elinebhalothi;ibhalothi|ibhokisi|ibhokisi lebhalothi elinebhalothi
✏️;ipenseli;ipenseli
✒️;umsizi omnyama;omnyama|umsizi
🖋️;ifountain pen;fountain|ifountain pen|ipeni
🖊️;ipeni elicijile;ipeni|ipeni elicijile|ukucija
🖌️;ibhulashi lokupeda;ibhulashi lokupeda|ukupenda
🖍️;ikhrayoni;ikhrayoni
📝;imemo;imemo|ipenseli
💼;ibhrifukhesi;ibhrifukhesi
📁;ifolda yefayela;ifayela|ifolda|ifolda yefayela
📂;vula ifolda yefayela;ifayela|ifolda|ukuvula|vula ifolda yefayela
🗂️;okwahlukanisa amakhadi;ikhadi|okwahlukanisa amakhadi|okwahlukanisayo
📅;ikhalenda;ikhalenda|usuku
📆;ikhalenda elidabulekayo;ikhalenda|ikhalenda elidabulekayo
🗒️;okokubhala okunezipringi;izipringi|okokubhala|okokubhala okunezipringi
🗓️;ikhalenda lezipringi;ikhalenda|ikhalenda lezipringi|izipringi
📇;okokuhlela amakhadi;ikhadi|irolodeksi|okokuhlela amakhadi|ukuhlela
📈;ishadi elikhuphukayo;igrafu|ishadi|ishadi elikhuphukayo|okuya phezulu|ukukhula
📉;ishadi elehlayo;igrafu|ishadi|ishadi elehlayo|okuya phansi
📊;ishadi eliyibha;ibha|igrafu|ishadi|ishadi eliyibha
📋;ibhodi lokunamathelisa;ibhodi lokunamathelisa
📌;uphini wokuphusha;uphini|uphini wokuphusha
📍;uphini wokuphusha oyindingilizi;uphini|uphini wokuphusha|uphini wokuphusha oyindingilizi
📎;okokubamba amaphepha;okokubamba amaphepha
🖇️;okokubamba amaphepha okuhlangene;okokubamba amaphepha okuhlangene|okokuhlanganisa amaphepha okuhlangene
📏;irula eliqondile;irula|irula eliqondile|okuqondile
📐;irula eliwunxantathu;irula|irula eliwunxantathu|isethi|unxantathu
✂️;isikelo;isikelo|ithuluzi
🗃️;ibhodi lokugcina amakhadi;ibhodi lokugcina amakhadi|ibhokisi|ifayela|ikhadi
🗄️;ikhabethei lamafayela;fayela|ikhabethe|ikhabethei lamafayela
🗑️;ubhasikidi wezibi;ubhasikidi wezibi
🔒;ingidi;ingidi|kuvaliwe
🔓;ingidi evuliwe;ingidi|ingidi evuliwe|qaqa|vula
🔏;ingidi enepeni;ingidi enepeni|ipeni|khiya|uvumfihlo|uyinki
🔐;ingidi evaliwe enokhiye;ingidi|ingidi evaliwe enokhiye|kuphephile|kuvaliwe|ukhiye
🔑;ukhiye;iphasiwedi|khiya|ukhiye
🗝️;ukhiye omdala;khiya|okudala|okukukhanyiselayo|ukhiye|ukhiye omdala
🔨;isando;isando|ithuluzi
🪓;imbazo;i-hatchet|imbazo|kapa|ukhuni|ukuhlukanisa
⛏️;ipiki;imayini|ipiki|ithuluzi
⚒️;isando ipiki;ipiki|isando|ithuluzi
🛠️;isando nespanelo;ipiki|isando|isando nespanelo|ispanelo
🗡️;ummese;isikhali|ummese
⚔️;imikhonto ephambene;imikhonto|imikhonto ephambene|izikhali|okuphambene
💣;ibhomu;ibhomu|opopayi
🪃;i-boomerang;e-australia|i-boomerang|i-rebound|i-repercussion
🏹;umcibisholo nesihlangu;inkanyezi|isikhali|ithuluzi|sagittarius|umcibisholo|umcibisholo nesihlangu
🛡️;ihawu;ihawu|isikhali
🪚;isaha lombazi;i-lumber|isaha|isaha lombazi|ithuluzi|umbazi
🔧;isipanelo;isipanelo|ithuluzi
🪛;isikebheli;i-screw|isikebheli|ithuluzi
🔩;ibholidi;ibholidi|ithuluzi
⚙️;igiya;igiya|ithuluzi
🗜️;isicindezeli;isicindezeli|ithuluzi|uvaysi
⚖️;okokulinganisa;inkanyezi|isisindo|ithuluzi|iziklali|libra|okokulinganisa|ubulungiswa|ukulingana
🦯;ikheni yokusiza;ikheni yokusiza|ukufinyelela|ukuphophala
🔗;ukuxhumanisa;ukuxhumanisa
⛓️‍💥;iketango eliphukile;iketango|iketango eliphukile|inkululeko|ozankosi|ukuphuka
⛓️;amaketango;amaketango
🪝;i-hook;catch|crook|curve|ensnare|i-hook|selling point
🧰;ibhokisi lamathuluzi;chest|ibhokisi lamathuluzi|mechanic|tool
🧲;umayibuthe;attraction|horseshoe|magnetic|umayibuthe
🪜;ilada;climb|ilada|ladder|rung|step
⚗️;i-alambic;i-alambic|ithuluzi|khemistri
🧪;ishubhu lokuhlola;chemist|chemistry|experiment|ishubhu lokuhlola|lab|science
🧫;petri dish;bacteria|biologist|biology|culture|lab|petri dish
🧬;ulibofuzo;biologist|evolution|gene|genetics|life|ulibofuzo
🔬;i-microscope;i-microscope|ithuluzi
🔭;i-telescope;i-telescope|itelescope|ithuluzi
📡;u-eriyeli wesethelaythi;indishi|isethelaythi|u-eriyeli|u-eriyeli wesethelaythi
💉;umjovo;imithi|inaliti|ithuluzi|udokotela|ukugula|ukujova|umjovo
🩸;ithonsi legazi;imithi|ithonsi legazi|ukopha|ukuphisana ngegazi
💊;iphilisi;imithi|iphilisi|udokotela|ukugula
🩹;ibhandishi yokubopha;ibhandishi|ibhandishi yokubopha
🩼;crutch;cane|crutch|disability|hurt|mobility aid|stick
🩺;i-slethoscope;i-slethoscope|inhliziyo imithi|udokotela
🩻;x-ray;bones|doctor|medical|skeleton|x-ray
🚪;isicabha;isicabha
🛗;ikheshi;i-elevator|ikheshi|phakamisa|ukufinyeleleka|ukuphakama
🪞;isibuko;i-speculum|isibonakaliso|isibuko|ukuzindla
🪟;iwindi;buka|evulekile|iwindi|uhlaka|ukuvula|umoya omusha
🛏️;umbhede;ihhotela|ukulala|umbhede
🛋️;usofa ilambu;ihhotela|ilambu|usofa
🪑;isitulo;hlala|isihlalo|isitulo
🚽;indlu yangasese;indlu yangasese
🪠;i-plunger;i-plunger|indlu yangasese|ipulazi|ukuphoqa indebe|ukusondeza
🚿;ishawa;amanzi|ishawa
🛁;ubhavu wokugezela;ubhavu wokugezela|ukugeza
🪤;unoxhaka;isicuphi|ugibe|umgibe|unoxhaka
🪒;i-razor;cija|i-razor|shefa
🧴;ibhodlela leloshini;ibhodlela leloshini|lotion|lotion bottle|moisturizer|shampoo|sunscreen
🧷;isipeletu;diaper|isipeletu|punk rock
🧹;umshanelo;cleaning|sweeping|umshanelo|witch
🧺;ubhasikidi;farming|laundry|picnic|ubhasikidi
🧻;roll of paper;paper towels|roll of paper|toilet paper
🪣;ibhakede;ibhakede|ikhasikhi|pheyili|vethi
🧼;insipho;bar|bathing|cleaning|insipho|lather|soapdish
🫧;amagwebhu;amagwebhu|bubbles|burp|clean|soap|underwater
🪥;isixubho;amazinyo|hlanzekile|ibhulashi|indlu yokugezela|isixubho|okwamazinyo|ukuhlanzeka
🧽;isipontshi;absorbing|cleaning|isipontshi|porous
🧯;isicishamlilo;extinguish|fire|isicishamlilo|quench
🛒;inqola yokuthenga;ikalishi|inqola|inqola yokuthenga|ukuthenga
🚬;ukubhema;ukubhema|ukushunqa
⚰️;ibhokisi lomngcwabo;ibhokisi lomngcwabo|ukufa
🪦;ikhanda eliyinhloko;amathuna|ethuneni|ikhanda eliyinhloko|ikhanda legumbi|ithuna
⚱️;isitsha somngcwabo;isitsha somngcwabo|ukufa|umlotha|umngcwabo
🧿;;bead|charm|evil-eye|nazar|talisman
🪬;i-hamsa;amulet|Fatima|hamsa|hand|i-hamsa|Mary|Miriam|protection
🗿;i-moai;i-moai|isichuthe|moyai|ubuso
🪧;iphakadi;i-picket|iphakadi|ukuboniswa|ukuphikisana|uphawu
🪪;umazisi;credentials|ID|identification card|license|security|umazisi

[symbols]
🏧;uphawu lwe-ATM;i-atm|ibhange|okuzenzakalelayo|uphawu lwe-ATM|uthela
🚮;uphawu lomgqomo wezibi;ibhokisi lezibi|izibi|uphawu lomgqomo wezibi
🚰;amanzi asempompini;amanzi|amanzi asempompini|ukuphuza|umpompi
♿;isihlalo esinamasondo sabantu abaphila nokukhubazeka;isihlalo esinamasondo sabantu abaphila nokukhubazeka|ukungena
🚹;indlu yangasese yamadoda;indlu yangasese|indlu yangasese yamadoda|indoda
🚺;indlu yangasese yabesimame;abesimame|indlu yangasese|indlu yangasese yabesimame
🚻;indlu encane;indlu encane|indlu yangasese
🚼;uphawu lwengane;ingane|ukushintsha|uphawu lwengane
🚾;indawo yamanzi;amanzi|indawo yamanzi|indlu yangasese
🛂;ukulawula iphasiphothi;iphasiphothi|ukulawula
🛃;customs;customs|imikhuba
🛄;ukulanda isikhwama;isikhwama|landa|ukulanda isikhwama
🛅;impahla esele;impahla|impahla esele|indawo ekhiywayo|umthwalo
⚠️;isexwayiso;isexwayiso
🚸;izingane eziwelayo;ingane|ithrafikhi|izingane eziwelayo|ukuwela|umuntu ohamba ngezinyawo
