[smileys_emotion]
😀;шырока ўсміхаецца;зубы|усмешка|шырока ўсміхаецца
🃏;джокер;азарт|гульня|джокер|карта
🀄;чырвоны дракон у маджонгу;гульня|маджонг|цмок|чырвоны|чырвоны дракон у маджонгу
🎴;ігральныя карты ханафуда;гульня|ігральныя карты ханафуда|кветка|ханафуда|японская
🎭;выканальніцкія віды мастацтва;выканальніцкія віды мастацтва|ігра|маска|мастацтва|тэатр
🖼️;карціна ў рамцы;карціна|карціна ў рамцы|мастацтва|музей|рамка
🎨;палітра мастака;карціна|мастацтва|музей|палітра|палітра мастака
🧵;нітка;іголка|нітка|шпулька|шыццё
🪡;швейная іголка;вышыўка|іголка|пашыў|швейная іголка|швы|шыўкі|шыццё
🧶;пража;вязанне|клубок|кручок|пража
🪢;вузел;вузел|вяроўка|завязаны|закручаны|шнурок

[objects]
👓;акуляры;аксесуар|акуляры|вочы|зрок
🕶️;сонечныя акуляры;аксесуар|акуляры|вочы|сонечныя акуляры|цёмны
🥽;ахоўныя акуляры;ахова вачэй|ахоўныя акуляры|зварка|плаванне
🥼;лабараторны халат;вучоны|доктар|лабараторны халат|эксперымент
🦺;сігнальная камізэлька;засцерагальная|камізэлька|сігнальная
👔;гальштук;адзенне|гальштук
👕;футболка;адзенне|кашуля|майка|саколка|футболка
👖;джынсы;адзенне|джынсы|штаны
🧣;шалік;шалік|шыя
🧤;пальчаткі;пальчаткі|рука
🧥;паліто;куртка|паліто
🧦;шкарпэткі;панчохі|шкарпэткі
👗;сукенка;адзенне|сукенка
👘;кімано;адзенне|кімано
🥻;сары;адзенне|сары|сукенка
🩱;закрыты купальнік;закрыты купальнік|купальны касцюм
🩲;плаўкі;закрыты купальнік|купальны касцюм|ніжняя бялізна|плаўкі
🩳;шорты;купальны касцюм|ніжняя бялізна|трусы|шорты
👙;бікіні;адзенне|бікіні|купальнік
👚;жаночае адзенне;адзенне|жаночае адзенне|жанчына
🪭;веер;веер|веяць|горача|прахалода|сарамлівасць|танец
👛;кашалёк;аксесуар|капейка|кашалёк|манета
👜;дамская сумачка;аксесуар|дамская сумачка|сумка|торба
👝;сумачка;аксесуар|сумачка|сумка|торба
🛍️;пакеты для шопінгу;гатэль|пакет|пакеты для шопінгу|шопінг
🎒;школьны ранец;кніжная сумка|сумка|школа|школьны ранец
🩴;в’етнамка;в’етнамка|в’етнамкі|дзоры|пляжныя сандалі|сандалі
👞;мужчынскі туфель;абутак|мужчына|мужчынскі туфель|туфель
👟;красовак;абутак|бег|красовак|спорт
🥾;паходны бот;бот|паход|паходны бот|пешы турызм|турызм
🥿;балетка;балетка|без шнуркоў|тапак
👠;туфель на абцасе;абутак|абцас|жанчына|туфель на абцасе
👡;жаночая сандаля;абутак|жаночая сандаля|жанчына|сандалі
🩰;пуанты;балет|пуанты|танец
👢;жаночы бот;абутак|боты|жаночы бот|жанчына
🪮;грэбень;афра|валасы|грэбень|заколка
👑;карона;аксесуар|каралева|кароль|карона
👒;жаночы капялюш;адзенне|аксесуар|жаночы капялюш|жанчына|капялюш
🎩;цыліндр;адзенне|аксесуар|капялюш|мужчына|цыліндр
🎓;акадэмічная шапачка;акадэмічная шапачка|выпуск|свята|шапачка|шапка
🧢;кепка;бейсболка|кепка
🪖;ваенная каска;армія|баец|ваенная каска|ваенны|каска|салдат
⛑️;каска з белым крыжам;дапамога|каска|каска з белым крыжам|крыж|шлем
