[smileys_emotion]
😀;સ્મિત કરતો ચહેરો;ચહેરો|સ્મિત|સ્મિત કરતો ચહેરો
🏨;હોટલ;ઈમારત|હોટલ
🏩;પ્રેમ હોટલ;ઈમારત|પ્રેમ|હોટલ
🏪;સુવિધા સ્ટોર;ઈમારત|સુવિધા|સ્ટોર
🏫;શાળા;ઈમારત|શાળા|શાળાની ઈમારત
🏬;ડિપાર્ટમેન્ટ સ્ટોર;ડિપાર્ટમેન્ટ|સ્ટોર
🏭;ફેક્ટરી;ઈમારત|ફેક્ટરી
🏯;જાપાની કિલ્લો;ઈમારત|કિલ્લો|જાપાની કિલ્લો
🏰;કિલ્લો;ઈમારત|કિલ્લો|યુરોપિયન કિલ્લો
💒;લગ્ન;દેવકુલિકા|રોમાંસ|લગ્ન|લગ્ન માટેની દેવકુલિકા
🗼;ટોક્યો ટાવર;ટાવર|ટોક્યો
🗽;સ્ટેચ્યુ ઑફ લિબર્ટી;પ્રતિમા|સ્ટેચ્યુ ઑફ લિબર્ટી|સ્વતંત્રતા
⛪;ચર્ચ;ક્રોસ|ખ્રિસ્તી|ચર્ચ|ધર્મ|ભવન
🕌;મસ્જિદ;ઇસ્લામ|ધર્મ|મસ્જિદ|મુસ્લિમ
🛕;હિન્દુ મંદિર;મંદિર|હિન્દુ
🕍;યહૂદી પ્રાર્થનાગૃહ;ધર્મ|મંદિર|યહૂદી પ્રાર્થનાગૃહ
⛩️;શિંટો શ્રાઇન;જાપાની ધર્મસ્થળ|ધર્મ|શિંટો શ્રાઇન
🕋;કાબા;ઇસ્લામ|કાબા|ધર્મ|મુસ્લિમ
⛲;ફુવારો;ફુવારો
⛺;તંબુ;કેમ્પિંગ|તંબુ
🌁;ધુમ્મસિયું;ધુમ્મસ|ધુમ્મસિયું
🌃;તારા સાથેનું આકાશ;તારા|તારા સાથેનું આકાશ|રાત|રાતના તારા
🏙️;શહેરી ઈમારતો;શહેર|શહેરી ઈમારતો
🌄;પર્વતો પર સૂર્યોદય;પર્વત|પર્વતો પર સૂર્યોદય|સવારનો સૂર્ય|સૂર્યોદય
🌅;સૂર્યોદય;સવારનો સૂર્ય|સૂર્યોદય
🌆;સાંજના સમયે શહેર;લેન્ડસ્કેપ|શહેર|સમીસાંજ|સાંજ|સાંજના સમયે શહેર|સૂર્યાસ્ત
🌇;સૂર્યાસ્ત;ઈમારત|ઈમારતો પર સૂર્યાસ્ત|સમીસાંજ|સૂર્યાસ્ત
🌉;રાતના સમયે બ્રિજ;નાઇટ બ્રિજ|રાત|રાતના સમયે બ્રિજ|રાત્રે પુલ
♨️;ગરમ પાણીના ઝરા;ઉકળતાં|ગરમ|ગરમ પાણીના ઝરા|ઝરા|વરાળ નીકળતાં
🎠;ઘોડાની બેઠકવાળો ચકડોળ;ઘોડાની બેઠકવાળો ચકડોળ|ઘોડો|ચકડોળ|મનોરંજન
🛝;પ્લેગ્રાઉન્ડ સ્લાઇડ;પ્લેગ્રાઉન્ડ સ્લાઇડ|મનોરંજન પાર્ક|રમવું
🎡;ફેરીસ વ્હીલ;એમ્યુઝમેન્ટ પાર્ક|ચગડોળ|પૈડું|ફેરીસ|ફેરીસ વ્હીલ
🎢;રોલર કોસ્ટર;એમ્યુઝમેન્ટ પાર્ક|કોસ્ટર|મનોરંજન|રોલર
💈;વાળંદની દુકાન;થાંભલો|વાળંદ|વાળંદની દુકાન|વાળંદનો થાંભલો
🎪;સર્કસનું તંબુ;તંબુ|મનોરંજન|સર્કસ|સર્કસનું તંબુ
🚂;વરાળ એન્જિન;એન્જિન|ટ્રેન|વરાળ એન્જિન|વાહન
🚃;રેલ્વે કાર;ઇલેક્ટ્રિક|ટ્રામ|ટ્રેન|રેલ્વે|રેલ્વે કાર|વાહન
🚄;હાઇ-સ્પીડ ટ્રેન, શિંકનસેન, ટ્રેન, વાહન;ટ્રેન|વાહન|શિંકનસેન|હાઇ-સ્પીડ ટ્રેન|હાઇ-સ્પીડ ટ્રેન, શિંકનસેન, ટ્રેન, વાહન
🚅;આગળથી બુલેટના આકારની ઉચ્ચ-ગતિની ટ્રેન;આગળથી બુલેટના આકારની ઉચ્ચ-ગતિની ટ્રેન|ટ્રેન|બુલેટ નોઝ|બુલેટ નોઝ સાથેનું શિંકનસેન|વાહન|શિંકનસેન|હાઇ-સ્પીડ ટ્રેન
🚆;ટ્રેન;ટ્રેન|રેલ્વે|વાહન
🚇;સબવે;મેટ્રો|વાહન|સબવે
🚈;લાઇટ રેલ;રેલ|લાઇટ|વાહન
🚉;ટ્રેન સ્ટેશન;ટ્રેન|સ્ટેશન
🚊;ટ્રામ;ટ્રામ|વાહન
🚝;મોનોરેલ;મોનોરેલ|વાહન
🚞;પર્વતોની રેલ્વે;કાર|પર્વત|પર્વતોની કૅબલ કાર|પર્વતોની રેલ્વે|રેલ્વે
🚋;ટ્રામ કાર;કાર|ટ્રામ|વાહન
🚌;બસ;બસ|વાહન
🚍;આવી રહેલ બસ;આવનારી|આવી રહેલ બસ|બસ|વાહન
🚎;ટ્રોલીબસ;ટ્રોલી|ટ્રોલીબસ|બસ|વાહન
🚐;મિનિબસ;બસ|મિનિબસ|વાહન
🚑;એમ્બ્યુલન્સ;એમ્બ્યુલન્સ|વાહન
🚒;ફાયર એન્જિન;એન્જિન|ફાયર|ફાયર ટ્રક|વાહન
🚓;પોલીસની કાર;પેટ્રોલ કાર|પોલીસ|પોલીસ કાર|પોલીસની કાર|વાહન
🚔;આવી રહેલ પોલીસ કાર;આવનારી પોલીસ કાર|આવી રહેલ પોલીસ કાર|પોલીસ|પોલીસ કાર|વાહન
🚕;ટૅક્સી;ટૅક્સી|વાહન
🚖;આવી રહેલ ટૅક્સી;આવનારી ટૅક્સી|આવી રહેલ ટૅક્સી|ટૅક્સી|વાહન
🚗;ઑટોમોબાઇલ;ઑટોમોબાઇલ|કાર|વાહન
🚘;આવી રહેલ ઑટોમોબાઇલ;આવનાર|આવનારી કાર|આવી રહેલ ઑટોમોબાઇલ|ઑટોમોબાઇલ|કાર|વાહન
🚙;મનોરંજન વાહન;મનોરંજન વાહન|સ્પોર્ટ યુટિલિટી|સ્પોર્ટ યુટિલિટી વાહન
🛻;પિકઅપ ટ્રક;ટ્રક|પિક-અપ|પિકઅપ
🚚;વિતરણ ટ્રક;ટ્રક|વાહન|વિતરણ ટ્રક
🚛;ખટારો;કલાત્મક ખટારો|ખટારો|ટ્રક|ટ્રેલર|વાહન
🚜;ટ્રેક્ટર;ટ્રેક્ટર|વાહન
🏎️;રેસિંગ કાર;કાર|રેસિંગ
🏍️;મોટરસાયકલ;મોટરસાયકલ|રેસિંગ
🛵;મોટર સ્કૂટર;મોટર|સ્કૂટર
🦽;હાથથી ચલાવાતી વ્હીલચેર;ઍક્સેસિબિલિટી|હાથથી ચલાવાતી વ્હીલચેર
🦼;મશીનથી ચાલતી વ્હીલચેર;ઍક્સેસિબિલિટી|મશીનથી ચાલતી વ્હીલચેર
🛺;ઑટો રિક્શા;ઑટો રિક્શા|ટક ટક
🚲;બાઇસિકલ;બાઇક|બાઇસિકલ|વાહન|સાઇકલ
🛴;કિક સ્કૂટર;કિક|સ્કૂટર
🛹;સ્કૅટબોર્ડ;બૉર્ડ|સ્કૅટબોર્ડ
🛼;રૉલર સ્કેટ;રૉલર|સ્કેટ
🚏;બસ સ્ટોપ;બસ|સ્ટોપ
🛣️;મોટરવે;માર્ગ|મોટરવે|રસ્તો|રોડ|હાઇવે
🛤️;રેલ્વે ટ્રેક;ટ્રેન|રેલવે|રેલ્વે ટ્રેક
🛢️;તેલનું ડ્રમ;ટાંકી|તેલ|તેલનું ડ્રમ
⛽;ફ્યુઅલ પમ્પ;ગેસ|ફ્યુઅલ|ફ્યુઅલ પમ્પ|સ્ટેશન
🛞;પૈડું;ગોળ|ટાયર|પૈડું|વળાંક
🚨;પોલિસની કારની લાઇટ;પોલિસની કારની લાઇટ|પોલીસ કાર|પોલીસ બીકન|પોલીસ લાઇટ|ફરતી લાઇટ
🚥;આડી ટ્રાફિક લાઇટ;આડી ટ્રાફિક લાઇટ|ટ્રાફિક|ટ્રાફિક લાઇટ્સ|ટ્રાફિક સિગ્નલ્સ|લાઇટ
🚦;ઊભી ટ્રાફિક લાઇટ;ઊભી ટ્રાફિક લાઇટ|ટ્રાફિક|ટ્રાફિક લાઇટ્સ|ટ્રાફિક સિગ્નલ્સ|લાઇટ
🛑;રોકો સંકેત;અષ્ટકોણ|રોકો|સંકેત
🚧;બાંધકામ;ચિહ્ન|બાંધકામ|બાંધકામ હેઠળ છે|બાંધકામનું ચિહ્ન
⚓;એંકર;એંકર|ચિહ્ન
🛟;રિંગ બોય;જીવન પરિરક્ષક|જીવન રક્ષક|તરવું|બચાવ|રિંગ બોય|સલામતી
⛵;સઢવાળી હોડી;યાચ|રિસૉર્ટ|સઢવાળી હોડી|સમુદ્રી રિસૉર્ટ|હોડી
🛶;કૅનોઈ;કૅનોઈ|હોડી
🚤;સ્પીડબોટ;વાહન|સ્પીડબોટ|હોડી
🛳️;યાત્રી વહાણ;યાત્રી|વહાણ|વાહન
⛴️;ફેરી;નાવડી|ફેરી|બોટ|હોડી
🛥️;મોટર બોટ;બોટ|મોટર બોટ|વાહન
🚢;વહાણ;જહાજ|વહાણ|વાહન
✈️;એરપ્લેન;એરપ્લેન|વિમાન|હવાઈ વાહન
🛩️;નાનું એરપ્લેન;નાનું એરપ્લેન|વિમાન
🛫;એરપ્લેનની રવાનગી;એરપ્લેનની રવાનગી|ચેક-ઇન|પ્રસ્થાન|વાહન
🛬;એરપ્લનનું આગમન;આવી રહ્યું છે|એરપ્લનનું આગમન|લેન્ડિંગ|વાહન
🪂;પેરાશૂટ;પેરાશૂટ|પેરાસેલ|સ્કાયડાઇવ|હેંગ-ગ્લાઇડ
💺;સીટ;ખુરશી|બેઠક|સીટ
🚁;હેલિકોપ્ટર;વાહન|હેલિકોપ્ટર
🚟;સસ્પેન્શન રેલ્વે;રેલ્વે|વાહન|સસ્પેન્શન
🚠;પર્વતોની કૅબલવે;કાર|કૅબલ|પર્વત|પર્વતોની કૅબલ કાર|પર્વતોની કૅબલ વે|પર્વતોની કૅબલવે
🚡;હવાઈ ટ્રામવે;કૅબલ કાર|ગંડોલા|ટ્રામવે|રોપવે|હવાઈ
🛰️;સેટેલાઇટ;અવકાશ|વાહન|સેટેલાઇટ
🚀;રૉકેટ;રૉકેટ|વાહન
🛸;ફ્લાઇંગ સૉસર;UFO|ફ્લાઇંગ સૉસર
🛎️;બેલહોપ ઘંટડી;ઘંટડી|ઘંટી|બેલહોપ ઘંટડી|હોટલ
🧳;સામાન;પેકિંગ|મુસાફરી|સામાન
⌛;રેતઘડી;રેતઘડી|રેતી|સમય
⏳;વહેતી રેતી સાથેની રેતઘડી;અવરગ્લાસ|ટાઇમર|રેતઘડી|વહેતી રેતી સાથેની રેતઘડી|સેન્ડ ટાઇમર
⌚;ઘડિયાળ;કાંડા ઘડિયાળ|ઘડિયાળ|સમય
⏰;એલાર્મ ઘડિયાળ;એલાર્મ|ઘડિયાળ|સમય
⏱️;સ્ટોપવૉચ;ઘડિયાળ|સમય|સ્ટોપવૉચ
⏲️;ટાઇમર ઘડિયાળ;ઘડિયાળ|ટાઇમર|સમય
🕰️;મેંટલપીસ ઘડિયાળ;ઘડિયાળ|મેંટલપીસ ઘડિયાળ|સમય
🕛;બાર વાગ્યે;12 વાગ્યે|12:00|ઘડિયાળ|બાર|બાર વાગ્યે
🕧;સાડા બાર;12:30|ઘડિયાળ|સાડા બાર
🕐;એક વાગ્યે;1 વાગ્યે|1:00|એક|એક વાગ્યે|ઘડિયાળ
