[smileys_emotion]
😀;tirjaygan yuz;tirjaygan yuz|tirjayish|yuz
	👨🏾‍❤️‍👨🏽;juftlik va yurak: erkak erkak 5-teri turi 4-teri turi;4-teri turi|5-teri turi|erkak|juftlik|juftlik va yurak|juftlik va yurak: erkak erkak 5-teri turi 4-teri turi|romantika|sevgi|yurak
	👨🏾‍❤️‍👨🏾;juftlik va yurak: erkak erkak 5-teri turi;5-teri turi|erkak|juftlik|juftlik va yurak|juftlik va yurak: erkak erkak 5-teri turi|romantika|sevgi|yurak
	👨🏾‍❤️‍👨🏿;juftlik va yurak: erkak erkak 5-teri turi 6-teri turi;5-teri turi|6-teri turi|erkak|juftlik|juftlik va yurak|juftlik va yurak: erkak erkak 5-teri turi 6-teri turi|romantika|sevgi|yurak
	👨🏿‍❤️‍👨🏻;juftlik va yurak: erkak erkak 6-teri turi 1–2-teri turi;1–2-teri turi|6-teri turi|erkak|juftlik|juftlik va yurak|juftlik va yurak: erkak erkak 6-teri turi 1–2-teri turi|romantika|sevgi|yurak
	👨🏿‍❤️‍👨🏼;juftlik va yurak: erkak erkak 6-teri turi 3-teri turi;3-teri turi|6-teri turi|erkak|juftlik|juftlik va yurak|juftlik va yurak: erkak erkak 6-teri turi 3-teri turi|romantika|sevgi|yurak
	👨🏿‍❤️‍👨🏽;juftlik va yurak: erkak erkak 6-teri turi 4-teri turi;4-teri turi|6-teri turi|erkak|juftlik|juftlik va yurak|juftlik va yurak: erkak erkak 6-teri turi 4-teri turi|romantika|sevgi|yurak
	👨🏿‍❤️‍👨🏾;juftlik va yurak: erkak erkak 6-teri turi 5-teri turi;5-teri turi|6-teri turi|erkak|juftlik|juftlik va yurak|juftlik va yurak: erkak erkak 6-teri turi 5-teri turi|romantika|sevgi|yurak
	👨🏿‍❤️‍👨🏿;juftlik va yurak: erkak erkak 6-teri turi;6-teri turi|erkak|juftlik|juftlik va yurak|juftlik va yurak: erkak erkak 6-teri turi|romantika|sevgi|yurak
👩‍❤️‍👩;juftlik va yurak: ayol ayol;ayol|juftlik|juftlik va yurak|juftlik va yurak: ayol ayol|romantika|sevgi|yurak
	👩🏻‍❤️‍👩🏻;juftlik va yurak: ayol ayol 1–2-teri turi;1–2-teri turi|ayol|juftlik|juftlik va yurak|juftlik va yurak: ayol ayol 1–2-teri turi|romantika|sevgi|yurak
	👩🏻‍❤️‍👩🏼;juftlik va yurak: ayol ayol 1–2-teri turi 3-teri turi;1–2-teri turi|3-teri turi|ayol|juftlik|juftlik va yurak|juftlik va yurak: ayol ayol 1–2-teri turi 3-teri turi|romantika|sevgi|yurak
	👩🏻‍❤️‍👩🏽;juftlik va yurak: ayol ayol 1–2-teri turi 4-teri turi;1–2-teri turi|4-teri turi|ayol|juftlik|juftlik va yurak|juftlik va yurak: ayol ayol 1–2-teri turi 4-teri turi|romantika|sevgi|yurak
	👩🏻‍❤️‍👩🏾;juftlik va yurak: ayol ayol 1–2-teri turi 5-teri turi;1–2-teri turi|5-teri turi|ayol|juftlik|juftlik va yurak|juftlik va yurak: ayol ayol 1–2-teri turi 5-teri turi|romantika|sevgi|yurak
	👩🏻‍❤️‍👩🏿;juftlik va yurak: ayol ayol 1–2-teri turi 6-teri turi;1–2-teri turi|6-teri turi|ayol|juftlik|juftlik va yurak|juftlik va yurak: ayol ayol 1–2-teri turi 6-teri turi|romantika|sevgi|yurak
	👩🏼‍❤️‍👩🏻;juftlik va yurak: ayol ayol 3-teri turi 1–2-teri turi;1–2-teri turi|3-teri turi|ayol|juftlik|juftlik va yurak|juftlik va yurak: ayol ayol 3-teri turi 1–2-teri turi|romantika|sevgi|yurak
	👩🏼‍❤️‍👩🏼;juftlik va yurak: ayol ayol 3-teri turi;3-teri turi|ayol|juftlik|juftlik va yurak|juftlik va yurak: ayol ayol 3-teri turi|romantika|sevgi|yurak
	👩🏼‍❤️‍👩🏽;juftlik va yurak: ayol ayol 3-teri turi 4-teri turi;3-teri turi|4-teri turi|ayol|juftlik|juftlik va yurak|juftlik va yurak: ayol ayol 3-teri turi 4-teri turi|romantika|sevgi|yurak
	👩🏼‍❤️‍👩🏾;juftlik va yurak: ayol ayol 3-teri turi 5-teri turi;3-teri turi|5-teri turi|ayol|juftlik|juftlik va yurak|juftlik va yurak: ayol ayol 3-teri turi 5-teri turi|romantika|sevgi|yurak
	👩🏼‍❤️‍👩🏿;juftlik va yurak: ayol ayol 3-teri turi 6-teri turi;3-teri turi|6-teri turi|ayol|juftlik|juftlik va yurak|juftlik va yurak: ayol ayol 3-teri turi 6-teri turi|romantika|sevgi|yurak
	👩🏽‍❤️‍👩🏻;juftlik va yurak: ayol ayol 4-teri turi 1–2-teri turi;1–2-teri turi|4-teri turi|ayol|juftlik|juftlik va yurak|juftlik va yurak: ayol ayol 4-teri turi 1–2-teri turi|romantika|sevgi|yurak
	👩🏽‍❤️‍👩🏼;juftlik va yurak: ayol ayol 4-teri turi 3-teri turi;3-teri turi|4-teri turi|ayol|juftlik|juftlik va yurak|juftlik va yurak: ayol ayol 4-teri turi 3-teri turi|romantika|sevgi|yurak
	👩🏽‍❤️‍👩🏽;juftlik va yurak: ayol ayol 4-teri turi;4-teri turi|ayol|juftlik|juftlik va yurak|juftlik va yurak: ayol ayol 4-teri turi|romantika|sevgi|yurak
	👩🏽‍❤️‍👩🏾;juftlik va yurak: ayol ayol 4-teri turi 5-teri turi;4-teri turi|5-teri turi|ayol|juftlik|juftlik va yurak|juftlik va yurak: ayol ayol 4-teri turi 5-teri turi|romantika|sevgi|yurak
	👩🏽‍❤️‍👩🏿;juftlik va yurak: ayol ayol 4-teri turi 6-teri turi;4-teri turi|6-teri turi|ayol|juftlik|juftlik va yurak|juftlik va yurak: ayol ayol 4-teri turi 6-teri turi|romantika|sevgi|yurak
	👩🏾‍❤️‍👩🏻;juftlik va yurak: ayol ayol 5-teri turi 1–2-teri turi;1–2-teri turi|5-teri turi|ayol|juftlik|juftlik va yurak|juftlik va yurak: ayol ayol 5-teri turi 1–2-teri turi|romantika|sevgi|yurak
	👩🏾‍❤️‍👩🏼;juftlik va yurak: ayol ayol 5-teri turi 3-teri turi;3-teri turi|5-teri turi|ayol|juftlik|juftlik va yurak|juftlik va yurak: ayol ayol 5-teri turi 3-teri turi|romantika|sevgi|yurak
	👩🏾‍❤️‍👩🏽;juftlik va yurak: ayol ayol 5-teri turi 4-teri turi;4-teri turi|5-teri turi|ayol|juftlik|juftlik va yurak|juftlik va yurak: ayol ayol 5-teri turi 4-teri turi|romantika|sevgi|yurak
	👩🏾‍❤️‍👩🏾;juftlik va yurak: ayol ayol 5-teri turi;5-teri turi|ayol|juftlik|juftlik va yurak|juftlik va yurak: ayol ayol 5-teri turi|romantika|sevgi|yurak
	👩🏾‍❤️‍👩🏿;juftlik va yurak: ayol ayol 5-teri turi 6-teri turi;5-teri turi|6-teri turi|ayol|juftlik|juftlik va yurak|juftlik va yurak: ayol ayol 5-teri turi 6-teri turi|romantika|sevgi|yurak
	👩🏿‍❤️‍👩🏻;juftlik va yurak: ayol ayol 6-teri turi 1–2-teri turi;1–2-teri turi|6-teri turi|ayol|juftlik|juftlik va yurak|juftlik va yurak: ayol ayol 6-teri turi 1–2-teri turi|romantika|sevgi|yurak
	👩🏿‍❤️‍👩🏼;juftlik va yurak: ayol ayol 6-teri turi 3-teri turi;3-teri turi|6-teri turi|ayol|juftlik|juftlik va yurak|juftlik va yurak: ayol ayol 6-teri turi 3-teri turi|romantika|sevgi|yurak
	👩🏿‍❤️‍👩🏽;juftlik va yurak: ayol ayol 6-teri turi 4-teri turi;4-teri turi|6-teri turi|ayol|juftlik|juftlik va yurak|juftlik va yurak: ayol ayol 6-teri turi 4-teri turi|romantika|sevgi|yurak
	👩🏿‍❤️‍👩🏾;juftlik va yurak: ayol ayol 6-teri turi 5-teri turi;5-teri turi|6-teri turi|ayol|juftlik|juftlik va yurak|juftlik va yurak: ayol ayol 6-teri turi 5-teri turi|romantika|sevgi|yurak
	👩🏿‍❤️‍👩🏿;juftlik va yurak: ayol ayol 6-teri turi;6-teri turi|ayol|juftlik|juftlik va yurak|juftlik va yurak: ayol ayol 6-teri turi|romantika|sevgi|yurak
👨‍👩‍👦;oila: erkak ayol o‘g‘il bola;ayol|erkak|farzand|o‘g‘il bola|oila|oila: erkak ayol o‘g‘il bola|ona|ota
👨‍👩‍👧;oila: erkak ayol qiz bola;ayol|erkak|farzand|oila|oila: erkak ayol qiz bola|ona|ota|qiz bola
👨‍👩‍👧‍👦;oila: erkak ayol qiz bola o‘g‘il bola;ayol|erkak|farzand|o‘g‘il bola|oila|oila: erkak ayol qiz bola o‘g‘il bola|ona|ota|qiz bola
👨‍👩‍👦‍👦;oila: erkak ayol o‘g‘il bola o‘g‘il bola;ayol|erkak|farzand|o‘g‘il bola|oila|oila: erkak ayol o‘g‘il bola o‘g‘il bola|ona|ota
👨‍👩‍👧‍👧;oila: erkak ayol qiz bola qiz bola;ayol|erkak|farzand|oila|oila: erkak ayol qiz bola qiz bola|ona|ota|qiz bola
👨‍👨‍👦;oila: erkak erkak o‘g‘il bola;erkak|farzand|o‘g‘il bola|oila|oila: erkak erkak o‘g‘il bola|ona|ota
👨‍👨‍👧;oila: erkak erkak qiz bola;erkak|farzand|oila|oila: erkak erkak qiz bola|ona|ota|qiz bola
👨‍👨‍👧‍👦;oila: erkak erkak qiz bola o‘g‘il bola;erkak|farzand|o‘g‘il bola|oila|oila: erkak erkak qiz bola o‘g‘il bola|ona|ota|qiz bola
👨‍👨‍👦‍👦;oila: erkak erkak o‘g‘il bola o‘g‘il bola;erkak|farzand|o‘g‘il bola|oila|oila: erkak erkak o‘g‘il bola o‘g‘il bola|ona|ota
👨‍👨‍👧‍👧;oila: erkak erkak qiz bola qiz bola;erkak|farzand|oila|oila: erkak erkak qiz bola qiz bola|ona|ota|qiz bola
👩‍👩‍👦;oila: ayol ayol o‘g‘il bola;ayol|farzand|o‘g‘il bola|oila|oila: ayol ayol o‘g‘il bola|ona|ota
👩‍👩‍👧;oila: ayol ayol qiz bola;ayol|farzand|oila|oila: ayol ayol qiz bola|ona|ota|qiz bola
👩‍👩‍👧‍👦;oila: ayol ayol qiz bola o‘g‘il bola;ayol|farzand|o‘g‘il bola|oila|oila: ayol ayol qiz bola o‘g‘il bola|ona|ota|qiz bola
👩‍👩‍👦‍👦;oila: ayol ayol o‘g‘il bola o‘g‘il bola;ayol|farzand|o‘g‘il bola|oila|oila: ayol ayol o‘g‘il bola o‘g‘il bola|ona|ota
👩‍👩‍👧‍👧;oila: ayol ayol qiz bola qiz bola;ayol|farzand|oila|oila: ayol ayol qiz bola qiz bola|ona|ota|qiz bola
👨‍👦;oila: erkak o‘g‘il bola;erkak|farzand|o‘g‘il bola|oila|oila: erkak o‘g‘il bola|ona|ota
👨‍👦‍👦;oila: erkak o‘g‘il bola o‘g‘il bola;erkak|farzand|o‘g‘il bola|oila|oila: erkak o‘g‘il bola o‘g‘il bola|ona|ota
👨‍👧;oila: erkak qiz bola;erkak|farzand|oila|oila: erkak qiz bola|ona|ota|qiz bola
👨‍👧‍👦;oila: erkak qiz bola o‘g‘il bola;erkak|farzand|o‘g‘il bola|oila|oila: erkak qiz bola o‘g‘il bola|ona|ota|qiz bola
👨‍👧‍👧;oila: erkak qiz bola qiz bola;erkak|farzand|oila|oila: erkak qiz bola qiz bola|ona|ota|qiz bola
👩‍👦;oila: ayol o‘g‘il bola;ayol|farzand|o‘g‘il bola|oila|oila: ayol o‘g‘il bola|ona|ota
👩‍👦‍👦;oila: ayol o‘g‘il bola o‘g‘il bola;ayol|farzand|o‘g‘il bola|oila|oila: ayol o‘g‘il bola o‘g‘il bola|ona|ota
👩‍👧;oila: ayol qiz bola;ayol|farzand|oila|oila: ayol qiz bola|ona|ota|qiz bola
👩‍👧‍👦;oila: ayol qiz bola o‘g‘il bola;ayol|farzand|o‘g‘il bola|oila|oila: ayol qiz bola o‘g‘il bola|ona|ota|qiz bola
👩‍👧‍👧;oila: ayol qiz bola qiz bola;ayol|farzand|oila|oila: ayol qiz bola qiz bola|ona|ota|qiz bola
🗣️;gapirayotgan bosh;bosh|gapirayotgan bosh|gapirish|nutq|siluet|yuz
👤;kontur suratli byust;byust|kontur suratli byust|siluet
👥;kontur suratli byustlar;byust|kontur suratli byustlar|siluet
🫂;quchoqlashayotgan odamlar;minnatdorlik|quchoqlashayotgan odamlar|quchoqlashish|rahmat|salom|xayr
👪;oila;farzand|oila|ona|ota
🧑‍🧑‍🧒;oila: ikkita kattalar, bola;bola|oila: ikkita kattalar|oila: ikkita kattalar va bola|oila: ikkita kattalar, bola
🧑‍🧑‍🧒‍🧒;oila: ikkita kattalar, ikkita bola;ikkita bola|oila: ikkita kattalar|oila: ikkita kattalar va ikkita bola|oila: ikkita kattalar, ikkita bola
🧑‍🧒;oila: bitta katta odam, bir bola;bir bola|oila: bitta katta odam|oila: bitta katta odam va bola|oila: bitta katta odam, bir bola
🧑‍🧒‍🧒;oila: bitta katta odam, ikki bola;ikki bola|oila: bitta katta odam|oila: bitta katta odam va ikki bola|oila: bitta katta odam, ikki bola
👣;oyoq izlari;iz|kiyim|oyoq izi|oyoq izlari|tana

[animals_nature]
🐵;maymun qiyofasi;maymun|maymun qiyofasi|yuz
🐒;maymun;maymun
🦍;gorilla;gorilla|hayvon|maymun
🦧;orangutan;maymun|orangutan
🐶;kuchuk qiyofasi;kuchuk|kuchuk qiyofasi|uy hayvoni|yuz
🐕;kuchuk;kuchuk|uy hayvoni
🦮;boshlovchi it;boshlovchi|boshlovchi it|gid|koʻr|maxsus imkoniyatlar
🐕‍🦺;xizmat iti;it|nogiron|xizmat|xizmat iti|yordam
🐩;pudel;kuchuk|pudel
🐺;boʻri;boʻri|yuz
🦊;tulki;tulki|yuz
🦝;yenot;jonivor|silash|yenot|yenot tumshug‘i
🐱;mushuk qiyofasi;mushuk|mushuk qiyofasi|uy hayvoni|yuz
🐈;mushuk;mushuk|uy hayvoni
🐈‍⬛;qora mushuk;mushuk|omadsiz|qora
🦁;sher;burj|sher|Sherxon|yuz
🐯;yo‘lbars qiyofasi;yo‘lbars qiyofasi|yoʻlbars|yuz
🐅;yo‘lbars;yo‘lbars
🐆;qoplon;qoplon
🐴;ot qiyofasi;ot|ot qiyofasi|yuz
🫎;bugʻu;bugʻu|hayvon|los|shox|sutemizuvchi
🫏;eshak;eshak|hayvon|orqa|qaysar|sutemizuvchi|xachir
🐎;ot;ot|ot poygasi
🦄;yakkashox;yakkashox|yuz
🦓;zebra;oq-qora|yo‘l-yo‘l|zebra
🦌;kiyik;hayvon|kiyik
🦬;bizon;bizon|buyvol|poda|zubr
🐮;sigir qiyofasi;sigir|sigir qiyofasi|yuz
🐂;ho‘kiz;buqa|burj|ho‘kiz
🐃;buyvol;buqa|buyvol|suv
🐄;sigir;sigir
🐷;cho‘chqa qiyofasi;cho‘chqa qiyofasi|choʻchqa|yuz
🐖;cho‘chqa;cho‘chqa|choʻchqa|urgʻochi choʻchqa
🐗;to‘ng‘iz;cho‘chqa|to‘ng‘iz
🐽;cho‘chqa burni;burun|cho‘chqa burni|choʻchqa|yuz
🐏;qo‘chqor;burj|qo‘chqor|qo‘y
🐑;sovliq;qo‘y|sovliq
🐐;echki;burj|echki|uloq
🐪;tuya;bukur|nortuya|tuya
🐫;ikki o‘rkachli tuya;baqtriya tuyasi|ikki o‘rkachli tuya|o‘rkach|tuya
🦙;lama;guanko|hayvon|jonivor|lama|tuyoqli
🦒;jirafa;jirafa|olachipor|xol-xol
🐘;fil;fil
🦣;mamont;mamont|qirilish|qoziqtish|soʻyloqtish|yirik|yungli
🦏;karkidon;hayvon|karkidon
🦛;gippopotam;begemot|gippopotam|hayvon|jonovor
🐭;sichqon qiyofasi;sichqon|sichqon qiyofasi|yuz
🐁;sichqon;sichqon
🐀;kalamush;kalamush
🐹;oʻgmaxon;oʻgmaxon|uy hayvoni|yuz
🐰;quyon qiyofasi;quyon|quyon qiyofasi|uy hayvoni|yuz
🐇;quyon;quyon|uy hayvobi
🐿️;burunduq;burunduq|olmaxon
🦫;suv qunduzi;damba|koʻtarma|qunduz|suv qunduzi
🦔;tipratikan;ignali|tikanli|tipratikan
🦇;ko‘rshapalak;hayvon|ko‘rshapalak|vampir
🐻;ayiq;ayiq|yuz
🐻‍❄️;qutb ayig‘i;ayiq|oq|qutb|qutb ayig‘i
🐨;koala;ayiq|koala|yuz
🐼;panda;panda|yuz
🦥;yalqov;dangasa|sekin|yalqov
🦦;qunduz;baliq ovi|hayvon|oʻyinqaroq|qunduz
🦨;skuns;qoʻlansa|sassiq|sassiqvoy|skuns
🦘;kenguru;avstraliya|jonivor|kenguru|sakrash|xaltali
🦡;bo‘rsiq;bo‘rsiq|jonivor
🐾;panja izlari;bosma|oyoq|panja|panja izlari
🦃;kurka;kurka|parranda
🐔;tovuq;jo‘ja|tovuq
🐓;xo‘roz;parranda|xo‘roz|xoʻroz
🐣;tuxumdan chiqayotgan jo‘ja;chaqaloq|joʻja|parranda|tuxumdan chiqayotgan jo‘ja|tuxumdan yorib chiqish
🐤;jo‘ja;chaqaloq|jo‘ja|joʻja|parranda
🐥;oldiga qarab turgan jo‘ja;chaqaloq|jo‘ja|oldiga qarab turgan jo‘ja
🐦;qush;qush
🐧;pingvin;parranda|pingvin
🕊️;kabutar;kabutar|qush|tinchlik|uchish
🦅;burgut;burgut|qush
🦆;o‘rdak;o‘rdak|oʻrdak|parranda
🦢;oqqush;irkit o‘rdakcha|oqqush|parranda|qush|suvda suzuvchi
🦉;boyqush;boyqush|donolik|qush
🦤;Mavrikiya dronti;Mavrikiy|Mavrikiya dronti|qirilish|yirik
🪶;pat;par|parvoz|pat|yengil
🦩;flamingo;ajoyib|flamingo|tropik
🦚;tovus;dum|parranda|pat|qush|tovus|yelpig‘ich|yoyish
🦜;to‘ti;dengiz qaroqchisi|gapiruvchi|qaroqchi|qush|to‘ti
🪽;qanot;aviatsiya|farishta|mifologiya|qanot|qush|uchish
🐦‍⬛;qora qush;goʻngqargʻa|qargʻa|qora|qush|quzgʻun
🪿;gʻoz;ahmoq|gʻoz|parranda|qichqirish|qush
🐦‍🔥;qaqnus;afsonaviy qush|fantaziya|feniks|olovqush|qaqnus|qayta tugʻilish
🐸;baqa;baqa|qurbaqa|yuz
🐊;timsoh;timsoh
🐢;toshbaqa;toshbaqa
🦎;kaltakesak;kaltakesak|sudralib yuruvchi
🐍;ilon;burj|ilon
🐲;ajdar qiyofasi;ajdar|ajdar qiyofasi|ajdarho|ertak|qiyofa|yuz
🐉;ajdar;ajdar|ertak
🦕;zauropod;braxiozavr|brontozavr|diplodok|zauropod
🦖;T-Reks;reks|T-Reks|tirannozavr
🐳;favvora hosil qilayotgan kit;favvora hosil qilayotgan kit|kit|sachratish|yuz
🐋;kit;kit
🐬;delfin;delfin|suzgich
🦭;dengiz mushugi;dengiz mushugi|dengiz sheri
🐟;baliq;baliq|burj
🐠;tropik baliq;baliq|tropik
🐡;qorni katta baliq;baliq|qorni katta baliq
🦈;akula;akula|baliq
🐙;sakkizoyoq;sakkizoyoq
🐚;spiral qobiq;qobiq|spiral
🪸;marjon;marjon|okean|rif
🪼;meduza;dengiz|jele|kuyish|meduza|umurtqasiz|zahar
🐌;shilliqqurt;shilliqqurt
🦋;kapalak;go‘zallik|hasharot|kapalak
🐛;taxtakana;taxtakana|xasharot
🐜;chumoli;chumoli|xasharot
🐝;asalari;ari|asalari|xasharot
🪲;qoʻngʻiz;hasharot|qoʻngʻiz|qumursqa
🐞;xonqizi;xasharot|xonqizi
🦗;qora chigirtka;chigirtka|qora chigirtka
🪳;suvarak;chuqurcha|hasharot|suvarak
🕷️;o‘rgimchak;o‘rgimchak|xasharot
🕸️;o‘rgimchak to‘ri;o‘rgimchak to‘ri|oʻrgimchak|toʻr
🦂;chayon;burj|chayon
🦟;chivin;bezgak|chivin|malyariya|qon so‘rish|virus
🪰;pashsha;chirish|irish|kasallik|pashsha|qurt|setse|uy pashshasi
🪱;qurt;boʻgʻimli qurt|chuvalchang|parazit|qurt
🦠;mikrob;amyoba|bakteriya|mikrob|virus
💐;guldasta;gul|guldasta|o‘simlik|romantika
🌸;gilos guli;gilos|gilos guli|gul|gullash
💮;oq gul;gul|oq gul
🪷;nilufar gul;Buddizm|gul|Hinduizm|nilufar gul|soflik
🏵️;to‘pbarggul;o‘simlik|to‘pbarggul
🌹;atirgul;atirgul|gul|o‘simlik
🥀;so‘nayotgan gul;gul|quriyotgan|so‘nayotgan
🌺;xitoy atirguli;gul|o‘simlik|xitoy atirguli
🌻;kungaboqar;gul|kungaboqar|o‘simlik|quyosh
🌼;gul;gul|o‘simlik
🌷;lola;gul|lola|o‘simlik
🪻;sumbul;gul|koʻk qalpoq|lavanda|lyupin|sumbul
🌱;ko‘chat;ko‘chat|o‘simlik|yosh
🪴;tuvakdagi oʻsimlik;foydasiz|oʻsimlik|oʻsish|parvarishlash|tuvakdagi oʻsimlik|uy|zerikarli
🌲;archa;archa|daraxt|o‘simlik
🌳;bargli daraxt;bargli|daraxt|toʻkilish
🌴;palma daraxti;daraxt|palma|palma daraxti
🌵;kaktus;kaktus|o‘simlik
🌾;sholi poyasi;boshoq|guruch|o‘simlik|sholi poyasi
🌿;o‘simlik;barg|o‘simlik
☘️;sebarga;o‘simlik|sebarga
🍀;to‘rt yaproqli beda bargi;4|barg|beda|oʻsimlik|to‘rt yaproqli beda bargi|toʻrt
🍁;zarang bargi;barg|xazon|zarang|zarang bargi
🍂;xazon bargi;barg|o‘simlik|xazon|xazon bargi
🍃;shamolda uchayotgan barg;barg|o‘simlik|shamol|shamolda uchayotgan barg|uchish
🪹;empty nest;empty nest|in qurish
🪺;tuxumlar bor in;in qurish|tuxumlar bor in
🍄;qo‘ziqorin;o‘simlik|qo‘ziqorin

[food_drink]
🍇;uzum;meva|o‘simlik|uzum
🍈;qovun;meva|o‘simlik|qovun
🍉;tarvuz;meva|o‘simlik|tarvuz
🍊;mandarin;apelsin|mandarin|meva|o‘simlik
🍋;limon;limon|meva|nordon|o‘simlik|sitrus
🍋‍🟩;laym;laym|meva|sitrus|tropik
🍌;banan;banan|meva|o‘simlik
🍍;ananas;ananas|meva|o‘simlik
🥭;mango;mango|meva|tropik
🍎;qizil olma;meva|o‘simlik|olma|qizil
🍏;yashil olma;meva|o‘zimlik|olma|yashil
🍐;nok;meva|nok|o‘simlik
🍑;shaftoli;meva|o‘simlik|shaftoli
🍒;gilos;gilos|meva|o‘simlik|olcha
🍓;qulupnay;meva|o‘simlik|qulupnay
🫐;chernika;chernika|moviy|reza meva
🥝;kivi;kivi|meva|taom
🍅;pomidor;o‘simlik|pomidor|sabzavot
🫒;zaytun;ovqat|taom|zaytun
🥥;kokos;kokos|palma|pina kolada
🥑;avokado;avokado|meva|taom
🍆;baqlajon;baqlajon|o‘simlik|sabzavot
🥔;kartoshka;kartoshka|sabzavot|taom
🥕;sabzi;sabzavot|sabzi|taom
🌽;makkajo‘xori;boshoq|jo‘xori|makkajo‘xori|o‘simlik
🌶️;achchiq qalampir;achchiq|o‘simlik|qalampir
🫑;bolgar qalampiri;bolgar qalampiri|kapsikum|qalampir|sabzavot
🥒;bodring;bodring|sabzavot|taom|tuzlama
🥬;salat bargi;botva|karam|latuk|salat|salat bargi
🥦;brokkoli;brokkoli|karam|yovvoyi karam
🧄;sarimsoq;sarimsoq|ziravor
🧅;piyoz;bosh|koʻz yoshi|piyoz|yigʻi
🥜;yeryong‘oq;sabzavot|taom|yeryong‘oq|yong‘oq
🫘;loviya;dukkakli|loviya|sabzavot
🌰;kashtan yong‘og‘i;kashtan yong‘og‘i|o‘simlik
🫚;zanjabil ildizi;ildiz|pivo|zanjabil ildizi|ziravor
🫛;yashil loviya;dukkakli|edamame|loviya|noʻxat|sabzavot|yashil loviya
🍄‍🟫;qoʻngʻir qoʻziqorin;qoʻngʻir qoʻziqorin|qoʻziqorin|sabzavot|tabiiy|taom
🍞;non;bulka non|non
🥐;kruassan;fransuz|kruassan|non|taom
🥖;baget;baget|fransuz|non|taom
🫓;malda non;arepa|lavash|malda non|naan|pita
🥨;kulcha;kulcha|o‘ralgan|o‘rama
🥯;shirmoy teshik kulcha;kulcha|shirmoy teshik kulcha|teshik kulcha
🥞;blinchik;blinchik|blinchiklar|krep|pirog|taom
🧇;vafli;nonushta|qattiq|vafli|yumshoq
🧀;pishloq bo‘lagi;pishloq|pishloq bo‘lagi
🍖;suyakdagi go‘sht;go‘sht|suyak|suyakdagi go‘sht
🍗;parranda oyog‘i;oyoq|parranda|parranda oyog‘i|pishirilgan tovuq oyogʻi|suyak|tovuq
🥩;go‘sht bo‘lagi;go‘sht bo‘lagi|kesilgan|lahm|steyk
🥓;bekon;bekon|go‘sht|taom
🍔;gamburger;burger|gamburger
🍟;qovurilgan fri-kartoshka;fransuz|kartoshka-fri|qovurilgan fri-kartoshka
🍕;pitsa;bo‘lak|pishloq|pitsa
🌭;xot-dog;kolbasa|sosiska|xot-dog
🥪;sendvich;buterbrod|non|sendvich
🌮;tako;meksika taomi|tako
🌯;burrito;burrito|meksika taomi
🫔;tamale;meksika|meksikancha|oʻralgan|oʻrama|tamale
🥙;shaurma;falafel|giros|kabob|non|qiymalangan|shaurma|taom
🧆;falafel;falafel|noʻxat|qiyma|yumaloq qiyma
🥚;tuxum;nonushta|taom|tuxum
🍳;taom tayyorlash;qovurish|taom tayyorlash|tova|tuxum
🥘;bir tova qovurdoq;bir tova qovurdoq|jarkop|paelya|taom|tova
🍲;bir qozon ovqat;bir qozon ovqat|go‘sht|qozon
🫕;fondyu;eritilgan|fondyu|pishloq|shokolad|shveytsar|shveytsarcha|tova
🥣;kosa bilan qoshiq;atala|bo‘tqa|bodroq|kosa bilan qoshiq|nonushta
🥗;sabzavotli salat;koʻkat|sabzavotli salat|salat|taom
🍿;popkorn;popkorn
🧈;sariyogʻ;qaymoq|sariyogʻ|sut mahsulotlari|yogʻ
🧂;tuzdon;dengiz tuzi|tuz|tuzdon|tuzluq
🥫;konserva;banka|konserva|tunuka idish
🍱;xonachali taom qutisi;quti|xonachali|xonachali taom qutisi
🍘;guruchli pishiriq;guruch|guruchli pishiriq|kreker
🍙;yumaloqlangan guruch;guruch|shar|yapon|yumaloq|yumaloqlangan guruch
🍚;pishirilgan guruch;guruch|pishirilgan
🍛;guruchli karri;guruch|guruchli karri|karri
🍜;qaynoq lag‘mon;kosa|lag‘mon|qaynoq|ramyon
🍝;spagetti;pasta|spagetti
🍠;jigarli batat;jigarli batat|kartoshka|mazali|qovurilgan
🍢;sixdagi dengiz taomi;dengiz taomi|kabob|six|sixdagi dengiz taomi
