[smileys_emotion]
😀;glottandi andlit;andlit|glott|glottandi andlit
🕛;klukkan tólf;12:00|klukka|klukkan tólf|tólf
🕧;hálfeitt;12:30|hálfeitt|klukka|tólf þrjátíu
🕐;klukkan eitt;1:00|eitt|klukka|klukkan eitt
🕜;hálftvö;1:30|eitt þrjátíu|hálftvö|klukka
🕑;klukkan tvö;2:00|klukka|klukkan tvö|tvö
🕝;hálfþrjú;2:30|hálfþrjú|klukka|tvö þrjátíu
🕒;klukkan þrjú;3:00|klukka|klukkan þrjú|þrjú
🕞;hálffjögur;3:30|hálffjögur|klukka|þrjú þrjátíu
🕓;klukkan fjögur;4:00|fjögur|klukka|klukkan fjögur
🕟;hálffimm;4:30|fjögur þrjátíu|hálffimm|klukka
🕔;klukkan fimm;5:00|fimm|klukka|klukkan fimm
🕠;hálfsex;5:30|fimm þrjátíu|hálfsex|klukka
🕕;klukkan sex;6:00|klukka|klukkan sex|sex
🕡;hálfsjö;6:30|hálfsjö|klukka|sex þrjátíu
🕖;klukkan sjö;7:00|klukka|klukkan sjö|sjö
🕢;hálfátta;7:30|hálfátta|klukka|sjö þrjátíu
🕗;klukkan átta;8:00|átta|klukka|klukkan átta
🕣;hálfníu;8:30|átta þrjátíu|hálfníu|klukka
🕘;klukkan níu;9:00|klukka|klukkan níu|níu
🕤;hálftíu;9:30|hálftíu|klukka|níu þrjátíu
🕙;klukkan tíu;10:00|klukka|klukkan tíu|tíu
🕥;hálfellefu;10:30|hálfellefu|klukka|tíu þrjátíu
🕚;klukkan ellefu;11:00|ellefu|klukka|klukkan ellefu
🕦;hálftólf;11:30|ellefu þrjátíu|hálftólf|klukka
🌑;nýtt tungl;dökkt|máni|nýr máni|nýtt|tungl
🌒;vaxandi tungl (minna en hálft);mánasigð|máni|tungl|vaxandi|vaxandi tungl (minna en hálft)
🌓;fyrsta kvartil tungls;fyrsta kvartil tungls|máni|tungl|vaxandi hálfmáni
🌔;vaxandi tungl (meira en hálft);ávalt tungl|máni|tungl|vaxandi|vaxandi tungl (meira en hálft)
🌕;fullt tungl;fullt|máni|tungl
🌖;minnkandi tungl (meira en hálft);ávalt tungl|máni|minnkandi|minnkandi tungl (meira en hálft)|tungl
🌗;síðasta kvartil;hálfmáni|kvartil|máni|síðasta kvartil|tungl
🌘;minnkandi tungl (minna en hálft);hálfmáni|máni|minnkandi|minnkandi tungl (minna en hálft)|tungl
🌙;hálfmáni;hálfmáni|máni|tungl
🌚;nýtt tungl með andliti;andlit|karlinn í tunglinu|máni|nýtt tungl|nýtt tungl með andliti|tungl
🌛;fyrsta kvartil tungls með andliti;andlit|fyrsta kvartil tungls|fyrsta kvartil tungls með andliti|máni|tungl|tunglsigð
🌜;síðasta kvartil tungls með andliti;andlit|máni|síðasta kvartil tungls|síðasta kvartil tungls með andliti|tungl|tunglsigð
🌡️;hitamælir;hitamælir|veður
☀️;sól;bjart|geislar|sól|sólargeislar|sólskin
🌝;fullt tungl með andliti;andlit|bjart|fullt tungl|fullt tungl með andliti|máni|tungl
🌞;sól með andliti;andlit|sól|sól með andliti
🪐;pláneta með hringi;fálátur|pláneta með hringi|satúrnus
⭐;gul stjarna;gul stjarna|stjarna
🌟;skínandi stjarna;skínandi|stjarna
🌠;stjörnuhrap;óskastjarna|stjarna|stjörnuhrap
🌌;vetrarbrautin;geimurinn|vetrarbrautin
☁️;ský;ský|skýjað|svart ský
⛅;sól bakvið ský;ský|sól|sól bakvið ský|sól og ský
⛈️;ský með eldingu og regni;regn|ský|ský með eldingu og regni|veður|þruma
🌤️;sól á bak við ský;ský|sól|sól á bak við ský|veður
🌥️;sól á bak við stórt ský;ský|sól|sól á bak við stórt ský|veður
🌦️;sól á bak við regnský;regn|ský|sól|sól á bak við regnský|veður
🌧️;regnský;regn|regnský|ský|veður
🌨️;snjóský;kalt|ský|snjór|snjóský|veður
🌩️;eldingarský;elding|eldingarský|ský|veður
🌪️;skýstrókur;hvirfilbylur|ský|skýstrókur|veður
🌫️;þoka;ský|veður|þoka
🌬️;veðurandlit;andlit|blæs|ský|veðurandlit|vindur
🌀;fellibylur;fellibylur|hvirfilbylur|hvirfilvindur|snýst|stormsveipur
🌈;regnbogi;regn|regnbogi|veður
🌂;lokuð regnhlíf;klæðnaður|lokuð regnhlíf|regnhlíf|rigning|samanlögð regnhlíf|veður
☂️;regnhlíf;klæðnaður|regn|regnhlíf|veður
☔;regnhlíf með regndropum;dropi|klæðnaður|regn|regnhlíf|regnhlíf með regndropum
⛱️;sólhlíf á jörðinni;regn|regnhlíf|sól|sólhlíf|sólhlíf á jörðinni|veður
⚡;háspenna;háspenna|lífshætta|rafmagn|spenna
❄️;snjókorn;kalt|snjókorn|snjór|veður
☃️;snjókarl í snjókomu;kalt|snjókarl í snjókomu|snjór|veður
⛄;snjókarl;snjókall|snjókarl|snjór
☄️;halastjarna;geimur|halastjarna
🔥;eldur;eldur|logi
💧;dropi;dropi|skrípó|smádropi|sviti
🌊;alda;alda|bylgja

[activities]
🎃;hrekkjavökugrasker;hátíð|hrekkjavaka|hrekkjavökugrasker
🎄;jólatré;hátíð|jól|jólatré|tré
🎆;flugeldar;áramót|flugeldar|hátíð
🎇;stjörnuljós;áramót|blys|hátíð|stjörnuljós
🧨;púðurkerling;dínamít|flugeldar|púðurkerling|sprengiefni
✨;stjörnur;glit|neistar|stjörnur
🎈;blaðra;blaðra|veisla
🎉;knall;hátíð|knall|veisla
🎊;veisluskraut;confetti|pappírssnifsi|veisla|veisluskraut
🎋;Tanabata-tré;borði|fagnaður|japanskt|Tanabata-tré|tré
🎍;blómaskreyting með furu;áramót|blómaskreyting með furu|fura|hátíð|japanskt
🎎;japanskar brúður;brúðuhátíð|hátíð|japanskar brúður|japanskt
🎏;fiskveifur;fiskveifur|hátíð|veifur
🎐;órói;órói|vindharpa
🎑;tunglskoðun;hátíð|tungl|tunglskoðun|tunglskoðunarhátíð
🧧;rautt umslag;gjöf|lai see|lukka|peningar|rautt umslag
🎀;borði;borði|slaufa|veisla
🎁;gjöf;gjöf|innpökkuð gjöf|veisla
🎗️;minnisvarðaborði;borði|fagnaður|minnisvarðaborði|minnisvarði
🎟️;aðgöngumiðar;aðgangseyrir|aðgöngumiðar|miði
🎫;miði;aðgöngumiði|miði|skemmtun
🎖️;hermedalía;fagnaður|her|hermedalía|medalía
🏆;verðlaunabikar;bikar|verðlaun|verðlaunabikar
🏅;íþróttamedalía;íþróttamedalía|medalía
🥇;gullverðlaun;fyrsta|gull|gullverðlaun|sæti|verðlaun
🥈;silfurverðlaun;annað sæti|silfur|silfurverðlaun|verðlaun
🥉;bronsverðlaun;brons|bronsverðlaun|sæti|verðlaun|þriðja
⚽;fótbolti;bolti|fótbolti
⚾;hafnabolti;bolti|hafnabolti
🥎;mjúkbolti;bolti|hanski|mjúkbolti|undirhandarkast
🏀;körfubolti;bolti|íþróttir|karfa|körfubolti
🏐;blak;blak|bolti|leikur
🏈;amerískur fótbolti;amerískur fótbolti|bolti|íþrótt|ruðningur
🏉;rúgbíbolti;bolti|íþrótt|rúgbíbolti
🎾;tennis;bolti|íþróttir|tennis|tennisbolti|tennisspaði og bolti
🥏;frisbídiskur;frisbí|frisbídiskur|ultimate
🎳;keila;keila|keilukúla|keilur|leikur
🏏;krikket;bolti|krikket|kylfa|leikur
🏑;grashokkí;bolti|grashokkí|hokkí|kylfa|leikur|völlur
🏒;íshokkí;ís|íshokkí|kylfa|leikur|pökkur
🥍;háfleikur;bolti|háfleikur|kylfa|mark
🏓;borðtennis;bolti|borðtennis|leikur|spaði
🏸;badminton;badminton|badmintonbolti|fjaðrabolti|leikur|spaði
🥊;boxhanski;box|boxhanski|hanski|íþrótt
🥋;bardagabúningur;bardagabúningur|bardagaíþrótt|bardagi|íþrótt|júdó
🥅;mark;fótbolti|íþrótt|mark|net
⛳;golf;flagg í holu|golf|golfhola|hola
⛸️;skauti;ís|skauti|svell
🎣;veiðistöng;fiskur|stangveiði|veiðistöng
🤿;köfunargríma;dýfingar|kafa|köfunargríma|snorkla
🎽;hlaupabolur;bolur|borði|hlaup|hlaupabolur|íþróttir
🎿;skíði;íþróttir|skíðaskór|skíði|skíði og skíðaskór
🛷;sleði;Sleði
🥌;krullusteinn;krulla|krullusteinn|leikur|steinn
🎯;skotmark;beint í mark|leikur|skotfimi|skotmark
🪀;jójó;jójó|leikfang
🪁;flugdreki;fljúga|flugdreki|svífa
🔫;byssa;byssa|skammbyssa
🎱;billjard;biljarður|billjard|leikur|pool
🔮;kristalskúla;kristall|kristalskúla|kúla|spá|spádómur
🪄;töfrasproti;galdrakarl|galdrar|galdur|norn|töfrasproti
🎮;tölvuleikur;leikjatölva|leikur|stýripinni|tölvuleikur
🕹️;stýripinni;leikur|stýripinni|tölvuleikur
🎰;spilakassi;leikur|spilakassi
🎲;teningur;leikur|spilateningur|teningur
🧩;púsl;krækja saman|púsl|púsluspil|vísbending
🧸;bangsi;bangsi|dót|leikfang|tuskudýr
🪅;piñata;fögnuður|piñata|slá köttinn úr tunnunni
🪩;diskókúla;dans|diskó|diskókúla|glitra|partý
🪆;babúskur;babúskur|dúkkur|Rússland
♠️;spaði;leikur|spaði|spil|spilalitur
♥️;hjarta;hjarta|leikur|spil|spilalitur
♦️;tígull;leikur|spil|spilalitur|tigull|tígull
♣️;lauf;lauf|leikur|spil|spilalitur
♟️;taflpeð;fórn|peð|skák|tafl|taflpeð
🃏;jókerspil;jóker|jókerspil|spil
🀄;Mahjong-tafla;dreki|mahjong|Mahjong-tafla|rauður dreki
🎴;blómaspil;blóm|blómaspil|japanskur|leikur|spil
🎭;leikhúsgrímur;leikhúsgrímur|leiklist|list|skemmtun|sviðslistir
🖼️;rammi með mynd;list|málverk|mynd|rammi|rammi með mynd|safn
🎨;litapalletta;list|litapalletta|litaspjald|málning|palletta
🧵;tvinni;kefli|nál|sauma|tvinni|þráður
🪡;saumnál;nál|sauma|saumaspor|saumnál|sníða|spor|útsaumur
🧶;garn;garn|hekl|hespa|hnykill
🪢;hnútur;binda|flækja|hnútur|reipi|snúa|tvinni

[objects]
👓;gleraugu;augu|gleraugu|klæðnaður
🕶️;sólgleraugu;auga|dimmt|gleraugu|sólgleraugu
🥽;hlífðargleraugu;hlífðargleraugu|logsuða|rafsuða|sund
🥼;læknasloppur;læknasloppur|læknir|tilraun|vísindamaður
🦺;öryggisvesti;neyðartilfelli|öryggi|öryggisvesti|vesti
👔;hálsbindi;bindi|hálsbindi|klæðnaður
👕;stuttermabolur;bolur|klæðnaður|stuttermabolur
👖;buxur;buxur|gallabuxur|klæðnaður
🧣;trefill;háls|trefill
🧤;hanskar;hanskar|hendi
🧥;kápa;jakki|kápa
🧦;sokkar;háir sokkar|sokkar
👗;kjóll;föt|kjóll|klæðnaður
👘;kímónó;kímónó|klæðnaður|sloppur
🥻;sari;föt|kjóll|klæðnaður|sari
🩱;sundföt;sundbolur|sundföt
🩲;nærbuxur;nærbuxur|nærföt|sundbolur|sundföt
🩳;stuttbuxur;buxur|nærbuxur|nærföt|stuttbuxur|sundföt
👙;bikíní;bikíní|klæðnaður|sundföt
👚;kvenföt;föt|klæðnaður|kona|kvenföt
🪭;blævængur;blævængur|blaka|dans|feimni|heitt|kæla
👛;budda;budda|klæðnaður|peningabudda|smápeningar
👜;handtaska;handtaska|klæðnaður|taska
👝;smáveski;budda|klæðnaður|smáveski
🛍️;innkaupapoki;hótel|innkaupapoki|poki|verslunarleiðangur
🎒;skólataska;skólataska|skóli|taska
🩴;sandali með ól;flipflops|ól|sandalar|sandali með ól|strandsandalar|zori
👞;herraskór;herraskór|karl|klæðnaður|skór
👟;íþróttaskór;íþróttaskór|klæðnaður|skór|strigaskór
🥾;gönguskór;bakpokaferðalag|fjallganga|gönguskór|tjaldferðalag
🥿;lágbotna skór;ballettskór|inniskór|lágbotna skór|skór
👠;háhælaður skór;háhælaður skór|klæðnaður|skór
👡;kvensandali;klæðnaður|kvensandali|kvenskór|sandali
🩰;balletskór;ballet|balletskór|dans
👢;kvenstígvél;klæðnaður|kvenskór|kvenstígvél|stígvél
🪮;hárkambur;afró|greiða|hár|hárkambur|kambur
👑;kóróna;klæðnaður|kóróna
👒;kvenhattur;hattur|klæðnaður|kvenhattur
🎩;pípuhattur;hattur|pípuhattur|skemmtun
🎓;útskriftarhúfa;hátíð|húfa|stúdentshúfa|útskrift|útskriftarhúfa
🧢;derhúfa;derhúfa|hafnaboltahúfa
🪖;hermannahjálmur;her|herinn|hermaður|hermannahjálmur|hjálmur|stríðsmaður
⛑️;hjálmur með hvítum krossi;andlit|björgun|hjálmur|hjálmur með hvítum krossi|hjálp|kross
📿;bænaband;bæn|bænaband|föt|hálsmen|perlur|trú
💄;varalitur;förðun|snyrtivörur|varalitur
💍;hringur;hringur|rómantík
💎;gimsteinn;demantur|gimsteinn|rómantík
🔇;hljóðlaus hátalari;ekki tala|hátalari|hljóðlaus hátalari|þögn
🔈;lágvær hátalari;hátalari|hljóðstyrkur|lágvær hátalari
🔉;hátalari í gangi;hátalari|hátalari í gangi|hljóðstyrkur|lágt
🔊;hávær hátalari;hátalari|hátt|hávær hátalari|hljóðstyrkur
📢;Almannavarnahátalari;Almannavarnahátalari|almannavarnir|gjallarhorn|samskipti
📣;gjallarhorn;fögnuður|gjallarhorn|samskipti
📯;póstlúður;lúður|póstlúður|póstur
🔔;bjalla;bjalla|hringing
🔕;engin bjalla;bjalla|ekkert hljóð|engin bjalla|yfirstrikuð bjalla
🎼;nótnaskrif;G-lykill|nótnaskrif|tónlist
🎵;nóta;nóta|tónlist
🎶;nótur;nóta|nótur|tónlist
🎙️;hljóðnemi í hljóðveri;hljóðnemi|hljóðnemi í hljóðveri|hljóðver|tónlist
🎚️;hljóðstyrkssleði;hljóðstyrkssleði|hljóðstyrkur|sleði|tónlist
🎛️;stýritakkar;stýring|stýritakkar|takkar|tónlist
🎤;hljóðnemi;hljóðnemi|karaoke|karókí|míkrófónn|skemmtun
🎧;heyrnartól;heyrnartól|skemmtun
📻;útvarp;myndband|útvarp
🎷;saxófónn;hljóðfæri|saxófónn|tónlist
🪗;harmonika;harmonika|harmonikuleikari|konsertína|nikka
🎸;gítar;gítar|hljóðfæri|tónlist
🎹;píanó;hljóðfæri|hljómborð|píanó|tónlist
🎺;trompet;hljóðfæri|tónlist|trompet
🎻;fiðla;fiðla|hljóðfæri|tónlist
🪕;banjó;banjó|strengir|strengjahljóðfæri|tónlist
🥁;tromma;hljóðfæri|tónlist|tromma|trommuleikari|trommusett
🪘;handtromma;handtromma|hrynjandi|kónga|taktur|tromma
🪇;hristur;hljóðfæri|hrista|hristur|skrölt|slagverk|tónlist
🪈;flauta;blokkflauta|flauta|hljóðpípa|tónlist|tréblásturshljóðfæri
📱;farsími;farsími|sími
📲;farsími með ör;farsími|farsími með ör|hringja|sími
☎️;sími;sími
📞;símtól;samskipti|sími|símtól
📟;símboði;samskipti|símboði
📠;fax;bréfsími|fax|samskipti
🔋;rafhlaða;batterí|rafhlaða
🪫;raflítil rafhlaða;lítil orka|raflítil rafhlaða|raftæknilegt
🔌;innstunga;innstunga|rafmagn
💻;tölva;fartölva|tölva
🖥️;heimilistölva;borðtölva|heimilistölva|tölva
🖨️;prentari;prentari|tölva
⌨️;lyklaborð;lyklaborð|tölva
🖱️;tölvumús;mús|takki|tölva|tölvumús
🖲️;stýrihjól;stýrihjól|tölva
💽;MD-diskur;MD|MD-diskur|mini disc|smádiskur
💾;disketta;disketta|diskur
💿;blu-ray;blu-ray|diskur|geisladiskur|tölva
📀;DVD;blu-ray|diskur|DVD|geisladiskur|mynddiskur|tölva
🧮;talnagrind;reikningur|talnagrind
🎥;kvikmyndatökuvél;bíó|kvikmynd|kvikmyndatökuvél|skemmtun
🎞️;kvikmyndafilma;bíómynd|kvikmynd|kvikmyndafilma|kvikmyndalist|rammi
📽️;sýningarvél;bíómynd|kvikmynd|kvikmyndalist|myndband|sýningarvél
🎬;klapptré;klappspjald|klapptré|kvikmynd|skemmtun
📺;sjónvarp;myndband|sjónvarp
📷;myndavél;myndavél|myndband
📸;myndavél með flassi;flass|myndavél|myndavél með flassi|myndband
📹;lítil kvikmyndatökuvél;lítil kvikmyndatökuvél|myndavél|vídeó
📼;myndbandsspóla;myndbandsspóla|vídeóspóla
🔍;stækkunargler sem vísar til vinstri;leita|stækkunargler|stækkunargler sem vísar til vinstri
🔎;stækkunargler sem vísar til hægri;leita|stækkunargler|stækkunargler sem vísar til hægri
🕯️;kerti;kerti|ljós
💡;ljósapera;hugmynd|ljós|ljósapera|rafmagn|skrípó
🔦;vasaljós;ljós|vasaljós
🏮;rauður lampi;bar|izakaya|lampi|rauður|veitingastaður
🪔;diya-lampi;diya|diya-lampi|lampi|olía|olíulampi
📔;glósubók með skrautkápu;glósubók|glósubók með skrautkápu|kápa|skreytt glósubók
📕;lokuð bók;bók|lokuð bók
📖;opin bók;bók|opin bók
📗;græn bók;bók|græn
📘;blá bók;blá|bók
📙;appelsínugul bók;appelsínugul|bók
📚;bækur;bækur|bók
📓;glósubók;dagbók|glósubók
📒;dagbók;dagbók|færslubók
📃;skjal;síða|skjal|uppábrett síða
📜;bókrolla;bókrolla|pappír
📄;skjal snýr upp;síða|síða snýr upp|skjal snýr upp|snýr upp
📰;dagblað;blað|dagblað|fréttir
🗞️;samanrúllað dagblað;dagblað|fréttir|pappír|samanrúllað
📑;merkiflipar;bókamerki|flipar|merki|merkiflipar
🔖;bókamerki;bókamerki|merki
🏷️;merkimiði;merki|merkimiði
💰;peningapoki;peningapoki|peningar|poki
🪙;mynt;fjársjóður|gull|málmur|mynt|peningur|silfur
💴;yenaseðill;peningar|peningaseðill|seðill|yen|yenaseðill
💵;dollaraseðill;dollaraseðill|dollari|gjaldmiðill|peningaseðill|peningur|seðill
💶;evruseðill;evra|evruseðill|peningar|peningaseðill|seðill
💷;pundaseðill;peningar|peningaseðill|pund|pundaseðill
💸;fljúgandi peningar;fljúgandi peningar|fljúgandi peningaseðill|peningar|peningaseðill með vængi|seðill
💳;kreditkort;greiðslukort|kort|kredit|kreditkort
🧾;kvittun;bókfærsla|bókhald|endurskoðun|kvittun|sönnun|sönnunargagn
💹;markaður á uppleið;á uppleið|hækkar|jákvætt|markaður á uppleið|verðbréfamarkaður
✉️;umslag;tölvupóstur|umslag
📧;tölvupóstur;bréf|póstur|samskipti|tölvubréf|tölvupóstur
📨;póstur á innleið;bréf|móttekið|póstur|póstur á innleið|tölvupóstur|umslag
📩;póstur á útleið;ör|póstsending|póstur á útleið|tölvupóstur|umsalg|umslag með ör
📤;sendur póstur;bréf|pósthólf|póstur|sendur póstur|sent|úthólf
📥;móttekinn póstur;box|bréf|innhólf|móttekið|móttekinn póstur|póstur
📦;pakki;böggull|kassi|pakki
📫;lokaður póstkassi með reistum fána;flagg|lokaður|lokaður póstkassi með reistum fána|póstkassi með flaggið uppi|póstur
📪;lokaður póstkassi með niðurdregnum fána;flagg|lokaður|lokaður póstkassi með niðurdregnum fána|póstkassi með flaggið niðri|póstur
📬;opinn póstkassi með reistum fána;flagg|opinn|opinn póstkassi með flaggið uppi|opinn póstkassi með reistum fána|póstur
📭;opinn póstkassi með niðurdregnum fána;flagg|opinn|opinn póstkassi með flaggið niðri|opinn póstkassi með niðurdregnum fána|póstur
📮;póstkassi;póstkassi|póstur
🗳️;kjörseðlakassi með kjörseðli;kassi|kjörseðill|kjörseðlakassi með kjörseðli
✏️;blýantur;blýantur|penni|skrifa
✒️;svartur pennaoddur;pennaoddur|penni|svartur pennaoddur
🖋️;sjálfblekungur;penni|sjálfblekungur
🖊️;penni;kúlupenni|penni
🖌️;málningarpensill;mála|málningarpensill
🖍️;vaxlitur;lita|teikna|vaxlitur
📝;minnismiði;minnisbók|minnismiði|samskipti
💼;skjalataska;skjalataska|taska
📁;skráamappa;mappa|skrá|skráamappa
📂;opin mappa;opin mappa|opin skráamappa
🗂️;spjaldskráarblöð;blöð|spjald|spjaldskrá|spjaldskráarblöð
📅;dagatal;dagatal|dagsetning
📆;dagatal með rifgötum;dagatal|dagatal með rifgötum
🗒️;minnisblokk með gormum;blokk|glósa|gormar|minnisblokk með gormum
🗓️;dagatal með gormum;blokk|dagatal|dagatal með gormum|gormar
📇;spjaldskrá;spjaldskrá|uppflettiskrá
📈;á uppleið;á uppleið|graf á uppleið
📉;á niðurleið;á niðurleið|graf á niðurleið
📊;súlurit;myndrit|súlur|súlurit
📋;klippiborð;klemmuspjald|klippiborð|muna
📌;teiknibóla;pinni|teiknibóla
📍;teiknibóla með kúlu;teiknibóla|teiknibóla með kúlu
📎;bréfaklemma;bréfaklemma|klemma
🖇️;samankræktar bréfaklemmur;bréfaklemmur|samankræktar
📏;reglustika;bein reglustika|reglustika
📐;þríhyrnd reglustika;reglustika|þríhyrnd reglustika|þríhyrningur
✂️;skæri;skæri|verkfæri
🗃️;kassi með minnismiðum;kassi|kassi með minnismiðum|skjal|spjöld
🗄️;skjalaskápur;skápur|skjal|skjalaskápur
🗑️;ruslakarfa;rusl|ruslakarfa
🔒;lás;lás|lokaður lás
🔓;opinn lás;læsa|lás|opinn lás|opna|taka úr lás
🔏;lás með penna;blekpenni|lás með blekpenna|lás með penna|persónuvernd
🔐;lokaður lás;lás með lykli|lokaður lás|öruggt
🔑;lykill;aðgangsorð|lykill|lykilorð
🗝️;gamall lykill;gamall|lás|lykill|vísbending
🔨;hamar;hamar|verkfæri
🪓;öxi;handöxi|höggva|kljúfa|öxi|timbur|viður
⛏️;haki;haki|námugröftur|verkfæri
⚒️;hamar og haki;haki|hamar|hamar og haki|verkfæri
🛠️;hamar og skiptilykill;hamar|hamar og skiptilykill|skiptilykill|verkfæri
🗡️;rýtingur;hnífur|rýtingur|vopn
⚔️;krosslögð sverð;krosslögð|sverð|vopn
💣;sprengja;skrípó|sprengja|tilfinningar
🪃;búmerang;Ástralía|búmerang|endurkast|endurvarp
🏹;bogi og ör;bogaskytta|bogi|bogi og ör|bogmaður|ör
🛡️;skjöldur;skjöldur|vopn
🪚;sög;smiður|sög|timbur|verkfæri|viður
🔧;skiptilykill;skiptilykill|verkfæri
🪛;skrúfjárn;skrúfa|skrúfjárn|verkfæri
🔩;bolti og ró;bolti|bolti og ró|ró|verkfæri
⚙️;gírhjól;gírhjól|verkfæri
🗜️;þjöppun;skrúfstykki|verkfæri|þjöppun
⚖️;vog;jafnréttisvog|jafnvægi|vog|vogarskál
🦯;blindrastafur;aðgengi|blindrastafur|blindur|sjónlaus
🔗;tenglamerki;tenglamerki|tenglar|tveir hlekkir
⛓️‍💥;slitin keðja;brjóta|fjötrar|frelsi|hlekkir|keðja|slíta|slitin keðja
⛓️;keðja;keðja
🪝;krókur;bogi|gildra|krækja|krókur
🧰;verkfærakassi;kista|tól|verkfærakassi|verkfæri|viðgerðir
🧲;segull;aðdráttarafl|segull|segulmagn|skeifa
🪜;stigi;klifra|rim|stigi|trappa
⚗️;eimingarflaska;efnafræði|eimingarflaska
🧪;tilraunaglas;efnafræði|efnafræðingur|tilraun|tilraunaglas|tilraunastofa|vísindi
🧫;petrískál;baktería|gerlaflóra|líffræði|líffræðingur|petrískál|tilraunastofa
🧬;dna;dna|erfðaefni|gen|líf|líffræðingur|þróun
🔬;smásjá;smásjá|verkfæri|vísindi
🔭;sjónauki;sjónauki|verkfæri|vísindi
📡;gervihnattaloftnet;diskur|gervihnattadiskur|gervihnattaloftnet|loftnet
💉;sprauta;læknir|lyf|nál|sprauta
🩸;blóðdropi;blæðingar|blóðdropi|blóðgjöf|læknisfræði
💊;pilla;læknir|lyf|pilla
🩹;plástur;plástur
🩼;hækja;fötlun|göngustafur|hækja|hreyfanleikaaðstoð|meiddur|prik
🩺;hlustunarpípa;hjarta|hlustunarpípa|læknir|læknisfræði
🩻;röntgengeisli;bein|beinagrind|læknir|læknisfræðilegt|röntgengeisli
🚪;dyr;dyr|hurð
🛗;lyfta;aðgengi|hífa|lyfta
