[smileys_emotion]
😀;মুখে দেঁতো হাসি;দেঁতো হাসি|মুখ|মুখে দেঁতো হাসি
📠;ফ্যাক্স মেশিন;ফ্যাক্স|ফ্যাক্স মেশিন
🔋;ব্যাটারি;ব্যাটারি
🪫;ব্যাটারি কম;lএনার্জি কম|বৈদ্যুতিন|ব্যাটারি কম
🔌;ইলেকট্রিক প্ল্যাগ;ইলেকট্রিক প্ল্যাগ|প্লাগ|বিদ্যুৎ
💻;ল্যাপটপ কম্পিউটার;কম্পিউটার|পিসি|ব্যক্তিগত|ল্যাপটপ কম্পিউটার
🖥️;ডেস্কটপ কম্পিউটার;কম্পিউটার|ডেস্কটপ
🖨️;প্রিন্টার;কম্পিউটার|প্রিন্টার
⌨️;কিবোর্ড;কম্পিউটার|কিবোর্ড
🖱️;কম্পিউটারের মাউস;কম্পিউটার|কম্পিউটারের মাউস
🖲️;ট্র্যাকবল;কম্পিউটার|ট্র্যাকবল
💽;কম্পিউটার ডিস্ক;অপটিক্যাল|কম্পিউটার|ডিস্ক|মিনি ডিস্ক
💾;ফ্লপি ডিস্ক;কম্পিউটার|ডিস্ক|ফ্লপি
💿;অপ্টিক্যাল ডিস্ক;অপটিক্যাল|অপ্টিক্যাল ডিস্ক|কম্পিউটার|ডিস্ক|সিডি
📀;ডিভিডি;অপটিক্যাল|কম্পিউটার|ডিভিডি|ডিস্ক|নীল রশ্মি
🧮;অ্যাবাকাস;অ্যাবাকাস|গণনা
🎥;মুভি ক্যামেরা;ক্যামেরা|মুভি|সিনেমা
🎞️;ফিল্মের ফ্রেম;ফিল্ম|ফিল্মের ফ্রেম|ফ্রেম|মুভি|সিনেমা
📽️;ফিল্ম প্রজেক্টর;প্রজেক্টর|ফিল্ম|ভিডিও|মুভি|সিনেমা
🎬;ক্ল্যাপার বোর্ড;ক্ল্যাপার|ক্ল্যাপার বোর্ড|মুভি
📺;টেলিভিশন;টিভি|টেলিভিশন|ভিডিও
📷;ক্যামেরা;ক্যামেরা|ভিডিও
📸;ফ্ল্যাশযুক্ত ক্যামেরা;ক্যামেরা|ফ্ল্যাশ|ফ্ল্যাশযুক্ত ক্যামেরা|ভিডিও
📹;ভিডিও ক্যামেরা;ক্যামেরা|ভিডিও
📼;ভিডিও ক্যাসেট;টেপ|ভিএচইএস|ভিডিও|ভিডিও ক্যাসেট
🔍;বাঁদিকে হেলানো আতস কাঁচ;অনুসন্ধান|আতস|কাচ|বাঁদিকে হেলানো আতস কাঁচ|সরঞ্জাম
🔎;ডানদিকে হেলানো আতস কাঁচ;অনুসন্ধান|আতস|কাচ|ডানদিকে হেলানো আতস কাঁচ|সরঞ্জাম
🕯️;মোমবাতি;আলো|মোমবাতি
💡;আলোর বাল্ব;আলো|আলোর বাল্ব|কমিক|ধারণা|বাল্ব|বৈদ্যুতিক
🔦;ফ্ল্যাশ লাইট;আলো|ফ্ল্যাশ লাইট|বৈদ্যুতিক|মশাল|সরঞ্জাম
🏮;লাল কাগজের লণ্ঠন;আলো|জাপানি|বার|লণ্ঠন|লাল|লাল কাগজের লণ্ঠন
🪔;প্রদীপ;তেল|প্রদীপ|বাতি
📔;সজ্জিত মলাটযুক্ত নোটবই;আবরণ|নোটবই|বই|সজ্জিত|সজ্জিত মলাটযুক্ত নোটবই
📕;বন্ধ বই;বই|বন্ধ
📖;খোলা বই;খোলা|বই
📗;সবুজ বই;বই|সবুজ
📘;নীল বই;নীল|বই
📙;কমলা বই;কমলা|বই
📚;বই;বই
📓;নোটবুক;নোটবই|নোটবুক
📒;খাতা;খাতা|নোটবই
📃;মোড়ানো পৃষ্ঠা;কুন্ডলী পাকানো|নথি|পৃষ্ঠা|মোড়ানো পৃষ্ঠা
📜;পাকানো;কাগজ|পাকানো
📄;পৃষ্ঠাটির মুখ উপরের দিকে;নথি|পৃষ্ঠা|পৃষ্ঠাটির মুখ উপরের দিকে
📰;সংবাদপত্র;কাগজ|সংবাদ|সংবাদপত্র
🗞️;রোল করা সংবাদপত্র;কাগজ|পাকানো|রোল করা সংবাদপত্র|সংবাদ|সংবাদপত্র
📑;বুকমমার্ক ট্যাব;চিহ্ন|ট্যাব|বুকমমার্ক ট্যাব|বুকমার্ক|মার্কার
🔖;বুকমার্ক;চিহ্ন|বুকমার্ক
🏷️;লেবেল;লেবেল
💰;টাকার ব্যাগ;টাকা|টাকার ব্যাগ|ডলার|ব্যাগ
🪙;কয়েন;কয়েন|টাকা|ধন|ধাতু|রুপা|সোনা
💴;ইয়েন ব্যাঙ্কনোট;ইয়েন|টাকা|নোট|বিল|ব্যাঙ্কনোট|মুদ্রা
💵;ডলার ব্যাঙ্কনোট;টাকা|ডলার|নোট|বিল|ব্যাঙ্কনোট|মুদ্রা
💶;ইউরো ব্যাঙ্কনোট;ইউরো|টাকা|নোট|বিল|ব্যাঙ্কনোট|মুদ্রা
💷;পাউন্ড ব্যাঙ্কনোট;টাকা|নোট|পাউন্ড|বিল|ব্যাঙ্কনোট|মুদ্রা
💸;টাকার সাথে পাখা;ওড়া|টাকা|টাকার সাথে পাখা|ডানা|বিল
💳;ক্রেডিট কার্ড;কার্ড|ক্রেডিট কার্ড|টাকা
🧾;রসিদ;অ্যাকাউন্টিং|দলিল|প্রমাণ|রসিদ|হিসাবরক্ষণ
💹;ইয়েনের সাথে ক্রমবর্ধমান চার্ট;ইয়েন|ইয়েনের সাথে ক্রমবর্ধমান চার্ট|গ্রাফ|চার্ট|টাকা|বৃদ্ধি
✉️;খাম;ই-মেল|ইমেল|খাম
📧;ই-মেল;ই-মেল|ইমেল|চিঠি|মেল
📨;আগত খাম;আগত|ই-মেল|ইমেল|খাম|গ্রহণ|চিঠি|মেল
📩;তীরের সাথে খাম;ই-মেল|ইমেল|খাম|তীর|তীর যুক্ত খাম|তীরের সাথে খাম|বহির্গামী
📤;আউটবক্স ট্রে;আউটবক্স|চিঠি|ট্রে|প্রেরিত|বাক্স|মেল
📥;ইনবক্স ট্রে;ইনবক্স|গ্রহণ|চিঠি|ট্রে|বাক্স|মেল
📦;প্যাকেজ;প্যাকেজ|বাক্স|মোড়ক
📫;উত্থিত পতাকার সাথে বন্ধ মেলবাক্স;উত্থিত পতাকার সাথে বন্ধ মেলবাক্স|ডাক বাক্স|বন্ধ|মেল|মেলবাক্স
📪;নত করা পতাকার সাথে বন্ধ মেলবাক্স;ডাক বাক্স|নত|নত করা পতাকার সাথে বন্ধ মেলবাক্স|বন্ধ|মেল|মেলবাক্স
📬;উত্থিত পতাকার সাথে খোলা মেলবাক্স;উত্থিত পতাকার সাথে খোলা মেলবাক্স|খোলা|ডাক বাক্স|মেল|মেলবাক্স
📭;নত পতাকার সাথে খোলা মেলবাক্স;খোলা|ডাক বাক্স|নত|নত পতাকার সাথে খোলা মেলবাক্স|মেল|মেলবাক্স
📮;পোস্টবক্স;পোস্টবক্স|মেল|মেলবাক্স
🗳️;ব্যালটের সাথে ব্যালট বক্স;বাক্স|ব্যালট|ব্যালটের সাথে ব্যালট বক্স
✏️;পেনসিল;পেনসিল
✒️;কালো নিব;কলম|কালো নিব|নিব
🖋️;ফাউন্টেন পেন;কলম|ফাউন্টেন|ফাউন্টেন পেন
🖊️;পেন;পেন|বলপেন
🖌️;পেইন্ট ব্রাশ;পেইন্ট ব্রাশ|পেন্টিং
🖍️;ক্রেয়ন;ক্রেয়ন
📝;মেমো;পেন্সিল|মেমো
💼;ব্রিফকেস;ব্রিফকেস
📁;ফাইল ফোল্ডার;ফাইল|ফোল্ডার
📂;ফাইল ফোল্ডার খোলা;খোলা|ফাইল|ফোল্ডার
🗂️;কার্ডের সূচীর বিভাজক;কার্ড|কার্ডের সূচীর বিভাজক|বিভক্ত|সূচক
📅;ক্যালেন্ডার;ক্যালেন্ডার|তারিখ
📆;টিয়ার-অফ ক্যালেন্ডার;ক্যালেন্ডার|টিয়ার-অফ ক্যালেন্ডার
🗒️;স্পাইরাল নোটপ্যাড;নোট|পেঁচানো|প্যাড|স্পাইরাল নোটপ্যাড
