[smileys_emotion]
😀;ፈገግ ያለ ፊት;ፈገግ ያለ ፊት|ፈገግታ|ፊት
☑️;የድምፅ መስጫ ሳጥን ከምልክት ማድረጊያ ጋር;ሣጥን|የድምፅ መስጫ ሳጥን ከምልክት ማድረጊያ ጋር|የድምፅ ካርድ|ፈትሽ
✔️;ወፍራም ምልክት ማድረጊያ;ምልክት|ወፍራም ምልክት ማድረጊያ|ፈትሽ
❌;የስረዛ ምልክት;ማባዛት|ምልክት|ተወው|አባዛ|የስረዛ ምልክት
❎;የስረዛ ምልክት አዝራር;ምልክት|ካሬ|የስረዛ ምልክት አዝራር
➰;ጥቅልል ሸምቀቆ;ሸምቀቆ|ጥቅልል
➿;ድርብ ጥቅልል ሸምቀቆ;ሸምቀቆ|ድርብ|ጥቅልል
〽️;የክፍል መቀየሪያ ምልክት;ምልክት|ክፍል|የክፍል መቀየሪያ ምልክት
✳️;ባለ ስምንት ቀስት አስትሪክስ;ባለ ስምንት ቀስት አስትሪክስ|አስትሪክስ
✴️;ባለስምንት ነጥብ ኮከብ;ባለስምንት ነጥብ ኮከብ|ኮከብ
❇️;አንጸባራቂ;አንጸባራቂ
©️;የቅጂ መብት;የቅጂ መብት
®️;የተመዘገበ ንግድ ምልክት;ተመዝግቧል|የተመዘገበ ንግድ ምልክት
™️;የንግድ ምልክት;ምልክት|ንግድ ምልክት|የንግድ ምልክት
#️⃣;የአብይ ሆሄ ቁልፍ ማብሪያ: #;የአብይ ሆሄ ቁልፍ ማብሪያ|የአብይ ሆሄ ቁልፍ ማብሪያ: #
*️⃣;የአብይ ሆሄ ቁልፍ ማብሪያ: *;የአብይ ሆሄ ቁልፍ ማብሪያ|የአብይ ሆሄ ቁልፍ ማብሪያ: *
0️⃣;የአብይ ሆሄ ቁልፍ ማብሪያ: 0;የአብይ ሆሄ ቁልፍ ማብሪያ|የአብይ ሆሄ ቁልፍ ማብሪያ: 0
1️⃣;የአብይ ሆሄ ቁልፍ ማብሪያ: 1;የአብይ ሆሄ ቁልፍ ማብሪያ|የአብይ ሆሄ ቁልፍ ማብሪያ: 1
2️⃣;የአብይ ሆሄ ቁልፍ ማብሪያ: 2;የአብይ ሆሄ ቁልፍ ማብሪያ|የአብይ ሆሄ ቁልፍ ማብሪያ: 2
3️⃣;የአብይ ሆሄ ቁልፍ ማብሪያ: 3;የአብይ ሆሄ ቁልፍ ማብሪያ|የአብይ ሆሄ ቁልፍ ማብሪያ: 3
4️⃣;የአብይ ሆሄ ቁልፍ ማብሪያ: 4;የአብይ ሆሄ ቁልፍ ማብሪያ|የአብይ ሆሄ ቁልፍ ማብሪያ: 4
5️⃣;የአብይ ሆሄ ቁልፍ ማብሪያ: 5;የአብይ ሆሄ ቁልፍ ማብሪያ|የአብይ ሆሄ ቁልፍ ማብሪያ: 5
6️⃣;የአብይ ሆሄ ቁልፍ ማብሪያ: 6;የአብይ ሆሄ ቁልፍ ማብሪያ|የአብይ ሆሄ ቁልፍ ማብሪያ: 6
7️⃣;የአብይ ሆሄ ቁልፍ ማብሪያ: 7;የአብይ ሆሄ ቁልፍ ማብሪያ|የአብይ ሆሄ ቁልፍ ማብሪያ: 7
8️⃣;የአብይ ሆሄ ቁልፍ ማብሪያ: 8;የአብይ ሆሄ ቁልፍ ማብሪያ|የአብይ ሆሄ ቁልፍ ማብሪያ: 8
9️⃣;የአብይ ሆሄ ቁልፍ ማብሪያ: 9;የአብይ ሆሄ ቁልፍ ማብሪያ|የአብይ ሆሄ ቁልፍ ማብሪያ: 9
🔟;የአብይ ሆሄ ቁልፍ ማብሪያ: 10;የአብይ ሆሄ ቁልፍ ማብሪያ|የአብይ ሆሄ ቁልፍ ማብሪያ: 10
🔠;የላቲን ዓቢይ ፊደል ግቤት;ላቲን|ዓቢይ ፊደል|የላቲን ዓቢይ ፊደል ግቤት|ግቤት|ፊደላት
🔡;የላቲን ንዑስ ፊደል ግቤት;ላቲን|ንዑስ ፊደላት|የላቲን ንዑስ ፊደል ግቤት|ግቤት|ፊደላት
🔢;የቁጥር ግቤት;1234|ቁጥሮች|የቁጥር ግቤት|ግቤት
🔣;የግቤት ምልክቶች;የግቤት ምልክቶች|ግቤት
🔤;የላቲን ፊደላት ግቤት;ላቲን|የላቲን ፊደላት ግቤት|የፊደል ገበታ|ግቤት|ፊደላት
🅰️;ኤ አዝራር;ኤ አዝራር|ደም
🆎;ኤቢ አዝራር;ኤቢ አዝራር|ደም
🅱️;ቢ አዝራር;ቢ አዝራር|ደም
🆑;መቆጣጠሪያ ካሬ;መቆጣጠሪያ ካሬ
🆒;ቀዝቃዛ ካሬ;ቀዝቃዛ ካሬ|አሪፍ
🆓;ነጻ ካሬ;ነጻ|ነጻ ካሬ
ℹ️;የመረጃ ምንጭ;መረጃ|የመረጃ ምንጭ
🆔;አይዲ ካሬ;መለያ ማንነት|አይዲ|አይዲ ካሬ
Ⓜ️;በክብ ውስጥ ያለ ኤም ፊደል;በክብ ውስጥ ያለ ኤም ፊደል|ክብ
🆕;አዲስ ካሬ;አዲስ|አዲስ ካሬ
🆖;ኤንጂ ካሬ;ኤንጂ|ኤንጂ ካሬ
🅾️;ኦ አዝራር;ኦ|ኦ አዝራር|ደም
🆗;ኦኬ ካሬ;እሺ|ኦኬ ካሬ
🅿️;ፒ አዝራር;መኪና ማቆሚያ|ፒ አዝራር
🆘;ኤስኦኤስ ካሬ;ኤስኦኤስ|ኤስኦኤስ ካሬ|እገዛ
🆙;ወደላይ! አዝራር;ላይ|ምልክት|ወደላይ! አዝራር
🆚;ቪኤስ ካሬ;ቪኤስ ካሬ|ይጋጠማል ከ
🈁;ካታካና ኮኮ ካሬ;ካታካና ኮኮ ካሬ|የጃፓን
🈂️;ካታካና ሳ ካሬ;ካታካና ሳ ካሬ|የጃፓን
🈷️;የጨረቃ ካሬ አይዶግራፍ;የጃፓን|የጨረቃ ካሬ አይዶግራፍ
🈶;ያኖረ ካሬ አይዶግራፍ;የጃፓን|ያኖረ ካሬ አይዶግራፍ
🈯;የጣት ካሬ አይዶግራፍ;የጃፓን|የጣት ካሬ አይዶግራፍ
🉐;ባለክብ ዕድል አይዶግራፍ;ባለክብ ዕድል አይዶግራፍ|የጃፓን
🈹;የተከፋፈለ ካሬ አይዶግራፍ;የተከፋፈለ ካሬ አይዶግራፍ|የጃፓን
🈚;የአሉታ ካሬ አይዶግራፍ;የአሉታ ካሬ አይዶግራፍ|የጃፓን
🈲;የተከለከለ ካሬ አይዶግራፍ;የተከለከለ ካሬ አይዶግራፍ|የጃፓን
🉑;ክብ የተቀበል አይዶግራፍ;ክብ የተቀበል አይዶግራፍ|የቻይና
🈸;የተግብር ካሬ አይዶግራፍ;የተግብር ካሬ አይዶግራፍ|የቻይና
🈴;አንድነት ካሬ አይዶግራፍ;አንድነት ካሬ አይዶግራፍ|የቻይና
🈳;ባዶ ካሬ አይዶግራፍ;ባዶ ካሬ አይዶግራፍ|የቻይና
㊗️;ክብ የደስታ መግለጫ አይዶግራፍ;አይዶግራፍ|ክብ የደስታ መግለጫ አይዶግራፍ|የቻይና|የደስታ መግለጫ|የደስታ መግለጫዎች
㊙️;ክብ የምስጢር አይዶግራፍ;ምስጢር|አይዶግራፍ|ክብ የምስጢር አይዶግራፍ|የቻይና
🈺;የስርዓተ ክወና ካሬ አይዶግራፍ;የስርዓተ ክወና ካሬ አይዶግራፍ|የቻይና
🈵;ሙሉ ካሬ አይዶግራፍ;ሙሉ ካሬ አይዶግራፍ|የቻይና
🔴;ቀይ ክብ;ቀይ|ክብ|ጂኦሜትሪያዊ
🟠;ብርቱካን ክብ;ብርቱካን|ክብ
🟡;ቢጫ ክብ;ቢጫ|ክብ
🟢;አረንጓዴ ክብ;አረንጓዴ|ክብ
🔵;ሰማያዊ ክብ;ሰማያዊ|ክብ|ጂኦሜትሪያዊ
🟣;ሐምራዊ ክብ;ሐምራዊ|ክብ
🟤;ቡናማ ክብ;ቡናማ|ክብ
⚫;ጥቁር ክብ;ክብ|ጂኦሜትሪያዊ|ጥቁር ክብ
⚪;ነጭ ክብ;ነጭ ክብ|ክብ|ጂኦሜትሪያዊ
🟥;ቀይ አራት ማእዝን;ቀይ|ቀይ አራት ማእዝን|አራት ማእዝን
🟧;ብርቱካናማ አራት ማእዝን;ብርቱካናማ|ብርቱካናማ አራት ማእዝን|አራት ማእዝን
🟨;ቢጫ አራት ማእዝን;ቢጫ|ቢጫ አራት ማእዝን|አራት ማእዝን
🟩;አረንጓዴ አራት ማእዝን;አረንጓዴ|አረንጓዴ አራት ማእዝን|አራት ማእዝን
🟦;ሰማያዊ አራት ማእዝን;ሰማያዊ|ሰማያዊ አራት ማእዝን|አራት ማእዝን
🟪;ሐምራዊ አራት ማእዝን;ሐምራዊ|ሐምራዊ አራት ማእዝን|አራት ማእዝን
🟫;ቡናማ አራት ማእዝን;ቡናማ|ቡናማ አራት ማእዝን|አራት ማእዝን
⬛;ጥቁር ትልቅ ካሬ;ካሬ|ጂኦሜትሪያዊ|ጥቁር ትልቅ ካሬ
⬜;ነጭ ትልቅ ካሬ;ነጭ ትልቅ ካሬ|ካሬ|ጂኦሜትሪያዊ
◼️;ጥቁር መካከለኛ ካሬ;ካሬ|ጂኦሜትሪያዊ|ጥቁር መካከለኛ ካሬ
◻️;ነጭ መካከለኛ ካሬ;ነጭ መካከለኛ ካሬ|ካሬ|ጂኦሜትሪያዊ
◾;ጥቁር መካከለኛ-ትንሽ ካሬ;ካሬ|ጂኦሜትሪያዊ|ጥቁር መካከለኛ-ትንሽ ካሬ
◽;ነጭ መካከለኛ- ትንሽ ካሬ;ነጭ መካከለኛ- ትንሽ ካሬ|ካሬ|ጂኦሜትሪያዊ
▪️;ጥቁር ትንሽ ካሬ;ካሬ|ጂኦሜትሪያዊ|ጥቁር ትንሽ ካሬ
▫️;ነጭ ትንሽ ካሬ;ነጭ ትንሽ ካሬ|ካሬ|ጂኦሜትሪያዊ
🔶;ትልቅ ብርትኳናማ አልማዝ;ብርትኳናማ|ትልቅ ብርትኳናማ አልማዝ|አልማዝ|ጂኦሜትሪያዊ
🔷;ትልቅ ሰማያዊ አልማዝ;ሰማያዊ|ትልቅ ሰማያዊ አልማዝ|አልማዝ|ጂኦሜትሪያዊ
🔸;ትንሽ ብርትኳናማ አልማዝ;ብርትኳናማ|ትንሽ ብርትኳናማ አልማዝ|አልማዝ|ጂኦሜትሪያዊ
🔹;ትንሽ ሰማያዊ አልማዝ;ሰማያዊ|ትንሽ ሰማያዊ አልማዝ|አልማዝ|ጂኦሜትሪያዊ
🔺;ቀይ ሶስት ማዕዘን ወደ ላይ ጠቋሚ;ቀይ|ቀይ ሶስት ማዕዘን ወደ ላይ ጠቋሚ|ጂኦሜትሪያዊ
🔻;ቀይ ሶስት ማዕዘን ወደ ታች ጠቋሚ;ቀይ|ቀይ ሶስት ማዕዘን ወደ ታች ጠቋሚ|ታች|ጂኦሜትሪያዊ
💠;ባለ ነቁጥ አልማዝ;ባለ ነቁጥ አልማዝ|አልማዝ|አስቂኝ|ከውስጥ|ጂኦሜትሪያዊ
🔘;የሬዲዮ አዝራር;ሬዲዮ|አዝራር|የሬዲዮ አዝራር|ጂኦሜትሪያዊ
🔳;በነጭ የተከበበ ካሬ አዝራር;በነጭ የተከበበ ካሬ አዝራር|አዝራር|ካሬ|የተነደፈ|ጂኦሜትሪያዊ
🔲;በጥቁር የተከበበ ካሬ አዝራር;በጥቁር የተከበበ ካሬ አዝራር|አዝራር|ካሬ|ጂኦሜትሪያዊ

[flags]
🏁;የዳማ ሰሌዳ መሰል ባንዴራ;እሽቅድድም|የዳማ ሰሌዳ መሰል ባንዴራ|ዳማ|ዳማ ሰሌዳ
🚩;የፖስታ ምልክት ባንዲራ;የፖስታ ምልክት ባንዲራ|ፖስታ
🎌;ጥሙር ሰንደቅ ዓላማዎች;መስቀል|ክብረ በዓል|የተጣመረ|የጃፓን|ጥሙር ሰንደቅ ዓላማዎች
🏴;ጥቁር ባንዴራ ማውለብለብ;ማውለብለብ|ጥቁር ባንዴራ ማውለብለብ
🏳️;ነጭ ባንዴራ ማውለብለብ;ማውለብለብ|ነጭ ባንዴራ ማውለብለብ
🏳️‍🌈;የቀስተ ደመና ባንዲራ;ቀስተ ደመና|ባንዲራ|የቀስተ ደመና ባንዲራ
🏳️‍⚧️;ሰማያዊ ፤ ሓምራዊ እና ነጭ ሰንደቅ;ሰማያዊ ፤ ሓምራዊ እና ነጭ ሰንደቅ
🏴‍☠️;የባሕር ወንበዴ ሰንደቅ;ማዕድን|ምርኮ|የባሕር ወንበዴ|የባሕር ወንበዴ ሰንደቅ|ጆሊ ሮጀር
🇦🇨;ባንዲራ: አሴንሽን ደሴት;ባንዲራ|ባንዲራ: አሴንሽን ደሴት
🇦🇩;ባንዲራ: አንዶራ;ባንዲራ|ባንዲራ: አንዶራ
🇦🇪;ባንዲራ: የተባበሩት ዓረብ ኤምሬትስ;ባንዲራ|ባንዲራ: የተባበሩት ዓረብ ኤምሬትስ
🇦🇫;ባንዲራ: አፍጋኒስታን;ባንዲራ|ባንዲራ: አፍጋኒስታን
🇦🇬;ባንዲራ: አንቲጓ እና ባሩዳ;ባንዲራ|ባንዲራ: አንቲጓ እና ባሩዳ
🇦🇮;ባንዲራ: አንጉይላ;ባንዲራ|ባንዲራ: አንጉይላ
🇦🇱;ባንዲራ: አልባኒያ;ባንዲራ|ባንዲራ: አልባኒያ
🇦🇲;ባንዲራ: አርሜኒያ;ባንዲራ|ባንዲራ: አርሜኒያ
🇦🇴;ባንዲራ: አንጐላ;ባንዲራ|ባንዲራ: አንጐላ
🇦🇶;ባንዲራ: አንታርክቲካ;ባንዲራ|ባንዲራ: አንታርክቲካ
🇦🇷;ባንዲራ: አርጀንቲና;ባንዲራ|ባንዲራ: አርጀንቲና
🇦🇸;ባንዲራ: የአሜሪካ ሳሞአ;ባንዲራ|ባንዲራ: የአሜሪካ ሳሞአ
🇦🇹;ባንዲራ: ኦስትሪያ;ባንዲራ|ባንዲራ: ኦስትሪያ
🇦🇺;ባንዲራ: አውስትራልያ;ባንዲራ|ባንዲራ: አውስትራልያ
🇦🇼;ባንዲራ: አሩባ;ባንዲራ|ባንዲራ: አሩባ
🇦🇽;ባንዲራ: የአላንድ ደሴቶች;ባንዲራ|ባንዲራ: የአላንድ ደሴቶች
🇦🇿;ባንዲራ: አዘርባጃን;ባንዲራ|ባንዲራ: አዘርባጃን
🇧🇦;ባንዲራ: ቦስኒያ እና ሄርዞጎቪኒያ;ባንዲራ|ባንዲራ: ቦስኒያ እና ሄርዞጎቪኒያ
🇧🇧;ባንዲራ: ባርቤዶስ;ባንዲራ|ባንዲራ: ባርቤዶስ
🇧🇩;ባንዲራ: ባንግላዲሽ;ባንዲራ|ባንዲራ: ባንግላዲሽ
🇧🇪;ባንዲራ: ቤልጄም;ባንዲራ|ባንዲራ: ቤልጄም
🇧🇫;ባንዲራ: ቡርኪና ፋሶ;ባንዲራ|ባንዲራ: ቡርኪና ፋሶ
🇧🇬;ባንዲራ: ቡልጌሪያ;ባንዲራ|ባንዲራ: ቡልጌሪያ
🇧🇭;ባንዲራ: ባህሬን;ባንዲራ|ባንዲራ: ባህሬን
🇧🇮;ባንዲራ: ብሩንዲ;ባንዲራ|ባንዲራ: ብሩንዲ
🇧🇯;ባንዲራ: ቤኒን;ባንዲራ|ባንዲራ: ቤኒን
🇧🇱;ባንዲራ: ቅዱስ በርቴሎሜ;ባንዲራ|ባንዲራ: ቅዱስ በርቴሎሜ
🇧🇲;ባንዲራ: ቤርሙዳ;ባንዲራ|ባንዲራ: ቤርሙዳ
🇧🇳;ባንዲራ: ብሩኒ;ባንዲራ|ባንዲራ: ብሩኒ
🇧🇴;ባንዲራ: ቦሊቪያ;ባንዲራ|ባንዲራ: ቦሊቪያ
🇧🇶;ባንዲራ: የካሪቢያን ኔዘርላንድስ;ባንዲራ|ባንዲራ: የካሪቢያን ኔዘርላንድስ
🇧🇷;ባንዲራ: ብራዚል;ባንዲራ|ባንዲራ: ብራዚል
🇧🇸;ባንዲራ: ባሃማስ;ባንዲራ|ባንዲራ: ባሃማስ
🇧🇹;ባንዲራ: ቡህታን;ባንዲራ|ባንዲራ: ቡህታን
🇧🇻;ባንዲራ: ቡቬት ደሴት;ባንዲራ|ባንዲራ: ቡቬት ደሴት
🇧🇼;ባንዲራ: ቦትስዋና;ባንዲራ|ባንዲራ: ቦትስዋና
🇧🇾;ባንዲራ: ቤላሩስ;ባንዲራ|ባንዲራ: ቤላሩስ
🇧🇿;ባንዲራ: በሊዝ;ባንዲራ|ባንዲራ: በሊዝ
🇨🇦;ባንዲራ: ካናዳ;ባንዲራ|ባንዲራ: ካናዳ
🇨🇨;ባንዲራ: ኮኮስ(ኬሊንግ) ደሴቶች;ባንዲራ|ባንዲራ: ኮኮስ(ኬሊንግ) ደሴቶች
🇨🇩;ባንዲራ: ኮንጎ-ኪንሻሳ;ባንዲራ|ባንዲራ: ኮንጎ-ኪንሻሳ
🇨🇫;ባንዲራ: ማዕከላዊ አፍሪካ ሪፑብሊክ;ባንዲራ|ባንዲራ: ማዕከላዊ አፍሪካ ሪፑብሊክ
🇨🇬;ባንዲራ: ኮንጎ ብራዛቪል;ባንዲራ|ባንዲራ: ኮንጎ ብራዛቪል
🇨🇭;ባንዲራ: ስዊዘርላንድ;ባንዲራ|ባንዲራ: ስዊዘርላንድ
🇨🇮;ባንዲራ: ኮትዲቯር;ባንዲራ|ባንዲራ: ኮትዲቯር
🇨🇰;ባንዲራ: ኩክ ደሴቶች;ባንዲራ|ባንዲራ: ኩክ ደሴቶች
🇨🇱;ባንዲራ: ቺሊ;ባንዲራ|ባንዲራ: ቺሊ
🇨🇲;ባንዲራ: ካሜሩን;ባንዲራ|ባንዲራ: ካሜሩን
🇨🇳;ባንዲራ: ቻይና;ባንዲራ|ባንዲራ: ቻይና
🇨🇴;ባንዲራ: ኮሎምቢያ;ባንዲራ|ባንዲራ: ኮሎምቢያ
🇨🇵;ባንዲራ: ክሊፐርቶን ደሴት;ባንዲራ|ባንዲራ: ክሊፐርቶን ደሴት
🇨🇷;ባንዲራ: ኮስታሪካ;ባንዲራ|ባንዲራ: ኮስታሪካ
🇨🇺;ባንዲራ: ኩባ;ባንዲራ|ባንዲራ: ኩባ
🇨🇻;ባንዲራ: ኬፕቨርዴ;ባንዲራ|ባንዲራ: ኬፕቨርዴ
🇨🇼;ባንዲራ: ኩራሳዎ;ባንዲራ|ባንዲራ: ኩራሳዎ
🇨🇽;ባንዲራ: ክሪስማስ ደሴት;ባንዲራ|ባንዲራ: ክሪስማስ ደሴት
🇨🇾;ባንዲራ: ሳይፕረስ;ባንዲራ|ባንዲራ: ሳይፕረስ
🇨🇿;ባንዲራ: ቼቺያ;ባንዲራ|ባንዲራ: ቼቺያ
🇩🇪;ባንዲራ: ጀርመን;ባንዲራ|ባንዲራ: ጀርመን
🇩🇬;ባንዲራ: ዲዬጎ ጋርሺያ;ባንዲራ|ባንዲራ: ዲዬጎ ጋርሺያ
🇩🇯;ባንዲራ: ጂቡቲ;ባንዲራ|ባንዲራ: ጂቡቲ
🇩🇰;ባንዲራ: ዴንማርክ;ባንዲራ|ባንዲራ: ዴንማርክ
🇩🇲;ባንዲራ: ዶሚኒካ;ባንዲራ|ባንዲራ: ዶሚኒካ
🇩🇴;ባንዲራ: ዶመኒካን ሪፑብሊክ;ባንዲራ|ባንዲራ: ዶመኒካን ሪፑብሊክ
🇩🇿;ባንዲራ: አልጄሪያ;ባንዲራ|ባንዲራ: አልጄሪያ
🇪🇦;ባንዲራ: ሴኡታና ሜሊላ;ባንዲራ|ባንዲራ: ሴኡታና ሜሊላ
🇪🇨;ባንዲራ: ኢኳዶር;ባንዲራ|ባንዲራ: ኢኳዶር
🇪🇪;ባንዲራ: ኤስቶኒያ;ባንዲራ|ባንዲራ: ኤስቶኒያ
🇪🇬;ባንዲራ: ግብጽ;ባንዲራ|ባንዲራ: ግብጽ
🇪🇭;ባንዲራ: ምዕራባዊ ሳህራ;ባንዲራ|ባንዲራ: ምዕራባዊ ሳህራ
🇪🇷;ባንዲራ: ኤርትራ;ባንዲራ|ባንዲራ: ኤርትራ
🇪🇸;ባንዲራ: ስፔን;ባንዲራ|ባንዲራ: ስፔን
🇪🇹;ባንዲራ: ኢትዮጵያ;ባንዲራ|ባንዲራ: ኢትዮጵያ
🇪🇺;ባንዲራ: የአውሮፓ ህብረት;ባንዲራ|ባንዲራ: የአውሮፓ ህብረት
🇫🇮;ባንዲራ: ፊንላንድ;ባንዲራ|ባንዲራ: ፊንላንድ
🇫🇯;ባንዲራ: ፊጂ;ባንዲራ|ባንዲራ: ፊጂ
🇫🇰;ባንዲራ: የፎክላንድ ደሴቶች;ባንዲራ|ባንዲራ: የፎክላንድ ደሴቶች
🇫🇲;ባንዲራ: ሚክሮኔዢያ;ባንዲራ|ባንዲራ: ሚክሮኔዢያ
🇫🇴;ባንዲራ: የፋሮ ደሴቶች;ባንዲራ|ባንዲራ: የፋሮ ደሴቶች
🇫🇷;ባንዲራ: ፈረንሳይ;ባንዲራ|ባንዲራ: ፈረንሳይ
🇬🇦;ባንዲራ: ጋቦን;ባንዲራ|ባንዲራ: ጋቦን
🇬🇧;ባንዲራ: ዩናይትድ ኪንግደም;ባንዲራ|ባንዲራ: ዩናይትድ ኪንግደም
🇬🇩;ባንዲራ: ግሬናዳ;ባንዲራ|ባንዲራ: ግሬናዳ
🇬🇪;ባንዲራ: ጆርጂያ;ባንዲራ|ባንዲራ: ጆርጂያ
🇬🇫;ባንዲራ: የፈረንሳይ ጉዊአና;ባንዲራ|ባንዲራ: የፈረንሳይ ጉዊአና
🇬🇬;ባንዲራ: ጉርነሲ;ባንዲራ|ባንዲራ: ጉርነሲ
🇬🇭;ባንዲራ: ጋና;ባንዲራ|ባንዲራ: ጋና
🇬🇮;ባንዲራ: ጂብራልተር;ባንዲራ|ባንዲራ: ጂብራልተር
🇬🇱;ባንዲራ: ግሪንላንድ;ባንዲራ|ባንዲራ: ግሪንላንድ
🇬🇲;ባንዲራ: ጋምቢያ;ባንዲራ|ባንዲራ: ጋምቢያ
🇬🇳;ባንዲራ: ጊኒ;ባንዲራ|ባንዲራ: ጊኒ
🇬🇵;ባንዲራ: ጉዋደሉፕ;ባንዲራ|ባንዲራ: ጉዋደሉፕ
🇬🇶;ባንዲራ: ኢኳቶሪያል ጊኒ;ባንዲራ|ባንዲራ: ኢኳቶሪያል ጊኒ
🇬🇷;ባንዲራ: ግሪክ;ባንዲራ|ባንዲራ: ግሪክ
🇬🇸;ባንዲራ: ደቡብ ጆርጂያ እና የደቡብ ሳንድዊች ደሴቶች;ባንዲራ|ባንዲራ: ደቡብ ጆርጂያ እና የደቡብ ሳንድዊች ደሴቶች
🇬🇹;ባንዲራ: ጉዋቲማላ;ባንዲራ|ባንዲራ: ጉዋቲማላ
🇬🇺;ባንዲራ: ጉዋም;ባንዲራ|ባንዲራ: ጉዋም
🇬🇼;ባንዲራ: ጊኒ-ቢሳው;ባንዲራ|ባንዲራ: ጊኒ-ቢሳው
🇬🇾;ባንዲራ: ጉያና;ባንዲራ|ባንዲራ: ጉያና
🇭🇰;ባንዲራ: ሆንግ ኮንግ ልዩ የአስተዳደር ክልል ቻይና;ባንዲራ|ባንዲራ: ሆንግ ኮንግ ልዩ የአስተዳደር ክልል ቻይና
🇭🇲;ባንዲራ: ኽርድ ደሴቶችና ማክዶናልድ ደሴቶች;ባንዲራ|ባንዲራ: ኽርድ ደሴቶችና ማክዶናልድ ደሴቶች
🇭🇳;ባንዲራ: ሆንዱራስ;ባንዲራ|ባንዲራ: ሆንዱራስ
🇭🇷;ባንዲራ: ክሮኤሽያ;ባንዲራ|ባንዲራ: ክሮኤሽያ
🇭🇹;ባንዲራ: ሀይቲ;ባንዲራ|ባንዲራ: ሀይቲ
🇭🇺;ባንዲራ: ሀንጋሪ;ባንዲራ|ባንዲራ: ሀንጋሪ
🇮🇨;ባንዲራ: የካናሪ ደሴቶች;ባንዲራ|ባንዲራ: የካናሪ ደሴቶች
🇮🇩;ባንዲራ: ኢንዶኔዢያ;ባንዲራ|ባንዲራ: ኢንዶኔዢያ
🇮🇪;ባንዲራ: አየርላንድ;ባንዲራ|ባንዲራ: አየርላንድ
🇮🇱;ባንዲራ: እስራኤል;ባንዲራ|ባንዲራ: እስራኤል
🇮🇲;ባንዲራ: አይል ኦፍ ማን;ባንዲራ|ባንዲራ: አይል ኦፍ ማን
🇮🇳;ባንዲራ: ህንድ;ባንዲራ|ባንዲራ: ህንድ
🇮🇴;ባንዲራ: የብሪታኒያ ህንድ ውቂያኖስ ግዛት;ባንዲራ|ባንዲራ: የብሪታኒያ ህንድ ውቂያኖስ ግዛት
🇮🇶;ባንዲራ: ኢራቅ;ባንዲራ|ባንዲራ: ኢራቅ
🇮🇷;ባንዲራ: ኢራን;ባንዲራ|ባንዲራ: ኢራን
🇮🇸;ባንዲራ: አይስላንድ;ባንዲራ|ባንዲራ: አይስላንድ
🇮🇹;ባንዲራ: ጣሊያን;ባንዲራ|ባንዲራ: ጣሊያን
