# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;wiċċ jidħak ħafna;jidħaq ħafna|wiċċ|wiċċ jidħak ħafna
👩‍❤️‍👩;koppja b’qalb: mara u mara;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara u mara|mara
	👩🏻‍❤️‍👩🏻;koppja b’qalb: mara, mara, u ton ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, mara, u ton ċar tal-ġilda|mara|ton ċar tal-ġilda
	👩🏻‍❤️‍👩🏼;koppja b’qalb: mara, mara, ton ċar tal-ġilda, u ton medju-ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, mara, ton ċar tal-ġilda, u ton medju-ċar tal-ġilda|mara|ton ċar tal-ġilda|ton medju-ċar tal-ġilda
	👩🏻‍❤️‍👩🏽;koppja b’qalb: mara, mara, ton ċar tal-ġilda, u ton medju tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, mara, ton ċar tal-ġilda, u ton medju tal-ġilda|mara|ton ċar tal-ġilda|ton medju tal-ġilda
	👩🏻‍❤️‍👩🏾;koppja b’qalb: mara, mara, ton ċar tal-ġilda, u ton medju-skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, mara, ton ċar tal-ġilda, u ton medju-skur tal-ġilda|mara|ton ċar tal-ġilda|ton medju-skur tal-ġilda
	👩🏻‍❤️‍👩🏿;koppja b’qalb: mara, mara, ton ċar tal-ġilda, u ton skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, mara, ton ċar tal-ġilda, u ton skur tal-ġilda|mara|ton ċar tal-ġilda|ton skur tal-ġilda
	👩🏼‍❤️‍👩🏻;koppja b’qalb: mara, mara, ton medju-ċar tal-ġilda, u ton ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, mara, ton medju-ċar tal-ġilda, u ton ċar tal-ġilda|mara|ton ċar tal-ġilda|ton medju-ċar tal-ġilda
	👩🏼‍❤️‍👩🏼;koppja b’qalb: mara, mara, u ton medju-ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, mara, u ton medju-ċar tal-ġilda|mara|ton medju-ċar tal-ġilda
	👩🏼‍❤️‍👩🏽;koppja b’qalb: mara, mara, ton medju-ċar tal-ġilda, u ton medju tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, mara, ton medju-ċar tal-ġilda, u ton medju tal-ġilda|mara|ton medju tal-ġilda|ton medju-ċar tal-ġilda
	👩🏼‍❤️‍👩🏾;koppja b’qalb: mara, mara, ton medju-ċar tal-ġilda, u ton medju-skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, mara, ton medju-ċar tal-ġilda, u ton medju-skur tal-ġilda|mara|ton medju-ċar tal-ġilda|ton medju-skur tal-ġilda
	👩🏼‍❤️‍👩🏿;koppja b’qalb: mara, mara, ton medju-ċar tal-ġilda, u ton skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, mara, ton medju-ċar tal-ġilda, u ton skur tal-ġilda|mara|ton medju-ċar tal-ġilda|ton skur tal-ġilda
	👩🏽‍❤️‍👩🏻;koppja b’qalb: mara, mara, ton medju tal-ġilda, u ton ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, mara, ton medju tal-ġilda, u ton ċar tal-ġilda|mara|ton ċar tal-ġilda|ton medju tal-ġilda
	👩🏽‍❤️‍👩🏼;koppja b’qalb: mara, mara, ton medju tal-ġilda, u ton medju-ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, mara, ton medju tal-ġilda, u ton medju-ċar tal-ġilda|mara|ton medju tal-ġilda|ton medju-ċar tal-ġilda
	👩🏽‍❤️‍👩🏽;koppja b’qalb: mara, mara, u ton medju tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, mara, u ton medju tal-ġilda|mara|ton medju tal-ġilda
	👩🏽‍❤️‍👩🏾;koppja b’qalb: mara, mara, ton medju tal-ġilda, u ton medju-skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, mara, ton medju tal-ġilda, u ton medju-skur tal-ġilda|mara|ton medju tal-ġilda|ton medju-skur tal-ġilda
	👩🏽‍❤️‍👩🏿;koppja b’qalb: mara, mara, ton medju tal-ġilda, u ton skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, mara, ton medju tal-ġilda, u ton skur tal-ġilda|mara|ton medju tal-ġilda|ton skur tal-ġilda
	👩🏾‍❤️‍👩🏻;koppja b’qalb: mara, mara, ton medju-skur tal-ġilda, u ton ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, mara, ton medju-skur tal-ġilda, u ton ċar tal-ġilda|mara|ton ċar tal-ġilda|ton medju-skur tal-ġilda
	👩🏾‍❤️‍👩🏼;koppja b’qalb: mara, mara, ton medju-skur tal-ġilda, u ton medju-ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, mara, ton medju-skur tal-ġilda, u ton medju-ċar tal-ġilda|mara|ton medju-ċar tal-ġilda|ton medju-skur tal-ġilda
	👩🏾‍❤️‍👩🏽;koppja b’qalb: mara, mara, ton medju-skur tal-ġilda, u ton medju tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, mara, ton medju-skur tal-ġilda, u ton medju tal-ġilda|mara|ton medju tal-ġilda|ton medju-skur tal-ġilda
	👩🏾‍❤️‍👩🏾;koppja b’qalb: mara, mara, u ton medju-skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, mara, u ton medju-skur tal-ġilda|mara|ton medju-skur tal-ġilda
	👩🏾‍❤️‍👩🏿;koppja b’qalb: mara, mara, ton medju-skur tal-ġilda, u ton skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, mara, ton medju-skur tal-ġilda, u ton skur tal-ġilda|mara|ton medju-skur tal-ġilda|ton skur tal-ġilda
	👩🏿‍❤️‍👩🏻;koppja b’qalb: mara, mara, ton skur tal-ġilda, u ton ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, mara, ton skur tal-ġilda, u ton ċar tal-ġilda|mara|ton ċar tal-ġilda|ton skur tal-ġilda
	👩🏿‍❤️‍👩🏼;koppja b’qalb: mara, mara, ton skur tal-ġilda, u ton medju-ċar tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, mara, ton skur tal-ġilda, u ton medju-ċar tal-ġilda|mara|ton medju-ċar tal-ġilda|ton skur tal-ġilda
	👩🏿‍❤️‍👩🏽;koppja b’qalb: mara, mara, ton skur tal-ġilda, u ton medju tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, mara, ton skur tal-ġilda, u ton medju tal-ġilda|mara|ton medju tal-ġilda|ton skur tal-ġilda
	👩🏿‍❤️‍👩🏾;koppja b’qalb: mara, mara, ton skur tal-ġilda, u ton medju-skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, mara, ton skur tal-ġilda, u ton medju-skur tal-ġilda|mara|ton medju-skur tal-ġilda|ton skur tal-ġilda
	👩🏿‍❤️‍👩🏿;koppja b’qalb: mara, mara, u ton skur tal-ġilda;imħabba|koppja|koppja b’qalb|koppja b’qalb: mara, mara, u ton skur tal-ġilda|mara|ton skur tal-ġilda
👨‍👩‍👦;familja: raġel, mara, u tifel;familja|familja: raġel, mara, u tifel|mara|raġel|tifel
👨‍👩‍👧;familja: raġel, mara, u tifla;familja|familja: raġel, mara, u tifla|mara|raġel|tifla
👨‍👩‍👧‍👦;familja: raġel, mara, tifla, u tifel;familja|familja: raġel, mara, tifla, u tifel|mara|raġel|tifel|tifla
👨‍👩‍👦‍👦;familja: raġel, mara, tifel, u tifel;familja|familja: raġel, mara, tifel, u tifel|mara|raġel|tifel
👨‍👩‍👧‍👧;familja: raġel, mara, tifla, u tifla;familja|familja: raġel, mara, tifla, u tifla|mara|raġel|tifla
👨‍👨‍👦;familja: raġel, raġel, u tifel;familja|familja: raġel, raġel, u tifel|raġel|tifel
👨‍👨‍👧;familja: raġel, raġel, u tifla;familja|familja: raġel, raġel, u tifla|raġel|tifla
👨‍👨‍👧‍👦;familja: raġel, raġel, tifla, u tifel;familja|familja: raġel, raġel, tifla, u tifel|raġel|tifel|tifla
👨‍👨‍👦‍👦;familja: raġel, raġel, tifel, u tifel;familja|familja: raġel, raġel, tifel, u tifel|raġel|tifel
👨‍👨‍👧‍👧;familja: raġel, raġel, tifla, u tifla;familja|familja: raġel, raġel, tifla, u tifla|raġel|tifla
👩‍👩‍👦;familja: mara, mara, u tifel;familja|familja: mara, mara, u tifel|mara|tifel
👩‍👩‍👧;familja: mara, mara, u tifla;familja|familja: mara, mara, u tifla|mara|tifla
👩‍👩‍👧‍👦;familja: mara, mara, tifla, u tifel;familja|familja: mara, mara, tifla, u tifel|mara|tifel|tifla
👩‍👩‍👦‍👦;familja: mara, mara, tifel, u tifel;familja|familja: mara, mara, tifel, u tifel|mara|tifel
👩‍👩‍👧‍👧;familja: mara, mara, tifla, u tifla;familja|familja: mara, mara, tifla, u tifla|mara|tifla
👨‍👦;familja: raġel u tifel;familja|familja: raġel u tifel|raġel|tifel
👨‍👦‍👦;familja: raġel, tifel, u tifel;familja|familja: raġel, tifel, u tifel|raġel|tifel
👨‍👧;familja: raġel u tifla;familja|familja: raġel u tifla|raġel|tifla
👨‍👧‍👦;familja: raġel, tifla, u tifel;familja|familja: raġel, tifla, u tifel|raġel|tifel|tifla
👨‍👧‍👧;familja: raġel, tifla, u tifla;familja|familja: raġel, tifla, u tifla|raġel|tifla
👩‍👦;familja: mara u tifel;familja|familja: mara u tifel|mara|tifel
👩‍👦‍👦;familja: mara, tifel, u tifel;familja|familja: mara, tifel, u tifel|mara|tifel
👩‍👧;familja: mara u tifla;familja|familja: mara u tifla|mara|tifla
👩‍👧‍👦;familja: mara, tifla, u tifel;familja|familja: mara, tifla, u tifel|mara|tifel|tifla
👩‍👧‍👧;familja: mara, tifla, u tifla;familja|familja: mara, tifla, u tifla|mara|tifla
🗣️;titkellem ras;jitkellmu|ras|silwett|titkellem|wiċċ
👤;bust f’silwett;bust|bust f’silwett|silwett
👥;busti f’silwett;bust|busti f’silwett|silwett
🫂;;
👪;familja;familja
🧑‍🧑‍🧒;;
🧑‍🧑‍🧒‍🧒;;
🧑‍🧒;;
🧑‍🧒‍🧒;;
👣;marki tas-saqajn;ħwejjeġ|impronta|ipprintja|marki tas-saqajn

[animals_nature]
🐵;wiċċ ta’ xadina;wiċċ|wiċċ ta’ xadina|xadina
🐒;xadina;xadina
🦍;gorilla;gorilla
🦧;;
🐶;wiċċ ta’ kelb;kelb|pet|wiċċ|wiċċ ta’ kelb
🐕;kelb;kelb|pet
🦮;;
🐕‍🦺;;
🐩;poodle;kelb|poodle
🐺;wiċċ ta’ lupu;lupu|wiċċ|wiċċ ta’ lupu
🦊;wiċċ ta’ volpi;volpi|wiċċ|wiċċ ta’ volpi
🦝;;
🐱;wiċċ ta’ qattus;pet|qattus|wiċċ|wiċċ ta’ qattus
🐈;qattus;pet|qattus
🐈‍⬛;;
🦁;wiċċ ta’ ljun;Iljun|Leo|wiċċ|wiċċ ta’ ljun|żodjaku
🐯;wiċċ ta’ tigra;tigra|wiċċ|wiċċ ta’ tigra
🐅;tigra;tigra
🐆;leopard;leopard
🐴;wiċċ ta’ żiemel;wiċċ|wiċċ ta’ żiemel|żiemel
🫎;;
🫏;;
🐎;żiemel;ekwestri|tlielaq|żiemel|żiemel tat-tiġrija
🦄;wiċċ ta’ unikornu;unikornu|wiċċ|wiċċ ta’ unikornu
🦓;żebra;strixxa|żebra
🦌;ċerva;ċerva
🦬;;
🐮;wiċċ ta’ baqra;baqra|wiċċ|wiċċ ta’ baqra
🐂;bhima;barri|bhima|Taurus|żodjaku
🐃;buflu tal-ilma;buflu|buflu tal-ilma|ilma
🐄;baqra;baqra
🐷;wiċċ ta’ ħanżir;majjal|wiċċ|wiċċ ta’ ħanżir
🐖;ħanżir;ħanżir|ħanżira
🐗;ċingjal;ċingjal|ħanżir
🐽;imnieħer ta’ ħanżir;imnieħer|imnieħer ta’ ħanżir|majjal|wiċċ
🐏;muntun;Aries|maskili|muntun|nagħaġ|żodjaku
🐑;nagħġa;femminil|nagħaġ|nagħġa
🐐;mogħża;Capricorn|mogħża|żodjaku
🐪;ġemel;dromedarju|ġemel|ħotba
🐫;ġemel b’żewġ ħotob;baktrijan|ġemel|ġemel b’żewġ ħotob|ħotba
🦙;;
🦒;ġiraff;ġiraff|tikek
🐘;iljunfant;iljunfant
🦣;;
🦏;rinoċeronti;rinoċeronti
🦛;;
🐭;wiċċ ta’ ġurdien;ġurdien|wiċċ|wiċċ ta’ ġurdien
🐁;ġurdien;ġurdien
🐀;far;far
🐹;wiċċ ta’ ħamster;ħamster|pet|wiċċ|wiċċ ta’ ħamster
🐰;wiċċ ta’ fenek;fenek|pet|wiċċ|wiċċ ta’ fenek
🐇;fenek;fenek|pet
🐿️;chipmunk;chipmunk
🦫;;
🦔;qanfud;bix-xewk|qanfud
🦇;farfett il-lejl;farfett il-lejl|vampira
🐻;wiċċ ta’ ors;ors|wiċċ|wiċċ ta’ ors
🐻‍❄️;;
🐨;koala;koala|ors
🐼;wiċċ ta’ panda;panda|wiċċ|wiċċ ta’ panda
🦥;;
🦦;;
🦨;;
🦘;;
🦡;;
🐾;marki tas-saqajn ta’ annimal;ipprintja|marki tas-saqajn ta’ annimal|saqajn|saqajn ta’ annimal
🦃;dundjan;dundjan|għasfur
🐔;tiġieġa;għasfur|tiġieġ|tiġieġa
🐓;serduk;għasfur|serduk
🐣;fellus qed ifaqqas;fellus|fellus qed ifaqqas|għasfur|tfaqqis|żgħir
🐤;fellus żgħir;fellus|għasfur|żgħir
🐥;fellus żgħir iħares ’il quddiem;fellus|fellus żgħir iħares ’il quddiem|għasfur|żgħir
🐦;għasfur;għasfur
🐧;pingwin;għasfur|pingwin
🕊️;ħamiema;għasfur|ħamiema|itir|paċi
🦅;ajkla;ajkla|għasfur
🦆;papra;għasfur|papra
🦢;;
🦉;kokka;għaqli|għasfur|kokka
🦤;;
🪶;;
🦩;;
🦚;;
🦜;;
🪽;;
🐦‍⬛;;
🪿;;
🐦‍🔥;;
🐸;wiċċ ta’ żrinġ;wiċċ|wiċċ ta’ żrinġ|żrinġ
🐊;kukkudrill;kukkudrill
🐢;fekruna;fekruna|terrapin
🦎;wiża’;rettili|wiża’
🐍;serp;Ophiuchus|portatur|serp|serpent|żodjaku
🐲;wiċċ ta’ dragun;dragun|ħrafa|wiċċ|wiċċ ta’ dragun
🐉;dragun;dragun|ħrafa
🦕;sawropodu;brakkjosawru|brontosawru|diplodoku|sawropodu
🦖;T-Rex;T-Rex|Tirannosawru Rex
🐳;baliena tfawwar l-ilma;baliena|baliena tfawwar l-ilma|tfawwar|wiċċ
🐋;baliena;baliena
🐬;denfil;denfil|ġewnaħ
🦭;;
🐟;ħut;ħut|Pisces|żodjaku
🐠;ħut tropikali;ħut|tropikali
🐡;blowfish;blowfish|ħut
🦈;kelb il-baħar;ħut|kelb il-baħar
🐙;qarnita;qarnita
🐚;qoxra spirali;qoxra|spirali
🪸;;
🪼;;
🐌;bebbuxu;bebbuxu
🦋;farfett;farfett|insett|sabiħ
🐛;insett;insett
🐜;nemla;insett|nemla
🐝;żunżana;insett|naħal|żunżana
🪲;;
🐞;ħanfusa;ħanfusa|insett|nanna kola
🦗;cricket;cricket|ġurat
🪳;;
🕷️;brimba;brimba|insett
🕸️;għanqbuta;brimba|għanqbuta
🦂;skorpjun;scorpio|Scorpius|skorpjun|żodjaku
🦟;;
🪰;;
🪱;;
🦠;;
💐;bukkett;bukkett|fjura
🌸;fjur taċ-ċirasa;ċirasa|fjur|fjur taċ-ċirasa|fjuri
💮;fjura bajda;fjura|fjura bajda
🪷;;
🏵️;rożetta;pjanta|rożetta
🌹;warda;fjura|warda
🥀;fjura mitbiela;fjura|mitbiela
🌺;hibiscus;fjura|hibiscus
🌻;ġirasol;fjura|ġirasol|xemx
🌼;fjur;fjur|fjura
🌷;tulipan;fjura|tulipan
🪻;;
🌱;żerriegħa;żerriegħa|żgħażagħ
🪴;;
🌲;siġra tħaddar;siġra|siġra tħaddar
🌳;siġra deċiduża;deċiduża|iwaqqgħu|siġra
🌴;siġra tal-palm;palm|siġra|siġra tal-palm
🌵;kaktus;kaktus|pjanta
🌾;għarma ross;għarma ross|qamħ|ross|widna
🌿;ħwawar;ħwawar|werqa
☘️;xamrok;pjanta|xamrok
🍀;silla ta’ erba’ werqiet;4|erba’|silla|silla ta’ erba’ werqiet|werqa
🍁;werqa tal-aġġru;aġġru|jaqgħu|werqa|werqa tal-aġġru
🍂;werqa mwaqqa’;jaqgħu|werqa|werqa mwaqqa’
🍃;werqa tixxejjer fir-riħ;onfoħ|riħ|tixxejjer|werqa|werqa tixxejjer fir-riħ
🪹;;
🪺;;
🍄;faqqiegħa;faqqiegħa|fungu velenuż

[food_drink]
🍇;għeneb;frott|għenba|għeneb
🍈;bettieħa;bettieħa|frott
🍉;dulliegħa;dulliegħa|frott
🍊;mandolina;frott|larinġa|mandolina
🍋;lumija;ċitru|frott|lumija
🍋‍🟩;;
🍌;banana;banana|frott
🍍;ananas;ananas|frott
🥭;;
🍎;tuffieħa ħamra;aħmar|frott|tuffieħa|tuffieħa ħamra
🍏;tuffieħa ħadra;aħdar|frott|tuffieħa|tuffieħa ħadra
🍐;lanġasa;frott|lanġasa
🍑;ħawħa;frott|ħawħa
🍒;ċirasa;ċirasa|frott
🍓;frawla;berry|frawla|frott
🫐;;
🥝;frotta tal-kiwi;frotta|frotta tal-kiwi|ikel|kiwi
🍅;tadama;frott|ħaxix|tadama
🫒;;
🥥;ġewż tal-indi;ġewż tal-indi|palma|piña colada
🥑;avokado;avokado|frott|ikel
🍆;brunġiela;brunġiel|brunġiela|ħaxix
🥔;patata;ħaxix|ikel|patata
🥕;zunnerija;ħaxix|ikel|zunnerija
🌽;widna tal-qamħ;qamħ|qamħirrum|qamħirrun|widna|widna tal-qamħ
🌶️;bżar jaħraq;bżar|jaħraq
🫑;;
🥒;ħjara;ħaxix|ħjara|ikel|immarinat
🥬;;
🥦;brokkoli;brokkoli|kaboċċa selvaġġa
🧄;;
🧅;;
🥜;karawett;ħaxix|ikel|karawett|lewż
🫘;;
🌰;qastan;pjanta|qastan
🫚;;
🫛;;
🍄‍🟫;;
🍞;ħobż;ħobż|ħobża
🥐;croissant;croissant|franċiż|ħobż|ikel|panina forma ta’ nofs qamar
🥖;ħobż baguette;baguette|franċiż|ħobż|ikel
🫓;;
🥨;pretzel;mibruma|pretzel
🥯;;
🥞;pancakes;crêpe|hotcake|ikel|pancake|pancakes
🧇;;
🧀;biċċa ġobon;biċċa ġobon|ġobon
🍖;laħam fuq l-għadma;għadma|laħam|laħam fuq l-għadma
🍗;sieq ta’ tjur;għadma|sieq|sieq ta’ tjur|tiġieġa|tjur
🥩;biċċa laħam;biċċa|biċċa laħam|kustilja tal-majjal|kustilja tal-muntun|steak
🥓;bejken;bejken|ikel|laħam
🍔;hamburger;burger|hamburger
🍟;ċips;ċips
🍕;pizza;ġobon|pizza|slajs
🌭;hot dog;frankfurter|hot dog|hotdog|zalzett
🥪;sandwich;ħobż|sandwich
🌮;taco;messikan|taco
🌯;burrito;burrito|messikan|wrap
🫔;;
🥙;ħobż ċatt mimli;falafel|gyro|ħobż ċatt|ħobż ċatt mimli|ikel|kebab|mimli
🧆;;
🥚;bajda;bajda|ikel
🍳;tisjir;bajda|borma|qali|tisjir
🥘;taġen baxx tal-Ikel;baxx|ikel|paella|pagna|taġen|taġen baxx tal-Ikel
🍲;borma tal-ikel;borma|borma tal-ikel|stuffat
🫕;;
🥣;skutella b’mgħarfa;ċereali|congee|kolazzjon|skutella b’mgħarfa
🥗;insalata ħadra;ħadra|ikel|insalata
🍿;popcorn;popcorn
🧈;;
🧂;;
🥫;ikel fil-laned;ikel fil-laned|landa
🍱;bento box;bento|box
🍘;rice cracker;craker|rice cracker|ross
🍙;pulpetta tar-ross;ballun|Ġappuniż|pulpetta tar-ross|ross
🍚;ross imsajjar;imsajjar|ross
🍛;ross tal-karì;karì|ross|ross tal-karì
🍜;bieqja tal-fwar;bieqja|bieqja tal-fwar|fwar|noodle|ramen
🍝;spagetti;għaġin|spagetti
🍠;patata ħelwa mixwija;ħelwa|mixwija|patata
🍢;oden;frott tal-baħar|kebab|oden|skewer|stikka
🍣;sushi;sushi
🍤;gambli moqli;gambli|moqli|tempura
🍥;pulpetta tal-ħut innokklata;għaġina|ħut|innokkla|pulpetta|pulpetta tal-ħut innokklata
🥮;;
🍡;dango;dango|deżerta|Ġappuniż|ħelwa|skewer|stikka
🥟;dumpling;dumpling|empanada|gyōza|jiaozi|pierogi|potsticker
🥠;fortune cookie;fortune cookie|profezija
🥡;kaxxa tat-takeout;kaxxa tat-takeout|oyster pail
🦀;granċ;Cancer|granċ|żodjaku
🦞;;
🦐;gamblu;frott tal-baħar|gamblu|ikel|żgħir
🦑;klamari;ikel|klamari|mollusk
🦪;;
🍦;ġelat artab;artab|deżerta|ġelat|ħelu|krema|silġ
🍧;silġ imqaxxar;deżerta|ħelu|imqaxxar|silġ
🍨;ġelat;deżerta|ġelat|ħelu|krema|silġ
🍩;doughnut;deżerta|donut|doughnut|ħelu
🍪;gallettina;deżerta|gallettina|ħelwa
🎂;kejk ta’ għeluq is-snin;ċelebarazzjoni|deżerta|għaġina|għeluq is-snin|ħelwa|kejk|kejk ta’ għeluq is-snin
🍰;shortcake;deżerta|għaġina|ħelu|kejk|shortcake|slajs
🧁;;
🥧;torta;għaġina|mili|torta
🍫;biċċa ċikkulata;biċċa|ċikkulata|deżerta|ħelwa
🍬;ħelu;deżerta|ħelu|ħelwa
🍭;lolipop;deżerta|ħelu|ħelwa|lolipop
🍮;kastard;deżerta|ħelwa|kastard|pudina
🍯;vażett għasel;għasel|ħelu|vażett|vażett tal-għasel
🍼;flixkun tat-trabi;flixkun|flixkun tat-trabi|ħalib|tarbija|xarba
🥛;tazza ħalib;ħalib|tazza|xarba
☕;xarba sħuna;fwar|kafè|sħun|te|xarba|xarba sħuna|xorb
🫖;;
🍵;kikkra tat-te mingħajr manku;kikkra|kikkra tat-te mingħajr manku|tazza|te|xarba
🍶;sake;bar|flixkun|sake|tazza|xarba|xorb
🍾;flixkun b’tapp tas-sufra jinfetaħ;bar|flixkun|flixkun b’tapp tas-sufra jinfetaħ|jinfetaħ|sufra|xarba
🍷;tazza nbid;bar|inbid|tazza|tazza nbid|xarba|xorb
🍸;tazza tal-cocktails;bar|cocktail|tazza|tazza tal-cocktails|xarba
🍹;xarba tropikali;bar|tropikali|xarba
🍺;magg birra;bar|birra|magg|xarba
🍻;maggijiet tal-birra jċekċku;bar|birra|iċekċku|magg|maggijiet tal-birra jċekċku|xarba
🥂;tazzi jċekċku;ċekċek|tazza|tazzi jċekċku|tiċċelebra|xarba
🥃;tazza kbira tal-ħġieġ;likur|shot|tazza|tazza kbira|tazza kbira tal-ħġieġ|whisky
🫗;;
🥤;tazza bi stro;luminata|meraq|tazza bi stro
🧋;;
🧃;;
🧉;;
🧊;;
🥢;chopsticks;chopsticks|hashi
🍽️;furketta u sikkina ma’ platt;furketta|furketta u sikkina ma’ platt|platt|sikkina|tisjir
🍴;furketta u sikkina;furketta|furketta u sikkina|sikkina|tisjir
🥄;mgħarfa;mgħarfa|oġġetti tal-mejda
🔪;sikkina tal-kċina;arma|għodda|hocho|sikkina|sikkina tal-kċina|tisjir
🫙;;
🏺;anfora;anfora|Aquarius|arma|buqar|għodda|tisjir|xarba|żodjaku

[travel_places]
🌍;globu juri l-Ewropa-Afrika;Afrika|dinja|globu|globu juri l-Ewropa-Afrika|l-Ewropa
🌎;globu juri l-Ameriki;dinja|globu|globu juri l-Ameriki|l-Ameriki
🌏;globu juri l-Asja-Awstralja;dinja|globu|globu juri l-Asja-Awstralja|l-Asja|l-Awstralja
🌐;globu bil-meridjani;dinja|globu|globu bil-meridjani|meridjani
🗺️;mappa tad-dinjija;dinja|mappa|mappa tad-dinjija
🗾;mappa tal-Ġappun;Ġappun|mappa|mappa tal-Ġappun
🧭;;
🏔️;muntanja miksija bis-silġ;kiesaħ|muntanja|muntanja miksija bis-silġ|silġ
⛰️;muntanja;muntanja
🌋;vulkan;eruzzjoni|muntanja|vulkan
🗻;muntanja fuji;fuji|muntanja
🏕️;kampeġġ;kampeġġ
🏖️;bajja b’umbrella;bajja|bajja b’umbrella|umbrella
🏜️;deżert;deżert
🏝️;gżira deżert;deżert|gżira
🏞️;park nazzjonali;park|park nazzjonali
🏟️;stadium;stadium
🏛️;bini klassiku;bini klassiku|klassiku
🏗️;kostruzzjoni tal-bini;kostruzzjoni|kostruzzjoni tal-bini
🧱;;
🪨;;
🪵;;
🛖;;
🏘️;djar;djar
🏚️;dar mitluqa;dar|mitluqa
🏠;binja;binja|dar
🏡;dar bil-ġnien;dar|dar bil-ġnien|ġnien
🏢;bini tal-uffiċċju;bini|bini tal-uffiċċju
🏣;uffiċċju tal-posta Ġappuniż;Ġappuniż|posta|uffiċċju tal-posta Ġappuniż
