[smileys_emotion]
😀;față încântată;față|față încântată|încântare
🛰️;satelit;cosmos|satelit|spațiu
🚀;rachetă;cosmos|rachetă|spațiu
🛸;farfurie zburătoare;farfurie zburătoare|OZN
🛎️;sonerie de recepție;clopoțel|hotel|recepție|sonerie|sonerie de recepție
🧳;bagaj;bagaj|călătorie|împachetare|valiză|voiaj
⌛;clepsidră cu nisipul scurs;clepsidră|clepsidră cu nisipul scurs|nisip|temporizator|timp
⏳;clepsidră cu nisip care se scurge;clepsidră|clepsidră cu nisip care se scurge|curgere|nisip|temporizator|timp
⌚;ceas de mână;ceas|ceas de mână
⏰;ceas deșteptător;alarmă|ceas|ceas deșteptător
⏱️;cronometru;ceas|cronometru
⏲️;temporizator;ceas|temporizator
🕰️;ceas pentru etajeră;ceas|ceas pentru etajeră
🕛;ora douăsprezece fix;00:00|12:00|ceas|doisprezece fix|ora douăsprezece|ora douăsprezece fix
🕧;ora douăsprezece și jumătate;12:30|ceas|doisprezece treizeci|ora douăsprezece și jumătate
🕐;ora unu fix;1:00|13:00|ceas|ora unu|ora unu fix|unu|unu fix
🕜;ora unu și jumătate;1:30|13:30|ceas|ora unu și jumătate|unu treizeci
🕑;ora două fix;14:00|2:00|ceas|două|două fix|ora două|ora două fix
🕝;ora două și jumătate;14:30|2:30|ceas|două|două treizeci|ora două și jumătate
🕒;ora trei fix;15:00|3:00|ceas|ora trei|ora trei fix|trei|trei fix
🕞;ora trei și jumătate;15:30|3:30|ceas|ora trei și jumătate|trei treizeci
🕓;ora patru fix;16:00|4:00|ceas|ora patru|ora patru fix|patru|patru fix
🕟;ora patru și jumătate;16:30|4:30|ceas|ora patru și jumătate|patru treizeci
🕔;ora cinci fix;17:00|5:00|ceas|cinci|cinci fix|ora cinci|ora cinci fix
🕠;ora cinci și jumătate;17:30|5:30|ceas|cinci treizeci|ora cinci și jumătate
🕕;ora șase fix;18:00|6:00|ceas|ora șase|ora șase fix|șase|șase fix
🕡;ora șase și jumătate;18:30|6:30|ceas|ora șase și jumătate|șase treizeci
🕖;ora șapte fix;19:00|7:00|ceas|ora șapte|ora șapte fix|șapte|șapte fix
🕢;ora șapte și jumătate;19:30|7:30|ceas|ora șapte și jumătate|șapte treizeci
🕗;ora opt fix;20:00|8:00|ceas|opt|opt fix|ora opt|ora opt fix
🕣;ora opt și jumătate;20:30|8:30|ceas|opt treizeci|ora opt și jumătate
🕘;ora nouă fix;21:00|9:00|ceas|nouă|nouă fix|ora nouă|ora nouă fix
🕤;ora nouă și jumătate;21:30|9:30|ceas|nouă treizeci|ora nouă și jumătate
🕙;ora zece fix;10:00|22:00|ceas|ora zece|ora zece fix|zece|zece fix
🕥;ora zece și jumătate;10:30|22:30|ceas|ora zece și jumătate|zece treizeci
🕚;ora unsprezece fix;11:00|23:00|ceas|ora unsprezece|ora unsprezece fix|unsprezece|unsprezece fix
🕦;ora unsprezece și jumătate;11:30|23:30|ceas|ora unsprezece și jumătate|unsprezece treizeci
🌑;lună nouă;întuneric|lună|lună nouă
🌒;lună concavă în creștere;concavă|creștere|lună|lună concavă în creștere|semilună
🌓;lună în primul pătrar;lună|lună în primul pătrar|pătrar|unu
🌔;lună convexă în creștere;convexă|creștere|lună|lună convexă în creștere|semilună
🌕;lună plină;lumină|lună|lună plină|rotund
🌖;lună convexă în descreștere;convexă|descreștere|lună|lună convexă în descreștere|semilună
🌗;lună în ultimul pătrar;lună|lună în ultimul pătrar|pătrar|patru
🌘;lună concavă în descreștere;concavă|descreștere|lună|lună concavă în descreștere|semilună
🌙;semilună;creștere|lună|semilună
🌚;lună nouă cu față;față|întuneric|lună|lună nouă cu față|rotundă
🌛;lună cu față în primul pătrar;față|lună|lună cu față în primul pătrar|pătrar|unu
🌜;lună în ultimul pătrar cu față;față|lună|lună în ultimul pătrar cu față|pătrar|patru
🌡️;termometru;temperatură|termometru|vreme
☀️;soare;însorit|lumină|raze|soare|strălucitor
🌝;lună plină cu față;față|lună plină|lună plină cu față
🌞;soare cu față;față|raze|soare|soare cu față
🪐;planetă cu inele;planetă cu inele|saturn|saturnian
⭐;stea;stea
🌟;stea strălucitoare;stea|stea strălucitoare|strălucire
🌠;stea căzătoare;cădere|cometă|meteor|stea|stea căzătoare
🌌;Calea Lactee;Calea Lactee|constelație|stele
☁️;nor;înnorat|meteo|nor|vreme
⛅;soare în nori;nor|soare|soare în nori|vreme
⛈️;nor cu fulger și ploaie;fulger|nor|nor cu fulger și ploaie|ploaie|tunet|vreme
🌤️;soare după un nor mic;nor|soare|soare după un nor mic|vreme
🌥️;soare după un nor mare;nor|soare|soare după un nor mare|vreme
🌦️;soare după nor cu ploaie;nor|ploaie|soare|soare după nor cu ploaie
🌧️;nor cu ploaie;nor|nor cu ploaie|ploaie|vreme
🌨️;nor de ninsoare;fulgi|ninsoare|nor|nor de ninsoare
🌩️;nor cu fulger;fulger|nor|nor cu fulger
🌪️;tornadă;nor|tornadă|vârtej
🌫️;ceață;ceață|nor|vreme
🌬️;față suflând vânt;față|față suflând vânt|suflare|vânt
🌀;ciclon;ciclon|taifun|uragan|vârtej
🌈;curcubeu;cer|culori|curcubeu
🌂;umbrelă închisă;accesoriu|ploaie|umbrelă|umbrelă închisă
☂️;umbrelă;accesoriu|ploaie|umbrelă
☔;umbrelă cu picături de ploaie;picături|ploaie|umbrelă|umbrelă cu picături de ploaie
⛱️;umbrelă pe sol;ploaie|soare|umbrelă|umbrelă pe sol
⚡;înaltă tensiune;electricitate|fulger|înaltă tensiune|pericol|voltaj
❄️;fulg de nea;frig|fulg de nea|zăpadă
☃️;om de zăpadă;frig|om|om de zăpadă|zăpadă
⛄;om de zăpadă fără zăpadă;frig|om|om de zăpadă fără zăpadă|zăpadă
☄️;cometă;cometă|spațiu
🔥;foc;căldură|flacără|flamă|foc|lumină
💧;picătură;bandă desenată|lichid|picătură|transpirație
🌊;val;mare|ocean|val

[activities]
🎃;dovleac cu felinar;dovleac cu felinar|Halloween|jack-o-lantern|lumânare|sărbătoare
🎄;brad de Crăciun;brad|brad de Crăciun|Crăciun|sărbătoare
🎆;artificii;artificii|sărbătoare
🎇;foc bengal;artificii|foc bengal|sărbătoare|scântei
🧨;petardă;artificii|dinamită|explozibil|petardă
✨;steluțe;*|luminițe|stea|steluță|steluțe
🎈;balon;balon|sărbătoare
🎉;tun cu confetti;con|confeti|petrecere|tun cu confetti
🎊;minge cu confetti;confeti|minge cu confetti|petrecere|sărbătoare
🎋;copac tanabata;copac|copac tanabata|Japonia|sărbătoare
🎍;decorațiune japoneză de pin;decor|decorațiune japoneză de pin|pin|sărbătoare
🎎;păpuși japoneze;festival|Japonia|păpușă|păpuși japoneze|sărbătoare
🎏;crap decorativ în vânt;crap|crap decorativ în vânt|sărbătoare|vânt
🎐;clopoței de vânt;clopoței de vânt|clopoțel|vânt
🎑;ceremonia lunii;ceremonia lunii|ceremonie|lună|sărbătoare
🧧;plic roșu;bani|cadou|noroc|plic roșu
🎀;fundă;festiv|fundă|panglică|sărbătoare
🎁;cadou împachetat;cadou|cadou împachetat|cutie|fundă
🎗️;panglică „in memoriam”;comemorare|panglică|panglică „in memoriam”|susținere
🎟️;bilete de intrare;acces|bilet|bilete de intrare|intrare
🎫;bilet;bilet|intrare
🎖️;medalie militară;medalie|militară|onoare
🏆;trofeu;cupă|premiu|trofeu
🏅;medalie sportivă;medalie|medalie sportivă|performanță|sport
🥇;medalie locul I;aur|medalie|medalie locul I|primul
🥈;medalie locul II;al doilea|argint|medalie|medalie locul II
🥉;medalie locul III;al treilea|bronz|medalie|medalie locul III
⚽;minge de fotbal;fotbal|minge|minge de fotbal|sport
⚾;baseball;baseball|minge|sport
🥎;softball;mănușă|minge|softball|subraț
🏀;baschet;baschet|coș|minge|sport
🏐;volei;mână|minge|sport|volei
🏈;fotbal american;american|balon oval|fotbal|minge
🏉;rugby;balon oval|minge|rugby|sport
🎾;tenis;minge|rachetă|sport|tenis
🥏;disc zburător;disc zburător|frisbee
🎳;bowling;bilă|bowling|joc|popice
🏏;crichet;bâtă|crichet|minge|sport
🏑;hochei de câmp;câmp|crosă|gazon|hochei|hochei de câmp|minge
🏒;hochei pe gheață;crosă|gheață|hochei pe gheață|puc|sport
🥍;lacrosse;crosă|lacrosse|minge|poartă
🏓;ping pong;minge|paletă|ping pong|sport|tenis de masă
🏸;badminton;badminton|fluturaș|rachetă|sport
🥊;mănușă de box;box|mănușă de box|mănuși|sport
🥋;costum arte marțiale;arte marțiale|costum|costum arte marțiale|judo|karate|taekwondo
🥅;plasa porții;gol|plasă|plasa porții|poartă
⛳;steag în gaură la golf;gaură|golf|steag|steag în gaură la golf
⛸️;patină de gheață;gheață|patină|patină de gheață
🎣;undiță;pescuit|pește|undiță
🤿;mască de scufundări;mască de scufundări|scuba|scufundare cu tub de respirat|scufundări|snorkeling
🎽;tricou de alegare;atletism|sport|tricou|tricou de alegare
🎿;schiuri;pârtie|schiuri|zăpadă
🛷;sanie;pârtie|sanie|săniuș|zăpadă
🥌;piatră de curling;joc|piatră|piatră de curling
🎯;fix la țintă;centru|darts|fix la țintă|reușită|țintă
🪀;yo-yo;fluctua|jucărie|yo-yo
🪁;zmeu;plana|pluti|zbura|zmeu
🔫;pistol cu apă;armă|armă de foc|pistol|pistol cu apă|pistolet|revolver
🎱;biliard;bilă|biliard|gaură|joc|opt
🔮;glob de cristal;basm|cristal|fantezie|glob|glob de cristal|noroc
🪄;baghetă magică;baghetă magică|magie|vrajă|vrăjitoare|vrăjitor|vrăjitorie
🎮;joc video;controller|joc|video
🕹️;joystick;joc|joystick|manetă|video
🎰;jocuri mecanice;joc|jocuri mecanice|manetă|noroc
🎲;zar;joc|noroc|zar
🧩;piesă de puzzle;indiciu|joc de puzzle|mozaic|piesă|piesă de puzzle|puzzle
🧸;ursuleț de pluș;jucărie|pluș|ursuleț|ursuleț de pluș
🪅;piñata;petrecere|piñata|sărbătorire
🪩;glob cu oglinzi;dans|disco|glob cu oglinzi|petrecere|sclipici|strălucire
🪆;matrioșka;lemn|matrioșka|păpușă|rusească|Rusia
♠️;pică;cărți|inimă neagră|joc|pică
♥️;cupă;cărți|cupă|inimă roșie|joc
♦️;caro;caro|cărți|joc|romb
♣️;treflă;cărți|joc|treflă
♟️;pion de șah;consumabil|de sacrificiu|pion de șah|șah
🃏;joker;cărți|joc|joker|păcălici
🀄;dragon roșu la mahjong;dragon roșu la mahjong|joc|mahjong|roșu
🎴;cărți de joc cu flori;carte|cărți de joc cu flori|floare|Japonia|joc
🎭;arte interpretative;artă|arte interpretative|măști|spectacol|teatru
🖼️;tablou înrămat;artă|înrămat|muzeu|pictură|ramă|tablou
🎨;paletă de pictor;artă|artist|muzeu|paletă|paletă de pictor|pictură
🧵;ață;ac|ață|croitorie|cusut|mosor
🪡;ac de cusut;ac|ac de cusut|broderie|croitorie|cusut
🧶;fir textil;croșeta|fir textil|ghem|tricota
🪢;nod;frânghie|încurcătură|lega|nod|sfoară

[objects]
👓;ochelari;ochelari|ochi|vedere
🕶️;ochelari de soare;ochelari|ochelari de soare|protecție|soare
🥽;ochelari de protecție;înot|ochelari de protecție|protecția vederii|sudură
🥼;halat de laborator;doctor|experiment|halat de laborator|om de știință
🦺;vestă de siguranță;siguranță|urgență|vestă|vestă de siguranță
👔;cravată;cravată|îmbrăcăminte
👕;tricou;îmbrăcăminte|tricou
👖;blugi;blugi|îmbrăcăminte|jeans|pantalon
🧣;eșarfă;eșarfă|gât
🧤;mănuși;mână|mănuși
🧥;palton;haină|jachetă|palton|pardesiu
🧦;șosete;ciorapi|șosete
👗;rochie;îmbrăcăminte|rochie
👘;chimono;chimono|îmbrăcăminte|kimono
🥻;sari;îmbrăcăminte|rochie|sari
🩱;costum de înot întreg;costum de baie|costum de înot întreg
🩲;slip;chilot|costum de baie|lenjerie|slip
🩳;șort;boxeri|costum de baie|lenjerie|șort
👙;costum de baie;bikini|costum de baie|feminin|înot
👚;haine de damă;femeie|feminin|haine|haine de damă
🪭;eventai pliabil;caniculă|dans|evantai|eventai pliabil|fâlfâit|răcire|răcorire|timiditate
👛;poșetă;accesoriu|feminin|poșetă
👜;geantă de mână;accesoriu|feminin|geantă de mână|poșetă
👝;gentuță;accesoriu|geantă|gentuță
🛍️;sacoșe de cumpărături;cumpărături|sacoșe de cumpărături|transport
🎒;rucsac;ghiozdan|rechizite|rucsac|școală
🩴;șlap;papuci de plajă|sandale|sandale de plajă|șlap
👞;pantof bărbătesc;bărbat|încălțăminte|masculin|pantof bărbătesc
👟;pantof sport;alergare|atletism|încălțăminte|pantof sport|sport
🥾;bocanc;bocanc|camping|drumeție|gheată
🥿;pantof fără toc;balerin|mocasin|pantof fără toc
👠;pantof cu toc;femeie|feminin|încălțăminte|pantof cu toc|toc înalt
👡;sanda de damă;femeie|feminin|încălțăminte|pantof|sanda de damă
🩰;pantofi de balet;balet|dans|pantofi de balet
👢;cizmă de damă;cizmă de damă|femeie|feminin|încălțăminte|pantof
🪮;pieptene cu dinți lungi;afro|creț|păr|pieptene|pieptene cu dinți lungi
👑;coroană;coroană|încoronat|putere|regalitate|rege|regină
👒;pălărie de damă;femeie|feminin|îmbrăcăminte|pălărie|pălărie de damă
🎩;joben;îmbrăcăminte|joben|pălărie
🎓;tichie de absolvent;absolvire|festiv|pălărie|sărbătorire|tichie de absolvent
🧢;șapcă;șapcă|șapcă cu cozoroc|șapcă de baseball
🪖;cască militară;armată|cască|cască militară|luptător|militar|soldat
⛑️;cască de pompier salvator;ajutor|alb|cască|cască de pompier salvator|cruce|roșu
📿;mătănii;mărgele|mătănii|meditație|religie|rugăciune
💄;ruj;cosmetice|machiaj|ruj|ruj de buze
💍;inel;diamant|inel|logodnă
💎;piatră prețioasă;bijuterie|diamant|nestemată|piatră prețioasă
🔇;difuzor fără sunet;difuzor fără sunet|fără sunet|liniște|sonor tăiat
🔈;volum scăzut al difuzorului;sunet încet|sunet slab|volum scăzut al difuzorului
🔉;volum mediu al difuzorului;sunet mediu|volum mediu al difuzorului
🔊;volum ridicat al difuzorului;gălăgie|sunet puternic|volum ridicat al difuzorului
📢;portavoce;difuzare|mesaj public|portavoce
📣;megafon;difuzare|megafon|sunet
📯;corn poștal;corn|corn poștal|poștă
🔔;clopoțel;clopoțel|sonerie
🔕;clopoțel tăiat;clopoțel|clopoțel tăiat|interzis|liniște|silențios
🎼;partitură;cheia sol|muzică|partitură|portativ
🎵;notă muzicală;muzică|notă|notă muzicală
🎶;note muzicale;muzică|note|note muzicale
🎙️;microfon de studio;microfon|microfon de studio|muzică|studio
🎚️;glisor de nivel;glisor|glisor de nivel|muzică|nivel
🎛️;butoane de control;butoane|butoane de control|muzică|reglaj|reglare
🎤;microfon;karaoke|microfon|muzică
🎧;cască audio;cască audio|cască extraauriculară|cască intraauriculară
📻;radio;radio|video
🎷;saxofon;instrument|muzică|saxofon
🪗;acordeon;acordeon|armonică|burduf|concertină
🎸;chitară;chitară|instrument|muzică
🎹;claviatură muzicală;clape|claviatură muzicală|instrument|muzică|pian
🎺;trompetă;instrument|muzică|trompetă
🎻;vioară;instrument|muzică|vioară
🪕;banjo;banjo|coarde|muzică
🥁;tobă;bețe de tobă|muzică|tobă
🪘;tobă înaltă;bătaie|conga|ritm|tobă|tobă înaltă
🪇;maracas;instrument|maracas|muzică|percuție|scuturat|zornăit
🪈;flaut;flaut|fluier|instrument de suflat din lemn|muzică|tub
📱;telefon mobil;celular|mobil|telefon
📲;telefon mobil cu săgeată;celular|mobil|recepție|săgeată|telefon|telefon mobil cu săgeată
☎️;telefon;fix|telefon
📞;receptor de telefon;receptor|receptor de telefon|telefon
📟;pager;comunicare|dispozitiv|pager
📠;echipament fax;comunicare|dispozitiv|echipament fax|fax
🔋;baterie;baterie|energie
🪫;baterie slabă;baterie cosumată|baterie slabă|electronic|energie scăzută
🔌;fișă electrică;electric|electricitate|fișă electrică|priză|ștecher
💻;computer laptop;computer laptop|computer personal|laptop|notebook|PC|portabil
🖥️;computer desktop;birou|computer|computer de birou|computer desktop
🖨️;imprimantă;computer|imprimantă|imprimare|tipărire
⌨️;tastatură;computer|tastatură|taste
🖱️;maus;computer|maus|periferic
🖲️;trackball;computer|periferic|trackball
💽;disc de computer;computer|disc|disc de computer|minidisc|unitate optică
💾;dischetă;computer|dischetă|floppy|stocare
💿;cd;cd|computer|disc|unitate optică
📀;dvd;blu-ray|computer|disc|dvd|optic
🧮;abac;abac|calcul|calcule|numărătoare
🎥;aparat de filmat;aparat de filmat|cinema|film|filmare
🎞️;peliculă de film;cadre|cinema|film|peliculă|peliculă de film
📽️;proiector de film;cinema|film|proiector|proiector de film|video
🎬;clachetă;clachetă|film|filmare
📺;televizor;televizor|tv|video
📷;cameră foto;aparat de fotografiat|cameră foto|fotografie|video
📸;cameră foto cu bliț;aparat de fotografiat|bliț|cameră foto cu bliț|fotografie|video
📹;cameră video;cameră|filmare|video
📼;casetă video;casetă|VHS|video
🔍;lupă înclinată spre stânga;căutare|instrument|lupă|lupă înclinată spre stânga|mărire
🔎;lupă înclinată spre dreapta;căutare|instrument|lupă|lupă înclinată spre dreapta|mărire
🕯️;lumânare;flacără|lumânare|lumină
💡;bec;bandă desenată|bec|electricitate|idee|lumină
🔦;lanternă;baterie|electric|instrument|lanternă|lumină
🏮;felinar din hârtie roșie;felinar|felinar din hârtie roșie|hârtie|Japonia|lumină|roșu
🪔;lampă diya;diya|lampă|ulei
📔;caiet cu copertă decorativă;caiet|caiet cu copertă decorativă|carnet|copertă|decorațiune
📕;carte închisă;carte|carte închisă|închis
📖;carte deschisă;carte|carte deschisă|deschis
📗;carte verde;carte|verde
📘;carte albastră;albastră|carte
📙;carte portocalie;carte|carte portocalie|portocaliu
📚;cărți;carte|cărți
📓;carnet;carnet
📒;registru;carnet|registru
📃;pagină rulată;document|pagină|pagină rulată|rulare
📜;pergament;hârtie|pergament|rulou|sul
📄;pagină cu fața în sus;document|pagină|pagină cu fața în sus
📰;ziar;hârtie|publicație|știri|ziar
🗞️;ziar rulat;hârtie|publicație|rulat|știri|ziar rulat
📑;marcatoare de pagini;marcatoare de pagini|marcator|semn|semn de carte
🔖;semn de carte;marcator|semn|semn de carte
🏷️;etichetă;etichetă
💰;sac cu bani;bani|dolar|pungă cu bani|sac cu bani
🪙;monedă;argint|aur|bani|comoară|metal|monedă
💴;bancnotă yen;bancnotă|bani|monedă|valută|yen
💵;bancnotă dolar;bancnotă|bani|dolar|monedă|valută
💶;bancnotă euro;bancnotă|bani|euro|monedă|valută
💷;bancnotă liră sterlină;bancnotă|bancnotă liră sterlină|bani|liră sterlină|monedă|valută
💸;bani înaripați;aripi|bancnotă|bani|bani înaripați|zbor
💳;card de credit;bani|card|card de credit|credit|plată
