[smileys_emotion]
😀;išsišiepęs veidas;išsišiepęs veidas|išsišiepti|veidas
	👨🏻‍❤️‍👨🏻;pora su širdele: vyras vyras šviesios odos;meilė|pora|pora su širdele|pora su širdele: vyras vyras šviesios odos|šviesios odos|vyras
	👨🏻‍❤️‍👨🏼;pora su širdele: vyras vyras šviesios odos vidutinio gymio;meilė|pora|pora su širdele|pora su širdele: vyras vyras šviesios odos vidutinio gymio|šviesios odos|vidutinio gymio|vyras
	👨🏻‍❤️‍👨🏽;pora su širdele: vyras vyras šviesios odos rusvos odos;meilė|pora|pora su širdele|pora su širdele: vyras vyras šviesios odos rusvos odos|rusvos odos|šviesios odos|vyras
	👨🏻‍❤️‍👨🏾;pora su širdele: vyras vyras šviesios odos tamsios odos;meilė|pora|pora su širdele|pora su širdele: vyras vyras šviesios odos tamsios odos|šviesios odos|tamsios odos|vyras
	👨🏻‍❤️‍👨🏿;pora su širdele: vyras vyras šviesios odos itin tamsios odos;itin tamsios odos|meilė|pora|pora su širdele|pora su širdele: vyras vyras šviesios odos itin tamsios odos|šviesios odos|vyras
	👨🏼‍❤️‍👨🏻;pora su širdele: vyras vyras vidutinio gymio šviesios odos;meilė|pora|pora su širdele|pora su širdele: vyras vyras vidutinio gymio šviesios odos|šviesios odos|vidutinio gymio|vyras
	👨🏼‍❤️‍👨🏼;pora su širdele: vyras vyras vidutinio gymio;meilė|pora|pora su širdele|pora su širdele: vyras vyras vidutinio gymio|vidutinio gymio|vyras
	👨🏼‍❤️‍👨🏽;pora su širdele: vyras vyras vidutinio gymio rusvos odos;meilė|pora|pora su širdele|pora su širdele: vyras vyras vidutinio gymio rusvos odos|rusvos odos|vidutinio gymio|vyras
	👨🏼‍❤️‍👨🏾;pora su širdele: vyras vyras vidutinio gymio tamsios odos;meilė|pora|pora su širdele|pora su širdele: vyras vyras vidutinio gymio tamsios odos|tamsios odos|vidutinio gymio|vyras
	👨🏼‍❤️‍👨🏿;pora su širdele: vyras vyras vidutinio gymio itin tamsios odos;itin tamsios odos|meilė|pora|pora su širdele|pora su širdele: vyras vyras vidutinio gymio itin tamsios odos|vidutinio gymio|vyras
	👨🏽‍❤️‍👨🏻;pora su širdele: vyras vyras rusvos odos šviesios odos;meilė|pora|pora su širdele|pora su širdele: vyras vyras rusvos odos šviesios odos|rusvos odos|šviesios odos|vyras
	👨🏽‍❤️‍👨🏼;pora su širdele: vyras vyras rusvos odos vidutinio gymio;meilė|pora|pora su širdele|pora su širdele: vyras vyras rusvos odos vidutinio gymio|rusvos odos|vidutinio gymio|vyras
	👨🏽‍❤️‍👨🏽;pora su širdele: vyras vyras rusvos odos;meilė|pora|pora su širdele|pora su širdele: vyras vyras rusvos odos|rusvos odos|vyras
	👨🏽‍❤️‍👨🏾;pora su širdele: vyras vyras rusvos odos tamsios odos;meilė|pora|pora su širdele|pora su širdele: vyras vyras rusvos odos tamsios odos|rusvos odos|tamsios odos|vyras
	👨🏽‍❤️‍👨🏿;pora su širdele: vyras vyras rusvos odos itin tamsios odos;itin tamsios odos|meilė|pora|pora su širdele|pora su širdele: vyras vyras rusvos odos itin tamsios odos|rusvos odos|vyras
	👨🏾‍❤️‍👨🏻;pora su širdele: vyras vyras tamsios odos šviesios odos;meilė|pora|pora su širdele|pora su širdele: vyras vyras tamsios odos šviesios odos|šviesios odos|tamsios odos|vyras
	👨🏾‍❤️‍👨🏼;pora su širdele: vyras vyras tamsios odos vidutinio gymio;meilė|pora|pora su širdele|pora su širdele: vyras vyras tamsios odos vidutinio gymio|tamsios odos|vidutinio gymio|vyras
	👨🏾‍❤️‍👨🏽;pora su širdele: vyras vyras tamsios odos rusvos odos;meilė|pora|pora su širdele|pora su širdele: vyras vyras tamsios odos rusvos odos|rusvos odos|tamsios odos|vyras
	👨🏾‍❤️‍👨🏾;pora su širdele: vyras vyras tamsios odos;meilė|pora|pora su širdele|pora su širdele: vyras vyras tamsios odos|tamsios odos|vyras
	👨🏾‍❤️‍👨🏿;pora su širdele: vyras vyras tamsios odos itin tamsios odos;itin tamsios odos|meilė|pora|pora su širdele|pora su širdele: vyras vyras tamsios odos itin tamsios odos|tamsios odos|vyras
	👨🏿‍❤️‍👨🏻;pora su širdele: vyras vyras itin tamsios odos šviesios odos;itin tamsios odos|meilė|pora|pora su širdele|pora su širdele: vyras vyras itin tamsios odos šviesios odos|šviesios odos|vyras
	👨🏿‍❤️‍👨🏼;pora su širdele: vyras vyras itin tamsios odos vidutinio gymio;itin tamsios odos|meilė|pora|pora su širdele|pora su širdele: vyras vyras itin tamsios odos vidutinio gymio|vidutinio gymio|vyras
	👨🏿‍❤️‍👨🏽;pora su širdele: vyras vyras itin tamsios odos rusvos odos;itin tamsios odos|meilė|pora|pora su širdele|pora su širdele: vyras vyras itin tamsios odos rusvos odos|rusvos odos|vyras
	👨🏿‍❤️‍👨🏾;pora su širdele: vyras vyras itin tamsios odos tamsios odos;itin tamsios odos|meilė|pora|pora su širdele|pora su širdele: vyras vyras itin tamsios odos tamsios odos|tamsios odos|vyras
	👨🏿‍❤️‍👨🏿;pora su širdele: vyras vyras itin tamsios odos;itin tamsios odos|meilė|pora|pora su širdele|pora su širdele: vyras vyras itin tamsios odos|vyras
👩‍❤️‍👩;pora su širdele: moteris moteris;meilė|moteris|pora|pora su širdele|pora su širdele: moteris moteris
	👩🏻‍❤️‍👩🏻;pora su širdele: moteris moteris šviesios odos;meilė|moteris|pora|pora su širdele|pora su širdele: moteris moteris šviesios odos|šviesios odos
	👩🏻‍❤️‍👩🏼;pora su širdele: moteris moteris šviesios odos vidutinio gymio;meilė|moteris|pora|pora su širdele|pora su širdele: moteris moteris šviesios odos vidutinio gymio|šviesios odos|vidutinio gymio
	👩🏻‍❤️‍👩🏽;pora su širdele: moteris moteris šviesios odos rusvos odos;meilė|moteris|pora|pora su širdele|pora su širdele: moteris moteris šviesios odos rusvos odos|rusvos odos|šviesios odos
	👩🏻‍❤️‍👩🏾;pora su širdele: moteris moteris šviesios odos tamsios odos;meilė|moteris|pora|pora su širdele|pora su širdele: moteris moteris šviesios odos tamsios odos|šviesios odos|tamsios odos
	👩🏻‍❤️‍👩🏿;pora su širdele: moteris moteris šviesios odos itin tamsios odos;itin tamsios odos|meilė|moteris|pora|pora su širdele|pora su širdele: moteris moteris šviesios odos itin tamsios odos|šviesios odos
	👩🏼‍❤️‍👩🏻;pora su širdele: moteris moteris vidutinio gymio šviesios odos;meilė|moteris|pora|pora su širdele|pora su širdele: moteris moteris vidutinio gymio šviesios odos|šviesios odos|vidutinio gymio
	👩🏼‍❤️‍👩🏼;pora su širdele: moteris moteris vidutinio gymio;meilė|moteris|pora|pora su širdele|pora su širdele: moteris moteris vidutinio gymio|vidutinio gymio
	👩🏼‍❤️‍👩🏽;pora su širdele: moteris moteris vidutinio gymio rusvos odos;meilė|moteris|pora|pora su širdele|pora su širdele: moteris moteris vidutinio gymio rusvos odos|rusvos odos|vidutinio gymio
	👩🏼‍❤️‍👩🏾;pora su širdele: moteris moteris vidutinio gymio tamsios odos;meilė|moteris|pora|pora su širdele|pora su širdele: moteris moteris vidutinio gymio tamsios odos|tamsios odos|vidutinio gymio
	👩🏼‍❤️‍👩🏿;pora su širdele: moteris moteris vidutinio gymio itin tamsios odos;itin tamsios odos|meilė|moteris|pora|pora su širdele|pora su širdele: moteris moteris vidutinio gymio itin tamsios odos|vidutinio gymio
	👩🏽‍❤️‍👩🏻;pora su širdele: moteris moteris rusvos odos šviesios odos;meilė|moteris|pora|pora su širdele|pora su širdele: moteris moteris rusvos odos šviesios odos|rusvos odos|šviesios odos
	👩🏽‍❤️‍👩🏼;pora su širdele: moteris moteris rusvos odos vidutinio gymio;meilė|moteris|pora|pora su širdele|pora su širdele: moteris moteris rusvos odos vidutinio gymio|rusvos odos|vidutinio gymio
	👩🏽‍❤️‍👩🏽;pora su širdele: moteris moteris rusvos odos;meilė|moteris|pora|pora su širdele|pora su širdele: moteris moteris rusvos odos|rusvos odos
	👩🏽‍❤️‍👩🏾;pora su širdele: moteris moteris rusvos odos tamsios odos;meilė|moteris|pora|pora su širdele|pora su širdele: moteris moteris rusvos odos tamsios odos|rusvos odos|tamsios odos
	👩🏽‍❤️‍👩🏿;pora su širdele: moteris moteris rusvos odos itin tamsios odos;itin tamsios odos|meilė|moteris|pora|pora su širdele|pora su širdele: moteris moteris rusvos odos itin tamsios odos|rusvos odos
	👩🏾‍❤️‍👩🏻;pora su širdele: moteris moteris tamsios odos šviesios odos;meilė|moteris|pora|pora su širdele|pora su širdele: moteris moteris tamsios odos šviesios odos|šviesios odos|tamsios odos
	👩🏾‍❤️‍👩🏼;pora su širdele: moteris moteris tamsios odos vidutinio gymio;meilė|moteris|pora|pora su širdele|pora su širdele: moteris moteris tamsios odos vidutinio gymio|tamsios odos|vidutinio gymio
	👩🏾‍❤️‍👩🏽;pora su širdele: moteris moteris tamsios odos rusvos odos;meilė|moteris|pora|pora su širdele|pora su širdele: moteris moteris tamsios odos rusvos odos|rusvos odos|tamsios odos
	👩🏾‍❤️‍👩🏾;pora su širdele: moteris moteris tamsios odos;meilė|moteris|pora|pora su širdele|pora su širdele: moteris moteris tamsios odos|tamsios odos
	👩🏾‍❤️‍👩🏿;pora su širdele: moteris moteris tamsios odos itin tamsios odos;itin tamsios odos|meilė|moteris|pora|pora su širdele|pora su širdele: moteris moteris tamsios odos itin tamsios odos|tamsios odos
	👩🏿‍❤️‍👩🏻;pora su širdele: moteris moteris itin tamsios odos šviesios odos;itin tamsios odos|meilė|moteris|pora|pora su širdele|pora su širdele: moteris moteris itin tamsios odos šviesios odos|šviesios odos
	👩🏿‍❤️‍👩🏼;pora su širdele: moteris moteris itin tamsios odos vidutinio gymio;itin tamsios odos|meilė|moteris|pora|pora su širdele|pora su širdele: moteris moteris itin tamsios odos vidutinio gymio|vidutinio gymio
	👩🏿‍❤️‍👩🏽;pora su širdele: moteris moteris itin tamsios odos rusvos odos;itin tamsios odos|meilė|moteris|pora|pora su širdele|pora su širdele: moteris moteris itin tamsios odos rusvos odos|rusvos odos
	👩🏿‍❤️‍👩🏾;pora su širdele: moteris moteris itin tamsios odos tamsios odos;itin tamsios odos|meilė|moteris|pora|pora su širdele|pora su širdele: moteris moteris itin tamsios odos tamsios odos|tamsios odos
	👩🏿‍❤️‍👩🏿;pora su širdele: moteris moteris itin tamsios odos;itin tamsios odos|meilė|moteris|pora|pora su širdele|pora su širdele: moteris moteris itin tamsios odos
👨‍👩‍👦;šeima: vyras moteris berniukas;berniukas|mama|moteris|šeima|šeima: vyras moteris berniukas|tėvas|vaikas|vyras
👨‍👩‍👧;šeima: vyras moteris mergaitė;mama|mergaitė|moteris|šeima|šeima: vyras moteris mergaitė|tėvas|vaikas|vyras
👨‍👩‍👧‍👦;šeima: vyras moteris mergaitė berniukas;berniukas|mama|mergaitė|moteris|šeima|šeima: vyras moteris mergaitė berniukas|tėvas|vaikas|vyras
👨‍👩‍👦‍👦;šeima: vyras moteris berniukas berniukas;berniukas|mama|moteris|šeima|šeima: vyras moteris berniukas berniukas|tėvas|vaikas|vyras
👨‍👩‍👧‍👧;šeima: vyras moteris mergaitė mergaitė;mama|mergaitė|moteris|šeima|šeima: vyras moteris mergaitė mergaitė|tėvas|vaikas|vyras
👨‍👨‍👦;šeima: vyras vyras berniukas;berniukas|mama|šeima|šeima: vyras vyras berniukas|tėvas|vaikas|vyras
👨‍👨‍👧;šeima: vyras vyras mergaitė;mama|mergaitė|šeima|šeima: vyras vyras mergaitė|tėvas|vaikas|vyras
👨‍👨‍👧‍👦;šeima: vyras vyras mergaitė berniukas;berniukas|mama|mergaitė|šeima|šeima: vyras vyras mergaitė berniukas|tėvas|vaikas|vyras
👨‍👨‍👦‍👦;šeima: vyras vyras berniukas berniukas;berniukas|mama|šeima|šeima: vyras vyras berniukas berniukas|tėvas|vaikas|vyras
👨‍👨‍👧‍👧;šeima: vyras vyras mergaitė mergaitė;mama|mergaitė|šeima|šeima: vyras vyras mergaitė mergaitė|tėvas|vaikas|vyras
👩‍👩‍👦;šeima: moteris moteris berniukas;berniukas|mama|moteris|šeima|šeima: moteris moteris berniukas|tėvas|vaikas
👩‍👩‍👧;šeima: moteris moteris mergaitė;mama|mergaitė|moteris|šeima|šeima: moteris moteris mergaitė|tėvas|vaikas
👩‍👩‍👧‍👦;šeima: moteris moteris mergaitė berniukas;berniukas|mama|mergaitė|moteris|šeima|šeima: moteris moteris mergaitė berniukas|tėvas|vaikas
👩‍👩‍👦‍👦;šeima: moteris moteris berniukas berniukas;berniukas|mama|moteris|šeima|šeima: moteris moteris berniukas berniukas|tėvas|vaikas
👩‍👩‍👧‍👧;šeima: moteris moteris mergaitė mergaitė;mama|mergaitė|moteris|šeima|šeima: moteris moteris mergaitė mergaitė|tėvas|vaikas
👨‍👦;šeima: vyras berniukas;berniukas|mama|šeima|šeima: vyras berniukas|tėvas|vaikas|vyras
👨‍👦‍👦;šeima: vyras berniukas berniukas;berniukas|mama|šeima|šeima: vyras berniukas berniukas|tėvas|vaikas|vyras
👨‍👧;šeima: vyras mergaitė;mama|mergaitė|šeima|šeima: vyras mergaitė|tėvas|vaikas|vyras
👨‍👧‍👦;šeima: vyras mergaitė berniukas;berniukas|mama|mergaitė|šeima|šeima: vyras mergaitė berniukas|tėvas|vaikas|vyras
👨‍👧‍👧;šeima: vyras mergaitė mergaitė;mama|mergaitė|šeima|šeima: vyras mergaitė mergaitė|tėvas|vaikas|vyras
👩‍👦;šeima: moteris berniukas;berniukas|mama|moteris|šeima|šeima: moteris berniukas|tėvas|vaikas
👩‍👦‍👦;šeima: moteris berniukas berniukas;berniukas|mama|moteris|šeima|šeima: moteris berniukas berniukas|tėvas|vaikas
👩‍👧;šeima: moteris mergaitė;mama|mergaitė|moteris|šeima|šeima: moteris mergaitė|tėvas|vaikas
👩‍👧‍👦;šeima: moteris mergaitė berniukas;berniukas|mama|mergaitė|moteris|šeima|šeima: moteris mergaitė berniukas|tėvas|vaikas
👩‍👧‍👧;šeima: moteris mergaitė mergaitė;mama|mergaitė|moteris|šeima|šeima: moteris mergaitė mergaitė|tėvas|vaikas
🗣️;kalbanti galva;galva|kalbanti galva|kalbėjimas|kalbėti|siluetas|veidas
👤;biusto siluetas;biustas|biusto siluetas|siluetas
👥;biustų siluetai;biustas|biustų siluetai|siluetas
🫂;apsikabinę žmonės;apsikabinę žmonės|apsikabinti|dėkui|labas|viso
👪;šeima;mama|šeima|tėvas|vaikas
🧑‍🧑‍🧒;šeima: suaugusysis, suaugusysis, vaikas;šeima: suaugusysis|šeima: suaugusysis, suaugusysis, vaikas|suaugusysis|vaikas
🧑‍🧑‍🧒‍🧒;šeima: suaugusysis, suaugusysis, vaikas, vaikas;šeima: suaugusysis|šeima: suaugusysis, suaugusysis, vaikas, vaikas|suaugusysis|vaikas
🧑‍🧒;šeima: suaugusysis, vaikas;šeima: suaugusysis|šeima: suaugusysis, vaikas|vaikas
🧑‍🧒‍🧒;šeima: suaugusysis, vaikas, vaikas;šeima: suaugusysis|šeima: suaugusysis, vaikas, vaikas|vaikas
👣;pėdsakai;drabužiai|kūnas|pėdsakai|pėdsakas

[animals_nature]
🐵;beždžionės snukutis;beždžionė|beždžionės snukutis|veidas
🐒;beždžionė;beždžionė
🦍;gorila;gorila|gyvūnas
🦧;orangutangas;beždžionė|orangutangas
🐶;šuns snukutis;naminis gyvūnas|šuns snukutis|šuo|veidas
🐕;šuo;naminis gyvūnas|šuo
🦮;šuo vedlys;aklas|prieinamumas|šuo vedlys|vedlys
🐕‍🦺;tarnaujantis šuo;aptarnavimas|pagalba|prieinamumas|šuo|tarnaujantis šuo
🐩;pudelis;pudelis|šuo
🐺;vilko snukis;veidas|vilkas|vilko snukis
🦊;lapės snukis;lapė|lapės snukis|snukis
🦝;meškėnas;gudrus|meškėnas|smalsus
🐱;katės snukutis;katė|katės snukutis|naminis gyvūnas|veidas
🐈;katė;katė|naminis gyvūnas
🐈‍⬛;juoda katė;juoda|katė|nelaimė
🦁;liūto snukis;liūtas|liūto snukis|veidas|zodiakas
🐯;tigro snukis;tigras|tigro snukis|veidas
🐅;tigras;tigras
🐆;leopardas;leopardas
🐴;arklio snukis;arklio snukis|arklys|veidas
🫎;briedis;briedis|gyvūnas|ragai|žinduolis
🫏;asilas;asilas|gyvūnas|mulas|užsispyręs|žinduolis
🐎;arklys;arklių varžybos|arklys|varžytis
🦄;vienaragio snukis;veidas|vienaragio snukis|vienaragis
🦓;zebras;dryžis|zebras
🦌;elnias;elnias
🦬;bizonas;banda|bizonas|buivolas
🐮;karvės snukis;karvė|karvės snukis|veidas
🐂;jautis;bulius|jautis|tauras|zodiakas
🐃;azijinis buivolas;azijinis|buivolas
🐄;karvė;karvė
🐷;kiaulės snukis;kiaulė|kiaulės snukis|veidas
🐖;kiaulė;kiaulė
🐗;šernas;kiaulė|šernas
🐽;kiaulės nosis;kiaulė|kiaulės nosis|nosis|veidas
🐏;avinas (gyvūnas);avinas|avinas (gyvūnas)|avis|zodiakas
🐑;avis;avis
🐐;ožys;ožiaragis|ožys|zodiakas
🐪;kupranugaris;kupra|kupranugaris|vienakupris kupranugaris
🐫;dvikupris kupranugaris;dvikupris kupranugaris|kupra|kupranugaris
🦙;lama;alpaka|guanakas|lama|lamos vilna|vilna
🦒;žirafa;dėmė|žirafa
🐘;dramblys;dramblys
🦣;mamutas;didelis|iltis|išnykimas|mamutas
🦏;raganosis;raganosis
🦛;begemotas;begemotas
🐭;pelės snukutis;pelė|pelės snukutis|veidas
🐁;pelė;pelė
🐀;žiurkė;žiurkė
🐹;žiurkėno snukutis;naminis gyvūnas|veidas|žiurkėnas|žiurkėno snukutis
🐰;triušio snukutis;naminis gyvūnas|triušio snukutis|triušis|veidas|zuikis
🐇;triušis;naminis gyvūnas|triušis|triušiukas
🐿️;voverė;voverė
🦫;bebras;bebras|užtvanka
🦔;ežys;ežys|spygliuotas
🦇;šikšnosparnis;šikšnosparnis|vampyras
🐻;meškos snukis;meška|meškos snukis|veidas
🐻‍❄️;baltoji meška;baltasis lokys|baltoji meška|lokys|meška|poliarinis lokys|šiaurė
🐨;koala;koala|meška
🐼;pandos snukis;panda|pandos snukis|veidas
🦥;tinginys;lėtas|tinginys|tingus
🦦;ūdra;ūdra|žaisminga|žvejojanti
🦨;skunkas;skunkas|smirdantis
🦘;kengūra;Australija|jauniklis|kengūra|šokinėti|sterblinis gyvūnas
🦡;barsukas;barsukas|įkyruolis
🐾;pėdutės;letenos|pėdos|pėdsakai|pėdutės
🦃;kalakutas;kalakutas|paukštis
🐔;višta;paukštis|višta
🐓;gaidys;gaidys|paukštis
🐣;išsiritęs viščiukas;išsiridenti|išsiritęs viščiukas|mažas|paukštis|viščiukas
🐤;viščiukas;mažas|viščiukas
🐥;atsisukęs snapu viščiukas;atsisukęs snapu viščiukas|mažas|paukštis|viščiukas
