[smileys_emotion]
😀;инээсэн царай;инээсэн царай|инээх|царай
🐉;луу;луу|шидэт үлгэр
🦕;сауропод;брачиосаурус|бронтосарус|диплодокус|сауропод
🦖;Т-рекс;Т-рекс|Тиранозавр рекс
🐳;ус оргилуулж байгаа халим;далай|оргилуулах|ус|ус оргилуулж байгаа халим|халим
🐋;халим;халим
🐬;далайн гахай;далайн гахай|сэлүүр
🦭;далайн хав;далайн арслан|далайн хав
🐟;загас;загас|загасны орд|өрнийн зурхай
🐠;халуун орны загас;загас|халуун орны загас|халуун орон
🐡;нохой загас;загас|нохой загас
🦈;акул;акул|загас
🐙;наймаалж;наймаалж
🐚;дунгийн хясаа;дун|дунгийн хясаа|хясаа
🪸;шүр;далай|хад|шүр
🪼;далайн мөгөөрс;далайн|далайн мөгөөрс|сээр нуруугүй амьтан|хатгадаг хорхой
🐌;эмгэн хумс;эмгэн хумс
🦋;эрвээхэй;шавьж|эрвээхэй
🐛;хорхой;хорхой|шавж
🐜;шоргоолж;шавж|шоргоолж
🐝;зөгий;зөгий|шавьж
🪲;хорхой шавж;нисдэг шавж|хорхой шавж
🐞;цох хорхой;цох хорхой|цох шавьж
🦗;хүрэлзгэнэ;хүрэлзгэнэ|царцаа
🪳;жоом;жоом|нисдэг шавж|хортон шавж
🕷️;аалз;аалз|шавж
🕸️;аалзны тор;аалз|аалзны тор|тор
🦂;хилэнц;орд|хилэнц
🦟;шумуул;вирус|малариа|өвчин|халуурах|шавьж|шумуул
🪰;ялаа;өвчин|өт|хортон шавж|ялаа|ялзрах
🪱;өт хорхой;өргөст хорхой|өт|өт хорхой|чийгийн өт|шимэгч
🦠;микроб;амёб|бактер|вирус|микроб
💐;цэцгийн баглаа;баглаа|ургамал|цэцгийн баглаа|цэцэг
🌸;интоорын цэцэг;интоор|интоорын цэцэг|ургамал|цэцэг
💮;цагаан цэцэг;ургамал|цагаан|цэцэг
🪷;бадамлянхуа;бадамлянхуа|буддын шашин|Вьетнам|хиндү шашин|цэвэр ариун|цэцэг|Энэтхэг
🏵️;сарнай хэлбэртэй чимэглэл;Сарнай|сарнай хэлбэртэй чимэглэл|хэлбэр|чимэглэл
🌹;сарнай;сарнай|ургамал
🥀;хатсан цэцэг;хатсан|цэцэг
🌺;гибискус сарнай;гибискус|сарнай|ургамал
🌻;наран цэцэг;наран цэцэг|ургамал
🌼;цэцэг;ургамал|цэцэг
🌷;алтан зул цэцэг;алтан зул цэцэг|цэцэг
🪻;хэлгий цэцэг;лаванда|снапдрагон|хэлгий цэцэг|цэцэг|шошлой
🌱;үрсэлгээ;ургамал|үрсэлгээ
🪴;ваартай ургамал;байшин|ваартай ургамал|өсөх|уйтгартай|ургамал|ургуулах|хэрэгцээгүй
🌲;гацуур;гацуур|зул сар|мод|шинэ жил
🌳;навчит мод;мод|навч|навчит мод
🌴;дал мод;дал мод|мод
🌵;кактус;кактус|ургамал
🌾;будааны тариан түрүү;будаа|будааны тариан түрүү|тариан түрүү|үр ургац
🌿;ургамал;навч|ургамал
☘️;айргана;айргана|ургамал
🍀;4 навчтай хошоонгор;4|4 навчтай хошоонгор|навч|ургамал|хошоонгор
🍁;агч модны навч;агч|агч модны навч|навч
🍂;унаж байгаа навч;навч|унаж байгаа навч|унах|ургамал
🍃;салхинд хийсч буй навч;навч|салхи|салхинд хийсч буй навч|хийсэх
🪹;хоосон үүр;үүрлэх|хоосон үүр
🪺;өндөгтэй үүр;өндөгтэй үүр|үүрлэх
🍄;мөөг;мөөг|ургамал

[food_drink]
🍇;усан үзэм;жимс|усан үзэм
🍈;гуа;гуа|жимс
🍉;тарвас;жимс|тарвас
🍊;мандарин;жимс|мандарин
🍋;лимон;жимс|лимон|нимбэг|ситрус
🍋‍🟩;нимбэг;жимс|жүрж|нимбэг|халуун орны
🍌;гадил;гадил|жимс
🍍;хан боргоцой;жимс|хан боргоцой
🥭;манго;жимс|манго|халуун орны
🍎;улаан алим;алим|жимс|улаан
🍏;ногоон алим;алим|жимс|ногоон
🍐;лийр;жимс|лийр
🍑;тоор;жимс|тоор
🍒;интоор;жимс|интоор
🍓;гүзээлзгэнэ;гүзээлзгэнэ|жимс
🫐;нэрс;жимс|нэрс|цэнхэр
🥝;киви жимс;жимс|киви
🍅;улаан лооль;жимс|лооль|улаан
🫒;олив;олив|хүнс
🥥;наргил;дал|наргил
🥑;авокадо;авокадо|жимс|хүнс
🍆;хаш;ногоо|хаш
🥔;төмс;ногоо|төмс|хүнс
🥕;лууван;лууван|ногоо|хүнс
🌽;шошны навч;навч|ургамал|шош|шошны навч
🌶️;халуун чинжүү;ургамал|халуун|чинжүү
🫑;амтат чинжүү;амтат чинжүү|хүнсний ногоо|чинжүү
🥒;өргөст хэмх;ногоо|өргөст хэмх|хүнс
🥬;навчит ногоо;байцаа|буржгар байцаа|навчит ногоо|ногоон навч|юуцай
🥦;цэцэгт байцаа;зэрлэг цэцэгт байцаа|цэцэгт байцаа
🧄;саримс;амтлагч|саримс
🧅;сонгино;амтлагч|сонгино
🥜;газрын самар;газрын самар|самар|хүнс|хүнсний ногоо
🫘;шош;бөөр|хүнс|шош
🌰;каштан;каштан|самар
🫚;цагаан гааны үндэс;амтлагч|үндэс|цагаан гааны үндэс
🫛;буурцаг;буурцаг|ногоо|шар буурцаг|шош
🍄‍🟫;бор мөөг;байгаль|бор мөөг|мөөгөнцөр|хоол хүнс|хүнсний ногоо
🍞;талх;талх|хүнс
🥐;ороомог талх;ороомог|өглөөний цай|талх|франц|хүнс
🥖;багет франц талх;багет|талх|франц|хүнс
🫓;гамбир;арепа|гамбир|лаваш|наан|пита
🥨;претцел;ороомог|претцел
🥯;цагирган талх;нарийн боовны газар|өглөөний цай|цагирган талх
🥞;бин;бин|креп|өглөөний цай|хүнс|шарвин
🧇;вафль;вафль|ширэм
🧀;зүсэм бяслаг;бяслаг|зүсэм бяслаг
🍖;ястай мах;мах|яс|ястай мах
🍗;тахиан шарсан мөч;мөч|тахиа|тахиан шарсан мөч|тахианы шарсан мөч|яс
🥩;зүсэм мах;гахайн хэрчим мах|зүсэм мах|стейк|хонины хэрчим мах|хэрчим мах
🥓;гахайн мах;гахайн мах|мах|өглөөний цай|хүнс
🍔;гамбургер;бургер|гамбургер
🍟;шарсан төмс;шарсан төмс
🍕;пицца;бяслаг|зүсэм|пицца
🌭;хот-дог;зайдас|хот-дог
🥪;сэндвич;сэндвич|талх
🌮;тако;мексик|тако
🌯;буррито;буррито|мексик
🫔;тамале;мексик|ороосон|тамале
🥙;хавчуургатай ороомог;гиро|кебаб|фалафел|хавтгай талх|хавчуургатай|хавчуургатай ороомог|хүнс
🧆;фалафель;бөөрөнхий мах|бөөрөнцөг|фалафель|шош
🥚;өндөг;өндөг|хоол|хүнс
🍳;өндөг шарах;өглөөний цай|өндөг|хайруулын таваг|хоол хийх|шарах
🥘;тогоотой хоол;тогоо|тогоотой хоол|хайруулын таваг|хоол
🍲;хоолтой тогоо;тогоо сав|хоолтой тогоо
🫕;фондю;бяслаг|фондю|хайлсан|хоолны сав|Швейцар|шоколад
🥣;халбагатай сав;буудай|өглөөний цай|халбагатай сав
🥗;ногооны салат;ногоон|ногооны салат|салад|хүнс
🍿;попкорн;попкорн
🧈;цөцгийн тос;цагаан идээ|цөцгийн тос
🧂;давс;давс|сэгсрэгч|хоол амтлагч
🥫;лаазтай хоол;лааз|лаазтай хоол
🍱;өдрийн хоол;өдрийн хоол|сав
🍘;будааны жигнэмэг;будаа|будааны жигнэмэг|жигнэмэг
🍙;будааны ороомог;будаа|будааны ороомог|Японы
🍚;агшаасан будаа;агшаасан будаа|будаа
🍛;карритай будаа;будаа|карри|карритай будаа
🍜;чанасан гоймон;гоймон|жигнэх|рамен|хул аяга|чанасан гоймон
🍝;шпагетти;паста|шпагетти
🍠;шарсан чихэрлэг төмс;төмс|чихэрлэг|шарсан
🍢;удэн;далайн гаралтай хоол|иш|кебаб|удэн|шорлог
🍣;суши;суши
🍤;шарсан сам хорхой;сам хорхой|темпура|шарсан|шарсан сам хорхой
🍥;загасны бялуу;бялуу|загас|загасны бялуу
🥮;саран боов;баяр|намар|саран боов
🍡;данго;амттан|данго|иштэй|модон чихэр|чихэр|Японы
🥟;бууз;бууз|жигнэсэн банш|шарсан банш
🥠;азын жигнэмэг;азын жигнэмэг|иш
🥡;авч явах;авч явах|эмгэн хумс
🦀;хавч;өрнийн зурхай|хавч|хилэнц
🦞;голын хавч;голын хавч|далайн хоол|сарвуу|хавчны зутан шөл
🦐;сам хорхой;жижиг|сам хорхой|усны амьтан|хавч|хүнс
🦑;кальмар;кальмар|наймаалж|усны амьтан
🦪;хясаа;сувд|хясаа
🍦;шинэхэн мөхөөлдөс;амттан|мөхөөлдөс|шинэхэн
🍧;хөлдөөсөн мөс;амттан|мөс|хөлдөөсөн
🍨;мөхөөлдөс;амттан|крем|мөс|мөхөөлдөс|чихэрлэг
🍩;хайрсан нарийн боов;амттан|донат|өглөөний цай|хайрсан нарийн боов|хөөмөл хайрсан боов
🍪;жигнэмэг;амттан|жигнэмэг
🎂;төрсөн өдрийн бялуу;амттан|баяр|гурилан бүтээгдэхүүн|торт|төрсөн өдөр|төрсөн өдрийн бялуу
🍰;бялууны зүсэм;амттан|бялуу|бялууны зүсэм|зүсэм
🧁;аяган кекс;амттан|аяган кекс|нарийн боовны газар
🥧;зүсэм бялуу;зүсэм бялуу|нарийн боов
🍫;шоколад;амттан|чихэр|шоколад
🍬;чихэр;амттан|чихэр
🍭;иштэй чихэр;амттан|иш|иштэй чихэр|чихэр
🍮;кастард;амттан|кастард
🍯;зөгийн балны сав;бал|зөгийн балны сав|сав|чихэрлэг
🍼;хүүхдийн сүүний сав;нялх хүүхэд|сав|сүү|уух|хүүхдийн сүүний сав
🥛;аяга сүү;аяга|сүү|унд
☕;халуун уух зүйл;зүйл|уух|халуун
🫖;цайны гүц;гүц|уух юм|цай|цайны гүц
🍵;бариулгүй цайны аяга;аяга|бариул|бариулгүй цайны аяга|уух|цай
🍶;сакэ;сакэ|уух|шил
🍾;оргилуун дарс;буудах|дарс|оргилуун|уух
🍷;виноны хундага;баар|виноны хундага|дарс|уух|уух юм|хундага
🍸;коктэйл;баар|коктэйл|уух|хундага
🍹;жимсний ундаа;баар|жимсний ундаа|уух юм|халуун орны
