[smileys_emotion]
😀;Grinsgesiicht;Gesiicht|Grinsen|Grinsgesiicht
	👨🏻‍❤️‍👨🏻;verléift Koppel: Mann, Mann, hell Hautfaarf;hell Hautfaarf|Koppel|Léift|Mann|verléift Koppel|verléift Koppel: Mann, Mann, hell Hautfaarf
	👨🏻‍❤️‍👨🏼;verléift Koppel: Mann, Mann, hell Hautfaarf, mëttelhell Hautfaarf;hell Hautfaarf|Koppel|Léift|Mann|mëttelhell Hautfaarf|verléift Koppel|verléift Koppel: Mann, Mann, hell Hautfaarf, mëttelhell Hautfaarf
	👨🏻‍❤️‍👨🏽;verléift Koppel: Mann, Mann, hell Hautfaarf, mëttel Hautfaarf;hell Hautfaarf|Koppel|Léift|Mann|mëttel Hautfaarf|verléift Koppel|verléift Koppel: Mann, Mann, hell Hautfaarf, mëttel Hautfaarf
	👨🏻‍❤️‍👨🏾;verléift Koppel: Mann, Mann, hell Hautfaarf, mëtteldäischter Hautfaarf;hell Hautfaarf|Koppel|Léift|Mann|mëtteldäischter Hautfaarf|verléift Koppel|verléift Koppel: Mann, Mann, hell Hautfaarf, mëtteldäischter Hautfaarf
	👨🏻‍❤️‍👨🏿;verléift Koppel: Mann, Mann, hell Hautfaarf, däischter Hautfaarf;däischter Hautfaarf|hell Hautfaarf|Koppel|Léift|Mann|verléift Koppel|verléift Koppel: Mann, Mann, hell Hautfaarf, däischter Hautfaarf
	👨🏼‍❤️‍👨🏻;verléift Koppel: Mann, Mann, mëttelhell Hautfaarf, hell Hautfaarf;hell Hautfaarf|Koppel|Léift|Mann|mëttelhell Hautfaarf|verléift Koppel|verléift Koppel: Mann, Mann, mëttelhell Hautfaarf, hell Hautfaarf
	👨🏼‍❤️‍👨🏼;verléift Koppel: Mann, Mann, mëttelhell Hautfaarf;Koppel|Léift|Mann|mëttelhell Hautfaarf|verléift Koppel|verléift Koppel: Mann, Mann, mëttelhell Hautfaarf
	👨🏼‍❤️‍👨🏽;verléift Koppel: Mann, Mann, mëttelhell Hautfaarf, mëttel Hautfaarf;Koppel|Léift|Mann|mëttel Hautfaarf|mëttelhell Hautfaarf|verléift Koppel|verléift Koppel: Mann, Mann, mëttelhell Hautfaarf, mëttel Hautfaarf
	👨🏼‍❤️‍👨🏾;verléift Koppel: Mann, Mann, mëttelhell Hautfaarf, mëtteldäischter Hautfaarf;Koppel|Léift|Mann|mëtteldäischter Hautfaarf|mëttelhell Hautfaarf|verléift Koppel|verléift Koppel: Mann, Mann, mëttelhell Hautfaarf, mëtteldäischter Hautfaarf
	👨🏼‍❤️‍👨🏿;verléift Koppel: Mann, Mann, mëttelhell Hautfaarf, däischter Hautfaarf;däischter Hautfaarf|Koppel|Léift|Mann|mëttelhell Hautfaarf|verléift Koppel|verléift Koppel: Mann, Mann, mëttelhell Hautfaarf, däischter Hautfaarf
	👨🏽‍❤️‍👨🏻;verléift Koppel: Mann, Mann, mëttel Hautfaarf, hell Hautfaarf;hell Hautfaarf|Koppel|Léift|Mann|mëttel Hautfaarf|verléift Koppel|verléift Koppel: Mann, Mann, mëttel Hautfaarf, hell Hautfaarf
	👨🏽‍❤️‍👨🏼;verléift Koppel: Mann, Mann, mëttel Hautfaarf, mëttelhell Hautfaarf;Koppel|Léift|Mann|mëttel Hautfaarf|mëttelhell Hautfaarf|verléift Koppel|verléift Koppel: Mann, Mann, mëttel Hautfaarf, mëttelhell Hautfaarf
	👨🏽‍❤️‍👨🏽;verléift Koppel: Mann, Mann, mëttel Hautfaarf;Koppel|Léift|Mann|mëttel Hautfaarf|verléift Koppel|verléift Koppel: Mann, Mann, mëttel Hautfaarf
	👨🏽‍❤️‍👨🏾;verléift Koppel: Mann, Mann, mëttel Hautfaarf, mëtteldäischter Hautfaarf;Koppel|Léift|Mann|mëttel Hautfaarf|mëtteldäischter Hautfaarf|verléift Koppel|verléift Koppel: Mann, Mann, mëttel Hautfaarf, mëtteldäischter Hautfaarf
	👨🏽‍❤️‍👨🏿;verléift Koppel: Mann, Mann, mëttel Hautfaarf, däischter Hautfaarf;däischter Hautfaarf|Koppel|Léift|Mann|mëttel Hautfaarf|verléift Koppel|verléift Koppel: Mann, Mann, mëttel Hautfaarf, däischter Hautfaarf
	👨🏾‍❤️‍👨🏻;verléift Koppel: Mann, Mann, mëtteldäischter Hautfaarf, hell Hautfaarf;hell Hautfaarf|Koppel|Léift|Mann|mëtteldäischter Hautfaarf|verléift Koppel|verléift Koppel: Mann, Mann, mëtteldäischter Hautfaarf, hell Hautfaarf
	👨🏾‍❤️‍👨🏼;verléift Koppel: Mann, Mann, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf;Koppel|Léift|Mann|mëtteldäischter Hautfaarf|mëttelhell Hautfaarf|verléift Koppel|verléift Koppel: Mann, Mann, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf
	👨🏾‍❤️‍👨🏽;verléift Koppel: Mann, Mann, mëtteldäischter Hautfaarf, mëttel Hautfaarf;Koppel|Léift|Mann|mëttel Hautfaarf|mëtteldäischter Hautfaarf|verléift Koppel|verléift Koppel: Mann, Mann, mëtteldäischter Hautfaarf, mëttel Hautfaarf
	👨🏾‍❤️‍👨🏾;verléift Koppel: Mann, Mann, mëtteldäischter Hautfaarf;Koppel|Léift|Mann|mëtteldäischter Hautfaarf|verléift Koppel|verléift Koppel: Mann, Mann, mëtteldäischter Hautfaarf
	👨🏾‍❤️‍👨🏿;verléift Koppel: Mann, Mann, mëtteldäischter Hautfaarf, däischter Hautfaarf;däischter Hautfaarf|Koppel|Léift|Mann|mëtteldäischter Hautfaarf|verléift Koppel|verléift Koppel: Mann, Mann, mëtteldäischter Hautfaarf, däischter Hautfaarf
	👨🏿‍❤️‍👨🏻;verléift Koppel: Mann, Mann, däischter Hautfaarf, hell Hautfaarf;däischter Hautfaarf|hell Hautfaarf|Koppel|Léift|Mann|verléift Koppel|verléift Koppel: Mann, Mann, däischter Hautfaarf, hell Hautfaarf
	👨🏿‍❤️‍👨🏼;verléift Koppel: Mann, Mann, däischter Hautfaarf, mëttelhell Hautfaarf;däischter Hautfaarf|Koppel|Léift|Mann|mëttelhell Hautfaarf|verléift Koppel|verléift Koppel: Mann, Mann, däischter Hautfaarf, mëttelhell Hautfaarf
	👨🏿‍❤️‍👨🏽;verléift Koppel: Mann, Mann, däischter Hautfaarf, mëttel Hautfaarf;däischter Hautfaarf|Koppel|Léift|Mann|mëttel Hautfaarf|verléift Koppel|verléift Koppel: Mann, Mann, däischter Hautfaarf, mëttel Hautfaarf
	👨🏿‍❤️‍👨🏾;verléift Koppel: Mann, Mann, däischter Hautfaarf, mëtteldäischter Hautfaarf;däischter Hautfaarf|Koppel|Léift|Mann|mëtteldäischter Hautfaarf|verléift Koppel|verléift Koppel: Mann, Mann, däischter Hautfaarf, mëtteldäischter Hautfaarf
	👨🏿‍❤️‍👨🏿;verléift Koppel: Mann, Mann, däischter Hautfaarf;däischter Hautfaarf|Koppel|Léift|Mann|verléift Koppel|verléift Koppel: Mann, Mann, däischter Hautfaarf
👩‍❤️‍👩;verléift Koppel: Fra, Fra;Fra|Koppel|Léift|verléift Koppel|verléift Koppel: Fra, Fra
	👩🏻‍❤️‍👩🏻;verléift Koppel: Fra, Fra, hell Hautfaarf;Fra|hell Hautfaarf|Koppel|Léift|verléift Koppel|verléift Koppel: Fra, Fra, hell Hautfaarf
	👩🏻‍❤️‍👩🏼;verléift Koppel: Fra, Fra, hell Hautfaarf, mëttelhell Hautfaarf;Fra|hell Hautfaarf|Koppel|Léift|mëttelhell Hautfaarf|verléift Koppel|verléift Koppel: Fra, Fra, hell Hautfaarf, mëttelhell Hautfaarf
	👩🏻‍❤️‍👩🏽;verléift Koppel: Fra, Fra, hell Hautfaarf, mëttel Hautfaarf;Fra|hell Hautfaarf|Koppel|Léift|mëttel Hautfaarf|verléift Koppel|verléift Koppel: Fra, Fra, hell Hautfaarf, mëttel Hautfaarf
	👩🏻‍❤️‍👩🏾;verléift Koppel: Fra, Fra, hell Hautfaarf, mëtteldäischter Hautfaarf;Fra|hell Hautfaarf|Koppel|Léift|mëtteldäischter Hautfaarf|verléift Koppel|verléift Koppel: Fra, Fra, hell Hautfaarf, mëtteldäischter Hautfaarf
	👩🏻‍❤️‍👩🏿;verléift Koppel: Fra, Fra, hell Hautfaarf, däischter Hautfaarf;däischter Hautfaarf|Fra|hell Hautfaarf|Koppel|Léift|verléift Koppel|verléift Koppel: Fra, Fra, hell Hautfaarf, däischter Hautfaarf
	👩🏼‍❤️‍👩🏻;verléift Koppel: Fra, Fra, mëttelhell Hautfaarf, hell Hautfaarf;Fra|hell Hautfaarf|Koppel|Léift|mëttelhell Hautfaarf|verléift Koppel|verléift Koppel: Fra, Fra, mëttelhell Hautfaarf, hell Hautfaarf
	👩🏼‍❤️‍👩🏼;verléift Koppel: Fra, Fra, mëttelhell Hautfaarf;Fra|Koppel|Léift|mëttelhell Hautfaarf|verléift Koppel|verléift Koppel: Fra, Fra, mëttelhell Hautfaarf
	👩🏼‍❤️‍👩🏽;verléift Koppel: Fra, Fra, mëttelhell Hautfaarf, mëttel Hautfaarf;Fra|Koppel|Léift|mëttel Hautfaarf|mëttelhell Hautfaarf|verléift Koppel|verléift Koppel: Fra, Fra, mëttelhell Hautfaarf, mëttel Hautfaarf
	👩🏼‍❤️‍👩🏾;verléift Koppel: Fra, Fra, mëttelhell Hautfaarf, mëtteldäischter Hautfaarf;Fra|Koppel|Léift|mëtteldäischter Hautfaarf|mëttelhell Hautfaarf|verléift Koppel|verléift Koppel: Fra, Fra, mëttelhell Hautfaarf, mëtteldäischter Hautfaarf
	👩🏼‍❤️‍👩🏿;verléift Koppel: Fra, Fra, mëttelhell Hautfaarf, däischter Hautfaarf;däischter Hautfaarf|Fra|Koppel|Léift|mëttelhell Hautfaarf|verléift Koppel|verléift Koppel: Fra, Fra, mëttelhell Hautfaarf, däischter Hautfaarf
	👩🏽‍❤️‍👩🏻;verléift Koppel: Fra, Fra, mëttel Hautfaarf, hell Hautfaarf;Fra|hell Hautfaarf|Koppel|Léift|mëttel Hautfaarf|verléift Koppel|verléift Koppel: Fra, Fra, mëttel Hautfaarf, hell Hautfaarf
	👩🏽‍❤️‍👩🏼;verléift Koppel: Fra, Fra, mëttel Hautfaarf, mëttelhell Hautfaarf;Fra|Koppel|Léift|mëttel Hautfaarf|mëttelhell Hautfaarf|verléift Koppel|verléift Koppel: Fra, Fra, mëttel Hautfaarf, mëttelhell Hautfaarf
	👩🏽‍❤️‍👩🏽;verléift Koppel: Fra, Fra, mëttel Hautfaarf;Fra|Koppel|Léift|mëttel Hautfaarf|verléift Koppel|verléift Koppel: Fra, Fra, mëttel Hautfaarf
	👩🏽‍❤️‍👩🏾;verléift Koppel: Fra, Fra, mëttel Hautfaarf, mëtteldäischter Hautfaarf;Fra|Koppel|Léift|mëttel Hautfaarf|mëtteldäischter Hautfaarf|verléift Koppel|verléift Koppel: Fra, Fra, mëttel Hautfaarf, mëtteldäischter Hautfaarf
	👩🏽‍❤️‍👩🏿;verléift Koppel: Fra, Fra, mëttel Hautfaarf, däischter Hautfaarf;däischter Hautfaarf|Fra|Koppel|Léift|mëttel Hautfaarf|verléift Koppel|verléift Koppel: Fra, Fra, mëttel Hautfaarf, däischter Hautfaarf
	👩🏾‍❤️‍👩🏻;verléift Koppel: Fra, Fra, mëtteldäischter Hautfaarf, hell Hautfaarf;Fra|hell Hautfaarf|Koppel|Léift|mëtteldäischter Hautfaarf|verléift Koppel|verléift Koppel: Fra, Fra, mëtteldäischter Hautfaarf, hell Hautfaarf
	👩🏾‍❤️‍👩🏼;verléift Koppel: Fra, Fra, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf;Fra|Koppel|Léift|mëtteldäischter Hautfaarf|mëttelhell Hautfaarf|verléift Koppel|verléift Koppel: Fra, Fra, mëtteldäischter Hautfaarf, mëttelhell Hautfaarf
	👩🏾‍❤️‍👩🏽;verléift Koppel: Fra, Fra, mëtteldäischter Hautfaarf, mëttel Hautfaarf;Fra|Koppel|Léift|mëttel Hautfaarf|mëtteldäischter Hautfaarf|verléift Koppel|verléift Koppel: Fra, Fra, mëtteldäischter Hautfaarf, mëttel Hautfaarf
	👩🏾‍❤️‍👩🏾;verléift Koppel: Fra, Fra, mëtteldäischter Hautfaarf;Fra|Koppel|Léift|mëtteldäischter Hautfaarf|verléift Koppel|verléift Koppel: Fra, Fra, mëtteldäischter Hautfaarf
	👩🏾‍❤️‍👩🏿;verléift Koppel: Fra, Fra, mëtteldäischter Hautfaarf, däischter Hautfaarf;däischter Hautfaarf|Fra|Koppel|Léift|mëtteldäischter Hautfaarf|verléift Koppel|verléift Koppel: Fra, Fra, mëtteldäischter Hautfaarf, däischter Hautfaarf
	👩🏿‍❤️‍👩🏻;verléift Koppel: Fra, Fra, däischter Hautfaarf, hell Hautfaarf;däischter Hautfaarf|Fra|hell Hautfaarf|Koppel|Léift|verléift Koppel|verléift Koppel: Fra, Fra, däischter Hautfaarf, hell Hautfaarf
	👩🏿‍❤️‍👩🏼;verléift Koppel: Fra, Fra, däischter Hautfaarf, mëttelhell Hautfaarf;däischter Hautfaarf|Fra|Koppel|Léift|mëttelhell Hautfaarf|verléift Koppel|verléift Koppel: Fra, Fra, däischter Hautfaarf, mëttelhell Hautfaarf
	👩🏿‍❤️‍👩🏽;verléift Koppel: Fra, Fra, däischter Hautfaarf, mëttel Hautfaarf;däischter Hautfaarf|Fra|Koppel|Léift|mëttel Hautfaarf|verléift Koppel|verléift Koppel: Fra, Fra, däischter Hautfaarf, mëttel Hautfaarf
	👩🏿‍❤️‍👩🏾;verléift Koppel: Fra, Fra, däischter Hautfaarf, mëtteldäischter Hautfaarf;däischter Hautfaarf|Fra|Koppel|Léift|mëtteldäischter Hautfaarf|verléift Koppel|verléift Koppel: Fra, Fra, däischter Hautfaarf, mëtteldäischter Hautfaarf
	👩🏿‍❤️‍👩🏿;verléift Koppel: Fra, Fra, däischter Hautfaarf;däischter Hautfaarf|Fra|Koppel|Léift|verléift Koppel|verléift Koppel: Fra, Fra, däischter Hautfaarf
👨‍👩‍👦;Famill: Mann, Fra, Jong;Famill|Famill: Mann, Fra, Jong|Fra|Jong|Mann
👨‍👩‍👧;Famill: Mann, Fra, Meedchen;Famill|Famill: Mann, Fra, Meedchen|Fra|Mann|Meedchen
👨‍👩‍👧‍👦;Famill: Mann, Fra, Meedchen, Jong;Famill|Famill: Mann, Fra, Meedchen, Jong|Fra|Jong|Mann|Meedchen
👨‍👩‍👦‍👦;Famill: Mann, Fra, Jong, Jong;Famill|Famill: Mann, Fra, Jong, Jong|Fra|Jong|Mann
👨‍👩‍👧‍👧;Famill: Mann, Fra, Meedchen, Meedchen;Famill|Famill: Mann, Fra, Meedchen, Meedchen|Fra|Mann|Meedchen
👨‍👨‍👦;Famill: Mann, Mann, Jong;Famill|Famill: Mann, Mann, Jong|Jong|Mann
👨‍👨‍👧;Famill: Mann, Mann, Meedchen;Famill|Famill: Mann, Mann, Meedchen|Mann|Meedchen
👨‍👨‍👧‍👦;Famill: Mann, Mann, Meedchen, Jong;Famill|Famill: Mann, Mann, Meedchen, Jong|Jong|Mann|Meedchen
👨‍👨‍👦‍👦;Famill: Mann, Mann, Jong, Jong;Famill|Famill: Mann, Mann, Jong, Jong|Jong|Mann
👨‍👨‍👧‍👧;Famill: Mann, Mann, Meedchen, Meedchen;Famill|Famill: Mann, Mann, Meedchen, Meedchen|Mann|Meedchen
👩‍👩‍👦;Famill: Fra, Fra, Jong;Famill|Famill: Fra, Fra, Jong|Fra|Jong
👩‍👩‍👧;Famill: Fra, Fra, Meedchen;Famill|Famill: Fra, Fra, Meedchen|Fra|Meedchen
👩‍👩‍👧‍👦;Famill: Fra, Fra, Meedchen, Jong;Famill|Famill: Fra, Fra, Meedchen, Jong|Fra|Jong|Meedchen
👩‍👩‍👦‍👦;Famill: Fra, Fra, Jong, Jong;Famill|Famill: Fra, Fra, Jong, Jong|Fra|Jong
👩‍👩‍👧‍👧;Famill: Fra, Fra, Meedchen, Meedchen;Famill|Famill: Fra, Fra, Meedchen, Meedchen|Fra|Meedchen
👨‍👦;Famill: Mann, Jong;Famill|Famill: Mann, Jong|Jong|Mann
👨‍👦‍👦;Famill: Mann, Jong, Jong;Famill|Famill: Mann, Jong, Jong|Jong|Mann
👨‍👧;Famill: Mann, Meedchen;Famill|Famill: Mann, Meedchen|Mann|Meedchen
👨‍👧‍👦;Famill: Mann, Meedchen, Jong;Famill|Famill: Mann, Meedchen, Jong|Jong|Mann|Meedchen
👨‍👧‍👧;Famill: Mann, Meedchen, Meedchen;Famill|Famill: Mann, Meedchen, Meedchen|Mann|Meedchen
👩‍👦;Famill: Fra, Jong;Famill|Famill: Fra, Jong|Fra|Jong
👩‍👦‍👦;Famill: Fra, Jong, Jong;Famill|Famill: Fra, Jong, Jong|Fra|Jong
👩‍👧;Famill: Fra, Meedchen;Famill|Famill: Fra, Meedchen|Fra|Meedchen
👩‍👧‍👦;Famill: Fra, Meedchen, Jong;Famill|Famill: Fra, Meedchen, Jong|Fra|Jong|Meedchen
👩‍👧‍👧;Famill: Fra, Meedchen, Meedchen;Famill|Famill: Fra, Meedchen, Meedchen|Fra|Meedchen
🗣️;schwätzende Kapp;Gesiicht|Kapp|schwätzen|schwätzend|schwätzende Kapp|Silhouette
👤;mënschlech Silhouette;Büst|mënschlech|Silhouette
👥;mënschlech Silhouetten;Büst|mënschlech|mënschlech Silhouetten|Silhouette
🫂;;
👪;Famill;Famill
🧑‍🧑‍🧒;;
🧑‍🧑‍🧒‍🧒;;
🧑‍🧒;;
🧑‍🧒‍🧒;;
👣;Foussofdréck;Foussofdréck|Foussofdrock|Kleeder|Ofdrock

[animals_nature]
🐵;Afegesiicht;Af|Afegesiicht|Gesiicht
🐒;Af;Af
🦍;Gorilla;Gorilla
🦧;;
🐶;Hondsgesiicht;Gesiicht|Hausdéier|Hond|Hondsgesiicht
🐕;Hond;Hausdéier|Hond
🦮;;
🐕‍🦺;;
🐩;Puddel;Hond|Puddel
🐺;Wollefsgesiicht;Gesiicht|Wollef|Wollefsgesiicht
🦊;Fuussgesiicht;Fuuss|Fuussgesiicht|Gesiicht
🦝;;
🐱;Kazegesiicht;Gesiicht|Hausdéier|Kaz|Kazegesiicht
🐈;Kaz;Hausdéier|Kaz
🐈‍⬛;;
🦁;Léifsgesiicht;Gesiicht|Léif|Léifsgesiicht|Stärzeechen
🐯;Tigersgesiicht;Gesiicht|Tiger|Tigersgesiicht
🐅;Tiger;Tiger
🐆;Leopard;Leopard
🐴;Päerdsgesiicht;Gesiicht|Päerd|Päerdsgesiicht
🫎;;
🫏;;
🐎;Päerd;Course|Coursepäerd|Päerd|reiden
🦄;Einhornsgesiicht;Einhorn|Einhornsgesiicht|Gesiicht
🦓;Zebra;Sträif|Zebra
🦌;Hirsch;Hirsch
🦬;;
🐮;Kousgesiicht;Gesiicht|Kou|Kousgesiicht
🐂;Ochs;Ochs|Stärzeechen|Stéier
🐃;Waasserbüffel;Büffel|Waasser|Waasserbüffel
🐄;Kou;Kou
🐷;Schwéngsgesiicht;Gesiicht|Schwäin|Schwéngsgesiicht
🐖;Schwäin;Sau|Schwäin
🐗;Wëllschwäin;Schwäin|Wëllschwäin
🐽;Schwéngsnues;Gesiicht|Nues|Schwäin|Schwéngsnues
🐏;Widder;Männchen|Schof|Stärzeechen|Widder
🐑;Mudderschof;Mudder|Mudderschof|Schof|Weibchen
🐐;Geess;Geess|Stärzeechen|Steebock
🐪;Dromedar;Bockel|Dromedar
🐫;Kaméil;Bockel|Kaméil|zwee
🦙;;
🦒;Giraff;Flecken|Giraff
🐘;Elefant;Elefant
🦣;;
🦏;Nashorn;Nashorn
🦛;;
🐭;Mausgesiicht;Gesiicht|Maus|Mausgesiicht
🐁;Maus;Maus
🐀;Rat;Rat
🐹;Hamstersgesiicht;Gesiicht|Hamster|Hamstersgesiicht|Hausdéier
🐰;Huesgesiicht;Gesiicht|Hausdéier|Hues|Huesgesiicht|Kanéngchen
🐇;Hues;Hausdéier|Hues|Kanéngchen
🐿️;Kaweechelchen;Kaweechelchen
🦫;;
🦔;Kéiseker;däreg|Kéiseker
🦇;Fliedermaus;Fliedermaus|Vampir
🐻;Bieregesiicht;Bier|Bieregesiicht|Gesiicht
🐻‍❄️;;
🐨;Koalabier;Bier|Koalabier
🐼;Pandasgesiicht;Gesiicht|Panda|Pandasgesiicht
🦥;;
🦦;;
🦨;;
🦘;;
🦡;;
🐾;Pattenofdréck;Féiss|Ofdrock|Patt|Pattenofdréck
🦃;Schnuddelhong;Schnuddelhong|Vugel
🐔;Hong;Hong|Vugel
🐓;Hunn;Hunn|Vugel
🐣;Jippelchen am Ee;am Ee|Bëbee|Hong|Jippelchen|Jippelchen am Ee|kleng|Vugel
🐤;Jippelchen;Bëbee|Hong|Jippelchen|Vugel
🐥;Jippelche vu vir;Bëbee|Hong|Jippelche vu vir|Jippelchen|Vugel
🐦;Vugel;Vugel
🐧;Pinguin;Pinguin|Vugel
🕊️;Dauf;Dauf|fléien|Fridden|Vugel
🦅;Adler;Adler|Vugel
🦆;Int;Int|Vugel
🦢;;
🦉;Eil;Eil|klug|Vugel
🦤;;
🪶;;
🦩;;
🦚;;
🦜;;
🪽;;
🐦‍⬛;;
🪿;;
🐦‍🔥;;
🐸;Fräschegesiicht;Fräsch|Fräschegesiicht|Gesiicht
🐊;Krokodil;Krokodil
🐢;Deckelsmouk;Deckelsmouk|Douseschildkröt|Schildkröt
🦎;Eidechs;Eidechs|Reptil
🐍;Schlaang;Ophiuchus|Schlaang|Schlaangenträger|Stärzeechen
🐲;Draachegesiicht;Draach|Draachegesiicht|Gesiicht|Mäerchen
🐉;Draach;Draach|Mäerchen
🦕;Dinosaurier;Brachiosaurus|Brontosaurus|Dinosaurier|Diplodokus
🦖;T-Rex;T-Rex|Tyrannosaurus Rex
🐳;sprëtzende Wal;Gesiicht|sprëtzend|sprëtzende Wal|Wal
🐋;Wal;Wal
🐬;Delfin;Delfin|Flipper
🦭;;
🐟;Fësch;Fësch|Stärzeechen
🐠;tropesche Fësch;Fësch|tropesch|tropesche Fësch
🐡;Kugelfësch;Fësch|Kugelfësch
🦈;Hai;Fësch|Hai
🐙;Tëntefësch;Tëntefësch
🐚;Spiralmuschel;Muschel|Spiral|Spiralmuschel
🪸;;
🪼;;
🐌;Schleek;Schleek
🦋;Päiperlek;Insekt|Päiperlek|schéin
🐛;Kiewerlek;Insekt|Kiewerlek
🐜;Seejomes;Insekt|Seejomes
🐝;Bei;Bei|Insekt
🪲;;
🐞;Himmelsdéierchen;Himmelsdéierchen|Insekt|Kiewerlek
🦗;Cricket;Cricket|Heesprénger
🪳;;
🕷️;Spann;Insekt|Spann
🕸️;Spannennetz;Netz|Spann|Spannennetz
🦂;Skorpioun;Skorpioun|Stärzeechen
🦟;;
🪰;;
🪱;;
🦠;;
💐;Blummebouquet;Blumm|Blummebouquet
🌸;Kiischtebléi;Bléi|Blumm|Kiischt|Kiischtebléi
💮;wäiss Blumm;Blumm|wäiss Blumm
🪷;;
🏵️;Rosett;Planz|Rosett
🌹;Rous;Blumm|Rous
🥀;verwielegt Blumm;Blumm|verwielegt
🌺;Hibiskus;Blumm|Hibiskus
🌻;Sonneblumm;Blumm|Sonn|Sonneblumm
🌼;Margréitchen;Blumm|Margréitchen
🌷;Tulp;Blumm|Tulp
🪻;;
🌱;Keimling;jonk|Keimling
🪴;;
🌲;Dännebam;Bam|Dännebam
🌳;Lafbam;Bam|falen|Laf|Lafbam
🌴;Palm;Bam|Palm
🌵;Kaktus;Kaktus|Planz
🌾;Räishallem;Hallem|Kär|Räis|Räishallem
🌿;Kräider;Blat|Kräider
☘️;Kléi;Kléi|Planz
🍀;véierbliederegt Kléiblat;4|Blat|Kléi|véier|véierbliederegt Kléiblat
🍁;Ahornblat;Ahorn|Ahornblat|Blat|falend
🍂;Hierschtblat;Blat|falend|Hierschtblat
🍃;am Wand fléiend Blat;am Wand fléiend Blat|Blat|blosen|fléien|Wand
🪹;;
🪺;;
🍄;Champignon;Champignon|Gëftpilz|Pilz

[food_drink]
🍇;Drauwen;Drauf|Drauwen|Uebst
🍈;Meloun;Meloun|Uebst
🍉;Waassermeloun;Uebst|Waassermeloun
🍊;Mandarine;Mandarine|Orange|Uebst
🍋;Zitroun;Uebst|Zitroun|Zitrusfriicht
🍋‍🟩;;
🍌;Banann;Banann|Uebst
🍍;Ananas;Ananas|Uebst
🥭;;
🍎;rouden Apel;Apel|rouden Apel|rout|Uebst
🍏;gréngen Apel;Apel|gréng|gréngen Apel|Uebst
🍐;Bir (Fruucht);Bir (Fruucht)|Uebst
🍑;Piisch;Piisch|Uebst
🍒;Kiischten;Kiischt|Kiischten|Uebst
🍓;Äerdbier;Äerdbier|Bier|Uebst
🫐;;
🥝;Kiwi;Iessen|Kiwi|Uebst
🍅;Tomat;Geméis|Tomat|Uebst
🫒;;
🥥;Kokosnoss;Kokosnoss|Palm|Piña Colada
🥑;Avocado;Avocado|Fruucht|Iessen
🍆;Aubergine;Aubergine|Geméis
🥔;Gromper;Geméis|Gromper|Iessen
🥕;Wuerzel;Geméis|Iessen|Wuerzel
🌽;Mais;Kolben|Labyrinth|Mais
🌶️;Peperoni;Peperoni|schaarf
🫑;;
🥒;Kornischong;Geméis|Iessen|Kornischong
🥬;;
🥦;Brokkoli;Brokkoli|wëlle Kabes
🧄;;
🧅;;
🥜;Kakuett;Geméis|Iessen|Kakuett|Noss
🫘;;
🌰;Käscht;Käscht|Planz
🫚;;
🫛;;
🍄‍🟫;;
🍞;Brout;Brout
🥐;Croissant;Brout|Croissant|franséisch|Iessen
🥖;Baguette;Baguette|Brout|franséisch|Iessen
🫓;;
🥨;Bretzel;Bretzel|gedréit
🥯;;
🥞;Paangecher;Crêpe|Iessen|Paangech|Paangecher|Pancake
🧇;;
🧀;Stéck Kéis;Kéis|Stéck Kéis
🍖;Fleeschschank;Fleesch|Fleeschschank|Schank
🍗;Pouletssträmpel;Been|Poulet|Pouletssträmpel|Schank|Stämpel
🥩;Stéck Fleesch;Bifdeck|Hämmelskotlett|Kotlett|Schwéngskotlett|Stéck Fleesch
🥓;Speck;Fleesch|Iessen|Speck
🍔;Hamburger;Burger|Hamburger
🍟;Fritten;Fritten
🍕;Pizza;Kéis|Pizza|Stéck
🌭;Hot Dog;Frankfurter|Hot Dog|Hotdog|Wurscht
🥪;Sandwich;Brout|Sandwich
🌮;Taco;mexikanesch|Taco
🌯;Burrito;Burrito|mexikanesch|Wrap
🫔;;
🥙;Kebab;Falafel|flaacht Brout|gefëllt|Gyros|Iessen|Kebab
🧆;;
🥚;Ee;Ee|Iessen
🍳;Pan mat Spigelee;broden|Ee|Pan|Pan mat Spigelee
🥘;Kasseroll mat Iessen;flaach|Iessen|Kasseroll|Kasseroll mat Iessen|Paella|Pan
🍲;Plat an enger Kasseroll;Eintopf|Kasseroll|Plat an enger Kasseroll
🫕;;
🥣;Boll mat Läffel;Boll mat Läffel|Frühstück|Kaffi|Müsli
🥗;gréng Zalot;gréng|Iessen|Zalot
🍿;Popcorn;Popcorn
🧈;;
🧂;;
🥫;Iessen an der Béchs;Béchs|Iessen an der Béchs
🍱;Bento-Box;Bento|Bento-Box|Box|Këscht
🍘;Räiskichelcher;Kichelchen|Räis|Räiskichelcher
🍙;Räisball;Ball|japanesch|Räis|Räisball
🍚;gekachte Räis;gekacht|gekachte Räis|Räis
🍛;Curry mat Räis;Curry|Curry mat Räis|Räis
🍜;Schossel mat Nuddelen;dämpend|Nuddelen|Ramen|Schossel|Schossel mat Nuddelen
🍝;Spagetti;Pasta|Spagetti
🍠;Séissgromper;gebroden|Gromper|séiss|Séissgromper
